Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,30.57,30.889999,30.51,30.799999,261300,30.799999
2016-04-18,30.24,30.57,30.049999,30.469999,231000,30.469999
2016-04-15,30.32,30.60,30.139999,30.26,268700,30.26
2016-04-14,29.92,30.440001,29.610001,30.32,369800,30.32
2016-04-13,28.93,29.98,28.809999,29.889999,387800,29.889999
2016-04-12,29.00,29.07,28.559999,28.700001,235900,28.700001
2016-04-11,29.110001,29.76,28.950001,29.01,426500,29.01
2016-04-08,28.65,29.07,28.18,28.98,557900,28.98
2016-04-07,27.65,27.85,27.540001,27.76,313200,27.76
2016-04-06,27.76,28.040001,27.52,27.870001,333100,27.870001
2016-04-05,27.790001,27.93,27.700001,27.790001,547000,27.790001
2016-04-04,28.15,28.360001,27.780001,27.950001,705200,27.950001
2016-04-01,28.07,28.200001,27.90,28.16,478700,28.16
2016-03-31,28.209999,28.629999,27.719999,28.290001,489800,28.290001
2016-03-30,28.360001,28.51,27.98,28.280001,407700,28.280001
2016-03-29,27.91,28.15,27.809999,28.15,818900,28.15
2016-03-28,28.139999,28.15,27.809999,28.049999,466600,28.049999
2016-03-24,28.190001,28.23,27.959999,28.00,482500,28.00
2016-03-23,28.07,28.530001,28.01,28.43,518500,28.43
2016-03-22,27.98,28.24,27.639999,28.059999,429800,28.059999
2016-03-21,29.51,29.620001,28.190001,28.209999,891300,28.109998
2016-03-18,28.299999,29.65,28.23,29.629999,2282900,29.524965
2016-03-17,26.719999,28.07,26.559999,28.07,774100,27.970495
2016-03-16,25.92,26.809999,25.719999,26.77,651000,26.675104
2016-03-15,26.42,26.809999,25.950001,25.969999,596800,25.877939
2016-03-14,25.530001,26.74,25.40,26.52,522700,26.425991
2016-03-11,25.83,26.200001,25.559999,25.59,819500,25.499287
2016-03-10,28.129999,28.18,25.209999,25.610001,985700,25.519217
2016-03-09,27.459999,28.27,26.719999,28.08,467200,27.98046
2016-03-08,27.42,27.709999,27.190001,27.43,627000,27.332765
2016-03-07,28.040001,28.200001,27.60,27.75,465200,27.65163
2016-03-04,28.450001,28.610001,27.959999,28.15,386100,28.050212
2016-03-03,27.91,28.42,27.719999,28.41,366600,28.30929
2016-03-02,28.040001,28.17,27.690001,27.950001,324500,27.850922
2016-03-01,28.200001,28.200001,27.309999,28.139999,401400,28.040247
2016-02-29,28.27,28.83,27.76,28.42,350600,28.319255
2016-02-26,28.24,28.309999,27.82,28.26,280000,28.159822
2016-02-25,28.18,28.299999,27.879999,28.049999,277200,27.950566
2016-02-24,27.51,28.16,27.25,28.07,224700,27.970495
2016-02-23,28.09,28.40,27.790001,27.799999,202700,27.701452
2016-02-22,28.02,28.35,27.65,28.139999,248800,28.040247
2016-02-19,27.629999,28.07,27.50,27.799999,232200,27.701452
2016-02-18,28.27,28.48,27.52,27.65,700800,27.551984
2016-02-17,28.00,28.27,27.75,28.200001,438600,28.100036
2016-02-16,27.26,27.99,27.01,27.860001,290400,27.761241
2016-02-12,27.01,27.25,26.74,27.00,272700,26.904289
2016-02-11,27.120001,27.34,26.33,26.76,227400,26.66514
2016-02-10,27.889999,28.24,27.57,27.610001,249200,27.512127
2016-02-09,27.379999,28.08,27.379999,27.790001,180400,27.691489
2016-02-08,27.42,27.75,27.00,27.620001,282100,27.522092
2016-02-05,28.290001,28.52,27.530001,27.65,339700,27.551984
2016-02-04,28.68,28.969999,28.379999,28.50,314100,28.398971
2016-02-03,29.809999,29.809999,28.51,28.84,212200,28.737766
2016-02-02,30.059999,30.059999,29.27,29.440001,144100,29.33564
2016-02-01,30.59,30.700001,30.049999,30.33,256200,30.222484
2016-01-29,29.780001,30.809999,29.780001,30.809999,365800,30.700782
2016-01-28,30.02,30.23,29.549999,29.780001,179300,29.674435
2016-01-27,30.02,30.09,29.530001,29.790001,270300,29.684399
2016-01-26,29.76,30.120001,29.700001,30.07,310300,29.963406
2016-01-25,29.82,30.08,29.57,29.629999,199300,29.524965
2016-01-22,30.10,30.35,29.719999,30.02,175000,29.913584
2016-01-21,30.01,30.09,29.469999,29.620001,517000,29.515002
2016-01-20,29.129999,30.23,28.690001,29.959999,314800,29.853795
2016-01-19,29.860001,29.860001,29.10,29.50,352100,29.395426
2016-01-15,29.719999,30.00,28.90,29.620001,530200,29.515002
2016-01-14,30.24,30.68,29.639999,30.360001,267000,30.252378
2016-01-13,30.780001,31.09,29.709999,30.15,450700,30.043122
2016-01-12,30.93,31.10,30.27,30.780001,246600,30.67089
2016-01-11,30.42,31.02,30.41,30.67,314500,30.561279
2016-01-08,30.98,31.059999,30.360001,30.379999,478700,30.272306
2016-01-07,30.59,31.030001,30.209999,30.73,372700,30.621066
2016-01-06,31.24,31.74,30.98,31.049999,260400,30.939931
2016-01-05,31.92,31.950001,31.280001,31.60,246900,31.487983
2016-01-04,32.720001,32.720001,31.68,31.76,379600,31.647415
