Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,8.61,8.70,8.61,8.66,27300,8.66
2016-04-18,8.59,8.64,8.57,8.62,36100,8.62
2016-04-15,8.60,8.65,8.59,8.63,23400,8.63
2016-04-14,8.53,8.60,8.53,8.60,21200,8.60
2016-04-13,8.56,8.64,8.56,8.64,24100,8.594
2016-04-12,8.58,8.58,8.56,8.58,14400,8.534319
2016-04-11,8.55,8.56,8.53,8.56,14100,8.514426
2016-04-08,8.53,8.55,8.51,8.53,18100,8.484585
2016-04-07,8.51,8.51,8.46,8.47,23900,8.424905
2016-04-06,8.46,8.52,8.46,8.50,10600,8.454745
2016-04-05,8.49,8.49,8.42,8.42,75400,8.375171
2016-04-04,8.49,8.50,8.42,8.45,49800,8.405011
2016-04-01,8.47,8.54,8.47,8.48,66300,8.434851
2016-03-31,8.47,8.53,8.45,8.48,27400,8.434851
2016-03-30,8.57,8.57,8.40,8.48,56500,8.434851
2016-03-29,8.51,8.52,8.46,8.50,31900,8.454745
2016-03-28,8.52,8.55,8.52,8.54,5900,8.494532
2016-03-24,8.52,8.55,8.51,8.51,12300,8.464692
2016-03-23,8.58,8.58,8.54,8.58,17000,8.534319
2016-03-22,8.52,8.56,8.51,8.56,4600,8.514426
2016-03-21,8.53,8.61,8.53,8.56,10100,8.514426
2016-03-18,8.51,8.55,8.48,8.50,45300,8.454745
2016-03-17,8.52,8.61,8.51,8.58,41000,8.534319
2016-03-16,8.49,8.61,8.49,8.57,21500,8.473644
2016-03-15,8.50,8.54,8.49,8.52,24500,8.424207
2016-03-14,8.51,8.58,8.50,8.54,25200,8.443981
2016-03-11,8.49,8.59,8.49,8.55,28100,8.453869
2016-03-10,8.44,8.49,8.44,8.46,33600,8.364881
2016-03-09,8.41,8.48,8.41,8.45,33000,8.354993
2016-03-08,8.39,8.45,8.39,8.41,38600,8.315443
2016-03-07,8.36,8.45,8.36,8.43,34100,8.335218
2016-03-04,8.33,8.40,8.33,8.38,31700,8.28578
2016-03-03,8.29,8.36,8.29,8.35,56800,8.256118
2016-03-02,8.30,8.32,8.26,8.29,67600,8.196792
2016-03-01,8.26,8.31,8.24,8.31,134800,8.216568
2016-02-29,8.15,8.31,8.15,8.23,170700,8.137466
2016-02-26,7.75,7.80,7.74,7.80,36300,7.712302
2016-02-25,7.64,7.75,7.64,7.75,32700,7.662864
2016-02-24,7.64,7.73,7.63,7.72,26200,7.633201
2016-02-23,7.66,7.69,7.66,7.68,19900,7.59365
2016-02-22,7.68,7.75,7.68,7.69,19400,7.603538
2016-02-19,7.68,7.70,7.66,7.69,15600,7.603538
2016-02-18,7.71,7.74,7.68,7.69,14200,7.603538
2016-02-17,7.63,7.71,7.63,7.71,10800,7.623313
