Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,11.16,11.95,11.16,11.93,56000,11.93
2016-04-18,10.54,11.31,10.45,11.22,114700,11.22
2016-04-15,11.16,11.36,10.64,10.77,176600,10.77
2016-04-14,11.65,11.94,11.23,11.35,168200,11.35
2016-04-13,11.75,11.96,11.57,11.77,140300,11.77
2016-04-12,11.29,12.25,11.29,12.12,197900,11.77
2016-04-11,11.24,11.38,11.10,11.19,79700,10.866856
2016-04-08,10.66,11.09,10.58,10.98,198800,10.66292
2016-04-07,10.33,10.48,10.18,10.28,75400,9.983135
2016-04-06,10.10,10.48,9.98,10.30,206900,10.002558
2016-04-05,10.00,10.06,9.82,9.84,84800,9.555841
2016-04-04,10.39,10.39,10.03,10.07,90400,9.779199
2016-04-01,10.44,10.44,10.17,10.34,77900,10.041403
2016-03-31,10.21,10.78,10.17,10.58,107500,10.274472
2016-03-30,10.17,10.46,10.17,10.23,58600,9.934578
2016-03-29,9.83,10.10,9.63,10.04,51200,9.750066
2016-03-28,9.95,10.02,9.71,9.90,101800,9.614108
2016-03-24,10.24,10.40,10.00,10.05,104100,9.759777
2016-03-23,10.87,10.87,10.44,10.49,95000,10.18707
2016-03-22,10.70,11.00,10.34,10.96,121300,10.643498
2016-03-21,10.94,10.94,10.55,10.72,76700,10.410429
2016-03-18,11.28,11.29,10.82,10.85,57900,10.536675
2016-03-17,10.80,11.19,10.66,11.19,83100,10.866856
2016-03-16,10.14,10.82,10.14,10.76,90600,10.449274
2016-03-15,10.16,10.33,10.02,10.07,124300,9.779199
2016-03-14,10.51,10.58,10.40,10.40,74300,10.099669
2016-03-11,10.38,10.59,10.33,10.47,97800,10.167649
2016-03-10,10.19,10.26,10.04,10.04,71800,9.750066
2016-03-09,10.32,10.39,10.07,10.23,119800,9.934578
2016-03-08,10.48,10.53,9.82,9.83,112000,9.54613
2016-03-07,10.91,10.99,10.45,10.52,442800,10.216205
2016-03-04,11.24,11.29,10.89,11.08,116400,10.760033
2016-03-03,10.47,11.09,10.47,11.09,131300,10.769744
2016-03-02,9.89,10.72,9.82,10.67,155600,10.361873
2016-03-01,9.82,10.05,9.72,9.90,80200,9.614108
2016-02-29,9.68,10.09,9.66,9.71,161300,9.429595
2016-02-26,9.64,9.76,9.33,9.45,196300,9.177104
2016-02-25,9.51,9.53,9.04,9.32,125000,9.050858
2016-02-24,9.21,9.40,8.72,9.40,116300,9.128547
2016-02-23,10.14,10.14,9.21,9.22,84000,8.953746
2016-02-22,9.84,10.18,9.63,9.92,182300,9.633531
2016-02-19,9.18,9.50,8.96,9.47,97800,9.196526
2016-02-18,9.83,9.97,9.27,9.47,155100,9.196526
2016-02-17,8.96,9.60,8.85,9.60,178300,9.322772
2016-02-16,8.47,8.92,8.32,8.71,116800,8.458473
2016-02-12,7.65,8.29,7.56,8.23,230400,7.992334
2016-02-11,7.24,7.82,7.01,7.29,136100,7.07948
2016-02-10,7.62,8.21,7.58,7.78,206300,7.55533
2016-02-09,8.00,8.26,7.45,7.87,201700,7.642731
2016-02-08,9.45,9.45,8.03,8.47,234100,8.225404
2016-02-05,10.51,10.51,9.42,9.56,97500,9.283928
2016-02-04,9.72,10.40,9.72,10.21,195300,9.915157
2016-02-03,9.47,9.89,9.06,9.68,215300,9.400462
2016-02-02,9.41,9.61,9.27,9.36,223600,9.089702
2016-02-01,10.01,10.04,9.66,9.79,196300,9.507285
2016-01-29,9.75,10.50,9.71,10.27,276400,9.973424
2016-01-28,9.04,9.73,9.04,9.68,171100,9.400462
2016-01-27,8.90,9.06,8.40,8.77,179100,8.516741
2016-01-26,8.49,8.95,8.28,8.95,142900,8.691542
2016-01-25,8.53,9.11,8.21,8.30,176500,8.060313
2016-01-22,7.92,8.89,7.92,8.69,259000,8.439051
2016-01-21,7.03,7.74,6.91,7.66,439400,7.438795
2016-01-20,7.50,7.68,6.27,7.01,937500,6.807566
2016-01-19,8.76,8.84,7.75,7.97,303600,7.739843
