Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.45,13.64,13.18,13.28,521000,13.28
2016-04-18,13.27,13.41,13.07,13.29,681600,13.29
2016-04-15,13.51,13.61,13.08,13.34,787200,13.34
2016-04-14,13.33,13.62,13.22,13.57,504000,13.57
2016-04-13,13.25,13.41,13.12,13.32,1213900,13.32
2016-04-12,12.53,13.24,12.52,13.09,1467900,13.09
2016-04-11,12.70,12.78,12.28,12.51,594800,12.51
2016-04-08,12.76,12.99,12.43,12.59,528000,12.59
2016-04-07,12.57,12.86,12.44,12.65,551100,12.65
2016-04-06,12.39,12.72,12.26,12.68,504700,12.68
2016-04-05,12.58,12.63,12.33,12.37,695700,12.37
2016-04-04,12.55,12.84,12.43,12.67,706800,12.67
2016-04-01,12.18,12.77,11.91,12.57,898500,12.57
2016-03-31,12.19,12.65,12.08,12.35,834500,12.35
2016-03-30,12.38,12.58,12.06,12.16,907400,12.16
2016-03-29,11.73,12.31,11.57,12.31,801800,12.31
2016-03-28,11.71,11.90,11.48,11.76,856200,11.76
2016-03-24,11.67,12.08,11.45,11.67,1324500,11.67
2016-03-23,12.13,12.30,11.64,11.68,1330100,11.68
2016-03-22,11.85,12.28,11.79,12.21,1379100,12.21
2016-03-21,12.01,12.31,11.75,11.93,1060600,11.93
2016-03-18,11.33,12.09,11.33,12.03,1821700,12.03
2016-03-17,11.41,11.42,10.89,11.23,806900,11.23
2016-03-16,11.05,11.50,11.05,11.43,760300,11.43
2016-03-15,11.63,11.63,10.81,11.11,985200,11.11
2016-03-14,11.84,11.97,11.56,11.68,1539100,11.68
2016-03-11,11.24,11.95,11.22,11.86,1365800,11.86
2016-03-10,11.56,11.79,11.03,11.18,816500,11.18
2016-03-09,11.47,11.58,11.13,11.50,1017900,11.50
2016-03-08,11.81,11.98,11.40,11.44,1355900,11.44
2016-03-07,11.43,12.19,11.32,12.00,1254800,11.88
2016-03-04,11.75,11.88,11.08,11.51,1062600,11.3949
2016-03-03,11.00,11.83,10.85,11.65,1504200,11.5335
2016-03-02,10.60,11.15,10.52,11.02,1530100,10.909801
2016-03-01,10.56,10.63,9.98,10.60,1505100,10.494
2016-02-29,10.82,10.90,9.92,10.51,3582900,10.4049
2016-02-26,11.35,11.89,9.72,10.95,3262500,10.8405
2016-02-25,9.16,9.28,8.86,9.03,2001800,8.9397
2016-02-24,8.91,9.19,8.70,9.10,901700,9.009
2016-02-23,9.00,9.10,8.60,9.07,944900,8.9793
2016-02-22,9.01,9.21,8.85,9.01,1454800,8.9199
2016-02-19,8.94,9.01,8.58,8.96,701300,8.8704
2016-02-18,8.85,9.02,8.32,8.98,1292000,8.8902
2016-02-17,8.31,8.94,8.23,8.78,1905700,8.6922
2016-02-16,8.60,8.65,7.96,8.25,2007700,8.1675
2016-02-12,8.64,8.84,8.41,8.54,1472600,8.4546
2016-02-11,9.19,9.25,8.60,8.68,1096200,8.5932
2016-02-10,9.15,9.85,9.00,9.38,826200,9.2862
2016-02-09,8.91,9.18,8.70,8.97,1087900,8.8803
2016-02-08,9.40,9.40,8.65,9.09,1412700,8.9991
2016-02-05,9.73,9.75,9.18,9.62,885000,9.5238
2016-02-04,9.35,9.82,9.21,9.75,621700,9.6525
2016-02-03,9.53,9.65,8.93,9.34,574600,9.2466
2016-02-02,9.86,9.86,9.40,9.49,552100,9.3951
2016-02-01,9.63,10.06,9.55,9.94,923000,9.8406
2016-01-29,9.17,9.69,9.06,9.66,888500,9.5634
2016-01-28,10.00,10.01,9.06,9.11,599800,9.0189
2016-01-27,9.50,10.05,9.43,9.73,1149200,9.6327
2016-01-26,9.10,9.60,8.91,9.55,874300,9.4545
2016-01-25,9.62,9.71,8.89,8.94,1141500,8.8506
2016-01-22,9.99,10.01,9.27,9.70,1042000,9.603
2016-01-21,10.03,10.50,9.62,9.77,1143900,9.672301
2016-01-20,9.40,10.06,8.55,10.03,1553300,9.9297
2016-01-19,10.08,10.08,9.40,9.54,1231700,9.4446
2016-01-15,9.92,9.97,9.40,9.95,1890000,9.8505
2016-01-14,9.11,10.51,9.03,10.25,3646300,10.1475
2016-01-13,9.53,9.69,8.45,8.98,3684400,8.8902
2016-01-12,10.19,10.47,9.23,9.53,1425400,9.4347
2016-01-11,10.35,10.35,9.92,10.09,902300,9.9891
2016-01-08,10.58,10.67,10.12,10.14,875900,10.0386
2016-01-07,11.19,11.34,10.43,10.53,1536000,10.4247
2016-01-06,11.82,11.95,11.37,11.40,1242500,11.286
2016-01-05,11.84,12.06,11.81,11.91,831300,11.7909
2016-01-04,11.69,11.93,11.33,11.83,1061200,11.7117
