Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,24.690001,24.860001,24.540001,24.84,839100,24.84
2016-04-18,25.030001,25.120001,24.48,24.58,1000700,24.58
2016-04-15,25.030001,25.309999,24.99,25.059999,596800,25.059999
2016-04-14,25.08,25.290001,24.85,25.110001,775200,25.110001
2016-04-13,24.809999,25.049999,24.74,25.049999,816600,25.049999
2016-04-12,24.40,24.85,24.209999,24.559999,830700,24.559999
2016-04-11,23.959999,24.49,23.85,24.280001,994000,24.280001
2016-04-08,23.690001,24.280001,23.58,23.82,940700,23.82
2016-04-07,23.690001,23.780001,23.34,23.51,1263300,23.51
2016-04-06,23.559999,23.85,23.23,23.799999,860000,23.799999
2016-04-05,24.049999,24.17,23.18,23.620001,1956200,23.620001
2016-04-04,24.389999,24.620001,23.98,24.24,1999700,24.24
2016-04-01,25.08,25.23,24.120001,24.32,1528800,24.32
2016-03-31,25.42,25.719999,25.290001,25.309999,1684300,25.309999
2016-03-30,25.50,25.809999,25.35,25.379999,791200,25.379999
2016-03-29,24.60,25.48,24.35,25.40,1726200,25.40
2016-03-28,24.870001,25.23,24.65,25.16,936400,24.710001
2016-03-24,24.34,24.90,24.10,24.85,984100,24.405546
2016-03-23,25.27,25.290001,24.540001,24.549999,924500,24.11091
2016-03-22,25.48,25.549999,25.09,25.280001,1072000,24.827855
2016-03-21,25.57,26.00,25.52,25.620001,913600,25.161774
2016-03-18,25.809999,26.34,25.67,25.780001,2254300,25.318912
2016-03-17,25.76,25.84,25.030001,25.700001,1310500,25.240343
2016-03-16,25.030001,25.75,24.92,25.719999,1063200,25.259984
2016-03-15,25.52,25.52,24.85,25.08,837200,24.631431
2016-03-14,25.27,25.700001,25.10,25.629999,1537100,25.171594
2016-03-11,24.700001,25.18,24.360001,25.09,1864600,24.641253
2016-03-10,25.540001,25.540001,24.15,24.40,1942000,23.963593
2016-03-09,25.620001,25.620001,25.10,25.32,899000,24.867139
2016-03-08,26.530001,26.60,25.360001,25.41,1203200,24.955529
2016-03-07,26.309999,26.85,26.27,26.67,1309000,26.192994
