Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,8.14,8.15,8.09,8.14,117100,8.14
2016-04-18,8.18,8.20,8.16,8.20,65300,8.14
2016-04-15,8.17,8.19,8.16,8.16,56000,8.100293
2016-04-14,8.13,8.19,8.13,8.19,55400,8.130073
2016-04-13,8.11,8.16,8.11,8.16,69200,8.100293
2016-04-12,8.09,8.13,8.09,8.10,116200,8.040732
2016-04-11,8.12,8.13,8.10,8.10,49400,8.040732
2016-04-08,8.13,8.13,8.10,8.10,66900,8.040732
2016-04-07,8.12,8.15,8.08,8.11,114500,8.050658
2016-04-06,8.11,8.17,8.11,8.17,150000,8.11022
2016-04-05,8.06,8.16,8.06,8.16,190300,8.100293
2016-04-04,8.13,8.15,8.10,8.12,72300,8.060585
2016-04-01,8.09,8.14,8.09,8.11,94500,8.050658
2016-03-31,8.12,8.14,8.11,8.13,66600,8.070512
2016-03-30,8.07,8.10,8.07,8.09,94900,8.030805
2016-03-29,8.00,8.09,8.00,8.07,99200,8.010951
2016-03-28,8.07,8.09,8.03,8.05,59600,7.991098
2016-03-24,8.13,8.13,8.04,8.06,60700,8.001025
2016-03-23,8.14,8.20,8.11,8.14,190400,8.080439
2016-03-22,8.18,8.19,8.15,8.17,117900,8.11022
2016-03-21,8.12,8.18,8.11,8.18,118000,8.120147
2016-03-18,8.10,8.16,8.10,8.11,268500,8.050658
2016-03-17,8.10,8.13,8.08,8.12,106100,8.060585
2016-03-16,8.04,8.12,8.04,8.12,90000,8.060585
2016-03-15,8.07,8.07,8.04,8.07,36000,8.010951
2016-03-14,8.10,8.14,8.08,8.12,35500,8.003009
2016-03-11,8.07,8.11,8.07,8.11,93100,7.993153
2016-03-10,8.10,8.10,8.05,8.08,77600,7.963586
2016-03-09,8.05,8.08,8.05,8.08,70100,7.963586
2016-03-08,8.03,8.06,8.03,8.05,70200,7.934018
2016-03-07,8.04,8.08,8.03,8.08,190200,7.963586
2016-03-04,7.96,8.05,7.96,8.05,134800,7.934018
2016-03-03,7.94,8.00,7.93,8.00,127000,7.884738
2016-03-02,7.93,7.95,7.86,7.95,95600,7.835459
2016-03-01,7.81,7.94,7.80,7.94,197500,7.825603
2016-02-29,7.76,7.84,7.75,7.81,144800,7.697476
2016-02-26,7.74,7.75,7.71,7.75,48400,7.63834
2016-02-25,7.68,7.71,7.67,7.71,205200,7.598917
2016-02-24,7.64,7.72,7.62,7.70,209200,7.589061
2016-02-23,7.60,7.68,7.60,7.68,152700,7.569349
2016-02-22,7.56,7.63,7.56,7.61,132200,7.500358
2016-02-19,7.51,7.57,7.51,7.56,101000,7.451078
2016-02-18,7.55,7.57,7.52,7.57,188500,7.460934
2016-02-17,7.48,7.52,7.48,7.52,103600,7.411654
2016-02-16,7.45,7.49,7.44,7.44,66600,7.332807
2016-02-12,7.48,7.50,7.42,7.50,72100,7.333792
2016-02-11,7.50,7.50,7.38,7.44,100400,7.275122
2016-02-10,7.56,7.60,7.52,7.52,60100,7.353349
2016-02-09,7.53,7.58,7.52,7.55,83500,7.382685
2016-02-08,7.58,7.65,7.51,7.59,150600,7.421798
2016-02-05,7.64,7.68,7.61,7.62,54900,7.451133
2016-02-04,7.67,7.70,7.62,7.66,71100,7.490247
2016-02-03,7.68,7.72,7.65,7.69,117900,7.519582
2016-02-02,7.75,7.75,7.66,7.68,96100,7.509803
2016-02-01,7.79,7.81,7.75,7.78,110600,7.607588
2016-01-29,7.72,7.82,7.70,7.81,115200,7.636922
2016-01-28,7.65,7.73,7.63,7.70,135000,7.52936
2016-01-27,7.58,7.68,7.58,7.65,189200,7.480468
2016-01-26,7.54,7.62,7.54,7.62,222300,7.451133
2016-01-25,7.55,7.56,7.51,7.53,192200,7.363128
2016-01-22,7.48,7.57,7.48,7.54,141600,7.372906
2016-01-21,7.37,7.47,7.34,7.45,150300,7.2849
2016-01-20,7.48,7.48,7.27,7.38,231600,7.216452
2016-01-19,7.55,7.55,7.46,7.48,132700,7.314236
2016-01-15,7.59,7.63,7.54,7.56,189300,7.333793
2016-01-14,7.68,7.75,7.62,7.69,172300,7.459903
2016-01-13,7.78,7.80,7.72,7.73,132500,7.498706
2016-01-12,7.81,7.81,7.76,7.80,118200,7.566612
2016-01-11,7.83,7.83,7.79,7.81,191200,7.576312
2016-01-08,7.80,7.85,7.76,7.83,648400,7.595714
2016-01-07,7.73,7.81,7.73,7.80,537200,7.566612
2016-01-06,7.67,7.82,7.66,7.73,956300,7.498706
2016-01-05,7.60,7.70,7.60,7.69,1082100,7.459903
2016-01-04,7.59,7.68,7.53,7.58,963800,7.353194
2015-12-31,7.63,7.67,7.61,7.62,876000,7.391997
2015-12-30,7.65,7.71,7.63,7.63,512200,7.401698
2015-12-29,7.65,7.73,7.65,7.68,325700,7.450202
2015-12-28,7.62,7.71,7.62,7.65,403900,7.4211
2015-12-24,7.80,7.80,7.69,7.72,413200,7.489005
2015-12-23,7.73,7.84,7.73,7.77,377900,7.537509
2015-12-22,7.75,7.77,7.68,7.73,479900,7.498706
2015-12-21,7.79,7.81,7.69,7.75,273300,7.518108
2015-12-18,7.76,7.80,7.76,7.78,133200,7.54721
2015-12-17,7.68,7.79,7.68,7.75,244700,7.518108
2015-12-16,7.59,7.73,7.59,7.71,233300,7.479305
2015-12-15,7.44,7.64,7.44,7.58,146300,7.353194
2015-12-14,7.60,7.63,7.47,7.52,249500,7.234845
2015-12-11,7.81,7.81,7.59,7.64,248300,7.350294
2015-12-10,7.88,7.88,7.80,7.82,86100,7.523469
2015-12-09,7.90,7.91,7.85,7.87,46900,7.571573
2015-12-08,7.86,7.90,7.84,7.86,94200,7.561952
2015-12-07,7.90,7.93,7.84,7.86,70200,7.561952
2015-12-04,7.90,7.95,7.90,7.93,41900,7.629298
2015-12-03,7.99,8.01,7.88,7.92,234500,7.619677
2015-12-02,8.04,8.05,7.98,7.98,68400,7.677402
2015-12-01,7.94,8.08,7.93,8.02,166500,7.715885
2015-11-30,8.03,8.05,7.92,7.92,205200,7.619677
2015-11-27,8.02,8.03,7.99,8.00,157100,7.696643
2015-11-25,7.98,8.03,7.98,8.01,159100,7.706264
2015-11-24,8.01,8.02,7.99,7.99,54200,7.687022
2015-11-23,8.03,8.05,8.00,8.02,72400,7.715885
2015-11-20,8.01,8.06,8.01,8.05,120200,7.744748
2015-11-19,7.99,8.04,7.99,8.03,88300,7.725506
2015-11-18,8.01,8.05,7.99,8.01,197800,7.706264
2015-11-17,8.05,8.05,8.00,8.02,42400,7.715885
2015-11-16,8.08,8.12,8.08,8.10,71500,7.733203
2015-11-13,8.07,8.12,8.04,8.12,113600,7.752296
2015-11-12,8.14,8.14,8.09,8.09,64700,7.723655
2015-11-11,8.16,8.17,8.13,8.13,51600,7.761844
2015-11-10,8.16,8.18,8.12,8.14,69900,7.771391
2015-11-09,8.25,8.25,8.14,8.16,96100,7.790485
2015-11-06,8.28,8.29,8.20,8.25,94600,7.87641
2015-11-05,8.28,8.30,8.27,8.29,309100,7.914598
2015-11-04,8.22,8.30,8.22,8.28,152700,7.905051
2015-11-03,8.25,8.26,8.21,8.25,267700,7.87641
2015-11-02,8.27,8.27,8.25,8.27,206600,7.895504
2015-10-30,8.24,8.30,8.20,8.26,345300,7.885957
2015-10-29,8.22,8.25,8.21,8.21,146900,7.838221
2015-10-28,8.24,8.27,8.20,8.22,201400,7.847768
2015-10-27,8.18,8.26,8.16,8.23,346100,7.857315
2015-10-26,8.21,8.21,8.16,8.16,91200,7.790485
2015-10-23,8.20,8.21,8.16,8.20,147400,7.828674
2015-10-22,8.11,8.21,8.11,8.18,117200,7.80958
2015-10-21,8.14,8.18,8.13,8.13,90400,7.761844
2015-10-20,8.14,8.16,8.13,8.14,68800,7.771391
2015-10-19,8.10,8.19,8.07,8.13,123800,7.761844
2015-10-16,8.03,8.12,8.03,8.09,103200,7.723655
2015-10-15,8.02,8.07,7.97,8.03,176400,7.666372
2015-10-14,8.04,8.06,8.02,8.03,113700,7.666372
2015-10-13,8.04,8.11,8.02,8.04,150300,7.675919
2015-10-12,8.13,8.25,8.10,8.14,101100,7.711244
2015-10-09,8.03,8.35,8.03,8.18,153200,7.749137
2015-10-08,7.89,8.03,7.88,8.03,145900,7.607038
2015-10-07,7.86,7.95,7.82,7.95,88100,7.531252
2015-10-06,7.76,7.86,7.76,7.86,144700,7.445992
2015-10-05,7.76,7.84,7.72,7.77,380700,7.360733
2015-10-02,7.71,7.75,7.64,7.74,137700,7.332313
2015-10-01,7.70,7.80,7.68,7.75,331400,7.341786
2015-09-30,7.85,7.89,7.74,7.75,247500,7.341786
2015-09-29,7.89,7.92,7.77,7.82,151100,7.408099
2015-09-28,8.05,8.05,7.91,7.91,93600,7.493358
2015-09-25,8.07,8.13,8.04,8.05,92100,7.625985
2015-09-24,8.04,8.10,7.98,8.05,260500,7.625985
2015-09-23,8.08,8.11,8.06,8.06,74100,7.635458
2015-09-22,8.02,8.10,8.01,8.09,125000,7.663878
2015-09-21,8.06,8.09,8.05,8.05,60800,7.625985
2015-09-18,8.03,8.06,8.01,8.03,46200,7.607038
2015-09-17,7.95,8.10,7.94,8.10,110100,7.673351
2015-09-16,7.97,8.00,7.94,7.96,88000,7.540725
2015-09-15,7.98,8.00,7.93,7.95,216400,7.531252
2015-09-14,8.10,8.10,8.03,8.04,191300,7.555882
2015-09-11,8.08,8.09,8.06,8.09,73600,7.602871
2015-09-10,8.06,8.10,8.04,8.05,65800,7.56528
2015-09-09,8.08,8.09,8.02,8.04,86500,7.555882
2015-09-08,8.15,8.17,8.07,8.07,240100,7.584075
2015-09-04,8.18,8.22,8.13,8.13,88600,7.640463
2015-09-03,8.22,8.24,8.22,8.24,73600,7.743839
2015-09-02,8.16,8.21,8.15,8.21,60100,7.715646
2015-09-01,8.07,8.20,8.07,8.19,94200,7.69685
2015-08-31,8.18,8.19,8.06,8.10,185400,7.61227
2015-08-28,8.09,8.19,8.09,8.18,102200,7.687452
2015-08-27,8.07,8.13,8.07,8.13,109400,7.640463
2015-08-26,8.08,8.10,8.04,8.07,150700,7.584075
2015-08-25,8.00,8.10,7.96,8.08,148600,7.593473
2015-08-24,7.78,7.96,7.78,7.94,526600,7.461903
2015-08-21,8.17,8.18,8.04,8.07,134400,7.584075
2015-08-20,8.19,8.23,8.15,8.15,80200,7.659258
2015-08-19,8.21,8.23,8.19,8.23,52900,7.734441
2015-08-18,8.19,8.23,8.19,8.21,67300,7.715646
2015-08-17,8.40,8.40,8.25,8.28,98700,7.720344
2015-08-14,8.37,8.40,8.35,8.39,20100,7.82291
2015-08-13,8.36,8.39,8.35,8.37,55800,7.804261
2015-08-12,8.31,8.51,8.29,8.39,85300,7.82291
2015-08-11,8.29,8.33,8.29,8.33,67800,7.766965
2015-08-10,8.43,8.44,8.30,8.30,88700,7.738993
2015-08-07,8.41,8.47,8.37,8.41,126600,7.841557
2015-08-06,8.38,8.43,8.35,8.42,103700,7.850882
2015-08-05,8.36,8.43,8.36,8.41,96100,7.841557
2015-08-04,8.31,8.38,8.31,8.38,92400,7.813585
2015-08-03,8.42,8.51,8.39,8.39,128600,7.82291
2015-07-31,8.44,8.47,8.41,8.42,127400,7.850882
2015-07-30,8.34,8.41,8.32,8.41,99400,7.841557
2015-07-29,8.28,8.37,8.27,8.36,79400,7.794937
2015-07-28,8.20,8.27,8.15,8.25,161400,7.692372
2015-07-27,8.27,8.29,8.15,8.16,188000,7.608455
2015-07-24,8.39,8.43,8.27,8.28,104900,7.720344
2015-07-23,8.49,8.49,8.38,8.41,90700,7.841557
2015-07-22,8.53,8.53,8.45,8.47,101900,7.897502
2015-07-21,8.55,8.55,8.48,8.54,80400,7.962771
2015-07-20,8.58,8.58,8.53,8.53,40900,7.953446
2015-07-17,8.55,8.59,8.55,8.59,64000,8.009391
2015-07-16,8.62,8.62,8.53,8.58,207400,8.000067
2015-07-15,8.57,8.64,8.56,8.61,157400,8.028039
2015-07-14,8.54,8.58,8.53,8.56,195500,7.981419
2015-07-13,8.60,8.63,8.55,8.63,112800,7.985149
2015-07-10,8.62,8.63,8.55,8.63,136000,7.985149
2015-07-09,8.58,8.61,8.58,8.61,91800,7.966643
2015-07-08,8.55,8.58,8.54,8.58,72300,7.938885
2015-07-07,8.54,8.62,8.54,8.62,124600,7.975896
2015-07-06,8.52,8.56,8.51,8.56,90900,7.92038
2015-07-02,8.53,8.59,8.53,8.56,34300,7.92038
2015-07-01,8.47,8.58,8.47,8.53,137300,7.892621
2015-06-30,8.51,8.58,8.43,8.47,239100,7.837104
2015-06-29,8.63,8.63,8.39,8.40,121200,7.772334
2015-06-26,8.69,8.69,8.61,8.67,79100,8.02216
2015-06-25,8.70,8.71,8.68,8.68,92100,8.031413
2015-06-24,8.62,8.70,8.60,8.69,108200,8.040665
2015-06-23,8.65,8.66,8.62,8.63,116600,7.985149
2015-06-22,8.67,8.69,8.65,8.68,81200,8.031413
2015-06-19,8.63,8.68,8.63,8.66,64200,8.012907
2015-06-18,8.63,8.66,8.61,8.65,121900,8.003654
2015-06-17,8.69,8.69,8.63,8.67,126700,8.02216
2015-06-16,8.68,8.71,8.66,8.70,93500,8.049918
2015-06-15,8.69,8.77,8.69,8.77,107400,8.052695
2015-06-12,8.73,8.78,8.67,8.74,106900,8.025148
2015-06-11,8.81,8.81,8.77,8.78,130000,8.061876
2015-06-10,8.76,8.81,8.74,8.81,176900,8.089423
2015-06-09,8.83,8.84,8.74,8.80,193800,8.080241
2015-06-08,8.86,8.87,8.81,8.85,144900,8.126151
2015-06-05,8.89,8.89,8.85,8.86,77300,8.135333
2015-06-04,8.88,8.89,8.83,8.89,139900,8.16288
2015-06-03,8.95,8.95,8.89,8.91,64400,8.181243
2015-06-02,8.95,8.98,8.93,8.98,71700,8.245518
2015-06-01,8.92,8.97,8.89,8.97,92100,8.236336
2015-05-29,8.92,8.92,8.88,8.90,141700,8.172061
2015-05-28,8.91,8.92,8.89,8.90,59600,8.172061
2015-05-27,8.91,8.92,8.88,8.92,85600,8.190426
2015-05-26,8.88,8.91,8.87,8.91,92700,8.181243
2015-05-22,8.98,8.98,8.87,8.92,122100,8.190426
2015-05-21,8.87,8.89,8.85,8.89,60000,8.16288
2015-05-20,8.85,8.89,8.83,8.89,86600,8.16288
2015-05-19,8.84,8.88,8.82,8.84,136100,8.116969
2015-05-18,8.82,8.84,8.81,8.84,56600,8.116969
2015-05-15,8.82,8.84,8.81,8.84,87400,8.116969
