Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,24.10,24.138,24.00,24.049999,7800,24.049999
2016-04-18,23.90,24.10,23.90,23.950001,3600,23.950001
2016-04-15,24.00,24.01,23.690001,23.950001,11600,23.950001
2016-04-14,24.15,24.25,24.00,24.00,10900,24.00
2016-04-13,24.35,24.35,24.347,24.35,1100,24.35
2016-04-12,24.327999,24.450001,24.24,24.450001,3500,24.450001
2016-04-11,24.40,24.43,24.200001,24.34,5100,24.34
2016-04-08,24.35,24.35,24.299999,24.299999,700,24.299999
2016-04-07,24.290001,24.290001,24.200001,24.280001,1600,24.280001
2016-04-06,24.200001,24.236,24.200001,24.236,1900,24.236
2016-04-05,24.41,24.417999,24.200001,24.304001,6400,24.304001
2016-04-04,24.450001,24.48,24.40,24.469,6400,24.469
2016-04-01,24.209999,24.49,24.209999,24.41,1900,24.41
2016-03-31,24.559999,24.85,24.50,24.50,5800,24.50
2016-03-30,24.60,24.65,24.51,24.559999,3200,24.559999
2016-03-29,24.25,24.60,24.25,24.60,1900,24.60
2016-03-28,23.940001,24.74,23.937,24.690001,10900,24.690001
2016-03-24,23.90,23.927,23.85,23.85,3900,23.85
2016-03-23,24.299999,24.299999,23.91,23.91,10200,23.91
2016-03-22,24.299999,24.299999,24.26,24.299999,2100,24.299999
2016-03-21,24.299999,24.410999,24.245001,24.25,6800,24.25
2016-03-18,24.00,24.393999,24.00,24.393999,4400,24.393999
2016-03-17,23.969999,24.50,23.93,24.15,4100,24.15
2016-03-16,23.60,23.60,23.50,23.599001,2300,23.599001
2016-03-15,23.700001,23.700001,23.677999,23.677999,400,23.677999
2016-03-14,23.34,23.49,23.34,23.40,3200,23.40
2016-03-11,23.51,23.700001,23.50,23.50,2300,23.50
2016-03-10,23.77,23.77,23.50,23.50,8700,23.50
2016-03-09,24.610001,24.610001,23.700001,23.790001,1400,23.790001
2016-03-08,23.77,23.77,23.51,23.735001,2400,23.735001
2016-03-07,24.10,24.25,23.879999,23.879999,2800,23.879999
2016-03-04,24.200001,24.49,24.040001,24.040001,7700,24.040001
2016-03-03,23.76,24.00,23.76,23.84,2700,23.84
2016-03-02,23.50,24.50,23.50,23.75,10800,23.75
2016-03-01,22.73,25.00,22.73,23.50,9200,23.50
2016-02-29,22.504,22.74,22.41,22.58,10900,22.58
2016-02-26,21.969999,23.379999,21.969999,22.51,39000,22.51
2016-02-25,22.059999,22.52,22.059999,22.50,15700,22.50
2016-02-24,22.10,22.739,22.00,22.049999,52200,22.049999
2016-02-23,22.219999,22.49,22.10,22.10,10900,22.10
2016-02-22,22.52,22.549999,22.200001,22.48,17600,22.48
2016-02-19,22.549999,22.60,22.50,22.50,16500,22.50
2016-02-18,22.629999,22.700001,22.549999,22.549999,1800,22.549999
2016-02-17,22.612,22.75,22.611,22.74,3400,22.74
2016-02-16,22.75,22.82,22.549999,22.75,3900,22.75
2016-02-12,22.25,22.51,22.040001,22.110001,17300,22.110001
2016-02-11,22.50,22.969999,22.040001,22.23,36700,22.23
2016-02-10,24.00,24.247999,22.700001,22.700001,58000,22.700001
2016-02-09,24.309999,24.440001,24.129999,24.15,5400,24.15
2016-02-08,24.299999,24.40,24.299999,24.40,1400,24.40
2016-02-05,24.49,24.49,24.42,24.42,1800,24.42
2016-02-04,24.41,24.43,24.40,24.40,6400,24.40
2016-02-03,24.299999,24.389999,24.299999,24.389999,4700,24.389999
2016-02-02,24.360001,24.389999,24.299999,24.299999,5800,24.299999
2016-02-01,24.389999,24.389999,24.320999,24.389999,8300,24.389999
2016-01-29,24.50,24.50,24.32,24.42,6800,24.42
2016-01-28,24.370001,24.379999,24.309999,24.309999,600,24.309999
2016-01-27,24.48,24.48,24.424999,24.440001,4000,24.440001
2016-01-26,24.49,24.49,24.26,24.450001,9300,24.450001
2016-01-25,24.389999,24.709999,24.00,24.40,13000,24.40
2016-01-22,24.01,24.290001,24.01,24.25,1900,24.25
2016-01-21,24.25,24.299999,23.90,24.299999,12300,24.299999
2016-01-20,24.200001,24.292,23.799999,24.25,16200,24.25
2016-01-19,23.809999,24.35,23.809999,24.280001,4600,24.280001
2016-01-15,24.18,24.18,23.75,23.98,9800,23.98
2016-01-14,24.450001,24.450001,23.73,24.15,5300,24.15
2016-01-13,24.60,24.629999,24.50,24.50,7300,24.50
2016-01-12,24.98,24.98,24.540001,24.629999,46800,24.629999
2016-01-11,24.90,25.00,24.25,24.98,14200,24.98
2016-01-08,24.937,25.00,24.93,25.00,11200,25.00
2016-01-07,24.889999,25.00,24.620001,25.00,33700,25.00
2016-01-06,24.74,24.75,24.624001,24.73,23000,24.73
2016-01-05,24.559999,24.75,24.559999,24.700001,8600,24.700001
2016-01-04,24.639999,24.719999,24.52,24.59,20800,24.59
2015-12-31,24.639999,24.65,24.58,24.65,20800,24.65
2015-12-30,24.60,24.60,24.549999,24.60,27100,24.60
2015-12-29,24.549999,24.549999,24.40,24.50,20300,24.50
2015-12-28,24.65,24.65,24.40,24.51,8800,24.51
2015-12-24,24.549999,24.60,24.549999,24.549999,3700,24.549999
