Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,5.37,5.39,5.36,5.39,40700,5.39
2016-04-18,5.39,5.41,5.39,5.41,50500,5.376
2016-04-15,5.38,5.40,5.38,5.39,43100,5.356126
2016-04-14,5.39,5.41,5.38,5.38,53000,5.346189
2016-04-13,5.38,5.40,5.37,5.39,58700,5.356126
2016-04-12,5.39,5.40,5.38,5.38,62700,5.346189
2016-04-11,5.38,5.40,5.38,5.39,61400,5.356126
2016-04-08,5.41,5.41,5.36,5.38,68500,5.346189
2016-04-07,5.44,5.46,5.41,5.41,30300,5.376
2016-04-06,5.45,5.50,5.44,5.46,48200,5.425686
2016-04-05,5.43,5.49,5.43,5.48,45800,5.44556
2016-04-04,5.44,5.46,5.44,5.45,38100,5.415748
2016-04-01,5.47,5.50,5.43,5.44,77700,5.405812
2016-03-31,5.40,5.50,5.39,5.50,41300,5.465434
2016-03-30,5.38,5.41,5.38,5.40,42000,5.366063
2016-03-29,5.39,5.41,5.38,5.38,42300,5.346189
2016-03-28,5.46,5.47,5.40,5.40,59200,5.366063
2016-03-24,5.41,5.46,5.40,5.46,114100,5.425686
2016-03-23,5.40,5.46,5.38,5.44,49900,5.405812
2016-03-22,5.38,5.42,5.36,5.42,58900,5.385937
2016-03-21,5.39,5.42,5.36,5.38,87100,5.346189
2016-03-18,5.41,5.43,5.37,5.39,106400,5.356126
2016-03-17,5.40,5.42,5.39,5.39,40400,5.356126
2016-03-16,5.39,5.41,5.38,5.41,47100,5.376
2016-03-15,5.35,5.41,5.35,5.39,73200,5.356126
2016-03-14,5.38,5.39,5.36,5.36,33000,5.292528
2016-03-11,5.42,5.46,5.36,5.37,133700,5.302402
2016-03-10,5.43,5.46,5.39,5.43,179800,5.361647
2016-03-09,5.40,5.47,5.40,5.41,117400,5.341898
2016-03-08,5.41,5.46,5.40,5.42,98200,5.351773
2016-03-07,5.41,5.45,5.40,5.40,85000,5.332024
2016-03-04,5.39,5.41,5.38,5.40,33400,5.332024
2016-03-03,5.39,5.40,5.37,5.38,52300,5.312276
2016-03-02,5.40,5.40,5.38,5.39,36400,5.32215
2016-03-01,5.42,5.44,5.37,5.37,82200,5.302402
2016-02-29,5.42,5.46,5.36,5.40,83800,5.332024
2016-02-26,5.43,5.44,5.39,5.40,58900,5.332024
2016-02-25,5.40,5.44,5.40,5.44,43100,5.371521
2016-02-24,5.33,5.44,5.33,5.40,59900,5.332024
2016-02-23,5.40,5.45,5.32,5.35,125500,5.282654
2016-02-22,5.44,5.45,5.40,5.42,61200,5.351773
2016-02-19,5.38,5.46,5.38,5.40,79200,5.332024
2016-02-18,5.38,5.42,5.36,5.40,34000,5.332024
2016-02-17,5.41,5.42,5.32,5.40,121300,5.332024
2016-02-16,5.46,5.46,5.37,5.38,54400,5.312276
2016-02-12,5.45,5.50,5.38,5.47,150900,5.367571
2016-02-11,5.42,5.47,5.41,5.42,59800,5.318507
2016-02-10,5.42,5.43,5.39,5.43,47200,5.32832
2016-02-09,5.37,5.43,5.36,5.41,58700,5.308694
2016-02-08,5.47,5.52,5.36,5.37,64600,5.269444
2016-02-05,5.46,5.48,5.40,5.47,78700,5.367571
2016-02-04,5.44,5.50,5.41,5.46,49600,5.357758
2016-02-03,5.47,5.47,5.42,5.45,38100,5.347945
2016-02-02,5.39,5.47,5.39,5.47,89400,5.367571
2016-02-01,5.41,5.46,5.37,5.46,139200,5.357758
2016-01-29,5.39,5.43,5.37,5.40,137400,5.298882
2016-01-28,5.35,5.40,5.35,5.38,72800,5.279257
2016-01-27,5.35,5.39,5.34,5.36,102000,5.259631
2016-01-26,5.26,5.35,5.26,5.35,93500,5.249818
2016-01-25,5.32,5.36,5.28,5.29,96500,5.190942
2016-01-22,5.38,5.38,5.28,5.34,103100,5.240006
2016-01-21,5.33,5.38,5.33,5.38,91700,5.279257
2016-01-20,5.26,5.32,5.26,5.32,116300,5.22038
2016-01-19,5.31,5.32,5.29,5.30,93700,5.200755
2016-01-15,5.32,5.38,5.32,5.33,42200,5.196829
2016-01-14,5.34,5.37,5.33,5.36,62100,5.22608
2016-01-13,5.34,5.37,5.34,5.37,48500,5.23583
2016-01-12,5.36,5.38,5.35,5.37,39100,5.23583
2016-01-11,5.33,5.36,5.32,5.36,88100,5.22608
2016-01-08,5.33,5.37,5.31,5.32,73500,5.18708
2016-01-07,5.33,5.35,5.30,5.30,85300,5.167579
2016-01-06,5.33,5.37,5.31,5.33,80100,5.196829
2016-01-05,5.33,5.34,5.31,5.33,26700,5.196829
2016-01-04,5.26,5.32,5.26,5.31,104300,5.177329
2015-12-31,5.27,5.31,5.27,5.30,67200,5.167579
2015-12-30,5.28,5.29,5.24,5.29,86600,5.157829
2015-12-29,5.31,5.32,5.28,5.30,38000,5.167579
2015-12-28,5.36,5.36,5.26,5.31,51000,5.177329
2015-12-24,5.37,5.38,5.34,5.36,30700,5.22608
2015-12-23,5.30,5.38,5.30,5.38,128400,5.24558
2015-12-22,5.34,5.35,5.32,5.35,53000,5.21633
2015-12-21,5.35,5.35,5.29,5.34,41300,5.20658
2015-12-18,5.33,5.35,5.29,5.35,106400,5.21633
2015-12-17,5.25,5.34,5.23,5.34,102700,5.20658
2015-12-16,5.19,5.25,5.14,5.25,140500,5.118828
2015-12-15,5.18,5.19,5.15,5.18,109000,5.050577
2015-12-14,5.24,5.24,5.22,5.22,64900,5.056427
2015-12-11,5.24,5.26,5.21,5.24,120800,5.0758
2015-12-10,5.21,5.24,5.20,5.24,104200,5.0758
2015-12-09,5.20,5.23,5.18,5.22,72300,5.056427
2015-12-08,5.20,5.22,5.17,5.19,101300,5.027367
2015-12-07,5.24,5.24,5.04,5.17,120200,5.007994
2015-12-04,5.20,5.23,5.20,5.21,71500,5.046741
2015-12-03,5.32,5.32,5.20,5.21,108600,5.046741
2015-12-02,5.32,5.33,5.28,5.32,76300,5.153294
2015-12-01,5.26,5.32,5.23,5.32,73800,5.153294
2015-11-30,5.28,5.28,5.23,5.26,77900,5.095174
2015-11-27,5.28,5.28,5.25,5.25,22900,5.085487
2015-11-25,5.29,5.30,5.25,5.25,48100,5.085487
2015-11-24,5.32,5.33,5.29,5.30,60900,5.133921
2015-11-23,5.28,5.34,5.28,5.32,33000,5.153294
2015-11-20,5.27,5.29,5.27,5.29,61300,5.124234
2015-11-19,5.27,5.30,5.27,5.30,53300,5.133921
2015-11-18,5.28,5.28,5.27,5.27,30500,5.10486
2015-11-17,5.28,5.31,5.26,5.27,55400,5.10486
2015-11-16,5.28,5.32,5.28,5.30,39700,5.100017
2015-11-13,5.23,5.28,5.23,5.28,49900,5.080772
2015-11-12,5.22,5.26,5.22,5.25,58100,5.051904
2015-11-11,5.26,5.27,5.23,5.23,40600,5.032659
2015-11-10,5.27,5.29,5.26,5.27,53500,5.071149
2015-11-09,5.32,5.32,5.27,5.29,56400,5.090395
2015-11-06,5.32,5.33,5.30,5.30,69100,5.100017
2015-11-05,5.35,5.37,5.35,5.36,52400,5.157753
2015-11-04,5.37,5.39,5.35,5.35,65700,5.14813
2015-11-03,5.42,5.42,5.35,5.40,44200,5.196244
2015-11-02,5.40,5.42,5.37,5.42,62900,5.215489
2015-10-30,5.38,5.39,5.36,5.39,34300,5.186621
2015-10-29,5.35,5.37,5.35,5.37,46600,5.167376
2015-10-28,5.34,5.37,5.34,5.37,41300,5.167376
2015-10-27,5.35,5.37,5.33,5.35,52100,5.14813
2015-10-26,5.38,5.38,5.31,5.35,99900,5.14813
2015-10-23,5.37,5.37,5.35,5.35,29200,5.14813
2015-10-22,5.35,5.37,5.33,5.37,53000,5.167376
2015-10-21,5.34,5.35,5.32,5.35,59500,5.14813
2015-10-20,5.30,5.34,5.30,5.34,49500,5.138508
2015-10-19,5.30,5.30,5.28,5.30,33800,5.100017
2015-10-16,5.28,5.29,5.26,5.29,40700,5.090395
2015-10-15,5.23,5.30,5.23,5.28,85000,5.080772
2015-10-14,5.24,5.25,5.23,5.23,57000,5.032659
2015-10-13,5.26,5.26,5.23,5.23,52700,5.032659
2015-10-12,5.27,5.29,5.27,5.27,40100,5.03747
2015-10-09,5.29,5.29,5.27,5.28,49500,5.047029
2015-10-08,5.26,5.30,5.26,5.29,52800,5.056587
2015-10-07,5.30,5.31,5.26,5.26,70700,5.027911
2015-10-06,5.29,5.31,5.27,5.31,55400,5.075705
2015-10-05,5.37,5.37,5.25,5.29,66400,5.056587
2015-10-02,5.35,5.37,5.34,5.37,50900,5.133057
2015-10-01,5.36,5.38,5.31,5.33,50100,5.094822
2015-09-30,5.43,5.44,5.30,5.37,253200,5.133057
2015-09-29,5.36,5.44,5.36,5.43,66900,5.19041
2015-09-28,5.37,5.38,5.35,5.38,38600,5.142616
2015-09-25,5.33,5.36,5.33,5.36,61500,5.123499
2015-09-24,5.31,5.35,5.31,5.32,50100,5.085264
2015-09-23,5.28,5.32,5.28,5.31,19800,5.075705
2015-09-22,5.29,5.31,5.26,5.30,69200,5.066146
2015-09-21,5.27,5.29,5.22,5.29,45400,5.056587
2015-09-18,5.22,5.27,5.20,5.27,49100,5.03747
2015-09-17,5.16,5.23,5.16,5.23,23100,4.999235
