Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.21,14.25,14.16,14.25,39400,14.25
2016-04-18,14.16,14.22,14.07,14.18,41000,14.18
2016-04-15,14.04,14.14,14.04,14.13,35400,14.13
2016-04-14,14.06,14.14,14.03,14.04,67900,14.04
2016-04-13,14.02,14.12,13.98,14.08,66300,14.08
2016-04-12,14.10,14.16,14.08,14.15,59000,14.079999
2016-04-11,14.10,14.11,14.03,14.07,33400,14.000395
2016-04-08,14.06,14.09,14.05,14.07,93100,14.000395
2016-04-07,13.96,14.05,13.96,14.03,34300,13.960593
2016-04-06,13.99,14.07,13.99,14.05,34100,13.980495
2016-04-05,13.95,13.98,13.89,13.97,71800,13.900891
2016-04-04,13.95,13.95,13.92,13.95,27500,13.880989
2016-04-01,13.96,14.00,13.90,13.94,42300,13.871038
2016-03-31,13.95,14.02,13.95,13.98,58500,13.91084
2016-03-30,13.98,14.00,13.92,13.97,42300,13.900891
2016-03-29,13.92,13.95,13.86,13.94,70700,13.871038
2016-03-28,13.89,13.90,13.83,13.87,29900,13.801385
2016-03-24,13.78,13.84,13.75,13.84,31900,13.771534
2016-03-23,13.74,13.81,13.64,13.76,70100,13.691929
2016-03-22,13.71,13.75,13.66,13.74,27500,13.672028
2016-03-21,13.60,13.69,13.60,13.67,20800,13.602374
2016-03-18,13.69,13.69,13.60,13.61,36800,13.542671
2016-03-17,13.74,13.75,13.65,13.66,47700,13.592424
2016-03-16,13.68,13.72,13.67,13.70,30100,13.632226
2016-03-15,13.72,13.73,13.63,13.66,35400,13.592424
2016-03-14,13.70,13.70,13.61,13.70,40800,13.632226
2016-03-11,13.73,13.75,13.70,13.71,62500,13.572523
2016-03-10,13.65,13.72,13.63,13.71,52000,13.572523
2016-03-09,13.60,13.69,13.56,13.63,37300,13.493325
2016-03-08,13.59,13.66,13.55,13.60,38400,13.463626
2016-03-07,13.53,13.63,13.45,13.56,70000,13.424027
2016-03-04,13.70,13.74,13.45,13.47,202500,13.334929
2016-03-03,13.71,13.74,13.64,13.70,80700,13.562623
2016-03-02,13.68,13.69,13.55,13.67,41200,13.532924
2016-03-01,13.60,13.65,13.57,13.65,83000,13.513124
2016-02-29,13.49,13.59,13.49,13.56,77300,13.424027
2016-02-26,13.44,13.47,13.38,13.42,44700,13.285431
2016-02-25,13.41,13.45,13.36,13.43,87400,13.295331
2016-02-24,13.37,13.42,13.35,13.41,89000,13.275531
2016-02-23,13.27,13.32,13.27,13.32,41700,13.186433
2016-02-22,13.27,13.29,13.24,13.24,17400,13.107235
2016-02-19,13.24,13.32,13.24,13.27,64100,13.136935
2016-02-18,13.25,13.25,13.21,13.24,55700,13.107235
2016-02-17,13.21,13.25,13.20,13.25,93500,13.117135
2016-02-16,13.30,13.31,13.18,13.18,94400,13.047837
2016-02-12,13.39,13.43,13.35,13.39,64200,13.186434
2016-02-11,13.38,13.43,13.34,13.34,98400,13.137194
2016-02-10,13.38,13.44,13.34,13.34,64800,13.137194
2016-02-09,13.41,13.48,13.33,13.35,59100,13.147042
2016-02-08,13.36,13.36,13.33,13.35,49700,13.147042
2016-02-05,13.39,13.42,13.30,13.38,43600,13.176586
2016-02-04,13.42,13.46,13.38,13.38,32800,13.176586
2016-02-03,13.29,13.40,13.27,13.40,91800,13.196281
2016-02-02,13.40,13.41,13.24,13.29,90700,13.087954
2016-02-01,13.23,13.36,13.20,13.32,84100,13.117497
2016-01-29,13.21,13.30,13.21,13.28,87100,13.078105
2016-01-28,13.14,13.21,13.08,13.21,30900,13.00917
2016-01-27,13.08,13.14,13.07,13.11,22900,12.91069
2016-01-26,13.03,13.08,12.96,13.08,38600,12.881146
2016-01-25,13.07,13.10,12.99,13.00,59700,12.802363
2016-01-22,12.94,13.07,12.93,13.03,45000,12.831906
2016-01-21,12.89,12.93,12.86,12.92,47000,12.723579
2016-01-20,12.95,12.96,12.81,12.83,111200,12.634947
2016-01-19,12.97,13.04,12.93,12.93,44300,12.733427
2016-01-15,12.89,13.08,12.89,13.02,93400,12.822059
2016-01-14,12.98,13.00,12.87,12.90,184200,12.703882
2016-01-13,13.13,13.14,12.95,12.95,201000,12.753123
2016-01-12,13.18,13.22,13.13,13.15,102700,12.881146
2016-01-11,13.27,13.29,13.14,13.18,93100,12.910534
2016-01-08,13.28,13.33,13.27,13.30,135400,13.02808
2016-01-07,13.38,13.41,13.26,13.29,139400,13.018284
2016-01-06,13.30,13.42,13.30,13.36,56000,13.086853
2016-01-05,13.17,13.33,13.17,13.29,146000,13.018284
2016-01-04,13.10,13.19,13.10,13.19,40300,12.920329
2015-12-31,13.11,13.20,13.06,13.06,68900,12.792987
2015-12-30,13.14,13.19,13.08,13.11,140700,12.841964
2015-12-29,13.10,13.19,13.10,13.14,43600,12.871352
2015-12-28,13.03,13.17,13.03,13.14,63800,12.871352
2015-12-24,13.01,13.11,12.92,13.05,75400,12.783192
2015-12-23,13.11,13.16,13.01,13.04,84200,12.773396
2015-12-22,13.06,13.12,12.98,13.11,84800,12.841964
2015-12-21,13.12,13.18,13.06,13.13,45000,12.861556
2015-12-18,13.08,13.16,13.00,13.13,70400,12.861556
2015-12-17,12.91,13.09,12.91,13.04,71300,12.773396
2015-12-16,12.80,12.95,12.80,12.92,95500,12.655849
2015-12-15,12.84,12.88,12.73,12.84,43100,12.577485
2015-12-14,12.93,12.98,12.71,12.78,142500,12.518711
2015-12-11,13.11,13.12,12.97,12.98,91700,12.714622
2015-12-10,13.06,13.12,13.00,13.08,48700,12.812578
2015-12-09,13.15,13.19,13.07,13.15,39100,12.812577
2015-12-08,13.17,13.18,13.06,13.15,47300,12.812577
2015-12-07,13.15,13.20,13.14,13.18,24100,12.841808
2015-12-04,13.13,13.19,13.13,13.18,30200,12.841808
2015-12-03,13.27,13.27,13.14,13.15,55000,12.812577
2015-12-02,13.33,13.33,13.25,13.28,35300,12.939242
2015-12-01,13.25,13.31,13.25,13.31,86400,12.968472
2015-11-30,13.21,13.25,13.18,13.22,76400,12.880782
2015-11-27,13.19,13.20,13.15,13.18,21800,12.841808
2015-11-25,12.97,13.19,12.97,13.19,50300,12.851551
2015-11-24,13.07,13.10,12.96,12.97,44500,12.637197
2015-11-23,12.98,13.06,12.95,13.02,37000,12.685914
2015-11-20,13.00,13.03,12.93,12.97,39500,12.637197
2015-11-19,12.96,13.03,12.95,12.95,29500,12.617709
2015-11-18,13.00,13.03,12.92,12.95,54200,12.617709
2015-11-17,13.16,13.20,13.02,13.03,26700,12.695656
2015-11-16,13.16,13.20,13.08,13.09,35300,12.754117
2015-11-13,13.10,13.24,13.08,13.20,41900,12.793091
2015-11-12,13.04,13.11,12.98,13.07,45100,12.667098
