Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.799999,25.799999,25.77,25.780001,2100,25.780001
2016-04-18,25.950001,25.950001,25.809999,25.85,1600,25.85
2016-04-15,25.90,25.950001,25.75,25.950001,3900,25.950001
2016-04-14,25.85,25.950001,25.65,25.85,5600,25.85
2016-04-13,25.98,26.24,25.93,25.940001,5700,25.940001
2016-04-12,26.10,26.120001,25.98,25.98,6400,25.98
2016-04-11,26.10,26.10,26.07,26.09,2500,26.09
2016-04-08,26.059999,26.07,25.77,26.059999,5800,26.059999
2016-04-07,25.870001,26.030001,25.870001,25.99,1900,25.99
2016-04-06,25.950001,26.02,25.91,26.00,3700,26.00
2016-04-05,25.889999,26.01,25.66,26.01,1000,26.01
2016-04-04,26.08,26.08,26.08,26.08,900,26.08
2016-04-01,25.90,26.01,25.90,26.01,800,26.01
2016-03-31,26.10,26.18,25.99,25.99,2100,25.99
2016-03-30,26.190001,26.200001,26.059999,26.059999,1200,26.059999
2016-03-29,25.889999,26.26,25.889999,26.24,9300,26.24
2016-03-28,26.08,26.08,26.00,26.02,2400,26.02
2016-03-24,25.889999,26.08,25.83,26.07,2700,26.07
2016-03-23,25.879999,25.879999,25.879999,25.879999,700,25.879999
2016-03-22,25.959999,26.08,25.84,26.07,10500,26.07
2016-03-21,26.049999,26.139999,26.00,26.059999,6200,26.059999
2016-03-18,26.139999,26.139999,26.01,26.049999,3900,26.049999
2016-03-17,25.950001,26.059999,25.90,25.940001,6300,25.940001
2016-03-16,26.09,26.10,25.940001,25.950001,2300,25.950001
2016-03-15,26.219999,26.25,26.219999,26.25,3200,26.25
2016-03-14,26.139999,26.139999,26.120001,26.120001,700,26.120001
2016-03-11,26.219999,26.219999,25.99,25.99,1400,25.99
2016-03-10,26.25,26.25,25.959999,26.08,6100,26.08
2016-03-09,26.33,26.469999,26.209999,26.40,5700,26.40
2016-03-08,26.299999,26.530001,26.299999,26.41,5300,25.91
2016-03-07,26.450001,26.450001,26.40,26.42,2400,25.919811
2016-03-04,26.27,26.280001,26.27,26.280001,1700,25.782462
2016-03-03,26.27,26.469999,26.25,26.40,4000,25.900189
2016-03-02,26.33,26.49,26.24,26.469999,6200,25.968863
2016-03-01,26.469999,26.49,26.35,26.49,4500,25.988485
2016-02-29,26.26,26.290001,26.26,26.26,1300,25.76284
2016-02-26,26.52,26.65,26.49,26.49,5100,25.988485
2016-02-25,26.25,26.32,25.93,26.32,6700,25.821704
2016-02-24,25.77,26.219999,25.50,26.10,12200,25.605869
2016-02-23,26.059999,26.26,25.290001,25.75,11500,25.262495
2016-02-22,25.98,26.299999,25.809999,26.15,9000,25.654922
2016-02-19,25.709999,26.00,25.709999,25.98,6400,25.48814
2016-02-18,25.66,26.18,25.42,26.18,7800,25.684355
2016-02-17,25.450001,25.49,25.26,25.40,5400,24.919121
2016-02-16,25.190001,25.50,24.940001,25.01,9700,24.536505
2016-02-12,25.280001,25.379999,24.85,24.870001,12500,24.399156
2016-02-11,25.049999,25.40,24.85,24.85,11000,24.379535
2016-02-10,25.02,25.219999,25.02,25.129999,12700,24.654232
2016-02-09,24.91,25.389999,24.91,25.07,14600,24.595369
2016-02-08,25.40,25.799999,25.10,25.15,7600,24.673854
2016-02-05,25.49,25.790001,25.49,25.58,3600,25.095714
2016-02-04,25.780001,25.780001,25.50,25.559999,9300,25.076092
2016-02-03,25.969999,25.969999,25.59,25.629999,5700,25.144766
2016-02-02,25.780001,26.280001,25.700001,25.809999,5700,25.321359
2016-02-01,26.370001,26.370001,25.959999,26.00,6900,25.507762
2016-01-29,26.00,26.280001,25.690001,26.190001,2300,25.694166
2016-01-28,25.85,25.969999,25.65,25.969999,6700,25.478329
2016-01-27,25.90,25.90,25.50,25.65,4400,25.164388
2016-01-26,25.389999,25.65,25.389999,25.65,12700,25.164388
2016-01-25,25.58,25.709999,25.389999,25.49,7600,25.007417
2016-01-22,25.940001,25.940001,25.469999,25.58,26100,25.095714
2016-01-21,25.780001,25.799999,25.620001,25.790001,11400,25.301739
2016-01-20,25.450001,25.969999,25.290001,25.91,23800,25.419466
2016-01-19,25.889999,25.950001,25.629999,25.85,6600,25.360602
2016-01-15,25.60,25.85,25.549999,25.620001,8700,25.134957
2016-01-14,25.68,25.809999,25.68,25.74,800,25.252684
2016-01-13,25.83,26.09,25.60,25.60,4400,25.115335
2016-01-12,26.120001,26.120001,25.809999,25.809999,1700,25.321359
2016-01-11,25.90,26.17,25.90,26.049999,5100,25.556815
2016-01-08,26.030001,26.190001,25.98,25.98,4700,25.48814
2016-01-07,25.84,26.059999,25.84,26.059999,1800,25.566626
2016-01-06,25.809999,26.129999,25.809999,26.129999,1700,25.6353
2016-01-05,26.309999,26.309999,26.120001,26.16,4700,25.664733
2016-01-04,26.35,26.469999,26.26,26.299999,5600,25.802082
2015-12-31,26.309999,26.50,26.299999,26.33,2800,25.831514
2015-12-30,26.49,26.719999,26.360001,26.360001,1500,25.860947
2015-12-29,26.57,26.73,26.42,26.42,5200,25.919811
2015-12-28,26.51,26.51,26.309999,26.50,6500,25.998296
2015-12-24,26.280001,26.370001,26.059999,26.360001,1000,25.860947
2015-12-23,25.93,26.190001,25.82,26.190001,8100,25.694166
2015-12-22,25.870001,25.879999,25.790001,25.790001,1800,25.301739
2015-12-21,25.780001,25.959999,25.780001,25.889999,2500,25.399844
2015-12-18,25.690001,25.709999,25.65,25.709999,7800,25.223252
2015-12-17,25.700001,25.83,25.65,25.65,4900,25.164388
2015-12-16,25.85,25.85,25.60,25.700001,9900,25.213443
2015-12-15,25.60,26.120001,25.60,25.860001,14300,25.370413
2015-12-14,25.74,25.940001,25.60,25.620001,7800,25.134957
2015-12-11,26.02,26.10,25.84,25.870001,16700,25.380224
2015-12-10,26.02,26.120001,25.98,26.10,17400,25.605869
2015-12-09,26.24,26.24,26.049999,26.120001,5000,25.625491
2015-12-08,26.549999,26.66,26.530001,26.60,4500,26.096403
2015-12-07,26.52,26.700001,26.52,26.620001,10000,26.116025
2015-12-04,26.66,26.66,26.42,26.549999,11100,26.047349
2015-12-03,26.610001,26.610001,26.549999,26.549999,8900,26.047349
2015-12-02,26.559999,26.66,26.549999,26.549999,5500,26.047349
2015-12-01,26.690001,26.690001,26.530001,26.559999,13000,26.05716
2015-11-30,26.549999,27.200001,26.549999,26.610001,28300,26.106214
2015-11-27,26.450001,26.940001,26.43,26.450001,6600,25.949243
2015-11-25,26.41,26.50,26.41,26.48,1400,25.978674
2015-11-24,26.73,26.74,26.469999,26.51,5700,26.008107
2015-11-23,26.76,27.02,26.66,26.67,20100,26.165078
2015-11-20,26.700001,26.74,26.559999,26.73,4000,26.223941
2015-11-19,26.559999,26.73,26.389999,26.620001,18800,26.116025
2015-11-18,26.190001,26.709999,26.049999,26.690001,19400,26.184699
2015-11-17,26.23,26.33,26.23,26.33,2500,25.831514
2015-11-16,26.40,26.40,26.309999,26.360001,2400,25.860947
2015-11-13,26.26,26.40,26.23,26.40,1700,25.900189
2015-11-12,26.15,26.40,26.15,26.280001,1500,25.782462
2015-11-11,26.18,26.40,26.18,26.379999,700,25.880567
2015-11-10,26.08,26.40,26.08,26.27,7100,25.772651
2015-11-09,26.40,26.40,26.18,26.379999,3700,25.880567
2015-11-06,26.299999,26.48,26.219999,26.389999,14000,25.890378
2015-11-05,26.299999,26.43,26.129999,26.43,8500,25.929622
2015-11-04,26.35,26.530001,26.209999,26.530001,4100,26.027729
2015-11-03,26.23,26.549999,26.190001,26.379999,7800,25.880567
2015-11-02,25.860001,26.26,25.860001,26.26,10900,25.76284
2015-10-30,25.969999,26.01,25.969999,26.00,2800,25.507762
2015-10-29,26.17,26.17,25.92,26.00,27200,25.507762
2015-10-28,26.08,26.200001,26.08,26.110001,3700,25.61568
2015-10-27,26.07,26.200001,26.02,26.08,2200,25.586248
2015-10-26,26.200001,26.299999,26.09,26.299999,5700,25.802082
2015-10-23,26.110001,26.290001,26.110001,26.18,6200,25.684355
2015-10-22,26.200001,26.200001,26.08,26.10,8000,25.605869
2015-10-21,26.10,26.190001,26.040001,26.040001,5600,25.547006
2015-10-20,26.110001,26.190001,26.030001,26.120001,6600,25.625491
2015-10-19,26.08,26.25,26.040001,26.18,2800,25.684355
2015-10-16,26.01,26.290001,26.00,26.01,7300,25.517573
2015-10-15,25.950001,26.24,25.950001,26.219999,1900,25.723596
2015-10-14,25.959999,26.280001,25.959999,26.09,7100,25.596058
2015-10-13,26.07,26.299999,25.889999,26.08,9700,25.586248
2015-10-12,25.950001,26.129999,25.950001,26.040001,3700,25.547006
2015-10-09,26.27,26.27,26.27,26.27,000,25.772651
2015-10-08,26.27,26.290001,26.27,26.27,1500,25.772651
2015-10-07,26.280001,26.280001,26.219999,26.26,2200,25.76284
2015-10-06,26.23,26.299999,26.10,26.26,5100,25.76284
2015-10-05,26.219999,26.299999,26.18,26.26,2400,25.76284
2015-10-02,26.110001,26.59,26.110001,26.26,900,25.76284
2015-10-01,26.35,26.530001,26.309999,26.48,2100,25.978674
2015-09-30,26.15,26.40,26.15,26.40,11900,25.900189
2015-09-29,26.25,26.25,26.24,26.24,2600,25.743218
2015-09-28,26.459999,26.459999,26.139999,26.17,2800,25.674544
2015-09-25,26.139999,26.16,26.139999,26.16,300,25.664733
2015-09-24,26.110001,26.25,26.110001,26.25,2600,25.753029
2015-09-23,26.16,26.26,26.16,26.26,2500,25.76284
2015-09-22,26.120001,26.290001,26.120001,26.23,3400,25.733407
2015-09-21,26.139999,26.26,26.10,26.129999,8900,25.6353
2015-09-18,26.08,26.40,26.08,26.120001,4500,25.625491
2015-09-17,25.959999,26.200001,25.959999,26.16,6300,25.664733
2015-09-16,26.02,26.190001,25.940001,26.10,6700,25.605869
2015-09-15,25.870001,26.190001,25.870001,26.059999,8200,25.566626
2015-09-14,25.91,26.07,25.85,26.00,9000,25.507762
2015-09-11,25.940001,26.01,25.82,25.83,8100,25.340981
2015-09-10,26.01,26.040001,25.73,25.83,3500,25.340981
2015-09-09,26.09,26.24,26.030001,26.059999,6200,25.566626
2015-09-08,26.870001,26.90,26.450001,26.51,11500,26.008107
2015-09-04,26.530001,26.879999,26.530001,26.809999,5800,26.302427
2015-09-03,26.57,26.92,26.57,26.73,2800,26.223941
2015-09-02,26.85,26.85,26.610001,26.719999,2100,26.21413
2015-09-01,26.26,26.959999,26.26,26.59,5600,26.086592
2015-08-31,26.549999,26.700001,26.48,26.48,2100,25.978674
2015-08-28,26.42,26.50,26.42,26.50,1800,25.998296
2015-08-27,26.219999,26.48,26.219999,26.40,10000,25.900189
2015-08-26,26.309999,26.309999,26.02,26.219999,8200,25.723596
2015-08-25,25.99,26.610001,25.809999,26.25,6000,25.753029
2015-08-24,26.559999,26.559999,26.559999,26.559999,9600,26.05716
2015-08-21,26.77,26.879999,26.77,26.879999,700,26.371101
2015-08-20,26.82,26.82,26.60,26.790001,3000,26.282807
2015-08-19,26.33,26.85,26.33,26.700001,4900,26.19451
2015-08-18,26.49,26.799999,26.49,26.57,4800,26.066971
2015-08-17,26.65,26.690001,26.530001,26.530001,3200,26.027729
2015-08-14,26.60,26.950001,26.530001,26.530001,6500,26.027729
2015-08-13,26.799999,26.83,26.620001,26.690001,2200,26.184699
2015-08-12,26.799999,26.90,26.799999,26.809999,8200,26.302427
2015-08-11,26.75,26.83,26.75,26.799999,6400,26.292616
2015-08-10,26.75,26.84,26.75,26.75,9200,26.243563
2015-08-07,26.809999,26.84,26.77,26.77,2500,26.263185
2015-08-06,26.77,26.98,26.75,26.82,4000,26.312237
2015-08-05,26.780001,26.940001,26.75,26.85,9600,26.34167
2015-08-04,26.790001,26.799999,26.76,26.790001,1900,26.282807
2015-08-03,26.91,26.91,26.799999,26.809999,2300,26.302427
2015-07-31,27.030001,27.030001,26.799999,26.879999,4200,26.371101
2015-07-30,27.09,27.15,26.76,26.799999,3800,26.292616
2015-07-29,26.84,26.959999,26.84,26.889999,2100,26.380912
2015-07-28,26.790001,27.10,26.790001,26.799999,4200,26.292616
2015-07-27,27.190001,27.190001,26.790001,26.790001,6700,26.282807
2015-07-24,27.02,27.059999,27.00,27.059999,1000,26.547694
2015-07-23,26.950001,27.17,26.950001,27.17,7600,26.655612
2015-07-22,26.799999,26.969999,26.799999,26.889999,6800,26.380912
2015-07-21,26.780001,26.799999,26.76,26.76,3700,26.253374
2015-07-20,26.639999,26.75,26.620001,26.75,3400,26.243563
2015-07-17,26.76,26.790001,26.530001,26.780001,5700,26.272996
2015-07-16,26.68,26.76,26.68,26.76,1900,26.253374
2015-07-15,26.65,26.73,26.65,26.719999,4800,26.21413
2015-07-14,26.74,26.74,26.719999,26.719999,200,26.21413
2015-07-13,26.629999,26.709999,26.629999,26.709999,1400,26.204319
2015-07-10,26.58,26.780001,26.549999,26.59,42700,26.086592
2015-07-09,26.52,26.65,26.52,26.58,700,26.076781
2015-07-08,26.75,26.75,26.50,26.51,2000,26.008107
2015-07-07,26.620001,26.74,26.620001,26.74,1300,26.233752
2015-07-06,26.620001,26.620001,26.610001,26.620001,700,26.116025
2015-07-02,26.77,26.77,26.65,26.65,600,26.145456
2015-07-01,26.58,26.639999,26.559999,26.57,1600,26.066971
2015-06-30,26.559999,26.68,26.559999,26.559999,1900,26.05716
2015-06-29,26.610001,26.639999,26.51,26.60,5200,26.096403
2015-06-26,26.43,26.709999,26.40,26.51,13200,26.008107
2015-06-25,26.60,26.709999,26.60,26.639999,6100,26.135645
2015-06-24,26.799999,26.799999,26.60,26.60,2900,26.096403
2015-06-23,26.75,26.790001,26.700001,26.790001,1800,26.282807
2015-06-22,26.73,26.77,26.700001,26.75,3300,26.243563
2015-06-19,26.60,26.73,26.60,26.719999,3500,26.21413
2015-06-18,26.76,26.799999,26.60,26.60,7100,26.096403
2015-06-17,26.620001,26.790001,26.51,26.76,8800,26.253374
2015-06-16,26.52,26.620001,26.52,26.620001,7600,26.116025
2015-06-15,26.41,26.620001,26.360001,26.549999,5300,26.047349
2015-06-12,26.50,26.620001,26.50,26.60,7200,26.096403
2015-06-11,26.50,26.620001,26.50,26.50,5300,25.998296
2015-06-10,26.40,26.67,26.280001,26.50,6700,25.998296
2015-06-09,26.66,26.799999,26.66,26.799999,8100,26.292616
2015-06-08,26.65,26.799999,26.610001,26.799999,3700,26.292616
2015-06-05,26.559999,26.799999,26.559999,26.610001,4400,26.106214
2015-06-04,26.60,26.629999,26.60,26.629999,500,26.125834
2015-06-03,26.74,26.799999,26.73,26.790001,6000,26.282807
2015-06-02,26.700001,26.74,26.459999,26.67,4400,26.165078
2015-06-01,26.90,26.90,26.629999,26.719999,5000,26.21413
2015-05-29,26.540001,26.90,26.540001,26.90,700,26.390723
2015-05-28,26.43,26.90,26.43,26.90,16500,26.390723
2015-05-27,26.559999,26.610001,26.52,26.610001,3000,26.106214
2015-05-26,26.41,26.51,26.41,26.51,2400,26.008107
2015-05-22,26.540001,26.540001,26.530001,26.530001,1400,26.027729
2015-05-21,26.67,26.67,26.40,26.540001,3500,26.03754
2015-05-20,26.60,26.67,26.379999,26.67,8300,26.165078
2015-05-19,26.41,26.610001,26.41,26.41,3100,25.91
2015-05-18,26.389999,26.77,26.379999,26.459999,4900,25.959052
2015-05-15,26.370001,26.51,26.309999,26.450001,1700,25.949243
2015-05-14,26.68,26.690001,26.379999,26.68,2600,26.174889
2015-05-13,26.690001,26.690001,26.50,26.68,3000,26.174889
2015-05-12,26.790001,26.790001,26.469999,26.549999,2600,26.047349
2015-05-11,26.360001,26.450001,26.190001,26.32,3000,25.821704
2015-05-08,26.690001,26.700001,26.629999,26.690001,2200,26.184699
2015-05-07,26.370001,26.530001,26.290001,26.50,3500,25.998296
2015-05-06,26.549999,26.549999,26.34,26.549999,3600,26.047349
2015-05-05,26.620001,26.690001,26.280001,26.59,3200,26.086592
2015-05-04,26.549999,26.719999,26.15,26.719999,4600,26.21413
2015-05-01,26.66,26.76,26.549999,26.549999,8700,26.047349
2015-04-30,26.65,26.790001,26.50,26.790001,5200,26.282807
2015-04-29,26.68,26.700001,26.65,26.700001,3100,26.19451
2015-04-28,26.67,26.74,26.530001,26.66,5000,26.155267
2015-04-27,26.65,26.65,26.610001,26.610001,1900,26.106214
2015-04-24,26.719999,26.719999,26.65,26.700001,3000,26.19451
2015-04-23,26.780001,26.799999,26.780001,26.799999,600,26.292616
2015-04-22,26.75,26.799999,26.65,26.799999,9400,26.292616
2015-04-21,26.610001,26.77,26.59,26.77,4700,26.263185
2015-04-20,26.549999,26.75,26.549999,26.73,4500,26.223941
2015-04-17,26.50,26.67,26.50,26.67,4700,26.165078
2015-04-16,26.639999,26.67,26.43,26.67,5300,26.165078
2015-04-15,26.620001,26.74,26.530001,26.620001,9600,26.116025
2015-04-14,26.549999,26.74,26.549999,26.74,3100,26.233752
2015-04-13,26.690001,26.690001,26.40,26.690001,2700,26.184699
2015-04-10,26.50,26.700001,26.48,26.60,3400,26.096403
2015-04-09,26.639999,26.690001,26.43,26.690001,2500,26.184699
2015-04-08,26.59,26.59,26.459999,26.59,3100,26.086592
2015-04-07,26.450001,26.68,26.450001,26.459999,5400,25.959052
2015-04-06,26.41,26.67,26.360001,26.67,4700,26.165078
2015-04-02,26.57,26.610001,26.379999,26.43,3300,25.929622
2015-04-01,26.620001,26.73,26.57,26.690001,1500,26.184699
2015-03-31,26.59,26.690001,26.49,26.639999,6900,26.135645
2015-03-30,26.549999,26.75,26.379999,26.700001,7900,26.19451
2015-03-27,26.58,26.58,26.35,26.469999,5300,25.968863
2015-03-26,26.370001,26.58,26.370001,26.58,2200,26.076781
2015-03-25,26.440001,26.60,26.440001,26.58,6800,26.076781
2015-03-24,26.60,26.76,26.450001,26.76,1300,26.253374
2015-03-23,26.74,26.799999,26.290001,26.290001,10200,25.792273
2015-03-20,26.57,26.73,26.48,26.620001,7800,26.116025
2015-03-19,26.57,26.65,26.540001,26.58,4100,26.076781
2015-03-18,26.59,26.65,26.48,26.530001,5100,26.027729
2015-03-17,26.370001,26.52,26.370001,26.52,1400,26.017918
2015-03-16,26.389999,26.43,26.35,26.43,6700,25.929622
2015-03-13,26.35,26.59,26.35,26.59,600,26.086592
2015-03-12,26.389999,26.49,26.379999,26.49,800,25.988485
2015-03-11,26.59,26.59,26.309999,26.389999,1900,25.890378
2015-03-10,26.43,26.43,26.190001,26.43,3400,25.929622
2015-03-09,26.73,26.93,26.73,26.889999,8000,26.380912
2015-03-06,26.76,26.92,26.75,26.790001,6100,26.282807
2015-03-05,26.860001,26.93,26.85,26.879999,3400,26.371101
2015-03-04,26.809999,26.940001,26.809999,26.940001,10900,26.429966
2015-03-03,26.799999,26.969999,26.799999,26.879999,1900,26.371101
2015-03-02,26.77,26.799999,26.76,26.799999,15500,26.292616
2015-02-27,26.559999,26.77,26.559999,26.77,5500,26.263185
2015-02-26,26.66,26.700001,26.59,26.700001,600,26.19451
2015-02-25,26.68,26.68,26.639999,26.639999,4500,26.135645
2015-02-24,26.50,26.719999,26.50,26.719999,2700,26.21413
2015-02-23,26.60,26.74,26.370001,26.60,3800,26.096403
2015-02-20,26.74,26.77,26.299999,26.68,8400,26.174889
2015-02-19,26.68,26.690001,26.530001,26.67,4900,26.165078
2015-02-18,26.60,26.60,26.51,26.60,2200,26.096403
2015-02-17,26.58,26.60,26.309999,26.60,3500,26.096403
2015-02-13,26.65,26.66,26.59,26.66,4200,26.155267
2015-02-12,26.77,26.790001,26.40,26.790001,8200,26.282807
2015-02-11,26.35,26.68,26.33,26.450001,2200,25.949243
2015-02-10,26.40,26.40,26.379999,26.379999,1100,25.880567
2015-02-09,26.60,26.610001,26.17,26.40,6800,25.900189
2015-02-06,26.440001,26.549999,26.370001,26.549999,3300,26.047349
2015-02-05,26.49,26.73,26.459999,26.48,2400,25.978674
2015-02-04,26.540001,26.559999,26.389999,26.41,6500,25.91
2015-02-03,26.75,26.76,26.34,26.450001,11800,25.949243
2015-02-02,26.700001,26.700001,26.360001,26.65,1200,26.145456
2015-01-30,26.73,26.73,26.73,26.73,300,26.223941
2015-01-29,26.60,26.60,26.459999,26.469999,5200,25.968863
2015-01-28,26.370001,26.700001,26.370001,26.700001,2100,26.19451
2015-01-27,26.540001,26.690001,26.540001,26.690001,3900,26.184699
2015-01-26,26.49,26.620001,26.35,26.620001,2300,26.116025
2015-01-23,26.549999,26.60,26.280001,26.450001,2200,25.949243
2015-01-22,26.49,26.700001,26.49,26.65,3500,26.145456
2015-01-21,26.299999,26.50,26.18,26.200001,2400,25.703976
2015-01-20,26.379999,26.379999,26.299999,26.299999,700,25.802082
2015-01-16,26.24,26.60,26.219999,26.219999,4200,25.723596
2015-01-15,26.41,26.41,26.120001,26.15,2800,25.654922
2015-01-14,26.74,26.77,26.40,26.65,6100,26.145456
2015-01-13,26.76,26.76,26.68,26.68,1500,26.174889
2015-01-12,26.700001,26.77,26.48,26.700001,3500,26.19451
2015-01-09,26.629999,26.76,26.629999,26.629999,2400,26.125834
2015-01-08,26.41,26.799999,26.34,26.75,6200,26.243563
2015-01-07,26.360001,26.67,26.23,26.629999,6200,26.125834
2015-01-06,26.549999,26.780001,26.52,26.780001,800,26.272996
2015-01-05,26.74,26.74,26.309999,26.60,1500,26.096403
2015-01-02,26.74,26.74,26.65,26.65,300,26.145456
2014-12-31,26.58,26.58,26.58,26.58,200,26.076781
2014-12-30,26.65,26.719999,26.52,26.52,3300,26.017918
2014-12-29,26.75,26.75,26.23,26.52,2500,26.017918
2014-12-26,26.42,26.549999,26.42,26.540001,1100,26.03754
2014-12-24,26.290001,26.33,25.93,26.33,800,25.831514
2014-12-23,26.549999,26.549999,26.139999,26.23,1100,25.733407
2014-12-22,26.08,26.41,26.08,26.41,10300,25.91
2014-12-19,26.24,26.27,26.00,26.25,2200,25.753029
2014-12-18,25.98,26.00,25.77,26.00,5700,25.507762
2014-12-17,25.77,26.02,25.77,25.860001,6300,25.370413
2014-12-16,26.00,26.00,25.73,25.73,3100,25.242873
2014-12-15,25.98,26.129999,25.950001,26.049999,3200,25.556815
2014-12-12,26.129999,26.18,26.00,26.129999,5100,25.6353
2014-12-11,25.870001,26.690001,25.870001,26.219999,2300,25.723596
2014-12-10,26.18,26.26,25.93,25.93,2300,25.439088
2014-12-09,26.60,26.65,26.60,26.65,1200,25.654922
2014-12-08,26.700001,26.700001,26.50,26.58,1200,25.587536
2014-12-05,26.709999,26.799999,26.709999,26.77,3100,25.770443
2014-12-04,26.959999,26.959999,26.709999,26.709999,4600,25.712682
2014-12-03,26.709999,26.790001,26.700001,26.700001,3400,25.703057
2014-12-02,26.66,26.799999,26.66,26.799999,4100,25.799321
2014-12-01,26.719999,26.790001,26.67,26.790001,1400,25.789696
2014-11-28,26.65,26.65,26.65,26.65,100,25.654922
2014-11-26,26.65,26.799999,26.65,26.65,1400,25.654922
2014-11-25,26.66,26.799999,26.65,26.68,7500,25.683803
2014-11-24,26.700001,26.799999,26.68,26.68,15200,25.683803
2014-11-21,26.799999,26.799999,26.68,26.790001,5000,25.789696
2014-11-20,26.559999,26.90,26.559999,26.809999,4000,25.808948
2014-11-19,26.790001,26.799999,26.52,26.52,5700,25.529777
2014-11-18,26.790001,26.799999,26.709999,26.77,5300,25.770443
2014-11-17,26.66,26.85,26.66,26.75,10400,25.751189
2014-11-14,26.68,26.959999,26.290001,26.559999,10900,25.568283
