Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,16.389999,16.91,16.139999,16.43,78600,16.43
2016-04-18,15.88,16.280001,15.64,16.219999,63200,16.219999
2016-04-15,16.129999,16.129999,15.63,15.88,103800,15.88
2016-04-14,15.85,16.24,15.59,16.15,93500,16.15
2016-04-13,15.49,15.90,15.45,15.83,192300,15.83
2016-04-12,15.50,15.56,15.315,15.44,95100,15.44
2016-04-11,15.41,15.851,15.38,15.40,69200,15.40
2016-04-08,15.13,15.66,15.13,15.22,58800,15.22
2016-04-07,15.37,15.505,14.92,15.09,231300,15.00
2016-04-06,15.43,15.566,15.26,15.44,66300,15.347912
2016-04-05,15.00,15.47,14.83,15.33,80600,15.238568
2016-04-04,15.75,15.77,14.93,15.08,388300,14.990059
2016-04-01,16.66,16.77,15.49,15.71,156800,15.616302
2016-03-31,16.299999,17.00,16.299999,16.809999,299200,16.709741
2016-03-30,16.049999,16.290001,15.891,16.26,102600,16.163022
2016-03-29,15.38,16.10,15.071,15.90,194400,15.805169
2016-03-28,15.00,15.69,14.97,15.48,166700,15.387673
2016-03-24,14.62,15.10,14.20,14.95,100600,14.860835
2016-03-23,15.15,15.36,14.65,14.68,138800,14.592446
2016-03-22,15.23,15.34,15.04,15.23,111400,15.139164
2016-03-21,15.31,15.525,15.04,15.41,112600,15.318091
2016-03-18,15.17,15.51,15.13,15.30,208300,15.208748
2016-03-17,14.78,15.27,14.76,15.08,149800,14.990059
2016-03-16,14.41,14.96,14.41,14.80,126400,14.71173
2016-03-15,14.69,14.78,14.37,14.45,108300,14.363817
2016-03-14,14.60,14.81,14.494,14.73,91800,14.642147
2016-03-11,14.41,14.79,14.31,14.74,207700,14.652087
2016-03-10,14.37,14.64,13.97,14.22,77900,14.135189
2016-03-09,14.41,14.41,14.15,14.28,122700,14.194831
2016-03-08,14.83,14.83,14.25,14.28,67400,14.194831
2016-03-07,14.46,14.95,14.44,14.94,169200,14.850894
2016-03-04,14.99,14.99,14.43,14.45,172300,14.363817
2016-03-03,14.82,15.269,14.75,14.89,129700,14.801193
2016-03-02,14.58,14.86,14.56,14.72,100300,14.632207
2016-03-01,14.54,14.74,14.26,14.58,109300,14.493042
2016-02-29,13.92,14.62,13.92,14.28,127500,14.194831
2016-02-26,14.29,14.38,13.78,14.09,170000,14.005964
2016-02-25,12.44,14.52,12.44,14.24,319000,14.155069
2016-02-24,12.09,12.09,11.54,11.92,165800,11.848907
2016-02-23,12.63,12.63,12.185,12.23,76600,12.157057
2016-02-22,12.47,12.74,12.40,12.71,81600,12.634195
2016-02-19,12.34,12.48,11.928,12.27,66700,12.196819
2016-02-18,12.57,12.73,12.28,12.34,92800,12.266402
2016-02-17,12.23,12.69,12.07,12.63,77800,12.554672
2016-02-16,11.98,12.07,11.75,12.02,76000,11.948311
2016-02-12,11.30,11.85,11.21,11.71,112100,11.640159
2016-02-11,11.00,11.27,10.87,11.17,89700,11.10338
2016-02-10,11.30,11.52,11.12,11.16,80000,11.093439
2016-02-09,11.17,11.48,10.93,11.16,88700,11.093439
2016-02-08,11.42,11.476,11.04,11.36,97100,11.292246
2016-02-05,11.78,11.78,11.40,11.44,143400,11.371769
2016-02-04,11.70,11.96,11.59,11.74,126400,11.66998
2016-02-03,12.05,12.08,11.61,11.73,156200,11.660039
2016-02-02,12.07,12.07,11.70,11.96,230700,11.888668
2016-02-01,11.79,12.20,11.61,12.14,177900,12.067595
2016-01-29,11.88,11.94,11.68,11.85,145900,11.779324
2016-01-28,11.81,11.92,11.60,11.77,404600,11.699802
2016-01-27,12.615,12.64,11.60,11.80,683800,11.729622
2016-01-26,13.32,13.47,13.07,13.17,61900,13.091451
2016-01-25,13.04,13.425,13.04,13.19,157400,13.111332
2016-01-22,13.34,13.40,12.97,13.14,130300,13.06163
2016-01-21,13.41,13.54,12.83,13.03,130400,12.952286
2016-01-20,13.50,13.60,12.78,13.31,163400,13.230617
2016-01-19,14.38,14.50,13.70,13.87,134400,13.787276
2016-01-15,14.53,14.53,13.62,14.33,133100,14.244533
2016-01-14,15.46,15.46,14.79,14.99,81900,14.900596
2016-01-13,16.27,16.65,15.21,15.45,169400,15.357853
2016-01-12,16.290001,16.360001,15.90,16.27,123200,16.172963
2016-01-11,16.219999,16.219999,15.62,16.110001,75100,16.013917
2016-01-08,16.639999,16.68,16.01,16.08,90100,15.984095
2016-01-07,16.60,16.611,16.24,16.48,158000,16.381709
2016-01-06,17.42,17.49,16.959999,16.99,144400,16.888668
2016-01-05,18.49,18.49,17.459999,17.74,153200,17.634195
2016-01-04,17.959999,18.49,17.52,18.34,130200,18.230616
2015-12-31,18.620001,18.700001,18.32,18.34,119100,18.230616
2015-12-30,18.75,18.969999,18.50,18.700001,126500,18.58847
2015-12-29,18.59,18.860001,18.48,18.75,101600,18.638171
2015-12-28,19.01,19.10,18.440001,18.559999,48100,18.449304
2015-12-24,19.049999,19.15,18.940001,18.98,25400,18.866799
2015-12-23,18.790001,19.110001,18.745001,19.07,42200,18.956262
2015-12-22,18.309999,18.73,18.27,18.67,54000,18.558648
2015-12-21,18.040001,18.33,17.66,18.219999,154300,18.111331
2015-12-18,18.83,18.84,17.639999,17.85,520200,17.743539
2015-12-17,19.290001,19.469999,18.780001,18.85,101000,18.737575
2015-12-16,18.780001,19.530001,18.49,19.35,150300,19.234593
2015-12-15,19.030001,19.33,18.42,18.60,159800,18.489066
2015-12-14,19.129999,19.379999,18.799999,18.98,93100,18.866799
2015-12-11,19.639999,19.68,18.879999,19.08,85800,18.966203
2015-12-10,19.26,20.049999,19.26,19.709999,84200,19.592444
2015-12-09,19.139999,19.709999,19.00,19.26,78100,19.145129
2015-12-08,19.219999,19.379999,18.74,19.139999,219000,19.025844
2015-12-07,20.209999,20.59,19.440001,19.58,177600,19.463221
2015-12-04,20.16,20.889999,19.90,20.120001,130000,20.000001
2015-12-03,20.219999,20.82,19.610001,20.059999,466400,19.940357
2015-12-02,20.190001,21.00,19.559999,20.10,434900,19.98012
2015-12-01,22.41,22.469999,18.68,20.299999,661800,20.178926
2015-11-30,22.18,22.700001,22.01,22.52,142400,22.385686
2015-11-27,22.08,22.309999,21.882,22.02,21400,21.888668
2015-11-25,22.08,22.33,21.940001,21.99,108800,21.858847
2015-11-24,21.48,22.280001,21.450001,22.129999,57400,21.998011
