Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.31,14.31,14.08,14.20,77100,14.20
2016-04-18,14.30,14.33,14.26,14.30,82300,14.30
2016-04-15,14.34,14.37,14.23,14.24,50600,14.24
2016-04-14,14.29,14.33,14.27,14.28,40400,14.28
2016-04-13,14.29,14.31,14.16,14.28,29300,14.28
2016-04-12,14.18,14.36,14.18,14.31,81600,14.243
2016-04-11,14.17,14.21,14.12,14.12,33000,14.053889
2016-04-08,14.25,14.36,14.07,14.13,74200,14.063843
2016-04-07,14.24,14.33,14.24,14.24,39000,14.173327
2016-04-06,14.14,14.35,14.11,14.35,120300,14.282813
2016-04-05,13.98,14.09,13.95,14.09,92500,14.02403
2016-04-04,13.98,13.99,13.76,13.89,88900,13.824966
2016-04-01,13.99,14.02,13.89,13.99,61200,13.924498
2016-03-31,13.79,13.99,13.76,13.99,66500,13.924498
2016-03-30,13.71,13.77,13.71,13.75,48700,13.685622
2016-03-29,13.71,13.75,13.66,13.73,76400,13.665715
2016-03-28,13.73,13.79,13.65,13.68,65600,13.61595
2016-03-24,13.81,13.81,13.73,13.74,22500,13.675668
2016-03-23,13.81,13.82,13.76,13.76,29100,13.695575
2016-03-22,13.77,13.82,13.72,13.79,25400,13.725434
2016-03-21,13.71,13.78,13.71,13.76,19700,13.695575
2016-03-18,13.82,13.83,13.71,13.71,23600,13.645809
2016-03-17,13.76,13.88,13.72,13.80,32800,13.735388
2016-03-16,13.70,13.73,13.68,13.71,37300,13.645809
2016-03-15,13.72,13.75,13.61,13.61,45000,13.546277
2016-03-14,13.67,13.76,13.66,13.68,48100,13.61595
2016-03-11,13.65,13.69,13.60,13.60,30400,13.536324
2016-03-10,13.76,13.81,13.71,13.74,30200,13.608982
2016-03-09,13.78,13.82,13.72,13.72,46900,13.589173
2016-03-08,13.84,13.85,13.78,13.78,40000,13.648601
2016-03-07,13.79,13.83,13.71,13.83,67000,13.698124
2016-03-04,13.81,13.85,13.76,13.76,37300,13.628792
2016-03-03,13.80,13.83,13.76,13.81,20400,13.678315
2016-03-02,13.83,13.84,13.74,13.78,31400,13.648601
2016-03-01,13.83,13.85,13.75,13.81,63600,13.678315
2016-02-29,13.65,13.80,13.65,13.75,31800,13.618887
2016-02-26,13.70,13.72,13.64,13.64,24000,13.509936
2016-02-25,13.73,13.85,13.71,13.75,27600,13.618887
2016-02-24,13.69,13.75,13.68,13.68,28400,13.549555
2016-02-23,13.44,13.68,13.44,13.68,64900,13.549555
2016-02-22,13.62,13.62,13.46,13.50,33500,13.371271
2016-02-19,13.56,13.58,13.50,13.56,29600,13.430699
2016-02-18,13.51,13.54,13.46,13.54,32800,13.410889
2016-02-17,13.50,13.52,13.41,13.44,70900,13.311843
2016-02-16,13.68,13.69,13.48,13.49,62000,13.361366
