Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.42,25.50,25.40,25.50,3700,25.50
2016-04-18,25.33,25.450001,25.25,25.25,7700,25.25
2016-04-15,25.299999,25.50,25.299999,25.440001,2200,25.440001
2016-04-14,25.450001,25.469999,25.450001,25.469999,600,25.469999
2016-04-13,25.530001,25.549999,25.450001,25.549999,3000,25.549999
2016-04-12,25.41,25.540001,25.41,25.540001,300,25.540001
2016-04-11,25.50,25.67,25.50,25.52,1900,25.52
2016-04-08,25.52,25.57,25.50,25.50,2000,25.50
2016-04-07,25.52,25.610001,25.52,25.59,1900,25.59
2016-04-06,25.58,25.620001,25.389999,25.549999,3900,25.549999
2016-04-05,25.52,25.549999,25.379999,25.379999,4800,25.379999
2016-04-04,25.379999,25.50,25.379999,25.50,700,25.50
2016-04-01,25.639999,25.639999,25.440001,25.440001,1700,25.440001
2016-03-31,25.40,25.40,25.299999,25.389999,3500,25.389999
2016-03-30,25.370001,25.40,25.25,25.299999,4700,25.299999
2016-03-29,25.299999,25.309999,25.299999,25.309999,300,25.309999
2016-03-28,25.40,25.40,25.309999,25.32,2600,25.32
2016-03-24,25.389999,25.440001,25.290001,25.360001,3900,25.360001
2016-03-23,25.40,25.40,25.25,25.35,3100,25.35
2016-03-22,25.35,25.35,25.33,25.34,3000,25.34
2016-03-21,25.24,25.459999,25.24,25.459999,4200,25.459999
2016-03-18,25.33,25.33,25.200001,25.200001,3400,25.200001
2016-03-17,25.440001,25.50,25.27,25.49,3000,25.49
2016-03-16,25.200001,25.42,25.190001,25.40,3600,25.40
2016-03-15,25.49,25.49,25.139999,25.17,11300,25.17
2016-03-14,25.379999,25.379999,25.27,25.379999,4600,25.379999
2016-03-11,25.57,25.57,25.190001,25.209999,3800,25.209999
2016-03-10,25.51,25.68,25.51,25.68,1400,25.297
2016-03-09,25.549999,25.65,25.549999,25.65,700,25.267447
2016-03-08,25.60,25.60,25.50,25.50,2300,25.119684
2016-03-07,25.75,25.75,25.60,25.60,700,25.218193
