Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.00,9.05,8.97,9.03,48800,9.03
2016-04-18,8.98,9.00,8.94,9.00,77700,9.00
2016-04-15,8.97,8.97,8.89,8.96,56200,8.96
2016-04-14,8.93,8.95,8.91,8.95,29300,8.95
2016-04-13,8.92,8.93,8.84,8.89,48600,8.89
2016-04-12,8.86,8.89,8.83,8.88,32600,8.88
2016-04-11,8.81,8.89,8.81,8.85,50700,8.85
2016-04-08,8.80,8.83,8.80,8.81,21600,8.81
2016-04-07,8.79,8.81,8.70,8.73,33700,8.73
2016-04-06,8.78,8.81,8.76,8.79,76800,8.79
2016-04-05,8.75,8.80,8.73,8.75,21200,8.75
2016-04-04,8.81,8.82,8.75,8.75,52400,8.75
2016-04-01,8.77,8.82,8.77,8.81,21600,8.81
2016-03-31,8.89,8.93,8.77,8.78,122600,8.78
2016-03-30,8.91,8.98,8.84,8.87,71100,8.87
2016-03-29,8.86,8.86,8.81,8.85,35100,8.85
2016-03-28,8.96,9.01,8.95,8.97,25200,8.820001
2016-03-24,9.07,9.07,8.96,8.96,37600,8.810168
2016-03-23,9.19,9.19,9.06,9.09,46700,8.937994
2016-03-22,9.15,9.17,9.11,9.17,31300,9.016656
2016-03-21,9.08,9.17,9.08,9.16,31100,9.006823
2016-03-18,9.00,9.16,9.00,9.05,52700,8.898663
2016-03-17,8.84,9.00,8.84,8.97,40800,8.820001
2016-03-16,8.76,8.86,8.75,8.85,27600,8.702007
2016-03-15,8.84,8.84,8.74,8.74,51300,8.593846
2016-03-14,8.86,8.86,8.84,8.84,22200,8.692174
2016-03-11,8.82,8.88,8.82,8.86,18600,8.711839
2016-03-10,8.81,8.88,8.78,8.78,27400,8.633177
2016-03-09,8.81,8.84,8.79,8.83,48600,8.682341
2016-03-08,8.80,8.80,8.73,8.76,32800,8.613512
2016-03-07,8.74,8.78,8.72,8.78,77900,8.633177
2016-03-04,8.68,8.75,8.66,8.75,41600,8.603679
2016-03-03,8.60,8.69,8.60,8.66,50700,8.515184
2016-03-02,8.62,8.62,8.56,8.60,26900,8.456188
2016-03-01,8.50,8.60,8.50,8.60,46300,8.456188
2016-02-29,8.43,8.50,8.43,8.47,39900,8.328362
2016-02-26,8.40,8.44,8.36,8.44,44900,8.298863
2016-02-25,8.32,8.39,8.32,8.39,40900,8.2497
2016-02-24,8.31,8.34,8.26,8.34,22300,8.200535
2016-02-23,8.32,8.33,8.28,8.32,47600,8.180869
2016-02-22,8.32,8.32,8.27,8.32,30700,8.180869
2016-02-19,8.23,8.27,8.22,8.27,8700,8.131706
2016-02-18,8.21,8.24,8.17,8.24,34800,8.102207
2016-02-17,8.14,8.19,8.10,8.18,54700,8.043211
2016-02-16,8.10,8.10,8.06,8.07,17600,7.93505
2016-02-12,8.13,8.13,8.06,8.10,36100,7.964549
2016-02-11,8.09,8.15,8.00,8.08,69400,7.944883
2016-02-10,8.12,8.19,8.12,8.16,23500,8.023545
2016-02-09,8.08,8.17,8.08,8.12,53900,7.984214
2016-02-08,8.12,8.22,8.12,8.17,48200,8.033378
2016-02-05,8.31,8.34,8.28,8.29,22200,8.151371
2016-02-04,8.34,8.37,8.26,8.30,39900,8.161204
2016-02-03,8.27,8.35,8.25,8.34,29100,8.200535
2016-02-02,8.23,8.30,8.13,8.25,59300,8.11204
2016-02-01,8.33,8.33,8.24,8.32,40700,8.180869
2016-01-29,8.32,8.37,8.27,8.37,99600,8.230034
2016-01-28,8.25,8.30,8.21,8.29,41700,8.151371
