Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.69,14.76,14.69,14.72,48000,14.72
2016-04-18,14.82,14.83,14.72,14.72,48700,14.72
2016-04-15,14.85,14.85,14.69,14.76,40200,14.76
2016-04-14,14.66,14.86,14.66,14.82,72600,14.82
2016-04-13,14.76,14.76,14.67,14.73,69000,14.73
2016-04-12,14.86,14.92,14.74,14.74,149100,14.679999
2016-04-11,14.84,14.92,14.84,14.91,30200,14.849308
2016-04-08,14.88,14.92,14.86,14.86,52500,14.799511
2016-04-07,14.90,15.03,14.80,14.81,72300,14.749715
2016-04-06,15.05,15.09,14.89,14.90,75200,14.839348
2016-04-05,14.94,15.01,14.94,15.01,47000,14.948901
2016-04-04,14.94,14.97,14.89,14.90,71500,14.839348
2016-04-01,14.87,14.94,14.80,14.85,53000,14.789552
2016-03-31,14.87,14.95,14.83,14.87,67700,14.80947
2016-03-30,14.79,14.94,14.73,14.83,70100,14.769633
2016-03-29,14.71,14.81,14.71,14.73,68700,14.67004
2016-03-28,14.67,14.75,14.64,14.68,66800,14.620244
2016-03-24,14.65,14.70,14.65,14.70,25200,14.640162
2016-03-23,14.67,14.70,14.66,14.70,27400,14.640162
2016-03-22,14.64,14.70,14.63,14.68,33600,14.620244
2016-03-21,14.66,14.68,14.61,14.68,48600,14.620244
2016-03-18,14.66,14.68,14.52,14.61,28400,14.550528
2016-03-17,14.67,14.70,14.64,14.70,34900,14.640162
2016-03-16,14.63,14.65,14.56,14.65,35800,14.590366
2016-03-15,14.65,14.68,14.60,14.60,36800,14.54057
2016-03-14,14.64,14.69,14.64,14.67,38300,14.610285
2016-03-11,14.63,14.71,14.61,14.66,66400,14.600325
2016-03-10,14.65,14.70,14.59,14.63,65800,14.510692
2016-03-09,14.65,14.68,14.62,14.65,44100,14.530528
2016-03-08,14.58,14.63,14.55,14.60,57800,14.480937
2016-03-07,14.58,14.60,14.54,14.60,36400,14.480937
2016-03-04,14.60,14.61,14.56,14.57,50400,14.451181
2016-03-03,14.47,14.63,14.47,14.60,53700,14.480937
2016-03-02,14.57,14.59,14.50,14.50,45400,14.381752
2016-03-01,14.53,14.60,14.50,14.60,76600,14.480937
2016-02-29,14.43,14.49,14.41,14.49,25100,14.371833
2016-02-26,14.55,14.57,14.40,14.41,71000,14.292486
2016-02-25,14.53,14.59,14.49,14.56,68100,14.441263
2016-02-24,14.59,14.65,14.50,14.56,50700,14.441263
2016-02-23,14.49,14.65,14.44,14.51,115700,14.39167
2016-02-22,14.38,14.51,14.30,14.51,74500,14.39167
2016-02-19,14.35,14.40,14.28,14.33,25700,14.213138
2016-02-18,14.21,14.37,14.19,14.34,35200,14.223057
2016-02-17,14.29,14.30,14.11,14.14,82700,14.024688
2016-02-16,14.32,14.33,14.19,14.20,64100,14.084198
2016-02-12,14.64,14.66,14.25,14.27,119800,14.153628
2016-02-11,14.58,14.68,14.55,14.58,79500,14.461099
2016-02-10,14.58,14.66,14.58,14.64,72900,14.4611
2016-02-09,14.56,14.69,14.56,14.64,46800,14.4611
2016-02-08,14.63,14.65,14.57,14.57,77200,14.391955
2016-02-05,14.63,14.64,14.60,14.63,32000,14.451222
2016-02-04,14.60,14.67,14.59,14.63,26700,14.451222
2016-02-03,14.64,14.70,14.56,14.63,103700,14.451222
2016-02-02,14.49,14.65,14.49,14.58,69500,14.401833
2016-02-01,14.46,14.65,14.46,14.61,53700,14.431466
2016-01-29,14.55,14.58,14.49,14.52,40200,14.342567
2016-01-28,14.69,14.78,14.50,14.53,59200,14.352444
2016-01-27,14.55,14.77,14.55,14.64,90300,14.4611
2016-01-26,14.48,14.74,14.47,14.62,114400,14.441344
2016-01-25,14.53,14.59,14.47,14.47,60400,14.293177
2016-01-22,14.42,14.52,14.42,14.50,27000,14.322811
2016-01-21,14.44,14.53,14.39,14.45,54100,14.273421
2016-01-20,14.64,14.65,14.22,14.42,84800,14.243788
2016-01-19,14.65,14.70,14.58,14.63,45900,14.451222
2016-01-15,14.42,14.67,14.42,14.60,67700,14.421589
2016-01-14,14.38,14.55,14.38,14.50,60500,14.322811
2016-01-13,14.45,14.47,14.31,14.42,97200,14.243788
2016-01-12,14.36,14.50,14.36,14.44,73700,14.204276
2016-01-11,14.42,14.43,14.32,14.33,38500,14.096072
2016-01-08,14.38,14.44,14.35,14.40,63700,14.164929
2016-01-07,14.36,14.41,14.36,14.40,42400,14.164929
2016-01-06,14.20,14.38,14.20,14.33,148700,14.096072
2016-01-05,14.26,14.26,14.21,14.25,40500,14.017378
2016-01-04,14.29,14.29,14.14,14.21,51900,13.978031
2015-12-31,14.32,14.37,14.27,14.27,40100,14.037052
2015-12-30,14.37,14.38,14.30,14.32,41600,14.086235
2015-12-29,14.27,14.47,14.26,14.38,60400,14.145256
2015-12-28,14.18,14.31,14.12,14.29,67700,14.056725
2015-12-24,14.03,14.21,14.01,14.15,17500,13.91901
2015-12-23,14.12,14.23,13.93,13.96,60500,13.732112
2015-12-22,14.09,14.16,14.09,14.10,48100,13.869827
2015-12-21,14.13,14.15,14.09,14.09,35500,13.85999
2015-12-18,14.14,14.28,14.13,14.13,64100,13.899337
2015-12-17,14.03,14.21,14.03,14.18,49900,13.948521
2015-12-16,13.84,14.06,13.81,14.03,52600,13.800969
2015-12-15,13.90,13.91,13.85,13.89,31000,13.663255
2015-12-14,14.04,14.07,13.85,13.87,47100,13.643581
2015-12-11,14.10,14.14,14.00,14.07,80000,13.840316
2015-12-10,13.89,14.03,13.88,14.03,70000,13.800969
2015-12-09,13.92,13.93,13.85,13.93,31600,13.63768
2015-12-08,13.77,13.99,13.74,13.90,73300,13.608309
2015-12-07,13.62,13.76,13.60,13.76,77200,13.471247
2015-12-04,13.49,13.59,13.49,13.59,40200,13.304815
2015-12-03,13.56,13.56,13.42,13.45,55000,13.167752
2015-12-02,13.57,13.62,13.53,13.57,54500,13.285234
2015-12-01,13.53,13.60,13.51,13.58,97000,13.295024
2015-11-30,13.51,13.53,13.45,13.53,67300,13.246073
2015-11-27,13.46,13.51,13.46,13.51,2900,13.226494
2015-11-25,13.39,13.45,13.37,13.44,52700,13.157962
2015-11-24,13.43,13.46,13.36,13.41,9300,13.128592
2015-11-23,13.43,13.51,13.39,13.46,90600,13.177543
2015-11-20,13.47,13.51,13.36,13.39,32000,13.109012
2015-11-19,13.48,13.49,13.40,13.47,39300,13.187333
2015-11-18,13.37,13.50,13.22,13.49,165700,13.206913
2015-11-17,13.45,13.47,13.37,13.37,56500,13.089431
2015-11-16,13.52,13.55,13.42,13.46,62000,13.177543
2015-11-13,13.44,13.53,13.44,13.53,37000,13.246073
2015-11-12,13.51,13.52,13.39,13.41,64100,13.128592
2015-11-11,13.45,13.55,13.45,13.55,26200,13.206913
2015-11-10,13.45,13.51,13.42,13.48,46400,13.138685
2015-11-09,13.53,13.53,13.45,13.47,75400,13.128939
2015-11-06,13.55,13.60,13.50,13.58,53100,13.236154
2015-11-05,13.74,13.77,13.60,13.61,46800,13.265394
2015-11-04,13.64,13.74,13.63,13.74,37400,13.392102
2015-11-03,13.86,13.96,13.67,13.70,54100,13.353115
2015-11-02,13.70,13.88,13.67,13.87,37600,13.518811
2015-10-30,13.61,13.71,13.60,13.65,48900,13.304381
2015-10-29,13.64,13.75,13.57,13.73,41400,13.382355
2015-10-28,13.64,13.71,13.61,13.67,38300,13.323875
2015-10-27,13.71,13.72,13.64,13.64,27500,13.294635
2015-10-26,13.61,13.73,13.61,13.73,56200,13.382355
2015-10-23,13.56,13.63,13.56,13.62,29600,13.275141
2015-10-22,13.56,13.60,13.56,13.59,45100,13.245901
2015-10-21,13.47,13.60,13.47,13.58,45700,13.236154
2015-10-20,13.46,13.53,13.46,13.53,31000,13.187419
2015-10-19,13.43,13.55,13.42,13.49,50300,13.148432
2015-10-16,13.49,13.50,13.41,13.46,45700,13.119192
2015-10-15,13.45,13.51,13.45,13.48,33200,13.138685
2015-10-14,13.44,13.48,13.44,13.46,11300,13.119192
2015-10-13,13.48,13.48,13.40,13.45,20700,13.109445
2015-10-12,13.51,13.60,13.51,13.56,25100,13.15818
2015-10-09,13.55,13.58,13.50,13.54,18800,13.138772
2015-10-08,13.53,13.58,13.49,13.57,18700,13.167883
2015-10-07,13.56,13.61,13.49,13.56,84100,13.15818
2015-10-06,13.52,13.59,13.52,13.56,26600,13.15818
2015-10-05,13.48,13.53,13.46,13.51,54500,13.109661
2015-10-02,13.48,13.49,13.44,13.46,85800,13.061142
2015-10-01,13.52,13.53,13.47,13.47,60200,13.070846
2015-09-30,13.62,13.63,13.45,13.51,66600,13.109661
2015-09-29,13.52,13.62,13.52,13.60,23400,13.196994
2015-09-28,13.53,13.60,13.53,13.56,36700,13.15818
2015-09-25,13.54,13.58,13.52,13.57,20100,13.167883
2015-09-24,13.60,13.63,13.48,13.51,31100,13.109661
2015-09-23,13.59,13.65,13.56,13.58,24900,13.177586
2015-09-22,13.54,13.66,13.54,13.64,25900,13.235809
2015-09-21,13.55,13.59,13.54,13.57,22000,13.167883
2015-09-18,13.44,13.63,13.44,13.54,88000,13.138772
2015-09-17,13.43,13.59,13.42,13.55,58400,13.148476
2015-09-16,13.53,13.56,13.43,13.47,45700,13.070846
2015-09-15,13.58,13.60,13.54,13.57,47500,13.167883
2015-09-14,13.74,13.77,13.59,13.59,34700,13.18729
2015-09-11,13.81,13.82,13.73,13.76,27400,13.352253
2015-09-10,13.86,13.90,13.82,13.86,25800,13.388156
2015-09-09,13.86,13.90,13.80,13.90,26400,13.426794
2015-09-08,13.62,13.90,13.62,13.89,70100,13.417135
2015-09-04,13.48,13.67,13.48,13.67,40000,13.204625
2015-09-03,13.57,13.57,13.47,13.53,68800,13.069391
2015-09-02,13.49,13.56,13.45,13.54,63200,13.07905
2015-09-01,13.48,13.52,13.44,13.52,44300,13.059732
2015-08-31,13.43,13.53,13.41,13.43,39300,12.972795
2015-08-28,13.44,13.46,13.35,13.43,58700,12.972795
2015-08-27,13.40,13.50,13.39,13.45,93100,12.992114
2015-08-26,13.51,13.51,13.41,13.43,68600,12.972795
2015-08-25,13.50,13.60,13.47,13.57,71000,13.108029
2015-08-24,13.66,13.74,13.61,13.61,77400,13.146667
2015-08-21,13.66,13.74,13.64,13.70,68200,13.233603
2015-08-20,13.70,13.75,13.67,13.68,26100,13.214285
2015-08-19,13.76,13.76,13.70,13.71,20900,13.243263
2015-08-18,13.74,13.82,13.74,13.80,40400,13.330199
2015-08-17,13.79,13.84,13.77,13.77,46600,13.301221
2015-08-14,13.88,13.88,13.75,13.80,38300,13.330199
2015-08-13,13.83,13.89,13.82,13.86,16700,13.388156
2015-08-12,13.82,13.88,13.82,13.86,23200,13.388156
