Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,16.15,16.15,15.91,15.96,74200,15.96
2016-04-18,16.10,16.129999,16.049999,16.10,46100,16.10
2016-04-15,15.96,16.049999,15.93,16.040001,93700,16.040001
2016-04-14,15.94,16.00,15.87,15.87,58300,15.87
2016-04-13,15.97,16.040001,15.90,15.90,94600,15.90
2016-04-12,16.049999,16.190001,15.97,15.97,108300,15.902
2016-04-11,16.07,16.07,15.92,15.98,75900,15.911957
2016-04-08,16.00,16.07,15.96,16.059999,91100,15.991616
2016-04-07,15.89,16.02,15.89,15.99,62400,15.921915
2016-04-06,16.02,16.059999,15.89,15.89,105300,15.822341
2016-04-05,15.91,15.97,15.90,15.96,50500,15.892043
2016-04-04,15.84,15.90,15.77,15.87,40500,15.802426
2016-04-01,15.87,15.87,15.75,15.84,89700,15.772554
2016-03-31,15.74,15.78,15.65,15.76,68100,15.692895
2016-03-30,15.72,15.72,15.64,15.71,48500,15.643107
2016-03-29,15.70,15.72,15.63,15.72,44000,15.653065
2016-03-28,15.69,15.69,15.61,15.63,90900,15.563448
2016-03-24,15.59,15.70,15.59,15.65,63200,15.583362
2016-03-23,15.65,15.66,15.62,15.64,55600,15.573406
2016-03-22,15.55,15.65,15.55,15.63,77300,15.563448
2016-03-21,15.50,15.53,15.47,15.53,72600,15.463873
2016-03-18,15.44,15.48,15.38,15.47,88200,15.404129
2016-03-17,15.47,15.51,15.41,15.43,59400,15.3643
2016-03-16,15.46,15.46,15.34,15.46,54000,15.394172
2016-03-15,15.41,15.45,15.36,15.43,42200,15.3643
2016-03-14,15.37,15.45,15.30,15.44,65900,15.374256
2016-03-11,15.44,15.44,15.30,15.30,80700,15.234853
2016-03-10,15.57,15.61,15.39,15.47,158000,15.336419
2016-03-09,15.61,15.65,15.44,15.51,158000,15.376073
2016-03-08,15.63,15.63,15.57,15.60,91900,15.465296
2016-03-07,15.54,15.55,15.49,15.55,47200,15.415728
2016-03-04,15.55,15.57,15.49,15.50,120700,15.36616
2016-03-03,15.44,15.52,15.44,15.52,54800,15.385987
2016-03-02,15.46,15.47,15.36,15.44,57000,15.306677
2016-03-01,15.36,15.49,15.32,15.45,162400,15.316591
2016-02-29,15.22,15.29,15.20,15.29,53700,15.157973
2016-02-26,15.29,15.31,15.11,15.15,117600,15.019181
2016-02-25,15.37,15.40,15.28,15.30,66400,15.167887
2016-02-24,15.25,15.38,15.25,15.34,73600,15.207541
2016-02-23,15.15,15.29,15.15,15.29,64600,15.157973
2016-02-22,15.19,15.20,15.12,15.13,66000,14.999355
2016-02-19,15.11,15.17,15.07,15.17,56600,15.039009
2016-02-18,14.95,15.07,14.95,15.07,74300,14.939872
2016-02-17,15.05,15.05,14.93,14.93,142100,14.801082
2016-02-16,15.04,15.06,15.01,15.05,106200,14.920045
2016-02-12,15.12,15.19,15.03,15.04,82800,14.910132
2016-02-11,15.25,15.26,15.13,15.13,73000,14.999355
2016-02-10,15.30,15.34,15.25,15.25,66700,15.050905
2016-02-09,15.33,15.33,15.28,15.30,67900,15.100253
2016-02-08,15.38,15.38,15.24,15.31,46800,15.110122
2016-02-05,15.25,15.37,15.19,15.37,188500,15.169339
2016-02-04,15.20,15.26,15.16,15.20,98000,15.001558
2016-02-03,15.15,15.20,15.13,15.20,50200,15.001558
2016-02-02,15.07,15.15,15.07,15.12,81800,14.922602
2016-02-01,15.01,15.06,14.97,15.05,75400,14.853517
2016-01-29,14.94,15.06,14.94,15.05,105600,14.853517
2016-01-28,14.90,14.93,14.87,14.91,51800,14.715344
2016-01-27,14.93,14.95,14.86,14.86,75900,14.665997
2016-01-26,14.89,14.95,14.85,14.93,89400,14.735083
2016-01-25,14.93,14.94,14.79,14.87,74000,14.675866
2016-01-22,14.87,14.95,14.85,14.89,150800,14.695606
2016-01-21,14.84,14.88,14.77,14.79,72900,14.596911
2016-01-20,14.92,14.92,14.66,14.81,172900,14.61665
2016-01-19,14.96,14.99,14.83,14.85,76900,14.656128
2016-01-15,14.87,14.96,14.87,14.87,72000,14.675866
2016-01-14,14.86,14.86,14.80,14.83,89900,14.636389
2016-01-13,14.88,14.88,14.77,14.80,87900,14.606781
2016-01-12,15.00,15.01,14.87,14.95,97200,14.687709
2016-01-11,14.99,15.04,14.94,14.98,101800,14.717183
2016-01-08,15.03,15.03,14.95,14.95,89400,14.687709
2016-01-07,15.02,15.09,14.97,15.00,96000,14.736832
2016-01-06,14.99,15.09,14.93,15.00,84200,14.736832
2016-01-05,14.96,15.00,14.91,14.93,69900,14.668061
2016-01-04,14.85,14.93,14.78,14.91,79700,14.648411
2015-12-31,14.83,14.89,14.79,14.85,59800,14.589464
2015-12-30,14.68,14.85,14.67,14.81,70200,14.550166
2015-12-29,14.77,14.78,14.67,14.73,96100,14.471569
2015-12-28,14.80,14.82,14.75,14.78,89400,14.520692
2015-12-24,14.69,14.77,14.67,14.75,26000,14.491219
2015-12-23,14.75,14.78,14.57,14.62,121200,14.363499
2015-12-22,14.75,14.75,14.68,14.73,39700,14.471569
