Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,17.629999,17.73,17.540001,17.690001,86000,17.690001
2016-04-18,17.60,17.790001,17.60,17.67,55800,17.67
2016-04-15,17.540001,17.68,17.48,17.68,21400,17.68
2016-04-14,17.459999,17.549999,17.459999,17.50,14300,17.50
2016-04-13,17.559999,17.66,17.379999,17.549999,50800,17.549999
2016-04-12,17.34,17.60,17.32,17.59,68900,17.507
2016-04-11,17.26,17.35,17.200001,17.35,30800,17.268133
2016-04-08,17.42,17.49,17.219999,17.27,26200,17.18851
2016-04-07,17.110001,17.440001,17.110001,17.42,44000,17.337802
2016-04-06,17.110001,17.24,17.110001,17.219999,29200,17.138745
2016-04-05,17.10,17.18,17.09,17.18,25200,17.098935
2016-04-04,17.07,17.10,17.049999,17.09,20000,17.009359
2016-04-01,16.99,17.07,16.99,17.049999,20000,16.969547
2016-03-31,16.99,17.09,16.99,17.040001,16200,16.959596
2016-03-30,17.00,17.040001,16.99,17.040001,19900,16.959596
2016-03-29,16.940001,17.01,16.940001,17.00,31400,16.919784
2016-03-28,16.950001,16.98,16.92,16.969999,16600,16.889925
2016-03-24,16.99,17.059999,16.92,16.98,21700,16.899878
2016-03-23,16.889999,17.00,16.879999,17.00,30400,16.919784
2016-03-22,16.879999,16.90,16.860001,16.860001,42800,16.780445
2016-03-21,16.860001,16.889999,16.860001,16.889999,16000,16.810302
2016-03-18,16.90,16.92,16.860001,16.860001,15700,16.780445
2016-03-17,16.84,16.969999,16.75,16.950001,31300,16.87002
2016-03-16,16.73,16.790001,16.73,16.790001,20200,16.710776
2016-03-15,16.75,16.83,16.73,16.74,13700,16.66101
2016-03-14,16.700001,16.84,16.700001,16.790001,10300,16.710776
2016-03-11,16.76,16.77,16.68,16.68,8400,16.601294
2016-03-10,16.82,16.870001,16.799999,16.799999,17200,16.638119
2016-03-09,16.83,16.93,16.799999,16.799999,13400,16.638119
2016-03-08,16.83,16.940001,16.799999,16.82,45800,16.657926
2016-03-07,16.940001,16.950001,16.84,16.889999,30800,16.727252
2016-03-04,16.85,17.00,16.84,16.84,59000,16.677734
2016-03-03,16.83,16.90,16.83,16.879999,19100,16.717348
2016-03-02,16.809999,16.92,16.799999,16.83,38700,16.66783
2016-03-01,16.90,16.969999,16.83,16.860001,53500,16.697542
2016-02-29,16.76,16.889999,16.76,16.879999,27400,16.717348
2016-02-26,16.780001,16.82,16.75,16.75,26600,16.588601
2016-02-25,16.83,16.85,16.82,16.84,23700,16.677734
2016-02-24,16.780001,16.82,16.75,16.809999,11700,16.648023
