Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,17.42,17.65,17.41,17.629999,12800,17.629999
2016-04-18,17.129999,17.459999,17.129999,17.290001,14800,17.290001
2016-04-15,17.35,17.379999,17.26,17.34,23500,17.34
2016-04-14,17.35,17.549999,17.26,17.40,14700,17.40
2016-04-13,17.360001,17.469999,17.27,17.459999,16000,17.459999
2016-04-12,17.35,17.41,17.10,17.34,17800,17.34
2016-04-11,17.42,17.530001,17.42,17.43,28200,17.147
2016-04-08,17.370001,17.43,17.200001,17.200001,23900,16.920735
2016-04-07,17.280001,17.35,17.110001,17.16,23400,16.881384
2016-04-06,17.48,17.48,17.309999,17.40,25900,17.117487
2016-04-05,17.65,17.66,17.50,17.50,18500,17.215864
2016-04-04,17.76,17.91,17.639999,17.709999,24500,17.422453
2016-04-01,17.610001,17.959999,17.59,17.959999,11300,17.668394
2016-03-31,18.24,18.24,17.790001,17.950001,15500,17.658558
2016-03-30,17.860001,18.139999,17.860001,18.120001,18000,17.825798
2016-03-29,17.43,17.75,17.360001,17.74,14900,17.451967
2016-03-28,17.360001,17.50,17.360001,17.50,8600,17.215864
2016-03-24,17.16,17.48,17.10,17.299999,9500,17.01911
2016-03-23,17.610001,17.610001,17.40,17.50,20100,17.215864
2016-03-22,17.65,17.74,17.60,17.629999,15000,17.343752
2016-03-21,17.67,17.76,17.67,17.68,5900,17.392941
2016-03-18,17.82,17.99,17.77,17.77,15800,17.48148
2016-03-17,17.33,17.74,17.33,17.74,31000,17.451967
2016-03-16,16.809999,17.18,16.809999,17.17,18300,16.891222
2016-03-15,16.92,17.00,16.75,16.940001,36100,16.664957
2016-03-14,17.120001,17.18,17.01,17.059999,24300,16.783007
2016-03-11,17.00,17.200001,17.00,17.17,12500,16.891222
2016-03-10,17.00,17.049999,16.77,16.889999,6200,16.615767
2016-03-09,17.07,17.07,16.85,17.049999,28200,16.773169
2016-03-08,16.92,16.940001,16.790001,16.870001,15900,16.596093
2016-03-07,16.969999,17.129999,16.879999,17.09,6400,16.812521
2016-03-04,17.02,17.110001,16.719999,17.08,15100,16.802683
2016-03-03,16.83,16.84,16.610001,16.809999,29100,16.537066
2016-03-02,16.49,16.77,16.48,16.75,27400,16.478041
2016-03-01,16.23,16.450001,16.219999,16.389999,13900,16.123885
2016-02-29,16.02,16.34,15.96,16.040001,12500,15.77957
2016-02-26,16.08,16.129999,15.81,15.99,13100,15.73038
2016-02-25,15.99,16.040001,15.88,16.040001,25500,15.77957
2016-02-24,15.84,15.96,15.66,15.95,7700,15.69103
