Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,15.80,15.80,15.66,15.73,124200,15.73
2016-04-18,15.71,15.80,15.70,15.80,71400,15.80
2016-04-15,15.65,15.70,15.65,15.65,68900,15.65
2016-04-14,15.61,15.64,15.55,15.63,157400,15.63
2016-04-13,15.68,15.71,15.58,15.59,81400,15.59
2016-04-12,15.68,15.76,15.67,15.76,90000,15.683
2016-04-11,15.66,15.82,15.66,15.68,72200,15.603391
2016-04-08,15.72,15.73,15.64,15.65,46600,15.573537
2016-04-07,15.72,15.74,15.66,15.69,62400,15.613341
2016-04-06,15.59,15.70,15.55,15.69,133700,15.613341
2016-04-05,15.52,15.58,15.52,15.58,69300,15.503879
2016-04-04,15.54,15.55,15.44,15.51,142300,15.434222
2016-04-01,15.54,15.60,15.50,15.51,78500,15.434222
2016-03-31,15.54,15.58,15.50,15.50,95700,15.42427
2016-03-30,15.60,15.64,15.51,15.51,153000,15.434222
2016-03-29,15.58,15.64,15.57,15.60,74500,15.523782
2016-03-28,15.55,15.59,15.55,15.57,25700,15.493928
2016-03-24,15.56,15.60,15.55,15.55,45700,15.474026
2016-03-23,15.55,15.60,15.55,15.59,42000,15.513831
2016-03-22,15.57,15.60,15.54,15.56,60300,15.483977
2016-03-21,15.55,15.56,15.51,15.56,46400,15.483977
2016-03-18,15.58,15.59,15.51,15.54,57400,15.464075
2016-03-17,15.53,15.53,15.48,15.53,67200,15.454123
2016-03-16,15.37,15.52,15.37,15.49,114600,15.414319
2016-03-15,15.44,15.44,15.35,15.38,38700,15.304857
2016-03-14,15.44,15.46,15.36,15.44,75600,15.364563
2016-03-11,15.34,15.46,15.34,15.37,72800,15.294905
2016-03-10,15.45,15.50,15.38,15.50,95800,15.347646
2016-03-09,15.37,15.44,15.37,15.42,55200,15.268433
2016-03-08,15.40,15.45,15.34,15.35,81600,15.199121
2016-03-07,15.36,15.40,15.32,15.40,57000,15.248629
2016-03-04,15.30,15.36,15.27,15.32,69100,15.169415
2016-03-03,15.29,15.31,15.23,15.30,58200,15.149612
2016-03-02,15.14,15.28,15.14,15.24,82400,15.090202
2016-03-01,15.36,15.43,15.15,15.15,166700,15.001086
2016-02-29,15.31,15.31,15.23,15.30,75400,15.149612
2016-02-26,15.38,15.40,15.26,15.27,69100,15.119907
2016-02-25,15.46,15.50,15.38,15.38,88500,15.228826
2016-02-24,15.45,15.50,15.41,15.44,84200,15.288235
2016-02-23,15.27,15.42,15.27,15.41,50200,15.258531
2016-02-22,15.34,15.34,15.23,15.25,44200,15.100103
2016-02-19,15.26,15.31,15.13,15.31,76300,15.159514
2016-02-18,15.18,15.26,15.12,15.25,60300,15.100103
2016-02-17,15.10,15.15,15.01,15.15,106100,15.001086
2016-02-16,15.19,15.20,15.03,15.03,99600,14.882266
2016-02-12,15.34,15.38,15.15,15.24,113400,15.090202
2016-02-11,15.55,15.55,15.26,15.32,117700,15.169415
2016-02-10,15.50,15.56,15.46,15.55,103100,15.320912
2016-02-09,15.36,15.49,15.35,15.49,57600,15.261796
2016-02-08,15.45,15.48,15.38,15.40,61200,15.173121
2016-02-05,15.38,15.49,15.35,15.38,170100,15.153416
2016-02-04,15.31,15.38,15.29,15.33,94700,15.104153
2016-02-03,15.24,15.35,15.20,15.27,90600,15.045037
2016-02-02,15.23,15.25,15.17,15.24,167000,15.015479
2016-02-01,15.22,15.25,15.18,15.24,86200,15.015479
2016-01-29,15.09,15.22,15.07,15.22,69200,14.995774
2016-01-28,14.95,15.09,14.94,15.09,40200,14.867689
2016-01-27,15.06,15.08,14.95,14.95,61800,14.729751
2016-01-26,14.98,15.06,14.95,15.05,90600,14.828278
2016-01-25,15.01,15.01,14.93,14.95,68000,14.729751
2016-01-22,14.99,15.03,14.92,14.95,68000,14.729751
2016-01-21,14.86,14.96,14.76,14.94,63600,14.719898
2016-01-20,14.92,14.93,14.80,14.85,104400,14.631225
2016-01-19,15.05,15.05,14.91,14.91,67200,14.69034
2016-01-15,14.94,15.08,14.93,14.98,110600,14.759309
2016-01-14,14.96,15.02,14.93,14.97,60100,14.749457
2016-01-13,14.97,14.99,14.89,14.91,67800,14.69034
2016-01-12,14.93,15.04,14.91,15.02,71100,14.722855
2016-01-11,15.03,15.04,14.95,14.95,88600,14.654239
2016-01-08,14.96,15.07,14.93,15.06,69200,14.762064
2016-01-07,15.05,15.08,14.87,15.02,86100,14.722855
2016-01-06,14.94,15.07,14.93,15.02,131200,14.722855
2016-01-05,14.86,15.00,14.86,14.99,101900,14.693448
2016-01-04,14.87,14.94,14.79,14.90,94600,14.605228
2015-12-31,14.87,14.92,14.82,14.87,69700,14.575822
2015-12-30,14.73,14.85,14.73,14.80,66100,14.507207
2015-12-29,14.70,14.87,14.65,14.83,110300,14.536613
2015-12-28,14.78,14.79,14.67,14.73,80800,14.438591
2015-12-24,14.74,14.74,14.69,14.74,26700,14.448394
2015-12-23,14.60,14.77,14.57,14.74,125300,14.448394
2015-12-22,14.51,14.63,14.51,14.56,105800,14.271955
2015-12-21,14.65,14.76,14.51,14.51,188100,14.222944
2015-12-18,14.62,14.80,14.62,14.65,95900,14.360174
2015-12-17,14.50,14.73,14.50,14.61,68800,14.320965
2015-12-16,14.44,14.54,14.43,14.51,83500,14.222944
2015-12-15,14.46,14.51,14.46,14.47,56600,14.183736
2015-12-14,14.59,14.59,14.36,14.44,54500,14.154328
2015-12-11,14.68,14.73,14.53,14.55,74400,14.262153
2015-12-10,14.58,14.68,14.54,14.67,60000,14.379779
2015-12-09,14.77,14.77,14.57,14.65,116100,14.276855
2015-12-08,14.68,14.77,14.59,14.74,114100,14.364563
2015-12-07,14.75,14.75,14.62,14.62,100100,14.24762
2015-12-04,14.62,14.78,14.62,14.74,82500,14.364563
2015-12-03,14.73,14.74,14.62,14.66,59200,14.286601
2015-12-02,14.76,14.85,14.76,14.79,54200,14.41329
2015-12-01,14.78,14.84,14.72,14.82,66400,14.442525
2015-11-30,14.67,14.74,14.66,14.72,42900,14.345073
2015-11-27,14.66,14.74,14.66,14.72,13700,14.345073
2015-11-25,14.74,14.74,14.62,14.65,70400,14.276855
2015-11-24,14.68,14.72,14.62,14.67,71200,14.296346
2015-11-23,14.67,14.69,14.62,14.65,46500,14.276855
2015-11-20,14.56,14.64,14.53,14.62,53100,14.24762
2015-11-19,14.49,14.58,14.47,14.52,41700,14.150167
2015-11-18,14.51,14.53,14.47,14.49,40000,14.120931
2015-11-17,14.52,14.55,14.48,14.48,60400,14.111185
2015-11-16,14.51,14.55,14.47,14.52,39400,14.150167
2015-11-13,14.32,14.51,14.31,14.51,94800,14.140422
2015-11-12,14.34,14.46,14.27,14.31,79300,13.945516
2015-11-11,14.36,14.41,14.33,14.40,61800,13.958184
2015-11-10,14.29,14.43,14.29,14.41,81200,13.967878
2015-11-09,14.41,14.41,14.32,14.40,57900,13.958184
2015-11-06,14.61,14.64,14.46,14.47,121800,14.026037
2015-11-05,14.60,14.69,14.57,14.69,78600,14.239287
2015-11-04,14.58,14.65,14.56,14.64,56100,14.190822
2015-11-03,14.65,14.70,14.57,14.62,69000,14.171435
2015-11-02,14.57,14.63,14.50,14.63,70600,14.181128
2015-10-30,14.48,14.55,14.47,14.55,30300,14.103583
2015-10-29,14.42,14.53,14.27,14.51,126700,14.06481
2015-10-28,14.45,14.50,14.38,14.47,54200,14.026037
2015-10-27,14.51,14.55,14.38,14.41,113700,13.967878
2015-10-26,14.41,14.56,14.37,14.53,122700,14.084196
2015-10-23,14.37,14.48,14.34,14.36,85300,13.919412
2015-10-22,14.41,14.47,14.36,14.44,55600,13.996957
2015-10-21,14.28,14.42,14.23,14.41,60500,13.967878
2015-10-20,14.24,14.32,14.21,14.28,136000,13.841866
2015-10-19,14.27,14.30,14.21,14.26,70600,13.82248
2015-10-16,14.26,14.34,14.22,14.28,80000,13.841866
2015-10-15,14.27,14.29,14.22,14.22,83100,13.783708
2015-10-14,14.28,14.34,14.26,14.27,84700,13.832174
2015-10-13,14.26,14.34,14.24,14.26,53000,13.82248
2015-10-12,14.42,14.43,14.33,14.36,57100,13.844774
2015-10-09,14.34,14.45,14.33,14.45,39300,13.931545
2015-10-08,14.35,14.40,14.30,14.38,46700,13.864057
2015-10-07,14.28,14.35,14.22,14.35,85300,13.835134
2015-10-06,14.15,14.27,14.14,14.27,62700,13.758004
2015-10-05,14.27,14.29,14.18,14.18,92900,13.671233
2015-10-02,14.28,14.35,14.25,14.29,46600,13.777286
2015-10-01,14.26,14.27,14.18,14.26,79000,13.748363
2015-09-30,14.14,14.27,14.13,14.21,128100,13.700157
2015-09-29,14.12,14.20,14.09,14.14,60800,13.632669
2015-09-28,14.17,14.21,14.08,14.08,86400,13.574821
2015-09-25,14.20,14.22,14.17,14.18,28400,13.671233
2015-09-24,14.22,14.28,14.17,14.19,50400,13.680874
2015-09-23,14.22,14.26,14.21,14.21,20000,13.700157
2015-09-22,14.18,14.27,14.13,14.23,88800,13.719439
2015-09-21,14.26,14.26,14.15,14.20,57800,13.690515
2015-09-18,14.10,14.27,14.10,14.26,48900,13.748363
2015-09-17,13.98,14.13,13.96,14.13,49900,13.623027
2015-09-16,13.96,14.01,13.95,13.98,38100,13.478408
2015-09-15,14.00,14.05,13.96,13.97,75200,13.468768
2015-09-14,14.22,14.22,14.01,14.02,68100,13.516974
2015-09-11,14.11,14.24,14.11,14.18,35900,13.671233
2015-09-10,14.24,14.37,14.19,14.20,74300,13.616278
2015-09-09,14.35,14.42,14.28,14.28,67600,13.692989
2015-09-08,14.28,14.37,14.26,14.36,109900,13.769701
2015-09-04,14.13,14.32,14.13,14.30,53400,13.712168
2015-09-03,14.06,14.22,14.06,14.19,33700,13.606689
2015-09-02,14.13,14.15,14.06,14.06,46000,13.482033
2015-09-01,14.15,14.17,14.07,14.07,65200,13.491622
2015-08-31,14.09,14.19,14.06,14.12,85600,13.539567
2015-08-28,14.07,14.18,14.04,14.13,40200,13.549156
