Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.90,10.96,10.86,10.91,56000,10.91
2016-04-18,11.00,11.01,10.93,10.94,25900,10.94
2016-04-15,11.01,11.01,10.98,10.98,23900,10.98
2016-04-14,10.98,11.02,10.97,11.01,30900,11.01
2016-04-13,10.98,11.05,10.92,11.01,44000,11.01
2016-04-12,10.91,11.08,10.88,11.07,74600,11.031
2016-04-11,10.98,10.98,10.87,10.93,111300,10.891493
2016-04-08,11.00,11.04,10.94,10.96,114600,10.921387
2016-04-07,11.01,11.01,10.99,10.99,14300,10.951281
2016-04-06,11.01,11.03,11.01,11.01,34800,10.971211
2016-04-05,11.01,11.05,10.98,11.01,50000,10.971211
2016-04-04,11.00,11.04,10.98,11.01,43400,10.971211
2016-04-01,10.99,11.07,10.98,11.00,40100,10.961246
2016-03-31,10.99,11.00,10.93,10.99,52500,10.951281
2016-03-30,10.84,11.00,10.82,10.91,67500,10.871563
2016-03-29,10.76,10.85,10.76,10.83,53100,10.791845
2016-03-28,10.85,10.85,10.76,10.76,36200,10.722092
2016-03-24,10.85,10.86,10.83,10.85,34800,10.811775
2016-03-23,10.78,10.85,10.77,10.85,57200,10.811775
2016-03-22,10.70,10.79,10.70,10.78,29600,10.742021
2016-03-21,10.75,10.75,10.71,10.71,45800,10.672268
2016-03-18,10.78,10.80,10.72,10.75,33000,10.712127
2016-03-17,10.86,10.86,10.73,10.75,44400,10.712127
2016-03-16,10.84,10.88,10.81,10.86,33700,10.821739
2016-03-15,10.93,10.93,10.88,10.93,35200,10.891493
2016-03-14,10.94,10.97,10.88,10.96,34200,10.921387
2016-03-11,10.92,10.92,10.87,10.89,37800,10.851634
2016-03-10,10.93,10.95,10.90,10.95,45000,10.87256
2016-03-09,10.91,10.93,10.89,10.93,39000,10.852702
2016-03-08,10.90,10.96,10.88,10.92,77900,10.842772
2016-03-07,10.86,10.93,10.85,10.93,18600,10.852702
2016-03-04,10.98,10.98,10.86,10.89,23900,10.812985
2016-03-03,10.82,10.99,10.81,10.99,81200,10.912277
2016-03-02,10.80,10.84,10.78,10.82,67500,10.743479
2016-03-01,10.78,10.86,10.73,10.84,75000,10.763338
2016-02-29,10.71,10.80,10.65,10.79,34700,10.713691
2016-02-26,10.75,10.75,10.65,10.67,68100,10.59454
2016-02-25,10.75,10.78,10.73,10.75,31000,10.673974
2016-02-24,10.82,10.84,10.74,10.76,63100,10.683904
2016-02-23,10.76,10.82,10.72,10.82,76600,10.743479
2016-02-22,10.85,10.85,10.77,10.77,53900,10.693833
2016-02-19,10.81,10.88,10.81,10.85,17700,10.773268
2016-02-18,10.74,10.82,10.73,10.81,52400,10.73355
2016-02-17,10.79,10.82,10.74,10.78,48000,10.703762
2016-02-16,10.84,10.86,10.70,10.86,64100,10.783196
2016-02-12,11.01,11.01,10.76,10.76,56700,10.683904
2016-02-11,11.03,11.09,10.98,11.04,67400,10.961923
2016-02-10,11.08,11.08,10.99,11.00,47400,10.922206
2016-02-09,11.05,11.10,11.01,11.10,42000,10.982775
2016-02-08,11.00,11.05,10.94,11.05,53400,10.933303
2016-02-05,10.98,11.05,10.98,11.05,56000,10.933303
2016-02-04,10.94,11.00,10.94,11.00,18100,10.883831
2016-02-03,10.90,10.98,10.89,10.95,35000,10.834359
2016-02-02,10.86,10.91,10.85,10.90,45400,10.784887
2016-02-01,10.85,10.88,10.82,10.88,32500,10.765098
2016-01-29,10.80,10.86,10.80,10.86,45000,10.745309
2016-01-28,10.85,10.85,10.77,10.80,30400,10.685943
2016-01-27,10.79,10.83,10.78,10.80,57600,10.685943
2016-01-26,10.85,10.85,10.70,10.82,88300,10.705732
2016-01-25,10.84,10.87,10.82,10.83,25400,10.715626
2016-01-22,10.81,10.82,10.80,10.81,23600,10.695838
2016-01-21,10.81,10.81,10.79,10.80,25900,10.685943
2016-01-20,10.88,10.88,10.70,10.80,40900,10.685943
2016-01-19,10.89,10.90,10.81,10.88,40900,10.765098
2016-01-15,10.73,10.92,10.73,10.89,59400,10.774993
2016-01-14,10.70,10.82,10.61,10.69,50800,10.577105
2016-01-13,10.78,10.78,10.66,10.69,39900,10.577105
2016-01-12,10.74,10.79,10.65,10.79,52700,10.637461
2016-01-11,10.77,10.77,10.68,10.70,45600,10.548733
2016-01-08,10.80,10.80,10.77,10.77,23000,10.617744
2016-01-07,10.80,10.85,10.72,10.79,59600,10.637461
2016-01-06,10.89,10.95,10.78,10.79,63800,10.637461
2016-01-05,10.83,10.90,10.82,10.88,49400,10.726189
2016-01-04,10.82,10.83,10.79,10.83,29600,10.676895
2015-12-31,10.81,10.88,10.79,10.88,26200,10.726189
2015-12-30,10.79,10.84,10.77,10.82,14600,10.667036
2015-12-29,10.77,10.82,10.73,10.76,30400,10.607885
2015-12-28,10.81,10.81,10.77,10.78,15400,10.627602
2015-12-24,10.81,10.81,10.75,10.79,5100,10.637461
2015-12-23,10.85,10.87,10.73,10.80,44100,10.64732
2015-12-22,10.86,10.86,10.80,10.84,61900,10.686754
2015-12-21,10.88,10.88,10.77,10.86,37800,10.706471
2015-12-18,10.82,10.88,10.78,10.87,38400,10.71633
2015-12-17,10.69,10.85,10.67,10.80,71800,10.64732
2015-12-16,10.58,10.68,10.58,10.68,42200,10.529016
2015-12-15,10.60,10.60,10.35,10.55,85800,10.400854
2015-12-14,10.75,10.75,10.57,10.59,33200,10.440288
2015-12-11,10.65,10.84,10.63,10.74,143600,10.588167
2015-12-10,10.65,10.69,10.63,10.68,33700,10.490568
2015-12-09,10.63,10.65,10.51,10.64,60600,10.451277
2015-12-08,10.61,10.64,10.44,10.64,100300,10.451277
2015-12-07,10.54,10.64,10.54,10.60,57900,10.411987
2015-12-04,10.57,10.61,10.53,10.60,25900,10.411987
2015-12-03,10.59,10.63,10.53,10.54,58100,10.35305
2015-12-02,10.68,10.68,10.57,10.62,73400,10.431631
2015-12-01,10.72,10.79,10.66,10.67,94400,10.480745
2015-11-30,10.64,10.70,10.64,10.67,37700,10.480745
2015-11-27,10.75,10.77,10.61,10.69,50800,10.500389
2015-11-25,10.72,10.77,10.72,10.74,45800,10.549503
2015-11-24,10.74,10.77,10.72,10.72,42500,10.529858
2015-11-23,10.81,10.81,10.74,10.76,38700,10.569148
2015-11-20,10.83,10.90,10.81,10.81,29700,10.618262
2015-11-19,10.90,10.90,10.87,10.89,34700,10.696843
2015-11-18,10.81,10.95,10.79,10.90,59700,10.706665
2015-11-17,10.65,10.83,10.65,10.81,52200,10.614333
2015-11-16,10.75,10.79,10.70,10.70,22200,10.506323
2015-11-13,10.78,10.80,10.74,10.80,35000,10.604513
2015-11-12,10.75,10.78,10.73,10.76,30200,10.565238
2015-11-11,10.70,10.78,10.70,10.74,38700,10.545599
2015-11-10,10.54,10.75,10.52,10.72,33100,10.525962
2015-11-09,10.53,10.61,10.44,10.58,64700,10.350201
2015-11-06,10.70,10.72,10.59,10.59,34500,10.359984
2015-11-05,10.78,10.79,10.74,10.75,61400,10.516509
2015-11-04,10.75,10.79,10.71,10.79,41900,10.55564
2015-11-03,10.76,10.79,10.72,10.73,58900,10.496943
2015-11-02,10.75,10.79,10.73,10.78,56000,10.545857
2015-10-30,10.75,10.75,10.72,10.74,56700,10.506726
2015-10-29,10.72,10.78,10.72,10.75,22900,10.516509
2015-10-28,10.71,10.77,10.69,10.76,46800,10.526292
2015-10-27,10.78,10.78,10.72,10.72,22900,10.487161
2015-10-26,10.78,10.80,10.72,10.75,26700,10.516509
2015-10-23,10.83,10.83,10.71,10.74,36900,10.506726
2015-10-22,10.80,10.80,10.73,10.77,33600,10.536075
2015-10-21,10.80,10.80,10.76,10.78,36700,10.545857
2015-10-20,10.80,10.82,10.72,10.80,18300,10.565423
2015-10-19,10.78,10.80,10.72,10.80,33700,10.565423
2015-10-16,10.79,10.79,10.70,10.72,15700,10.487161
2015-10-15,10.70,10.86,10.67,10.73,50500,10.496943
2015-10-14,10.65,10.70,10.60,10.70,25800,10.467595
2015-10-13,10.61,10.68,10.57,10.68,30500,10.44803
2015-10-12,10.60,10.61,10.49,10.60,35200,10.331615
2015-10-09,10.56,10.59,10.54,10.55,10100,10.282881
2015-10-08,10.52,10.59,10.52,10.54,52900,10.273134
2015-10-07,10.60,10.62,10.52,10.52,47900,10.25364
2015-10-06,10.48,10.60,10.48,10.57,21500,10.302374
2015-10-05,10.64,10.65,10.51,10.55,37500,10.282881
2015-10-02,10.64,10.67,10.54,10.66,29100,10.390095
2015-10-01,10.59,10.63,10.53,10.63,44100,10.360855
2015-09-30,10.52,10.55,10.42,10.55,40400,10.282881
2015-09-29,10.52,10.53,10.43,10.50,24000,10.234146
2015-09-28,10.43,10.50,10.37,10.47,26900,10.204906
2015-09-25,10.46,10.50,10.41,10.46,27400,10.195159
2015-09-24,10.40,10.47,10.37,10.47,52600,10.204906
2015-09-23,10.32,10.46,10.28,10.46,33000,10.195159
2015-09-22,10.26,10.36,10.25,10.29,27500,10.029463
2015-09-21,10.27,10.34,10.27,10.31,23700,10.048957
2015-09-18,10.34,10.46,10.18,10.19,92400,9.931995
2015-09-17,10.29,10.34,10.24,10.32,24800,10.058704
2015-09-16,10.30,10.33,10.24,10.28,20400,10.019716
2015-09-15,10.38,10.38,10.25,10.27,50600,10.00997
2015-09-14,10.43,10.46,10.36,10.36,17700,10.097691
2015-09-11,10.45,10.45,10.28,10.38,140500,10.117185
2015-09-10,10.54,10.54,10.47,10.48,29000,10.176639
2015-09-09,10.50,10.54,10.49,10.54,24400,10.234903
2015-09-08,10.48,10.49,10.46,10.47,7800,10.16693
2015-09-04,10.50,10.54,10.48,10.51,15100,10.205772
2015-09-03,10.53,10.53,10.46,10.51,47400,10.205772
2015-09-02,10.47,10.50,10.40,10.50,21200,10.196061
2015-09-01,10.44,10.50,10.41,10.47,50700,10.16693
2015-08-31,10.27,10.47,10.27,10.42,43400,10.118377
2015-08-28,10.20,10.37,10.15,10.23,50000,9.933876
2015-08-27,10.45,10.46,10.22,10.30,46200,10.00185
2015-08-26,10.51,10.51,10.32,10.37,59900,10.069824
2015-08-25,10.36,10.47,10.34,10.39,31000,10.089245
2015-08-24,10.48,10.48,10.32,10.32,51700,10.021271
2015-08-21,10.48,10.48,10.36,10.37,65500,10.069824
2015-08-20,10.42,10.48,10.40,10.41,12800,10.108666
2015-08-19,10.45,10.48,10.42,10.47,18800,10.16693
2015-08-18,10.49,10.49,10.44,10.46,39700,10.157219
2015-08-17,10.48,10.52,10.44,10.49,56900,10.18635
2015-08-14,10.49,10.49,10.45,10.49,16000,10.18635
2015-08-13,10.44,10.50,10.35,10.50,35500,10.196061
2015-08-12,10.33,10.44,10.33,10.43,21900,10.128087
2015-08-11,10.28,10.38,10.27,10.38,29100,10.041664
2015-08-10,10.24,10.28,10.18,10.26,15500,9.925575
2015-08-07,10.25,10.27,10.20,10.20,31000,9.86753
2015-08-06,10.22,10.23,10.13,10.22,56200,9.886879
2015-08-05,10.23,10.24,10.12,10.14,60800,9.809487
2015-08-04,10.26,10.31,10.23,10.24,39100,9.906227
2015-08-03,10.36,10.36,10.18,10.21,38300,9.877205
2015-07-31,10.28,10.36,10.25,10.31,36300,9.973946
2015-07-30,10.26,10.30,10.25,10.25,42100,9.915901
2015-07-29,10.32,10.39,10.20,10.29,106300,9.954597
2015-07-28,10.33,10.38,10.28,10.32,32100,9.983619
2015-07-27,10.23,10.31,10.23,10.26,23300,9.925575
2015-07-24,10.34,10.34,10.25,10.25,31900,9.915901
2015-07-23,10.41,10.41,10.33,10.35,11500,10.012642
2015-07-22,10.35,10.40,10.35,10.36,19400,10.022315
2015-07-21,10.39,10.41,10.37,10.41,19300,10.070686
2015-07-20,10.37,10.40,10.33,10.40,26900,10.061011
2015-07-17,10.28,10.36,10.28,10.32,20400,9.983619
2015-07-16,10.36,10.42,10.19,10.26,91000,9.925575
2015-07-15,10.33,10.35,10.25,10.31,30100,9.973946
2015-07-14,10.28,10.38,10.28,10.33,34100,9.993293
2015-07-13,10.40,10.40,10.24,10.33,32700,9.993293
2015-07-10,10.33,10.49,10.32,10.40,117400,10.023282
2015-07-09,10.40,10.40,10.31,10.33,8600,9.955818
2015-07-08,10.30,10.40,10.27,10.34,46600,9.965456
2015-07-07,10.34,10.40,10.28,10.33,36100,9.955818
2015-07-06,10.41,10.41,10.20,10.29,52300,9.917267
2015-07-02,10.34,10.38,10.18,10.36,42200,9.984731
2015-07-01,10.32,10.34,10.20,10.24,28400,9.869078
2015-06-30,10.20,10.32,10.15,10.29,33300,9.917267
2015-06-29,10.34,10.34,10.18,10.20,32500,9.830527
2015-06-26,10.30,10.34,10.25,10.27,38900,9.897992
2015-06-25,10.32,10.38,10.21,10.32,25700,9.94618
2015-06-24,10.31,10.43,10.31,10.39,22800,10.013645
2015-06-23,10.27,10.37,10.27,10.34,20700,9.965456
2015-06-22,10.39,10.39,10.25,10.33,17000,9.955818
2015-06-19,10.33,10.38,10.33,10.37,14400,9.994369
2015-06-18,10.24,10.34,10.24,10.31,14900,9.936543
2015-06-17,10.25,10.28,10.13,10.28,42400,9.907629
2015-06-16,10.22,10.27,10.20,10.27,17100,9.897992
2015-06-15,10.26,10.27,10.18,10.21,51500,9.840165
2015-06-12,10.20,10.29,10.20,10.22,43900,9.849803
2015-06-11,10.24,10.38,10.22,10.24,29200,9.869078
2015-06-10,10.21,10.35,10.21,10.34,64900,9.927869
2015-06-09,10.28,10.30,10.19,10.26,54100,9.851058
2015-06-08,10.25,10.30,10.23,10.29,43500,9.879862
2015-06-05,10.27,10.32,10.20,10.29,46000,9.879862
2015-06-04,10.38,10.38,10.29,10.33,11600,9.918268
2015-06-03,10.40,10.40,10.34,10.37,27600,9.956673
2015-06-02,10.36,10.43,10.31,10.42,35200,10.004681
2015-06-01,10.29,10.34,10.23,10.34,31700,9.927869
2015-05-29,10.27,10.28,10.18,10.25,81000,9.841456
2015-05-28,10.31,10.39,10.25,10.29,54400,9.879862
2015-05-27,10.28,10.31,10.27,10.31,30400,9.899065
2015-05-26,10.30,10.31,10.22,10.27,19000,9.86066
2015-05-22,10.38,10.38,10.28,10.29,58400,9.879862
2015-05-21,10.44,10.44,10.33,10.37,117600,9.956673
2015-05-20,10.36,10.44,10.34,10.44,37300,10.023883
2015-05-19,10.36,10.42,10.33,10.42,29400,10.004681
2015-05-18,10.43,10.46,10.34,10.42,44000,10.004681
2015-05-15,10.43,10.48,10.41,10.46,18400,10.043086
2015-05-14,10.46,10.46,10.41,10.46,13100,10.043086
2015-05-13,10.48,10.50,10.44,10.50,17000,10.081492
2015-05-12,10.46,10.52,10.44,10.50,12500,10.044046
2015-05-11,10.42,10.52,10.38,10.51,34800,10.053612
2015-05-08,10.39,10.50,10.39,10.44,24200,9.986651
2015-05-07,10.40,10.47,10.37,10.37,59200,9.919691
2015-05-06,10.45,10.51,10.37,10.48,62500,10.024914
2015-05-05,10.53,10.54,10.44,10.51,44300,10.053612
2015-05-04,10.57,10.57,10.53,10.54,30300,10.082309
2015-05-01,10.66,10.66,10.55,10.55,50300,10.091875
2015-04-30,10.55,10.69,10.53,10.68,82100,10.21623
2015-04-29,10.56,10.63,10.54,10.57,34500,10.111006
2015-04-28,10.56,10.63,10.56,10.61,57300,10.149269
2015-04-27,10.65,10.65,10.58,10.58,23800,10.120572
2015-04-24,10.66,10.66,10.57,10.62,29300,10.158835
2015-04-23,10.66,10.67,10.62,10.65,10700,10.187532
2015-04-22,10.67,10.69,10.65,10.65,11600,10.187532
2015-04-21,10.72,10.73,10.67,10.68,27500,10.21623
2015-04-20,10.65,10.74,10.59,10.73,68000,10.264058
2015-04-17,10.64,10.66,10.64,10.66,10900,10.197098
2015-04-16,10.66,10.68,10.62,10.68,12300,10.21623
2015-04-15,10.68,10.70,10.63,10.69,26900,10.225795
2015-04-14,10.68,10.74,10.66,10.68,50700,10.21623
2015-04-13,10.65,10.73,10.64,10.67,45500,10.206664
2015-04-10,10.74,10.75,10.70,10.72,20800,10.217187
2015-04-09,10.70,10.76,10.69,10.75,43300,10.245779
2015-04-08,10.70,10.72,10.69,10.69,19400,10.188593
2015-04-07,10.67,10.74,10.66,10.74,27600,10.236248
2015-04-06,10.70,10.71,10.66,10.70,20000,10.198124
2015-04-02,10.67,10.70,10.63,10.67,46800,10.169532
2015-04-01,10.66,10.69,10.64,10.68,20800,10.179063
2015-03-31,10.62,10.66,10.53,10.66,22100,10.16
2015-03-30,10.61,10.67,10.59,10.61,27100,10.112345
2015-03-27,10.53,10.64,10.53,10.61,39700,10.112345
2015-03-26,10.50,10.51,10.46,10.51,11500,10.017036
2015-03-25,10.61,10.64,10.52,10.55,11000,10.05516
2015-03-24,10.58,10.63,10.56,10.63,6000,10.131408
2015-03-23,10.52,10.70,10.52,10.63,33600,10.131408
2015-03-20,10.48,10.55,10.48,10.49,51000,9.997974
