Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,3.38,3.40,3.26,3.38,40400,3.38
2016-04-18,3.25,3.40,3.20,3.35,48100,3.35
2016-04-15,3.10,3.35,3.10,3.35,89200,3.35
2016-04-14,3.21,3.21,3.11,3.15,10100,3.15
2016-04-13,3.28,3.28,3.07,3.21,110700,3.21
2016-04-12,3.28,3.32,3.15,3.26,133000,3.26
2016-04-11,2.85,3.39,2.85,3.30,412400,3.30
2016-04-08,2.80,2.83,2.71,2.82,33600,2.82
2016-04-07,2.70,2.81,2.64,2.80,17100,2.80
2016-04-06,2.62,2.74,2.60,2.73,63700,2.73
2016-04-05,2.37,2.57,2.37,2.54,37200,2.54
2016-04-04,2.55,2.57,2.42,2.43,91700,2.43
2016-04-01,2.71,2.73,2.61,2.61,41200,2.61
2016-03-31,2.92,2.92,2.70,2.73,73200,2.73
2016-03-30,3.03,3.03,2.80,2.82,74100,2.82
2016-03-29,2.99,2.99,2.87,2.95,36900,2.95
2016-03-28,2.86,3.04,2.80,2.93,107700,2.92
2016-03-24,2.65,2.73,2.65,2.73,45900,2.720683
2016-03-23,2.80,2.86,2.65,2.71,73400,2.700751
2016-03-22,2.82,2.82,2.64,2.77,92100,2.760546
2016-03-21,2.82,2.90,2.73,2.81,119700,2.80041
2016-03-18,3.44,3.44,2.74,2.76,499300,2.75058
2016-03-17,3.67,3.68,3.50,3.59,134200,3.577747
2016-03-16,3.55,3.65,3.55,3.60,30300,3.587713
2016-03-15,3.60,3.67,3.29,3.58,60200,3.567782
2016-03-14,3.60,3.70,3.44,3.63,110700,3.617611
2016-03-11,3.58,3.64,3.56,3.61,62400,3.597679
2016-03-10,3.77,3.77,3.51,3.54,33800,3.527918
2016-03-09,3.65,3.79,3.57,3.76,43300,3.747167
2016-03-08,3.62,3.79,3.55,3.60,130400,3.587713
2016-03-07,3.50,3.76,3.43,3.60,139500,3.587713
2016-03-04,3.29,3.49,3.20,3.43,93800,3.418294
