Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,51.560001,53.16,51.50,53.029999,518700,53.029999
2016-04-18,50.169998,51.369999,50.09,51.240002,494800,51.240002
2016-04-15,50.91,51.709999,50.75,51.630001,512000,51.630001
2016-04-14,51.860001,51.860001,50.740002,51.009998,495400,51.009998
2016-04-13,51.549999,52.07,51.110001,51.91,332300,51.91
2016-04-12,50.700001,51.720001,50.150002,51.400002,471200,51.400002
2016-04-11,50.580002,50.950001,50.349998,50.43,341900,50.43
2016-04-08,49.759998,50.700001,49.57,50.330002,450900,50.330002
2016-04-07,47.950001,49.380001,47.950001,49.34,590800,49.34
2016-04-06,48.00,48.119999,47.650002,48.099998,457400,48.099998
2016-04-05,48.310001,48.560001,47.490002,47.900002,411200,47.900002
2016-04-04,50.240002,50.380001,48.470001,48.630001,492600,48.630001
2016-04-01,49.639999,50.380001,49.599998,50.200001,643300,50.200001
2016-03-31,49.970001,50.52,49.639999,50.049999,494200,50.049999
2016-03-30,50.98,51.139999,49.849998,50.00,685400,50.00
2016-03-29,49.790001,50.830002,49.209999,50.68,881300,50.68
2016-03-28,51.07,51.25,49.98,50.549999,369300,50.154999
2016-03-24,50.189999,51.209999,50.110001,51.060001,430700,50.661016
2016-03-23,50.880001,51.189999,50.619999,50.669998,464100,50.27406
2016-03-22,50.84,51.310001,50.59,51.060001,531500,50.661016
2016-03-21,50.860001,51.41,50.419998,51.099998,552800,50.700701
2016-03-18,51.200001,51.529999,50.18,51.049999,1271100,50.651092
2016-03-17,50.57,51.34,50.23,51.310001,696900,50.909062
2016-03-16,49.619999,50.419998,48.810001,50.400002,685900,50.006173
2016-03-15,48.869999,49.790001,48.119999,49.619999,652600,49.232266
2016-03-14,48.860001,49.509998,48.689999,49.48,588800,49.09336
2016-03-11,49.639999,49.650002,48.290001,49.240002,742900,48.855238
2016-03-10,48.900002,49.32,48.009998,49.200001,435200,48.81555
2016-03-09,48.799999,49.790001,48.189999,49.560001,677300,49.172737
2016-03-08,48.799999,49.060001,47.50,48.610001,537000,48.23016
2016-03-07,49.189999,49.990002,48.349998,48.919998,832500,48.537735
2016-03-04,48.299999,49.23,47.630001,49.23,675000,48.845314
2016-03-03,46.689999,48.32,46.310001,48.16,842800,47.783675
2016-03-02,45.09,46.650002,44.700001,46.650002,617500,46.285476
2016-03-01,45.880001,45.98,44.98,45.16,540800,44.807117
2016-02-29,45.240002,46.290001,44.91,45.68,365200,45.323055
2016-02-26,45.779999,45.779999,43.970001,45.139999,532000,44.787273
2016-02-25,45.200001,45.580002,44.91,45.290001,283600,44.936103
2016-02-24,44.50,45.32,44.209999,45.259998,416800,44.906334
2016-02-23,46.18,46.18,45.00,45.09,433100,44.737665
2016-02-22,46.610001,47.00,46.080002,46.43,271000,46.067194
2016-02-19,46.549999,47.200001,45.959999,46.209999,446800,45.848912
2016-02-18,46.130001,47.400002,45.799999,47.09,418000,46.722037
2016-02-17,45.07,46.080002,44.939999,45.84,329300,45.481804
2016-02-16,44.990002,45.150002,44.470001,44.880001,283500,44.529307
2016-02-12,44.200001,44.970001,43.970001,44.560001,368500,44.211807
2016-02-11,44.279999,44.689999,43.310001,43.900002,429200,43.556965
2016-02-10,44.939999,45.259998,44.16,44.740002,616000,44.390401
2016-02-09,45.52,46.279999,44.459999,44.939999,746400,44.588835
2016-02-08,45.009998,45.98,44.25,45.84,731900,45.481804
2016-02-05,45.279999,45.799999,43.02,45.290001,767300,44.936103
2016-02-04,46.490002,47.130001,46.189999,46.279999,833800,45.918365
2016-02-03,45.470001,46.41,44.740002,46.360001,469700,45.997741
2016-02-02,44.630001,45.330002,44.540001,44.900002,506000,44.549151
2016-02-01,44.91,45.689999,44.630001,45.419998,555100,45.065084
2016-01-29,44.950001,45.880001,44.330002,45.330002,1845600,44.975791
2016-01-28,44.990002,45.419998,44.130001,44.75,624900,44.400321
2016-01-27,43.509998,44.369999,43.18,44.049999,502000,43.70579
2016-01-26,42.560001,43.84,42.490002,43.720001,710400,43.378371
2016-01-25,43.490002,43.740002,41.84,41.970001,668200,41.642046
2016-01-22,43.970001,44.700001,42.959999,44.009998,828300,43.666102
2016-01-21,42.080002,43.77,41.93,42.939999,859300,42.604463
2016-01-20,41.400002,42.830002,41.09,42.119999,1686100,41.790871
2016-01-19,41.43,42.200001,40.830002,42.040001,1277900,41.711498
2016-01-15,40.220001,41.779999,39.790001,41.400002,1758400,41.0765
2016-01-14,40.27,42.099998,39.950001,41.830002,1243500,41.50314
2016-01-13,41.27,41.27,39.880001,40.040001,586300,39.727126
2016-01-12,41.330002,41.330002,40.029999,40.66,744200,40.342281
2016-01-11,42.23,42.380001,40.52,40.84,743200,40.520874
