Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.66,13.66,13.60,13.65,37500,13.65
2016-04-18,13.62,13.69,13.62,13.66,63400,13.66
2016-04-15,13.55,13.62,13.55,13.62,66300,13.62
2016-04-14,13.56,13.56,13.48,13.55,33200,13.55
2016-04-13,13.56,13.56,13.52,13.56,28500,13.56
2016-04-12,13.60,13.62,13.56,13.56,38900,13.512001
2016-04-11,13.65,13.65,13.56,13.56,47000,13.512001
2016-04-08,13.65,13.65,13.56,13.59,31500,13.541894
2016-04-07,13.60,13.62,13.59,13.59,18800,13.541894
2016-04-06,13.63,13.64,13.53,13.60,33300,13.551859
2016-04-05,13.56,13.62,13.56,13.61,32100,13.561823
2016-04-04,13.55,13.58,13.50,13.55,16900,13.502036
2016-04-01,13.61,13.63,13.46,13.54,34400,13.492071
2016-03-31,13.47,13.89,13.42,13.53,109600,13.482106
2016-03-30,13.42,13.45,13.39,13.44,10900,13.392425
2016-03-29,13.40,13.42,13.36,13.42,17000,13.372496
2016-03-28,13.36,13.41,13.33,13.36,32700,13.312708
2016-03-24,13.33,13.40,13.33,13.36,63100,13.312708
2016-03-23,13.36,13.37,13.33,13.33,9800,13.282814
2016-03-22,13.35,13.40,13.32,13.36,14500,13.312708
2016-03-21,13.34,13.34,13.25,13.33,8100,13.282814
2016-03-18,13.40,13.40,13.25,13.30,56600,13.252921
2016-03-17,13.34,13.40,13.31,13.34,20900,13.292779
2016-03-16,13.33,13.37,13.27,13.34,46500,13.292779
2016-03-15,13.31,13.35,13.26,13.26,7500,13.213062
2016-03-14,13.33,13.33,13.27,13.33,21800,13.282814
2016-03-11,13.35,13.36,13.29,13.30,52100,13.252921
2016-03-10,13.39,13.41,13.36,13.41,35800,13.314701
2016-03-09,13.42,13.49,13.36,13.36,38900,13.265056
2016-03-08,13.38,13.38,13.31,13.37,20800,13.274985
2016-03-07,13.35,13.35,13.19,13.31,38300,13.215412
2016-03-04,13.39,13.39,13.32,13.33,24000,13.23527
2016-03-03,13.40,13.45,13.29,13.39,49600,13.294844
2016-03-02,13.39,13.42,13.30,13.36,44200,13.265056
2016-03-01,13.39,13.44,13.39,13.40,26300,13.304772
2016-02-29,13.36,13.39,13.33,13.39,20500,13.294844
2016-02-26,13.38,13.47,13.33,13.36,36300,13.265056
2016-02-25,13.37,13.49,13.37,13.43,28900,13.334559
2016-02-24,13.33,13.39,13.27,13.37,41900,13.274985
2016-02-23,13.31,13.35,13.30,13.32,14600,13.225341
2016-02-22,13.30,13.40,13.27,13.28,46700,13.185625
2016-02-19,13.32,13.35,13.28,13.35,16900,13.255128
2016-02-18,13.33,13.36,13.31,13.34,23300,13.245199
2016-02-17,13.33,13.35,13.22,13.30,33400,13.205483
2016-02-16,13.34,13.36,13.25,13.25,32800,13.155838
2016-02-12,13.28,13.44,13.28,13.32,26400,13.225341
2016-02-11,13.49,13.49,13.40,13.40,13300,13.304772
2016-02-10,13.50,13.52,13.48,13.48,27300,13.384203
2016-02-09,13.29,13.51,13.29,13.51,24100,13.366332
2016-02-08,13.41,13.54,13.30,13.39,39900,13.247608
2016-02-05,13.37,13.42,13.33,13.41,17800,13.267395
2016-02-04,13.39,13.41,13.32,13.40,15000,13.257501
2016-02-03,13.33,13.37,13.33,13.36,19200,13.217926
