Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.24,14.25,14.20,14.25,6200,14.25
2016-04-18,14.21,14.22,14.17,14.20,6800,14.20
2016-04-15,14.17,14.17,14.15,14.15,4300,14.15
2016-04-14,14.30,14.30,14.12,14.17,14900,14.17
2016-04-13,14.28,14.32,14.25,14.28,7400,14.28
2016-04-12,14.33,14.33,14.28,14.30,16500,14.246
2016-04-11,14.32,14.34,14.28,14.33,7800,14.275886
2016-04-08,14.35,14.35,14.31,14.31,5700,14.255962
2016-04-07,14.30,14.36,14.30,14.35,6300,14.295811
2016-04-06,14.29,14.31,14.23,14.30,10600,14.246
2016-04-05,14.28,14.29,14.20,14.20,13500,14.146377
2016-04-04,14.19,14.19,14.12,14.18,2600,14.126453
2016-04-01,14.12,14.16,14.05,14.15,8500,14.096566
2016-03-31,14.12,14.12,14.04,14.05,9300,13.996944
2016-03-30,14.13,14.17,14.00,14.04,11500,13.986981
2016-03-29,14.07,14.15,14.07,14.13,12900,14.076642
2016-03-28,14.07,14.10,14.05,14.09,13000,14.036793
2016-03-24,13.95,14.06,13.94,14.05,8700,13.996944
2016-03-23,14.13,14.13,13.93,13.94,6300,13.887359
2016-03-22,13.94,14.15,13.94,14.03,3500,13.977019
2016-03-21,13.93,14.08,13.92,13.96,18600,13.907284
2016-03-18,14.00,14.07,13.98,14.00,11000,13.947132
2016-03-17,14.07,14.13,14.06,14.13,4700,14.076642
2016-03-16,13.96,14.08,13.95,14.04,12600,13.986981
2016-03-15,14.16,14.16,13.95,13.95,22300,13.897321
2016-03-14,14.04,14.14,14.03,14.14,5700,14.086604
2016-03-11,14.04,14.14,14.02,14.03,15200,13.977019
2016-03-10,14.02,14.10,14.02,14.04,4200,13.933185
2016-03-09,14.05,14.05,14.02,14.05,2900,13.94311
2016-03-08,14.14,14.15,14.03,14.03,8000,13.923261
2016-03-07,14.02,14.08,14.02,14.02,14200,13.913338
2016-03-04,14.00,14.07,14.00,14.02,6500,13.913338
2016-03-03,14.00,14.09,13.99,13.99,9500,13.883566
2016-03-02,14.06,14.06,13.94,14.06,14400,13.953034
2016-03-01,14.06,14.07,14.03,14.05,9500,13.94311
2016-02-29,13.94,14.01,13.87,14.00,18400,13.89349
2016-02-26,13.96,13.96,13.84,13.91,20800,13.804174
2016-02-25,13.90,13.97,13.84,13.96,26500,13.853794
2016-02-24,13.84,13.90,13.78,13.89,15300,13.784327
2016-02-23,13.72,13.80,13.72,13.78,2800,13.675163
2016-02-22,13.69,13.73,13.66,13.73,16400,13.625543
2016-02-19,13.60,13.67,13.60,13.61,4900,13.506456
2016-02-18,13.62,13.64,13.58,13.64,1700,13.536229
2016-02-17,13.58,13.64,13.58,13.63,6500,13.526305
2016-02-16,13.56,13.62,13.56,13.60,5600,13.496533
2016-02-12,13.62,13.70,13.57,13.57,15200,13.466761
2016-02-11,13.70,13.70,13.70,13.70,000,13.595772
2016-02-10,13.62,13.71,13.62,13.70,5700,13.595772
2016-02-09,13.65,13.74,13.65,13.73,3800,13.571955
2016-02-08,13.69,13.75,13.66,13.68,4100,13.522531
2016-02-05,13.71,13.73,13.67,13.72,3700,13.562071
2016-02-04,13.68,13.76,13.61,13.71,26300,13.552185
2016-02-03,13.61,13.66,13.61,13.66,9600,13.502761
2016-02-02,13.84,13.84,13.58,13.62,23700,13.463221
2016-02-01,13.80,13.88,13.75,13.78,10400,13.621379
2016-01-29,13.69,13.78,13.69,13.74,18000,13.58184
2016-01-28,13.73,13.73,13.59,13.66,4400,13.502761
2016-01-27,13.87,13.91,13.52,13.68,59600,13.522531
2016-01-26,13.81,13.85,13.80,13.83,7700,13.670804
2016-01-25,13.75,13.82,13.75,13.78,10100,13.621379
2016-01-22,13.67,13.81,13.58,13.73,17400,13.571955
2016-01-21,13.51,13.61,13.51,13.61,5300,13.453336
2016-01-20,13.44,13.54,13.41,13.47,15200,13.314948
2016-01-19,13.38,13.45,13.36,13.44,17100,13.285293
2016-01-15,13.29,13.37,13.24,13.36,20600,13.206214
2016-01-14,13.31,13.34,13.26,13.26,8900,13.107366
2016-01-13,13.39,13.39,13.31,13.31,10500,13.15679
2016-01-12,13.46,13.52,13.38,13.44,13400,13.231914
2016-01-11,13.47,13.58,13.37,13.40,25000,13.192534
