Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.78,14.78,14.64,14.65,74500,14.65
2016-04-18,14.74,14.75,14.72,14.73,132000,14.73
2016-04-15,14.60,14.70,14.55,14.70,92800,14.70
2016-04-14,14.53,14.59,14.51,14.57,141700,14.57
2016-04-13,14.51,14.53,14.45,14.52,111800,14.52
2016-04-12,14.51,14.59,14.49,14.57,126400,14.506
2016-04-11,14.48,14.54,14.46,14.51,65400,14.446264
2016-04-08,14.54,14.55,14.49,14.50,61500,14.436308
2016-04-07,14.47,14.49,14.45,14.49,99400,14.426352
2016-04-06,14.41,14.49,14.39,14.44,133800,14.376571
2016-04-05,14.36,14.38,14.34,14.36,87900,14.296922
2016-04-04,14.29,14.32,14.22,14.31,106700,14.247143
2016-04-01,14.28,14.34,14.25,14.29,148800,14.22723
2016-03-31,14.25,14.30,14.22,14.22,157600,14.157538
2016-03-30,14.27,14.27,14.19,14.21,118800,14.147582
2016-03-29,14.24,14.27,14.21,14.22,60400,14.157538
2016-03-28,14.23,14.23,14.16,14.20,76100,14.137625
2016-03-24,14.22,14.28,14.14,14.21,168900,14.147582
2016-03-23,14.19,14.23,14.17,14.23,149100,14.167493
2016-03-22,14.19,14.22,14.16,14.19,77800,14.127669
2016-03-21,14.16,14.21,14.15,14.16,57500,14.097801
2016-03-18,14.17,14.21,14.11,14.15,77500,14.087845
2016-03-17,14.11,14.15,14.10,14.14,61900,14.077889
2016-03-16,14.07,14.10,14.03,14.10,63600,14.038065
2016-03-15,14.11,14.11,14.05,14.05,79000,13.988285
2016-03-14,14.02,14.09,14.02,14.08,62700,14.018153
2016-03-11,14.09,14.09,14.01,14.02,34100,13.958417
2016-03-10,14.09,14.14,14.09,14.11,43300,13.984301
2016-03-09,14.06,14.14,14.06,14.10,58000,13.974391
2016-03-08,14.16,14.16,14.07,14.07,83500,13.944658
2016-03-07,14.16,14.17,14.09,14.14,73900,14.014035
2016-03-04,14.18,14.20,14.13,14.13,138400,14.004124
2016-03-03,14.12,14.18,14.10,14.17,169000,14.043767
2016-03-02,14.10,14.11,14.02,14.11,76900,13.984301
2016-03-01,14.11,14.12,14.07,14.08,121200,13.954569
2016-02-29,14.06,14.10,14.02,14.07,118500,13.944658
2016-02-26,14.03,14.07,14.01,14.02,121600,13.895104
2016-02-25,14.05,14.09,14.03,14.03,149900,13.905014
2016-02-24,14.05,14.08,14.02,14.02,123200,13.895104
2016-02-23,14.03,14.07,14.02,14.05,126500,13.924836
2016-02-22,14.03,14.05,14.00,14.02,84900,13.895104
2016-02-19,14.07,14.07,14.03,14.03,61300,13.905014
2016-02-18,14.06,14.06,14.00,14.04,92900,13.914925
2016-02-17,13.99,14.05,13.99,14.04,99700,13.914925
2016-02-16,14.08,14.08,14.00,14.01,103100,13.885193
2016-02-12,14.12,14.17,14.09,14.10,153300,13.974391
2016-02-11,14.14,14.15,14.06,14.15,217200,14.023945
2016-02-10,14.14,14.15,14.08,14.08,104500,13.954569
2016-02-09,14.12,14.18,14.12,14.16,69500,13.970426
2016-02-08,14.10,14.12,14.09,14.12,66900,13.930962
2016-02-05,14.08,14.13,14.02,14.06,139300,13.871765
2016-02-04,14.03,14.03,13.99,14.02,69100,13.832301
2016-02-03,14.02,14.06,14.00,14.02,117400,13.832301
2016-02-02,13.98,14.02,13.98,13.99,158900,13.802702
2016-02-01,13.99,14.01,13.95,13.99,53200,13.802702
2016-01-29,13.89,13.95,13.89,13.95,57300,13.763238
2016-01-28,13.91,13.91,13.79,13.87,93400,13.684309
2016-01-27,13.89,13.90,13.83,13.86,43500,13.674442
2016-01-26,13.77,13.85,13.76,13.85,47000,13.664577
2016-01-25,13.76,13.82,13.76,13.79,62700,13.60538
2016-01-22,13.83,13.85,13.78,13.81,81500,13.625112
2016-01-21,13.72,13.79,13.62,13.79,110400,13.60538
2016-01-20,13.86,13.87,13.67,13.73,138600,13.546183
2016-01-19,13.89,13.89,13.81,13.82,75600,13.634978
2016-01-15,13.89,13.91,13.81,13.84,80600,13.654711
2016-01-14,13.87,13.90,13.83,13.86,101300,13.674442
2016-01-13,13.89,13.89,13.82,13.86,143400,13.674442
2016-01-12,13.91,13.94,13.87,13.94,96200,13.690228
2016-01-11,13.95,13.95,13.87,13.90,161900,13.650945
2016-01-08,13.90,13.99,13.87,13.99,246600,13.739332
2016-01-07,13.99,13.99,13.88,13.90,125400,13.650945
2016-01-06,13.97,14.01,13.88,13.93,112100,13.680408
2016-01-05,13.83,13.90,13.78,13.90,134000,13.650945
2016-01-04,13.79,13.81,13.77,13.80,74900,13.552737
2015-12-31,13.82,13.85,13.73,13.79,110700,13.542916
2015-12-30,13.69,13.78,13.67,13.75,90900,13.503633
2015-12-29,13.63,13.71,13.62,13.69,86400,13.444707
2015-12-28,13.69,13.73,13.65,13.70,67000,13.454528
2015-12-24,13.67,13.69,13.64,13.69,28000,13.444707
2015-12-23,13.57,13.65,13.57,13.62,80400,13.375962
2015-12-22,13.57,13.57,13.53,13.55,61700,13.307216
2015-12-21,13.56,13.59,13.54,13.55,50200,13.307216
2015-12-18,13.51,13.58,13.50,13.53,149400,13.287574
2015-12-17,13.41,13.54,13.41,13.51,109800,13.267933
2015-12-16,13.32,13.45,13.27,13.43,65800,13.189366
2015-12-15,13.33,13.37,13.27,13.37,59500,13.130441
2015-12-14,13.47,13.47,13.27,13.31,75900,13.071517
2015-12-11,13.53,13.55,13.44,13.44,78100,13.199187
2015-12-10,13.58,13.58,13.54,13.55,59400,13.242399
2015-12-09,13.50,13.57,13.49,13.55,147600,13.242399
2015-12-08,13.46,13.50,13.43,13.50,95900,13.193534
2015-12-07,13.44,13.44,13.39,13.42,31300,13.11535
2015-12-04,13.39,13.44,13.37,13.41,89700,13.105577
2015-12-03,13.46,13.46,13.33,13.39,130100,13.086031
2015-12-02,13.51,13.52,13.45,13.46,53600,13.154442
2015-12-01,13.44,13.51,13.40,13.51,124900,13.203307
2015-11-30,13.41,13.41,13.35,13.40,35500,13.095803
2015-11-27,13.44,13.45,13.38,13.41,21400,13.105577
2015-11-25,13.41,13.41,13.37,13.40,72300,13.095803
2015-11-24,13.39,13.39,13.35,13.36,54100,13.056712
2015-11-23,13.37,13.37,13.30,13.36,83900,13.056712
2015-11-20,13.27,13.33,13.27,13.33,90200,13.027393
2015-11-19,13.31,13.32,13.24,13.27,75400,12.968755
2015-11-18,13.27,13.29,13.21,13.27,62100,12.968755
2015-11-17,13.28,13.30,13.24,13.25,84400,12.949209
2015-11-16,13.26,13.28,13.26,13.27,41300,12.968755
2015-11-13,13.22,13.31,13.19,13.24,91700,12.939436
2015-11-12,13.16,13.21,13.15,13.18,121600,12.880798
2015-11-11,13.13,13.16,13.08,13.15,89300,12.851479
2015-11-10,13.03,13.13,13.02,13.11,60700,12.812387
2015-11-09,13.18,13.18,13.07,13.09,146600,12.730295
2015-11-06,13.37,13.37,13.23,13.26,107100,12.895623
2015-11-05,13.43,13.44,13.36,13.43,104600,13.060952
2015-11-04,13.39,13.43,13.37,13.43,61100,13.060952
2015-11-03,13.39,13.44,13.38,13.41,98000,13.041501
2015-11-02,13.42,13.44,13.36,13.44,96500,13.070676
2015-10-30,13.36,13.39,13.36,13.39,41200,13.022051
2015-10-29,13.34,13.37,13.33,13.37,43100,13.0026
2015-10-28,13.33,13.40,13.33,13.37,59400,13.0026
2015-10-27,13.36,13.40,13.34,13.35,82900,12.98315
2015-10-26,13.35,13.38,13.34,13.35,29900,12.98315
2015-10-23,13.30,13.34,13.29,13.33,129100,12.963699
2015-10-22,13.25,13.31,13.23,13.30,54100,12.934524
2015-10-21,13.21,13.24,13.20,13.22,51700,12.856722
2015-10-20,13.18,13.20,13.16,13.20,161100,12.837272
2015-10-19,13.24,13.29,13.18,13.18,118900,12.817822
2015-10-16,13.25,13.25,13.19,13.25,78900,12.885898
2015-10-15,13.19,13.23,13.19,13.22,87400,12.856722
2015-10-14,13.17,13.23,13.17,13.19,66600,12.827546
2015-10-13,13.13,13.17,13.11,13.16,56400,12.798371
2015-10-12,13.17,13.20,13.14,13.16,103400,12.73613
2015-10-09,13.19,13.19,13.15,13.18,28600,12.755486
2015-10-08,13.19,13.22,13.17,13.20,56600,12.774841
2015-10-07,13.16,13.21,13.14,13.20,66400,12.774841
2015-10-06,13.15,13.20,13.12,13.19,64300,12.765163
2015-10-05,13.17,13.17,13.12,13.13,72500,12.707096
2015-10-02,13.10,13.20,13.10,13.17,126400,12.745808
2015-10-01,13.14,13.14,13.09,13.09,86600,12.668385
2015-09-30,13.14,13.15,13.10,13.10,35700,12.678063
2015-09-29,13.11,13.13,13.10,13.11,49600,12.68774
2015-09-28,13.12,13.12,13.09,13.11,53600,12.68774
2015-09-25,13.10,13.11,13.07,13.10,13000,12.678063
2015-09-24,13.12,13.12,12.71,13.10,83500,12.678063
2015-09-23,13.08,13.10,13.03,13.09,46800,12.668385
2015-09-22,13.05,13.09,13.03,13.07,102600,12.649028
2015-09-21,13.08,13.08,13.02,13.02,24100,12.60064
2015-09-18,13.00,13.09,12.99,13.05,77000,12.629673
2015-09-17,12.89,13.01,12.87,13.00,84400,12.581283
2015-09-16,12.88,12.88,12.83,12.87,88800,12.45547
2015-09-15,12.91,12.92,12.84,12.87,44800,12.45547
2015-09-14,12.98,12.98,12.89,12.89,95000,12.474827
2015-09-11,12.97,12.99,12.95,12.95,50000,12.532894
2015-09-10,13.12,13.16,13.03,13.05,163500,12.567734
2015-09-09,13.11,13.16,13.11,13.14,60200,12.654409
2015-09-08,13.10,13.17,13.07,13.11,49300,12.625517
2015-09-04,12.98,13.17,12.98,13.15,111500,12.664038
2015-09-03,13.02,13.05,12.99,13.04,60300,12.558104
2015-09-02,13.01,13.02,12.95,12.97,30100,12.490691
2015-09-01,13.00,13.04,12.96,13.04,82600,12.558104
2015-08-31,12.98,13.00,12.95,13.00,36500,12.519582
2015-08-28,12.93,13.01,12.92,12.98,46900,12.500321
2015-08-27,12.95,12.97,12.89,12.95,110200,12.471429
2015-08-26,13.04,13.04,12.92,12.92,101600,12.442538
2015-08-25,13.01,13.04,13.00,13.04,65200,12.558104
2015-08-24,13.02,13.08,12.94,12.99,174900,12.509951
2015-08-21,13.10,13.12,13.08,13.10,160600,12.615887
2015-08-20,13.03,13.10,13.02,13.09,103600,12.606256
2015-08-19,13.02,13.06,13.02,13.04,24800,12.558104
2015-08-18,13.08,13.09,13.02,13.03,36300,12.548473
2015-08-17,13.12,13.13,13.07,13.07,27900,12.586995
2015-08-14,13.13,13.13,13.08,13.10,35900,12.615887
2015-08-13,13.14,13.15,13.10,13.12,50600,12.635147
2015-08-12,13.18,13.20,13.12,13.12,74000,12.635147
