Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.12,14.12,14.01,14.01,64800,14.01
2016-04-18,14.04,14.15,14.04,14.11,16400,14.11
2016-04-15,14.02,14.14,14.02,14.14,28500,14.14
2016-04-14,14.02,14.07,14.02,14.04,16700,14.04
2016-04-13,14.02,14.07,14.02,14.03,20200,14.03
2016-04-12,14.08,14.10,14.07,14.07,25500,14.021
2016-04-11,14.06,14.09,14.03,14.06,14200,14.011035
2016-04-08,14.04,14.12,14.01,14.06,32200,14.011035
2016-04-07,14.03,14.07,14.00,14.02,19900,13.971175
2016-04-06,13.92,14.05,13.92,14.05,38700,14.00107
2016-04-05,13.91,13.97,13.90,13.90,39200,13.851592
2016-04-04,13.92,13.92,13.84,13.92,26200,13.871523
2016-04-01,13.85,13.92,13.82,13.88,43400,13.831662
2016-03-31,13.77,13.80,13.75,13.78,17700,13.73201
2016-03-30,13.77,13.79,13.66,13.75,54700,13.702115
2016-03-29,13.75,13.80,13.73,13.75,21500,13.702115
2016-03-28,13.76,13.76,13.67,13.75,35700,13.702115
2016-03-24,13.74,13.77,13.68,13.70,18300,13.652288
2016-03-23,13.68,13.75,13.68,13.72,50800,13.672219
2016-03-22,13.69,13.76,13.68,13.70,69500,13.652288
2016-03-21,13.70,13.74,13.62,13.71,68200,13.662254
2016-03-18,13.65,13.70,13.65,13.67,20700,13.622393
2016-03-17,13.65,13.66,13.60,13.64,30800,13.592498
2016-03-16,13.53,13.62,13.50,13.60,24400,13.552637
2016-03-15,13.53,13.59,13.51,13.52,24500,13.472916
2016-03-14,13.45,13.51,13.45,13.51,23000,13.462951
2016-03-11,13.55,13.55,13.45,13.45,27800,13.403159
2016-03-10,13.55,13.56,13.50,13.51,28400,13.414121
2016-03-09,13.66,13.69,13.51,13.51,71400,13.414121
2016-03-08,13.53,13.67,13.50,13.62,49800,13.52334
2016-03-07,13.51,13.52,13.42,13.47,62500,13.374405
2016-03-04,13.60,13.61,13.48,13.48,128400,13.384334
2016-03-03,13.59,13.59,13.55,13.58,20200,13.483624
2016-03-02,13.61,13.61,13.55,13.57,21900,13.473695
2016-03-01,13.60,13.60,13.53,13.56,37100,13.463767
2016-02-29,13.58,13.60,13.56,13.60,12300,13.503483
2016-02-26,13.58,13.59,13.50,13.53,21500,13.433979
2016-02-25,13.58,13.62,13.58,13.59,10100,13.493553
2016-02-24,13.58,13.62,13.52,13.58,18400,13.483624
2016-02-23,13.54,13.65,13.51,13.65,24800,13.553127
2016-02-22,13.54,13.59,13.50,13.50,28400,13.404192
2016-02-19,13.65,13.65,13.51,13.53,28200,13.433979
2016-02-18,13.49,13.73,13.48,13.73,19100,13.632559
2016-02-17,13.59,13.62,13.49,13.54,21800,13.443908
2016-02-16,13.64,13.64,13.52,13.55,43100,13.453837
2016-02-12,13.71,13.72,13.55,13.59,26400,13.493553
2016-02-11,13.86,13.87,13.65,13.66,52500,13.563056
2016-02-10,13.67,13.69,13.65,13.65,20600,13.553127
2016-02-09,13.67,13.72,13.67,13.71,13900,13.564049
2016-02-08,13.73,13.75,13.60,13.68,34700,13.534369
2016-02-05,13.61,13.71,13.60,13.63,27300,13.484901
2016-02-04,13.62,13.64,13.57,13.58,27700,13.435433
2016-02-03,13.53,13.62,13.53,13.57,32400,13.425539
