Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.89,14.89,14.76,14.77,122400,14.77
2016-04-18,14.80,14.87,14.80,14.84,61400,14.84
2016-04-15,14.76,14.82,14.76,14.82,43900,14.82
2016-04-14,14.75,14.81,14.70,14.70,100900,14.70
2016-04-13,14.80,14.81,14.72,14.75,112700,14.75
2016-04-12,14.85,14.87,14.80,14.87,145700,14.801
2016-04-11,14.72,14.80,14.72,14.80,71600,14.731325
2016-04-08,14.72,14.75,14.71,14.73,34200,14.661649
2016-04-07,14.64,14.76,14.62,14.73,71700,14.661649
2016-04-06,14.65,14.74,14.65,14.67,111600,14.601928
2016-04-05,14.60,14.69,14.60,14.69,73400,14.621835
2016-04-04,14.55,14.60,14.55,14.60,53200,14.532253
2016-04-01,14.62,14.82,14.52,14.58,137800,14.512345
2016-03-31,14.49,14.58,14.48,14.57,127000,14.502392
2016-03-30,14.42,14.49,14.40,14.45,105700,14.382949
2016-03-29,14.34,14.46,14.34,14.42,166600,14.353088
2016-03-28,14.32,14.37,14.32,14.36,66000,14.293366
2016-03-24,14.37,14.37,14.31,14.35,107800,14.283413
2016-03-23,14.37,14.37,14.34,14.36,125800,14.293366
2016-03-22,14.28,14.36,14.28,14.35,132300,14.283413
2016-03-21,14.30,14.31,14.29,14.29,43700,14.223691
2016-03-18,14.32,14.40,14.32,14.32,98100,14.253552
2016-03-17,14.32,14.35,14.31,14.33,87200,14.263506
2016-03-16,14.20,14.28,14.20,14.28,104000,14.213737
2016-03-15,14.26,14.27,14.21,14.21,81200,14.144062
2016-03-14,14.30,14.30,14.24,14.27,86400,14.203784
2016-03-11,14.23,14.28,14.23,14.27,79100,14.203784
2016-03-10,14.31,14.33,14.29,14.31,116700,14.174919
2016-03-09,14.28,14.28,14.25,14.27,68600,14.135297
2016-03-08,14.24,14.31,14.23,14.26,86400,14.125391
2016-03-07,14.22,14.24,14.16,14.23,114900,14.095673
2016-03-04,14.24,14.29,14.20,14.23,160800,14.095673
2016-03-03,14.17,14.23,14.17,14.23,71500,14.095673
2016-03-02,14.29,14.30,14.17,14.21,234700,14.075863
2016-03-01,14.38,14.38,14.29,14.29,157500,14.155107
2016-02-29,14.34,14.35,14.31,14.35,87500,14.214541
2016-02-26,14.29,14.34,14.28,14.33,70600,14.19473
2016-02-25,14.32,14.34,14.30,14.34,48300,14.204636
2016-02-24,14.26,14.32,14.26,14.32,45100,14.184824
2016-02-23,14.25,14.29,14.24,14.29,70900,14.155107
2016-02-22,14.31,14.31,14.22,14.27,74200,14.135297
2016-02-19,14.19,14.30,14.19,14.27,92300,14.135297
2016-02-18,14.16,14.22,14.15,14.22,108600,14.085768
2016-02-17,14.17,14.19,14.13,14.15,68500,14.016429
2016-02-16,14.22,14.22,14.14,14.16,154100,14.026334
2016-02-12,14.32,14.39,14.20,14.21,204300,14.075863
2016-02-11,14.40,14.41,14.32,14.32,89800,14.184824
2016-02-10,14.38,14.40,14.35,14.35,58100,14.214541
2016-02-09,14.38,14.45,14.38,14.44,104100,14.235343
2016-02-08,14.43,14.43,14.39,14.40,74600,14.19591
2016-02-05,14.40,14.41,14.35,14.37,64700,14.166335
2016-02-04,14.34,14.37,14.32,14.37,62300,14.166335
2016-02-03,14.31,14.37,14.29,14.33,84100,14.126902
2016-02-02,14.29,14.35,14.26,14.30,133500,14.097328
2016-02-01,14.29,14.30,14.25,14.27,75200,14.067753
2016-01-29,14.22,14.29,14.22,14.25,70900,14.048036
2016-01-28,14.13,14.20,14.12,14.20,60000,13.998744
2016-01-27,14.13,14.16,14.10,14.11,56700,13.91002
2016-01-26,14.05,14.16,14.05,14.13,109100,13.929737
2016-01-25,14.10,14.15,14.04,14.04,97900,13.841012
2016-01-22,14.03,14.16,14.00,14.10,91500,13.900162
2016-01-21,14.05,14.05,13.98,14.03,90600,13.831154
2016-01-20,14.11,14.13,13.87,14.01,120100,13.811438
2016-01-19,14.21,14.21,14.11,14.12,71500,13.919878
2016-01-15,14.12,14.21,14.12,14.14,103500,13.939595
2016-01-14,14.10,14.16,14.07,14.15,152200,13.949453
2016-01-13,14.18,14.18,14.05,14.08,101300,13.880445
2016-01-12,14.22,14.23,14.19,14.22,80300,13.950439
2016-01-11,14.23,14.27,14.21,14.22,94000,13.950439
2016-01-08,14.35,14.37,14.21,14.24,167700,13.970059
2016-01-07,14.35,14.46,14.32,14.35,115100,14.077975
2016-01-06,14.26,14.37,14.26,14.35,67800,14.077975
2016-01-05,14.14,14.29,14.14,14.26,83400,13.989681
2016-01-04,14.12,14.19,14.07,14.19,94600,13.921007
2015-12-31,14.20,14.22,14.10,14.10,108300,13.832714
2015-12-30,14.00,14.14,13.98,14.14,142400,13.871956
2015-12-29,13.97,14.00,13.94,14.00,60200,13.734609
2015-12-28,13.94,14.00,13.92,13.97,64300,13.705178
2015-12-24,13.93,13.94,13.87,13.91,30800,13.646315
2015-12-23,13.92,13.94,13.88,13.88,87400,13.616884
2015-12-22,13.87,13.91,13.84,13.91,53000,13.646315
2015-12-21,13.88,13.90,13.85,13.86,91100,13.597263
2015-12-18,13.83,13.89,13.79,13.84,135500,13.577642
2015-12-17,13.72,13.81,13.69,13.81,116700,13.548211
2015-12-16,13.64,13.69,13.61,13.65,121600,13.391244
2015-12-15,13.62,13.67,13.58,13.65,114400,13.391244
2015-12-14,13.72,13.72,13.56,13.57,91400,13.31276
2015-12-11,13.79,13.79,13.66,13.67,62600,13.410865
2015-12-10,13.82,13.83,13.77,13.82,48600,13.483461
2015-12-09,13.80,13.85,13.78,13.82,134600,13.483461
2015-12-08,13.70,13.79,13.68,13.79,123300,13.454192
2015-12-07,13.70,13.71,13.63,13.70,115400,13.366384
2015-12-04,13.58,13.69,13.58,13.67,69700,13.337115
2015-12-03,13.71,13.71,13.55,13.62,144100,13.288332
2015-12-02,13.70,13.74,13.68,13.71,114900,13.37614
2015-12-01,13.72,13.77,13.68,13.71,91300,13.37614
2015-11-30,13.67,13.69,13.65,13.69,89300,13.356627
2015-11-27,13.64,13.65,13.58,13.64,28400,13.307845
2015-11-25,13.66,13.66,13.58,13.64,50800,13.307845
2015-11-24,13.60,13.63,13.58,13.61,74500,13.278575
2015-11-23,13.56,13.63,13.56,13.59,57500,13.259063
2015-11-20,13.54,13.56,13.51,13.55,61400,13.220037
2015-11-19,13.45,13.50,13.45,13.49,112700,13.161498
2015-11-18,13.43,13.49,13.42,13.44,63600,13.112715
2015-11-17,13.49,13.51,13.41,13.43,98800,13.102959
2015-11-16,13.48,13.50,13.46,13.48,51600,13.151741
2015-11-13,13.44,13.51,13.38,13.46,73600,13.132228
2015-11-12,13.43,13.47,13.39,13.39,84200,13.063933
2015-11-11,13.39,13.45,13.38,13.41,57000,13.083446
2015-11-10,13.30,13.45,13.29,13.43,114700,13.102959
2015-11-09,13.46,13.47,13.32,13.36,194000,12.967344
2015-11-06,13.68,13.68,13.49,13.50,233100,13.10323
2015-11-05,13.73,13.75,13.68,13.74,136600,13.336176
2015-11-04,13.80,13.81,13.74,13.74,84500,13.336176
2015-11-03,13.75,13.81,13.75,13.80,139600,13.394413
2015-11-02,13.72,13.80,13.68,13.75,88400,13.345882
2015-10-30,13.67,13.71,13.66,13.70,24700,13.297351
2015-10-29,13.72,13.78,13.66,13.69,89000,13.287645
2015-10-28,13.66,13.79,13.66,13.72,99800,13.316764
2015-10-27,13.63,13.67,13.62,13.63,81500,13.229409
2015-10-26,13.62,13.65,13.61,13.63,46700,13.229409
2015-10-23,13.68,13.68,13.60,13.61,93500,13.209996
2015-10-22,13.62,13.70,13.62,13.69,93100,13.287645
2015-10-21,13.66,13.66,13.59,13.61,82400,13.209996
2015-10-20,13.64,13.65,13.54,13.63,146100,13.229409
2015-10-19,13.58,13.65,13.53,13.65,174100,13.248821
2015-10-16,13.54,13.60,13.50,13.58,51000,13.180878
2015-10-15,13.56,13.59,13.48,13.54,139600,13.142054
2015-10-14,13.54,13.56,13.52,13.55,43300,13.15176
2015-10-13,13.54,13.54,13.46,13.51,127200,13.112936
2015-10-12,13.56,13.60,13.52,13.57,87300,13.1042
2015-10-09,13.56,13.60,13.56,13.58,31400,13.113857
2015-10-08,13.55,13.61,13.51,13.61,73000,13.142827
2015-10-07,13.48,13.55,13.47,13.53,78700,13.065573
2015-10-06,13.50,13.53,13.48,13.53,40800,13.065573
2015-10-05,13.48,13.54,13.46,13.48,61900,13.017289
2015-10-02,13.48,13.52,13.47,13.50,103300,13.036603
2015-10-01,13.44,13.52,13.43,13.45,147600,12.988319
2015-09-30,13.39,13.43,13.36,13.40,67200,12.940035
2015-09-29,13.38,13.43,13.37,13.37,30900,12.911065
2015-09-28,13.44,13.46,13.36,13.39,97300,12.930379
2015-09-25,13.44,13.44,13.41,13.44,35500,12.978662
2015-09-24,13.45,13.47,13.39,13.43,80200,12.969006
2015-09-23,13.42,13.45,13.37,13.45,69300,12.988319
2015-09-22,13.29,13.41,13.29,13.41,145600,12.949692
2015-09-21,13.34,13.35,13.29,13.32,66100,12.862781
2015-09-18,13.27,13.38,13.25,13.34,135700,12.882095
2015-09-17,13.11,13.29,13.11,13.29,113300,12.833811
2015-09-16,13.07,13.11,13.07,13.09,86500,12.640676
2015-09-15,13.14,13.16,13.05,13.05,118500,12.60205
2015-09-14,13.25,13.26,13.16,13.16,158900,12.708273
2015-09-11,13.22,13.25,13.19,13.22,80700,12.766214
2015-09-10,13.30,13.33,13.25,13.29,123300,12.76718
2015-09-09,13.30,13.32,13.27,13.30,93100,12.776787
2015-09-08,13.25,13.34,13.24,13.30,80000,12.776787
2015-09-04,13.25,13.31,13.23,13.30,98900,12.776787
2015-09-03,13.20,13.25,13.16,13.25,85700,12.728753
2015-09-02,13.20,13.24,13.14,13.15,121000,12.632687
2015-09-01,13.20,13.49,13.19,13.25,124300,12.728753
2015-08-31,13.22,13.25,13.18,13.19,84800,12.671113
2015-08-28,13.16,13.22,13.11,13.22,69000,12.699934
2015-08-27,13.11,13.17,13.08,13.16,141700,12.642294
2015-08-26,13.27,13.27,13.09,13.11,139800,12.594261
2015-08-25,13.29,13.31,13.20,13.25,153800,12.728753
2015-08-24,13.36,13.36,13.29,13.29,138400,12.76718
2015-08-21,13.43,13.45,13.38,13.40,66300,12.872852
2015-08-20,13.40,13.40,13.34,13.40,64100,12.872852
2015-08-19,13.34,13.39,13.27,13.36,80700,12.834426
2015-08-18,13.31,13.35,13.30,13.35,91200,12.82482
2015-08-17,13.40,13.42,13.37,13.37,55500,12.844033
2015-08-14,13.42,13.42,13.33,13.39,49000,12.863246
2015-08-13,13.44,13.47,13.39,13.39,78000,12.863246
2015-08-12,13.47,13.50,13.44,13.46,70800,12.930492
2015-08-11,13.35,13.55,13.34,13.55,172200,12.950666
2015-08-10,13.29,13.35,13.27,13.34,202000,12.749955
2015-08-07,13.21,13.30,13.21,13.29,100900,12.702166
2015-08-06,13.15,13.23,13.15,13.20,67700,12.616147
2015-08-05,13.25,13.27,13.12,13.19,192500,12.606589
2015-08-04,13.29,13.33,13.29,13.29,140500,12.702166
2015-08-03,13.32,13.80,13.27,13.33,188800,12.740397
2015-07-31,13.26,13.27,13.23,13.27,95200,12.683051
2015-07-30,13.20,13.23,13.20,13.22,84000,12.635263
2015-07-29,13.17,13.18,13.15,13.18,83600,12.597032
2015-07-28,13.15,13.19,13.11,13.15,94400,12.568358
2015-07-27,13.17,13.19,13.15,13.17,48300,12.587474
2015-07-24,13.10,13.16,13.10,13.14,58600,12.558801
2015-07-23,13.09,13.12,13.05,13.11,139900,12.530127
2015-07-22,13.11,13.12,13.07,13.07,82900,12.491897
2015-07-21,13.09,13.11,13.06,13.11,85100,12.530127
2015-07-20,13.12,13.13,13.07,13.09,74700,12.511012
2015-07-17,13.11,13.12,13.09,13.12,32900,12.539685
2015-07-16,13.08,13.14,13.06,13.14,75900,12.558801
2015-07-15,13.07,13.09,13.04,13.07,47300,12.491897
2015-07-14,13.06,13.08,13.03,13.07,90400,12.491897
2015-07-13,13.07,13.09,13.03,13.08,140300,12.501455
2015-07-10,13.16,13.16,13.11,13.15,83100,12.50241
2015-07-09,13.16,13.21,13.15,13.17,118500,12.521425
2015-07-08,13.16,13.25,13.15,13.19,93700,12.54044
2015-07-07,13.13,13.20,13.13,13.16,109100,12.511918
2015-07-06,13.08,13.14,13.08,13.10,126300,12.454873
2015-07-02,13.17,13.17,13.09,13.10,80300,12.454873
2015-07-01,13.18,13.18,13.10,13.15,131600,12.50241
2015-06-30,13.04,13.14,13.03,13.14,224800,12.492903
2015-06-29,13.09,13.10,13.00,13.04,117200,12.397827
2015-06-26,13.19,13.19,13.08,13.08,187100,12.435857
2015-06-25,13.23,13.25,13.15,13.22,208900,12.568963
2015-06-24,13.23,13.25,13.22,13.25,74300,12.597486
