Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.77,13.77,13.70,13.73,94100,13.73
2016-04-18,13.74,13.78,13.70,13.77,150900,13.77
2016-04-15,13.68,13.76,13.66,13.69,180000,13.69
2016-04-14,13.65,13.73,13.65,13.69,108400,13.69
2016-04-13,13.75,13.75,13.66,13.69,147200,13.69
2016-04-12,13.80,13.80,13.71,13.78,175100,13.721
2016-04-11,13.64,13.76,13.64,13.75,199500,13.691128
2016-04-08,13.71,13.73,13.64,13.64,119800,13.5816
2016-04-07,13.67,13.67,13.65,13.67,112600,13.611471
2016-04-06,13.60,13.67,13.58,13.66,188200,13.601513
2016-04-05,13.50,13.59,13.50,13.59,136500,13.531813
2016-04-04,13.50,13.50,13.44,13.50,139100,13.442199
2016-04-01,13.44,13.47,13.42,13.42,132900,13.362541
2016-03-31,13.44,13.47,13.37,13.44,258100,13.382455
2016-03-30,13.40,13.42,13.37,13.40,132200,13.342626
2016-03-29,13.36,13.40,13.32,13.40,178100,13.342626
2016-03-28,13.32,13.36,13.31,13.35,92600,13.292841
2016-03-24,13.35,13.36,13.31,13.32,85500,13.262969
2016-03-23,13.36,13.36,13.31,13.31,86400,13.253013
2016-03-22,13.30,13.36,13.30,13.35,90900,13.292841
2016-03-21,13.36,13.36,13.28,13.30,91800,13.243055
2016-03-18,13.37,13.38,13.29,13.35,143900,13.292841
2016-03-17,13.32,13.36,13.27,13.34,118300,13.282884
2016-03-16,13.27,13.31,13.22,13.31,157400,13.253013
2016-03-15,13.28,13.29,13.21,13.24,113800,13.183312
2016-03-14,13.24,13.28,13.20,13.25,109500,13.193269
2016-03-11,13.20,13.24,13.12,13.19,101200,13.133526
2016-03-10,13.31,13.32,13.18,13.22,137600,13.10465
2016-03-09,13.33,13.33,13.27,13.27,119300,13.154214
2016-03-08,13.32,13.35,13.27,13.31,136000,13.193865
2016-03-07,13.25,13.30,13.25,13.29,246000,13.174039
2016-03-04,13.21,13.27,13.20,13.23,152300,13.114562
2016-03-03,13.22,13.27,13.21,13.25,72900,13.134388
2016-03-02,13.28,13.28,13.18,13.21,93500,13.094737
2016-03-01,13.23,13.27,13.20,13.27,219600,13.154214
2016-02-29,13.21,13.24,13.14,13.20,208400,13.084824
2016-02-26,13.25,13.25,13.15,13.19,133700,13.074911
2016-02-25,13.25,13.29,13.22,13.27,107200,13.154214
2016-02-24,13.18,13.23,13.17,13.23,106200,13.114562
2016-02-23,13.13,13.19,13.09,13.19,92100,13.074911
2016-02-22,13.16,13.20,13.12,13.13,105800,13.015436
2016-02-19,13.18,13.18,13.12,13.13,60000,13.015436
2016-02-18,13.13,13.15,13.08,13.14,74100,13.025349
2016-02-17,13.10,13.11,13.05,13.07,71800,12.955959
2016-02-16,13.22,13.22,13.08,13.08,108400,12.965872
2016-02-12,13.31,13.31,13.16,13.21,123300,13.094737
2016-02-11,13.39,13.39,13.25,13.32,184900,13.203777
2016-02-10,13.25,13.33,13.22,13.30,144400,13.183952
2016-02-09,13.32,13.34,13.26,13.29,189000,13.115554
2016-02-08,13.33,13.38,13.29,13.34,143400,13.164898
2016-02-05,13.35,13.35,13.27,13.32,114800,13.14516
2016-02-04,13.34,13.35,13.29,13.34,158300,13.164898
2016-02-03,13.30,13.35,13.25,13.33,133400,13.155029
