Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,11.94,12.10,11.91,12.03,1993200,12.03
2016-04-18,11.88,11.96,11.81,11.90,2961100,11.90
2016-04-15,11.83,11.97,11.76,11.90,1457000,11.90
2016-04-14,11.85,11.87,11.68,11.84,1659100,11.84
2016-04-13,11.68,11.87,11.65,11.87,1542500,11.87
2016-04-12,11.65,11.75,11.56,11.61,2012700,11.61
2016-04-11,11.65,11.86,11.56,11.65,2496300,11.65
2016-04-08,11.78,11.90,11.53,11.61,3215400,11.61
2016-04-07,11.52,11.90,11.52,11.69,2572000,11.69
2016-04-06,11.42,11.66,11.42,11.56,2108800,11.56
2016-04-05,11.40,11.56,11.36,11.41,1752200,11.41
2016-04-04,11.60,11.69,11.44,11.45,1777800,11.45
2016-04-01,11.56,11.84,11.51,11.59,2515500,11.59
2016-03-31,11.43,11.67,11.42,11.63,2887700,11.63
2016-03-30,12.00,12.12,11.87,11.89,5305200,11.430001
2016-03-29,11.72,12.00,11.52,11.90,3694900,11.439613
2016-03-28,11.52,11.81,11.52,11.71,2049500,11.256964
2016-03-24,11.52,11.55,11.29,11.51,2023400,11.064702
2016-03-23,11.62,11.86,11.56,11.56,2079200,11.112768
2016-03-22,11.60,11.67,11.47,11.58,2393000,11.131994
2016-03-21,11.66,11.78,11.58,11.66,2226900,11.208898
2016-03-18,11.70,11.75,11.60,11.73,2232200,11.27619
2016-03-17,11.52,11.68,11.36,11.62,2089400,11.170446
2016-03-16,11.19,11.62,11.18,11.60,1779200,11.15122
2016-03-15,11.34,11.41,11.15,11.23,1405100,10.795534
2016-03-14,11.47,11.48,11.26,11.41,1969800,10.96857
2016-03-11,11.20,11.61,11.15,11.56,1876000,11.112768
2016-03-10,11.18,11.24,10.94,11.11,1317500,10.680177
2016-03-09,11.11,11.23,10.89,11.18,1737400,10.747469
2016-03-08,11.41,11.42,10.97,11.02,2676200,10.593659
2016-03-07,11.26,11.60,11.11,11.46,2164500,11.016636
2016-03-04,11.25,11.43,11.21,11.28,2305800,10.8436
2016-03-03,11.04,11.36,10.97,11.20,2218700,10.766695
2016-03-02,10.76,11.21,10.37,11.04,5076600,10.612885
2016-03-01,11.79,11.83,10.30,10.41,9605400,10.007258
2016-02-29,11.67,11.80,11.55,11.71,2571100,11.256964
2016-02-26,11.64,11.94,11.61,11.68,2355100,11.228125
2016-02-25,11.60,11.81,11.34,11.56,3268100,11.112768
2016-02-24,11.27,11.59,10.92,11.58,2787900,11.131994
2016-02-23,11.07,11.24,11.06,11.08,1517500,10.651338
2016-02-22,11.00,11.18,10.98,11.10,1396300,10.670564
2016-02-19,10.85,10.96,10.64,10.91,1262100,10.487914
2016-02-18,10.95,10.98,10.63,10.83,1443500,10.411009
2016-02-17,10.69,10.98,10.68,10.91,1944900,10.487914
2016-02-16,10.25,10.71,10.23,10.66,2062300,10.247586
2016-02-12,9.92,10.17,9.90,10.15,1332500,9.757317
2016-02-11,9.85,9.94,9.69,9.86,1655900,9.478537
2016-02-10,10.07,10.20,9.93,10.01,1681200,9.622734
2016-02-09,10.07,10.17,9.72,10.03,3071700,9.64196
2016-02-08,10.47,10.49,10.01,10.23,4124600,9.834222
2016-02-05,10.55,10.66,10.25,10.59,3373700,10.180295
2016-02-04,10.70,10.93,10.60,10.64,2900700,10.228361
2016-02-03,10.81,10.89,10.27,10.75,2392000,10.334105
2016-02-02,11.18,11.23,10.69,10.76,3030900,10.343718
2016-02-01,11.33,11.44,11.12,11.28,2689800,10.8436
2016-01-29,10.96,11.40,10.85,11.39,4116100,10.949345
2016-01-28,10.85,11.06,10.66,10.74,2053000,10.324491
2016-01-27,10.70,11.27,10.62,10.76,4568400,10.343718
2016-01-26,10.22,10.76,10.20,10.65,3219600,10.237973
2016-01-25,10.57,10.59,10.04,10.16,5170400,9.76693
2016-01-22,10.39,11.05,10.33,10.60,4022100,10.189908
2016-01-21,9.99,10.35,9.92,10.10,4916500,9.709252
2016-01-20,9.85,10.07,9.09,9.96,7037900,9.574668
2016-01-19,10.53,10.53,9.76,9.93,5280300,9.545829
2016-01-15,9.97,10.24,9.90,10.18,4239500,9.786157
2016-01-14,10.48,10.58,9.07,10.39,7217800,9.988033
2016-01-13,11.40,11.43,10.21,10.47,7316100,10.064937
2016-01-12,11.79,11.99,11.14,11.40,3624600,10.958957
2016-01-11,11.60,11.82,11.41,11.72,2928500,11.266578
2016-01-08,11.93,12.00,11.50,11.54,2694400,11.093541
2016-01-07,12.14,12.18,11.76,11.77,4820300,11.314643
