Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.65,13.65,13.55,13.57,17100,13.57
2016-04-18,13.65,13.65,13.58,13.62,32800,13.62
2016-04-15,13.58,13.62,13.54,13.62,34600,13.62
2016-04-14,13.46,13.60,13.38,13.59,96100,13.59
2016-04-13,13.48,13.49,13.40,13.47,54900,13.47
2016-04-12,13.46,13.50,13.42,13.48,12000,13.423
2016-04-11,13.55,13.57,13.44,13.46,18900,13.403085
2016-04-08,13.50,13.54,13.50,13.52,22700,13.462832
2016-04-07,13.41,13.48,13.41,13.48,14000,13.423
2016-04-06,13.41,13.42,13.41,13.41,28800,13.353296
2016-04-05,13.35,13.41,13.35,13.38,15400,13.323423
2016-04-04,13.33,13.38,13.27,13.38,60100,13.323423
2016-04-01,13.25,13.31,13.22,13.27,40900,13.213889
2016-03-31,13.18,13.27,13.16,13.22,50100,13.1641
2016-03-30,13.12,13.19,13.12,13.18,31400,13.124269
2016-03-29,13.14,13.19,13.06,13.17,51000,13.114311
2016-03-28,13.08,13.14,13.07,13.12,60500,13.064522
2016-03-24,13.12,13.14,13.02,13.09,28600,13.034649
2016-03-23,13.09,13.09,13.02,13.06,47100,13.004777
2016-03-22,13.08,13.10,13.03,13.03,27200,12.974903
2016-03-21,12.99,13.07,12.98,13.05,38700,12.994819
2016-03-18,13.00,13.09,12.97,12.97,19500,12.915157
2016-03-17,13.00,13.11,12.98,13.02,57700,12.964946
2016-03-16,12.88,12.98,12.87,12.98,11900,12.925114
2016-03-15,12.93,12.93,12.86,12.87,11000,12.815579
2016-03-14,12.87,12.90,12.84,12.90,25400,12.845452
2016-03-11,12.90,12.93,12.87,12.87,13300,12.815579
2016-03-10,12.96,12.96,12.90,12.95,19700,12.838482
2016-03-09,12.84,12.96,12.84,12.92,15500,12.80874
2016-03-08,12.95,12.96,12.85,12.86,33000,12.749257
2016-03-07,12.89,12.94,12.85,12.90,26200,12.788912
2016-03-04,12.96,12.97,12.87,12.87,51900,12.759171
2016-03-03,12.99,12.99,12.94,12.99,4400,12.878137
2016-03-02,12.98,12.98,12.92,12.96,28100,12.848396
2016-03-01,12.99,13.00,12.92,12.98,26500,12.868223
2016-02-29,12.87,12.95,12.87,12.93,13300,12.818654
2016-02-26,12.91,12.92,12.84,12.84,28100,12.729429
2016-02-25,12.99,12.99,12.89,12.91,27700,12.798826
2016-02-24,12.91,12.97,12.90,12.97,23400,12.85831
2016-02-23,12.78,12.90,12.78,12.90,30400,12.788912
2016-02-22,12.89,12.90,12.80,12.80,17300,12.689774
2016-02-19,12.82,12.88,12.82,12.85,8600,12.739343
2016-02-18,12.85,12.87,12.82,12.87,28500,12.759171
2016-02-17,12.82,12.85,12.79,12.85,20900,12.739343
2016-02-16,12.83,12.85,12.80,12.84,16800,12.729429
2016-02-12,12.85,12.90,12.78,12.83,54300,12.719515
2016-02-11,13.02,13.02,12.83,12.87,36600,12.759171
