Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,6.10,6.10,5.99,6.08,20100,6.08
2016-04-18,6.05,6.15,6.04,6.13,13100,6.13
2016-04-15,6.04,6.10,5.96,6.10,22500,6.10
2016-04-14,6.03,6.09,5.99,6.08,33200,6.08
2016-04-13,6.09,6.17,6.05,6.07,54600,6.07
2016-04-12,6.12,6.12,6.02,6.06,47800,6.06
2016-04-11,6.08,6.13,6.08,6.10,69700,6.10
2016-04-08,6.03,6.10,6.00,6.09,80300,6.09
2016-04-07,6.01,6.09,5.92,6.05,68600,6.05
2016-04-06,6.07,6.12,5.87,6.07,53600,6.07
2016-04-05,6.09,6.13,6.07,6.08,64000,6.08
2016-04-04,6.18,6.18,6.11,6.14,79700,6.14
2016-04-01,6.10,6.13,6.07,6.13,22200,6.13
2016-03-31,6.13,6.15,6.11,6.14,85100,6.14
2016-03-30,6.02,6.20,6.00,6.17,156100,6.17
2016-03-29,5.98,6.15,5.91,6.12,213000,6.12
2016-03-28,6.08,6.08,6.00,6.06,41500,6.04
2016-03-24,5.98,6.10,5.97,6.04,47200,6.020066
2016-03-23,6.04,6.13,5.95,6.05,144700,6.030033
2016-03-22,5.97,6.18,5.96,6.10,198100,6.079868
2016-03-21,5.44,6.08,5.44,6.01,186400,5.990165
2016-03-18,5.99,6.10,5.32,5.43,241500,5.412079
2016-03-17,5.91,6.00,5.90,5.96,35500,5.94033
2016-03-16,5.89,5.93,5.82,5.93,30200,5.910429
2016-03-15,5.84,5.96,5.79,5.91,38500,5.890495
2016-03-14,6.05,6.05,5.93,5.97,46300,5.950297
2016-03-11,6.11,6.16,6.01,6.09,47400,6.069901
2016-03-10,6.24,6.24,6.08,6.11,26600,6.089835
2016-03-09,6.16,6.24,6.14,6.20,87400,6.179538
2016-03-08,6.15,6.18,5.96,6.13,190600,6.109769
2016-03-07,5.93,6.25,5.82,6.15,168500,6.129703
2016-03-04,5.75,6.00,5.73,5.94,84100,5.920396
2016-03-03,5.82,5.97,5.73,5.92,63700,5.900462
2016-03-02,5.88,6.00,5.82,5.87,113300,5.850627
2016-03-01,5.63,5.90,5.57,5.88,108000,5.860594
2016-02-29,5.69,5.72,5.14,5.61,399900,5.591485
2016-02-26,5.48,5.77,5.42,5.65,154400,5.631353
2016-02-25,5.50,5.50,5.29,5.50,29900,5.481848
2016-02-24,5.46,5.50,5.31,5.50,24700,5.481848
2016-02-23,5.47,5.49,5.41,5.48,37000,5.461914
2016-02-22,5.30,5.48,5.30,5.46,40800,5.44198
2016-02-19,5.07,5.37,5.07,5.28,111500,5.262575
2016-02-18,5.19,5.21,5.07,5.20,54500,5.182838
2016-02-17,4.86,5.23,4.86,5.14,83400,5.123036
2016-02-16,4.90,5.00,4.85,4.87,49300,4.853927
2016-02-12,5.01,5.11,4.87,4.95,38900,4.933663
2016-02-11,5.15,5.16,4.85,5.02,55600,5.003432
2016-02-10,5.15,5.27,5.01,5.13,40300,5.11307
2016-02-09,5.17,5.17,4.86,5.15,32800,5.133004
2016-02-08,5.17,5.20,4.95,5.20,33600,5.182838
2016-02-05,5.10,5.20,4.95,5.20,24800,5.182838
2016-02-04,5.05,5.18,5.02,5.05,21700,5.033334
2016-02-03,5.17,5.17,4.90,5.02,27500,5.003432
2016-02-02,5.30,5.30,5.01,5.18,37400,5.162904
2016-02-01,5.29,5.30,5.23,5.30,17800,5.282509
2016-01-29,5.22,5.30,5.21,5.30,42800,5.282509
2016-01-28,5.09,5.26,5.09,5.16,28900,5.14297
2016-01-27,5.25,5.30,5.07,5.07,82000,5.053268
2016-01-26,5.14,5.25,5.11,5.25,53000,5.232673
2016-01-25,5.10,5.23,5.08,5.08,15800,5.063234
2016-01-22,5.22,5.25,5.06,5.10,87200,5.083168
2016-01-21,4.80,5.10,4.80,5.06,51000,5.0433
2016-01-20,4.90,4.90,4.80,4.82,80900,4.804093
2016-01-19,5.02,5.09,4.89,4.97,158600,4.953597
2016-01-15,5.04,5.08,4.89,5.02,76800,5.003432
2016-01-14,5.07,5.20,5.07,5.14,33300,5.123036
