Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,17.98,18.00,17.889999,17.940001,46100,17.940001
2016-04-18,17.889999,18.07,17.889999,17.940001,60500,17.940001
2016-04-15,17.91,17.959999,17.870001,17.870001,18700,17.870001
2016-04-14,17.98,17.99,17.889999,17.91,24000,17.91
2016-04-13,17.98,18.059999,17.870001,17.93,49000,17.93
2016-04-12,18.01,18.040001,17.93,18.01,49800,17.945
2016-04-11,17.940001,18.00,17.90,17.98,57500,17.915108
2016-04-08,17.879999,17.93,17.84,17.92,36300,17.855325
2016-04-07,17.860001,17.92,17.84,17.84,71400,17.775613
2016-04-06,17.92,18.00,17.799999,17.91,61400,17.84536
2016-04-05,17.92,17.98,17.91,17.940001,23400,17.875253
2016-04-04,17.959999,17.99,17.879999,17.969999,20900,17.905143
2016-04-01,17.98,18.00,17.85,18.00,45000,17.935036
2016-03-31,17.879999,17.98,17.879999,17.98,28100,17.915108
2016-03-30,17.940001,17.950001,17.85,17.85,39300,17.785578
2016-03-29,17.799999,17.940001,17.799999,17.92,29000,17.855325
2016-03-28,17.83,17.91,17.790001,17.82,35800,17.755685
2016-03-24,17.709999,17.91,17.709999,17.83,43400,17.765649
2016-03-23,17.65,17.76,17.65,17.719999,11300,17.656046
2016-03-22,17.620001,17.799999,17.620001,17.709999,49200,17.646082
2016-03-21,17.610001,17.709999,17.610001,17.68,23100,17.616191
2016-03-18,17.719999,17.790001,17.690001,17.690001,19800,17.626155
2016-03-17,17.780001,17.799999,17.65,17.77,35300,17.705866
2016-03-16,17.77,17.799999,17.74,17.77,25800,17.705866
2016-03-15,17.790001,17.799999,17.74,17.780001,15000,17.715831
2016-03-14,17.84,17.879999,17.76,17.799999,20700,17.735757
2016-03-11,17.76,17.889999,17.700001,17.860001,38200,17.795542
2016-03-10,17.82,17.85,17.700001,17.809999,14000,17.680956
2016-03-09,17.790001,17.860001,17.690001,17.75,48700,17.621392
2016-03-08,17.74,17.90,17.65,17.860001,66600,17.730595
2016-03-07,17.59,17.719999,17.50,17.67,74700,17.541971
2016-03-04,17.530001,17.629999,17.49,17.559999,43400,17.432768
2016-03-03,17.530001,17.620001,17.530001,17.559999,27100,17.432768
2016-03-02,17.83,17.83,17.57,17.58,61800,17.452623
