Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,16.049999,16.24,15.85,15.91,31100,15.91
2016-04-18,16.15,16.43,16.120001,16.43,7000,16.43
2016-04-15,16.27,16.27,16.040001,16.09,4800,16.09
2016-04-14,16.139999,16.23,16.10,16.10,9300,16.10
2016-04-13,16.25,16.450001,16.10,16.18,16600,16.18
2016-04-12,16.370001,16.540001,16.35,16.379999,11000,16.326999
2016-04-11,16.459999,16.59,16.389999,16.389999,2200,16.336967
2016-04-08,16.65,16.65,16.34,16.40,10500,16.346935
2016-04-07,16.50,16.700001,16.50,16.700001,12300,16.645966
2016-04-06,16.50,16.700001,16.50,16.65,7900,16.596126
2016-04-05,16.690001,16.690001,16.549999,16.549999,2200,16.496449
2016-04-04,16.700001,16.700001,16.549999,16.549999,4600,16.496449
2016-04-01,17.00,17.00,16.549999,16.700001,5800,16.645966
2016-03-31,16.52,16.709999,16.08,16.700001,15300,16.645966
2016-03-30,16.120001,16.34,16.120001,16.34,4100,16.28713
2016-03-29,16.700001,16.700001,16.01,16.129999,7800,16.077808
2016-03-28,16.26,16.26,15.95,16.030001,9200,15.978133
2016-03-24,16.139999,16.25,15.99,15.99,5000,15.938262
2016-03-23,15.90,16.32,15.87,15.95,11000,15.898391
2016-03-22,15.69,15.90,15.69,15.90,7300,15.848553
2016-03-21,15.88,15.89,15.77,15.79,4800,15.738909
2016-03-18,15.78,15.88,15.70,15.77,5200,15.718974
2016-03-17,15.91,15.91,15.68,15.76,4900,15.709007
2016-03-16,15.72,15.83,15.72,15.77,4100,15.718974
2016-03-15,15.80,15.89,15.71,15.82,10300,15.768812
2016-03-14,15.98,15.98,15.79,15.80,7000,15.748877
2016-03-11,16.27,16.27,15.79,15.83,5500,15.77878
2016-03-10,15.98,16.17,15.86,15.93,11200,15.825628
2016-03-09,15.97,17.049999,15.85,15.89,19600,15.78589
2016-03-08,15.92,15.94,15.87,15.87,6000,15.766021
2016-03-07,16.290001,16.549999,15.88,15.93,17000,15.825628
2016-03-04,16.879999,17.15,16.26,16.389999,16300,16.282613
2016-03-03,17.00,17.549999,16.66,17.00,24100,16.888617
2016-03-02,16.26,16.799999,16.139999,16.799999,5600,16.689927
2016-03-01,16.24,16.290001,16.129999,16.25,7100,16.143531
2016-02-29,16.24,16.24,15.93,16.09,13100,15.98458
2016-02-26,16.040001,16.200001,16.02,16.200001,6800,16.09386
2016-02-25,15.91,16.07,15.91,16.07,8300,15.96471
2016-02-24,15.86,16.01,15.86,15.92,17400,15.815693
2016-02-23,15.89,15.89,15.85,15.85,3900,15.746152
2016-02-22,15.91,15.92,15.83,15.87,6400,15.766021
2016-02-19,15.81,15.90,15.81,15.89,3300,15.78589
2016-02-18,16.08,16.120001,15.84,15.84,11800,15.736218
2016-02-17,16.379999,16.379999,16.10,16.209999,16400,16.103792
2016-02-16,15.94,16.60,15.76,16.540001,24700,16.431632
2016-02-12,16.02,16.02,15.84,15.94,8900,15.835562
2016-02-11,15.93,16.01,15.85,15.92,10900,15.815693
2016-02-10,15.76,15.97,15.76,15.81,18900,15.706415
2016-02-09,15.83,15.92,15.79,15.79,9300,15.633892
2016-02-08,15.81,15.93,15.69,15.90,13200,15.742804
2016-02-05,15.78,15.79,15.65,15.79,6800,15.633892
2016-02-04,15.74,15.77,15.66,15.77,9400,15.61409
2016-02-03,15.59,15.71,15.57,15.70,16500,15.544782
2016-02-02,15.35,15.50,15.35,15.50,9700,15.346759
2016-02-01,15.53,15.53,15.37,15.39,12300,15.237847
2016-01-29,15.46,15.55,15.43,15.55,14600,15.396265
2016-01-28,15.30,15.52,15.27,15.42,30200,15.26755
2016-01-27,15.23,15.28,15.22,15.23,11400,15.079428
2016-01-26,15.26,15.28,15.19,15.24,9200,15.089329
2016-01-25,15.28,15.33,15.24,15.27,7200,15.119034
2016-01-22,15.31,15.38,15.25,15.31,10900,15.158638
2016-01-21,15.27,15.28,15.10,15.27,12400,15.119034
