Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.41,14.43,14.27,14.35,10900,14.35
2016-04-18,14.30,14.45,14.18,14.45,16000,14.45
2016-04-15,14.25,14.38,14.19,14.27,7100,14.27
2016-04-14,14.56,14.56,14.29,14.30,12900,14.30
2016-04-13,14.67,14.67,14.44,14.51,9000,14.51
2016-04-12,14.69,14.74,14.50,14.65,6100,14.604
2016-04-11,14.69,14.74,14.61,14.64,3800,14.594032
2016-04-08,14.65,14.69,14.58,14.64,7300,14.594032
2016-04-07,14.61,14.70,14.51,14.70,8700,14.653843
2016-04-06,14.47,14.69,14.35,14.56,15600,14.514283
2016-04-05,14.30,14.41,14.25,14.39,11600,14.344817
2016-04-04,14.12,14.34,14.11,14.34,8200,14.294974
2016-04-01,14.11,14.13,14.00,14.07,3500,14.025821
2016-03-31,14.08,14.11,14.04,14.06,8500,14.015853
2016-03-30,14.13,14.13,14.08,14.08,5800,14.03579
2016-03-29,14.16,14.35,14.12,14.12,6200,14.075664
2016-03-28,14.11,14.16,14.11,14.12,4000,14.075664
2016-03-24,14.05,14.24,14.05,14.11,4500,14.065695
2016-03-23,14.04,14.15,14.04,14.15,4200,14.10557
2016-03-22,14.04,14.29,14.04,14.09,4000,14.045759
2016-03-21,14.11,14.20,14.10,14.11,5300,14.065695
2016-03-18,14.21,14.21,14.12,14.14,1700,14.095602
2016-03-17,14.23,14.31,14.09,14.28,13800,14.235162
2016-03-16,14.28,14.39,14.26,14.26,2500,14.215225
2016-03-15,14.17,14.38,14.15,14.28,4900,14.235162
2016-03-14,14.36,14.44,14.18,14.23,6200,14.185319
2016-03-11,14.40,14.40,14.22,14.32,3800,14.275036
2016-03-10,14.27,14.46,14.27,14.46,6700,14.368741
2016-03-09,14.14,14.30,14.14,14.26,4700,14.170004
2016-03-08,14.23,14.33,14.16,14.16,2100,14.070634
2016-03-07,14.28,14.28,14.10,14.24,2300,14.150129
2016-03-04,14.11,14.28,14.04,14.22,8300,14.130256
2016-03-03,14.05,14.23,14.05,14.19,7200,14.100445
2016-03-02,14.18,14.18,13.99,14.16,2900,14.070634
2016-03-01,14.10,14.12,14.05,14.12,4300,14.030887
2016-02-29,14.04,14.18,14.04,14.17,3000,14.080572
2016-02-26,14.18,14.18,13.99,14.05,6500,13.961329
2016-02-25,14.19,14.22,14.12,14.12,1300,14.030887
2016-02-24,14.09,14.13,14.09,14.13,1600,14.040824
2016-02-23,14.09,14.15,14.09,14.09,2400,14.001076
2016-02-22,14.01,14.05,13.92,14.04,2400,13.951392
2016-02-19,14.00,14.02,13.89,14.01,17800,13.921581
2016-02-18,14.01,14.01,13.92,13.93,3000,13.842086
2016-02-17,14.02,14.02,13.98,13.98,700,13.89177
2016-02-16,14.04,14.04,14.04,14.04,600,13.951392
2016-02-12,14.05,14.05,13.94,13.94,2200,13.852023
2016-02-11,13.90,13.97,13.90,13.97,6400,13.881834
2016-02-10,14.06,14.06,13.89,13.89,1400,13.802339
2016-02-09,13.89,14.39,13.89,14.02,16400,13.885809
2016-02-08,13.91,13.98,13.91,13.97,1600,13.836287
2016-02-05,14.00,14.00,13.96,13.96,1600,13.826383
2016-02-04,13.94,14.02,13.88,13.97,13800,13.836287
2016-02-03,13.94,14.00,13.89,13.99,5500,13.856095
2016-02-02,13.82,13.90,13.72,13.89,7900,13.757053
2016-02-01,13.78,13.96,13.63,13.79,11600,13.65801
2016-01-29,13.71,13.73,13.67,13.73,4800,13.598584
2016-01-28,13.65,13.68,13.65,13.65,1300,13.51935
2016-01-27,13.43,13.72,13.43,13.58,7400,13.45002
2016-01-26,13.48,13.52,13.43,13.43,3900,13.301456
2016-01-25,13.42,13.58,13.37,13.43,27300,13.301456
2016-01-22,13.56,13.70,13.43,13.48,17500,13.350977
2016-01-21,13.48,13.63,13.41,13.46,6600,13.331169
2016-01-20,13.45,13.60,13.35,13.39,8300,13.261839
2016-01-19,13.69,13.69,13.46,13.51,21700,13.38069
2016-01-15,13.60,13.67,13.60,13.64,3100,13.509446
2016-01-14,13.60,13.71,13.55,13.62,13700,13.489637
2016-01-13,13.69,13.69,13.55,13.55,6000,13.420307
2016-01-12,13.76,13.76,13.60,13.68,10300,13.503503
2016-01-11,13.80,13.80,13.65,13.71,4300,13.533116
2016-01-08,13.84,13.85,13.80,13.80,6400,13.621955
2016-01-07,13.72,13.82,13.72,13.78,8600,13.602212
2016-01-06,13.71,13.75,13.65,13.73,12500,13.552857
2016-01-05,13.66,13.70,13.61,13.62,12200,13.444277
2016-01-04,13.68,13.73,13.57,13.61,11100,13.434406
2015-12-31,13.68,13.72,13.57,13.70,7500,13.523245
2015-12-30,13.47,13.68,13.47,13.68,13500,13.503503
2015-12-29,13.66,13.66,13.56,13.56,6000,13.385051
2015-12-28,13.55,13.66,13.51,13.66,6500,13.483761
2015-12-24,13.59,13.67,13.59,13.65,5800,13.473889
2015-12-23,13.53,13.59,13.50,13.57,10100,13.394922
2015-12-22,13.46,13.58,13.41,13.47,7200,13.296212
2015-12-21,13.41,13.56,13.34,13.48,9400,13.306083
2015-12-18,13.42,13.46,13.35,13.46,5600,13.286341
2015-12-17,13.33,13.39,13.33,13.37,1000,13.197502
2015-12-16,13.48,13.48,13.30,13.30,5600,13.128406
2015-12-15,13.34,13.43,13.33,13.39,9200,13.217245
2015-12-14,13.35,13.39,13.25,13.34,7400,13.16789
2015-12-11,13.37,13.43,13.34,13.38,17800,13.207373
2015-12-10,13.50,13.50,13.46,13.48,5500,13.260676
2015-12-09,13.34,13.43,13.34,13.43,1000,13.21149
2015-12-08,13.36,13.40,13.36,13.39,1400,13.172141
2015-12-07,13.59,13.59,13.30,13.37,13900,13.152466
2015-12-04,13.49,13.56,13.44,13.56,2400,13.339375
2015-12-03,13.48,13.48,13.44,13.47,2000,13.25084
2015-12-02,13.59,13.59,13.47,13.51,9300,13.290189
2015-12-01,13.51,13.55,13.51,13.51,2600,13.290189
2015-11-30,13.40,13.56,13.39,13.48,9700,13.260676
2015-11-27,13.46,13.46,13.44,13.45,3200,13.231165
2015-11-25,13.36,13.45,13.36,13.44,8100,13.221327
2015-11-24,13.37,13.44,13.37,13.39,3500,13.172141
2015-11-23,13.39,13.42,13.39,13.42,1900,13.201653
2015-11-20,13.29,13.55,13.29,13.44,13400,13.221327
2015-11-19,13.27,13.47,13.27,13.27,13500,13.054094
2015-11-18,13.24,13.32,13.24,13.32,6200,13.10328
2015-11-17,13.23,13.32,12.98,13.29,25100,13.073768
2015-11-16,13.20,13.30,13.20,13.30,2000,13.083605
2015-11-13,13.26,13.26,13.21,13.25,700,13.034419
2015-11-12,13.23,13.30,13.17,13.20,4600,12.985232
2015-11-11,13.23,13.23,13.13,13.20,6800,12.985232
2015-11-10,13.15,13.23,13.08,13.23,3200,13.014744
2015-11-09,13.17,13.28,13.12,13.13,15400,12.87112
2015-11-06,13.17,13.23,13.14,13.22,2700,12.959346
2015-11-05,13.19,13.19,13.19,13.19,300,12.929937
2015-11-04,13.19,13.31,13.17,13.26,10100,12.998557
2015-11-03,13.25,13.27,13.18,13.21,12500,12.949543
2015-11-02,13.24,13.25,13.19,13.22,13300,12.959346
2015-10-30,13.23,13.25,13.18,13.23,7600,12.969148
2015-10-29,13.24,13.30,13.08,13.20,6800,12.93974
2015-10-28,13.24,13.27,13.23,13.24,5600,12.978951
2015-10-27,13.28,13.33,13.25,13.25,3800,12.988754
2015-10-26,13.26,13.35,13.20,13.35,14000,13.086783
2015-10-23,13.19,13.29,13.17,13.23,3800,12.969148
2015-10-22,13.26,13.26,13.10,13.26,6900,12.998557
2015-10-21,13.21,13.21,13.21,13.21,700,12.949543
2015-10-20,13.19,13.23,13.19,13.22,1700,12.959346
2015-10-19,13.25,13.25,13.25,13.25,400,12.988754
2015-10-16,13.26,13.26,13.24,13.24,2800,12.978951
2015-10-15,13.20,13.23,13.17,13.23,5200,12.969148
2015-10-14,13.15,13.23,13.15,13.22,1000,12.959346
2015-10-13,13.15,13.19,13.12,13.18,3900,12.920134
2015-10-12,13.25,13.27,13.20,13.21,3300,12.90445
2015-10-09,13.24,13.25,13.22,13.22,1200,12.914219
2015-10-08,13.20,13.30,13.20,13.24,6900,12.933755
2015-10-07,13.27,13.28,13.14,13.16,12900,12.855606
2015-10-06,13.37,13.38,13.32,13.32,2100,13.011905
2015-10-05,13.29,13.34,13.24,13.34,2200,13.031443
2015-10-02,13.33,13.34,13.33,13.34,1000,13.031443
2015-10-01,13.32,13.39,13.28,13.30,4100,12.992368
2015-09-30,13.22,13.32,13.22,13.32,5700,13.011905
2015-09-29,13.29,13.31,13.15,13.15,5500,12.845837
2015-09-28,13.36,13.39,13.28,13.29,3700,12.982599
2015-09-25,13.29,13.42,13.29,13.35,1400,13.041212
2015-09-24,13.35,13.35,13.28,13.29,3400,12.982599
2015-09-23,13.34,13.42,13.33,13.42,1900,13.109592
2015-09-22,13.22,13.39,13.22,13.39,12300,13.080286
2015-09-21,13.26,13.26,13.18,13.18,1000,12.875144
2015-09-18,13.26,13.26,13.18,13.26,4100,12.953293
2015-09-17,13.05,13.25,13.04,13.25,16100,12.943524
2015-09-16,13.02,13.04,13.02,13.04,600,12.738382
2015-09-15,13.06,13.06,13.00,13.02,3100,12.718845
2015-09-14,13.08,13.12,13.06,13.06,2200,12.75792
2015-09-11,13.11,13.11,13.06,13.08,1700,12.777456
2015-09-10,13.13,13.14,13.10,13.11,2400,12.761826
2015-09-09,13.18,13.20,13.15,13.17,6000,12.820233
2015-09-08,13.15,13.18,13.12,13.17,3200,12.820233
2015-09-04,13.05,13.18,13.05,13.16,8800,12.810498
2015-09-03,13.14,13.14,13.14,13.14,000,12.79103
2015-09-02,13.19,13.19,13.13,13.14,4800,12.79103
2015-09-01,13.19,13.19,13.16,13.16,5800,12.810498
2015-08-31,13.13,13.19,13.10,13.18,1700,12.829968
2015-08-28,13.10,13.16,13.08,13.12,7500,12.771561
2015-08-27,13.13,13.13,12.92,13.09,8100,12.742358
2015-08-26,13.01,13.09,13.01,13.08,3100,12.732623
2015-08-25,13.12,13.16,12.90,13.00,14200,12.654748
2015-08-24,13.27,13.27,13.08,13.08,15900,12.732623
2015-08-21,13.27,13.31,13.12,13.12,1100,12.771561
2015-08-20,13.24,13.27,13.24,13.24,3300,12.888374
2015-08-19,13.24,13.31,13.20,13.31,3700,12.956515
2015-08-18,13.29,13.30,13.23,13.30,1500,12.946781
2015-08-17,13.30,13.32,13.26,13.26,1900,12.907843
2015-08-14,13.29,13.30,13.28,13.29,1300,12.937046
2015-08-13,13.18,13.27,13.18,13.26,8700,12.907843
2015-08-12,13.17,13.23,13.14,13.21,8000,12.859171
2015-08-11,13.13,13.24,13.13,13.19,10400,12.794923
2015-08-10,13.15,13.15,13.11,13.11,2900,12.717319
2015-08-07,13.12,13.19,13.10,13.12,8000,12.72702
2015-08-06,13.11,13.14,13.10,13.10,4400,12.707619
2015-08-05,13.13,13.15,13.10,13.11,9400,12.717319
2015-08-04,13.19,13.21,13.11,13.11,6400,12.717319
2015-08-03,13.23,13.28,13.14,13.16,12000,12.765821
2015-07-31,13.16,13.20,13.16,13.20,4600,12.804623
2015-07-30,13.10,13.17,13.05,13.13,21800,12.73672
2015-07-29,13.15,13.22,13.12,13.15,12100,12.756121
2015-07-28,13.06,13.20,13.06,13.12,9000,12.72702
2015-07-27,13.20,13.22,13.09,13.11,4800,12.717319
2015-07-24,13.19,13.24,13.13,13.20,25900,12.804623
2015-07-23,13.13,13.13,13.13,13.13,3800,12.73672
2015-07-22,13.17,13.17,13.08,13.13,24600,12.73672
2015-07-21,13.21,13.21,13.10,13.17,22300,12.775522
2015-07-20,13.17,13.25,13.16,13.18,13400,12.785223
2015-07-17,13.19,13.21,13.16,13.16,10100,12.765821
2015-07-16,13.21,13.21,13.16,13.19,6600,12.794923
2015-07-15,13.22,13.28,13.15,13.18,13900,12.785223
2015-07-14,13.21,13.28,13.15,13.20,15300,12.804623
2015-07-13,13.48,13.48,13.18,13.21,21200,12.814324
2015-07-10,13.44,13.54,13.41,13.51,6400,13.060717
2015-07-09,13.46,13.66,13.37,13.50,8900,13.051049
2015-07-08,13.45,13.58,13.37,13.47,14800,13.022047
2015-07-07,13.32,13.49,13.24,13.35,14000,12.906038
2015-07-06,13.24,13.33,13.23,13.24,9400,12.799695
2015-07-02,13.32,13.32,13.20,13.30,9400,12.8577
2015-07-01,13.34,13.34,13.19,13.24,6400,12.799695
2015-06-30,13.12,13.27,13.12,13.27,11200,12.828698
2015-06-29,13.08,13.15,13.08,13.09,10400,12.654684
2015-06-26,13.23,13.35,13.11,13.17,16000,12.732023
2015-06-25,13.21,13.27,13.16,13.21,7400,12.770693
2015-06-24,13.36,13.36,13.27,13.29,6000,12.848033
2015-06-23,13.28,13.32,13.25,13.29,11300,12.848033
2015-06-22,13.32,13.32,13.25,13.29,2700,12.848033
2015-06-19,13.28,13.38,13.26,13.31,4800,12.867368
2015-06-18,13.29,13.39,13.27,13.28,5800,12.838365
2015-06-17,13.25,13.33,13.17,13.27,8900,12.828698
2015-06-16,13.15,13.39,13.15,13.23,17400,12.790027
2015-06-15,13.09,13.21,13.09,13.18,6000,12.741691
2015-06-12,13.10,13.12,13.03,13.04,7300,12.606346
2015-06-11,13.15,13.22,13.06,13.14,5400,12.703021
2015-06-10,13.11,13.16,13.05,13.15,9000,12.668217
2015-06-09,13.16,13.23,13.00,13.07,20700,12.591149
2015-06-08,13.09,13.19,12.94,13.19,30200,12.706752
2015-06-05,13.14,13.14,13.00,13.06,12700,12.581516
2015-06-04,13.25,13.26,13.16,13.17,15700,12.687485
2015-06-03,13.26,13.30,13.25,13.28,5800,12.793455
2015-06-02,13.38,13.38,13.30,13.30,4600,12.812722
2015-06-01,13.39,13.41,13.39,13.39,1600,12.899425
2015-05-29,13.37,13.37,13.33,13.36,4400,12.870524
2015-05-28,13.37,13.37,13.33,13.37,3000,12.880158
2015-05-27,13.38,13.46,13.37,13.37,9800,12.880158
