Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.91,14.91,14.82,14.87,37800,14.87
2016-04-18,14.83,14.90,14.83,14.90,31200,14.90
2016-04-15,14.82,14.85,14.81,14.83,22100,14.83
2016-04-14,14.87,14.89,14.79,14.79,22400,14.79
2016-04-13,14.98,14.98,14.84,14.84,29900,14.84
2016-04-12,14.98,15.06,14.95,15.00,30600,14.954
2016-04-11,14.98,14.99,14.90,14.93,22800,14.884215
2016-04-08,14.86,14.98,14.83,14.97,15900,14.924092
2016-04-07,14.82,14.87,14.82,14.82,13000,14.774552
2016-04-06,14.91,14.94,14.82,14.84,20300,14.794491
2016-04-05,14.89,14.95,14.88,14.89,16000,14.844338
2016-04-04,14.86,14.94,14.85,14.89,23200,14.844338
2016-04-01,14.90,14.90,14.81,14.86,38500,14.814429
2016-03-31,14.78,14.89,14.78,14.89,32500,14.844338
2016-03-30,14.81,14.85,14.73,14.75,35700,14.704767
2016-03-29,14.67,14.81,14.67,14.78,37500,14.734675
2016-03-28,14.75,14.75,14.59,14.64,34100,14.595104
2016-03-24,14.68,14.76,14.68,14.73,21000,14.684828
2016-03-23,14.74,14.76,14.69,14.75,16300,14.704767
2016-03-22,14.62,14.77,14.61,14.77,42000,14.724706
2016-03-21,14.58,14.59,14.53,14.57,17600,14.525318
2016-03-18,14.53,14.61,14.50,14.59,20300,14.545258
2016-03-17,14.48,14.57,14.48,14.55,25700,14.50538
2016-03-16,14.38,14.50,14.38,14.46,30700,14.415656
2016-03-15,14.44,14.49,14.37,14.37,25000,14.325932
2016-03-14,14.46,14.48,14.39,14.43,18200,14.385748
2016-03-11,14.50,14.50,14.40,14.44,19600,14.395717
2016-03-10,14.50,14.50,14.44,14.49,12600,14.399705
2016-03-09,14.44,14.52,14.44,14.48,11900,14.389767
2016-03-08,14.44,14.49,14.39,14.47,29900,14.37983
2016-03-07,14.35,14.43,14.34,14.43,18100,14.340079
2016-03-04,14.50,14.50,14.38,14.39,53000,14.300328
2016-03-03,14.47,14.52,14.43,14.45,36800,14.359954
2016-03-02,14.49,14.51,14.41,14.44,38600,14.350016
2016-03-01,14.61,14.64,14.44,14.46,34100,14.369892
2016-02-29,14.54,14.57,14.46,14.52,42900,14.429518
2016-02-26,14.63,14.66,14.51,14.51,34000,14.41958
2016-02-25,14.50,14.66,14.50,14.65,38700,14.558707
2016-02-24,14.51,14.62,14.51,14.59,22700,14.499082
2016-02-23,14.42,14.61,14.33,14.56,50200,14.469269
