Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.85,13.85,13.59,13.77,133300,13.77
2016-04-18,13.51,13.88,13.318,13.79,136200,13.79
2016-04-15,13.71,13.76,13.48,13.54,197300,13.54
2016-04-14,13.78,13.84,13.58,13.72,146800,13.72
2016-04-13,13.18,13.92,13.04,13.81,182700,13.81
2016-04-12,12.80,13.10,12.58,13.05,344700,13.05
2016-04-11,12.78,13.06,12.67,12.74,229200,12.74
2016-04-08,12.97,13.045,12.70,12.76,119100,12.76
2016-04-07,12.88,12.95,12.69,12.77,118800,12.77
2016-04-06,13.02,13.15,12.97,13.00,145900,13.00
2016-04-05,13.21,13.28,12.92,13.00,142900,13.00
2016-04-04,13.41,13.56,13.01,13.34,196100,13.34
2016-04-01,13.24,13.51,13.17,13.28,124400,13.28
2016-03-31,13.29,13.47,13.20,13.35,205600,13.35
2016-03-30,13.17,13.39,13.13,13.34,153700,13.34
2016-03-29,12.64,13.19,12.49,13.09,99300,13.09
2016-03-28,12.47,12.87,12.445,12.73,158600,12.73
2016-03-24,12.12,12.46,11.98,12.45,212600,12.45
2016-03-23,12.51,12.51,12.20,12.22,111400,12.22
2016-03-22,12.84,12.99,12.51,12.58,136500,12.58
2016-03-21,12.69,12.97,12.63,12.94,111900,12.94
2016-03-18,12.63,12.87,12.46,12.76,137100,12.76
2016-03-17,12.16,12.70,12.03,12.55,248600,12.55
2016-03-16,11.84,12.32,11.64,12.21,123700,12.21
2016-03-15,12.00,12.092,11.74,11.93,408100,11.850001
2016-03-14,12.24,12.24,11.90,12.12,216200,12.038726
2016-03-11,11.81,12.43,11.655,12.30,241200,12.217519
2016-03-10,11.79,11.92,11.455,11.70,108300,11.621542
2016-03-09,11.65,11.85,11.39,11.77,149500,11.691074
2016-03-08,11.88,11.88,11.40,11.56,96400,11.482482
2016-03-07,11.91,12.18,11.80,11.91,267300,11.830134
2016-03-04,11.89,12.11,11.845,11.98,124700,11.899665
2016-03-03,11.73,11.91,11.70,11.87,75900,11.790403
2016-03-02,11.81,11.81,11.50,11.73,98000,11.651341
2016-03-01,11.51,11.91,11.42,11.87,115100,11.790403
2016-02-29,11.59,11.62,11.25,11.40,203500,11.323554
2016-02-26,11.55,11.69,11.43,11.60,156600,11.522214
2016-02-25,11.37,11.50,11.08,11.47,79800,11.393085
2016-02-24,11.04,11.45,10.70,11.40,60000,11.323554
2016-02-23,11.44,12.47,10.83,11.17,334200,11.095097
2016-02-22,11.48,11.72,11.48,11.56,180100,11.482482
2016-02-19,11.38,11.50,11.22,11.38,73200,11.303689
2016-02-18,11.62,11.67,11.42,11.43,86800,11.353353
2016-02-17,11.51,11.95,11.51,11.60,230100,11.522214
2016-02-16,11.33,11.54,11.19,11.39,158600,11.313622
2016-02-12,10.93,11.35,10.82,11.15,108700,11.07523
2016-02-11,10.56,10.93,10.49,10.80,146700,10.727578
2016-02-10,11.01,11.45,10.86,10.87,232100,10.797108
2016-02-09,10.74,11.13,10.74,10.89,169000,10.816975
2016-02-08,11.26,11.57,10.77,10.87,319200,10.797108
2016-02-05,11.13,11.26,10.83,11.11,294300,11.035499
2016-02-04,11.31,12.15,10.91,11.14,403300,11.065298
2016-02-03,10.47,10.70,10.27,10.67,268000,10.59845
2016-02-02,10.88,10.92,10.33,10.40,182700,10.33026
2016-02-01,11.20,11.25,10.90,11.08,168000,11.0057
2016-01-29,10.75,11.31,10.75,11.31,375900,11.234158
2016-01-28,10.84,10.88,10.46,10.66,225600,10.588516
2016-01-27,10.97,11.065,10.67,10.75,155800,10.677913
2016-01-26,10.82,11.09,10.72,10.98,421800,10.90637
2016-01-25,11.33,11.40,11.15,11.33,228400,11.254024
