Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.60,10.70,10.57,10.65,190400,10.65
2016-04-18,10.60,10.61,10.35,10.59,314000,10.59
2016-04-15,10.60,10.68,10.45,10.60,387500,10.60
2016-04-14,10.83,10.85,10.49,10.64,654000,10.64
2016-04-13,10.74,10.89,10.71,10.87,269200,10.87
2016-04-12,10.70,10.75,10.68,10.72,149000,10.72
2016-04-11,10.56,10.70,10.53,10.69,264400,10.69
2016-04-08,10.56,10.65,10.54,10.55,144300,10.55
2016-04-07,10.57,10.62,10.48,10.51,133700,10.51
2016-04-06,10.44,10.60,10.36,10.57,205400,10.57
2016-04-05,10.41,10.47,10.27,10.43,157800,10.43
2016-04-04,10.41,10.48,10.31,10.35,177200,10.35
2016-04-01,10.37,10.39,10.27,10.39,122200,10.39
2016-03-31,10.19,10.38,10.15,10.37,379300,10.37
2016-03-30,10.32,10.39,10.22,10.26,114800,10.26
2016-03-29,10.19,10.35,10.08,10.33,187700,10.33
2016-03-28,10.35,10.35,10.07,10.18,139400,10.18
2016-03-24,10.16,10.34,10.00,10.32,136700,10.32
2016-03-23,10.52,10.52,10.20,10.21,281200,10.21
2016-03-22,10.58,10.70,10.48,10.68,364700,10.54
2016-03-21,10.48,10.58,10.42,10.56,244300,10.421573
2016-03-18,10.33,10.46,10.25,10.41,406800,10.273539
2016-03-17,10.08,10.34,10.05,10.25,396100,10.115637
2016-03-16,9.75,10.07,9.73,10.02,134400,9.888652
2016-03-15,10.14,10.14,9.76,9.79,233000,9.661667
2016-03-14,10.00,10.19,9.93,10.16,210200,10.026816
2016-03-11,9.88,10.00,9.78,10.00,203200,9.868914
2016-03-10,9.90,9.90,9.66,9.78,117200,9.651798
2016-03-09,9.78,9.95,9.73,9.80,100000,9.671536
2016-03-08,9.94,10.00,9.75,9.76,187000,9.63206
2016-03-07,9.65,9.99,9.65,9.98,244100,9.849176
2016-03-04,9.87,9.87,9.65,9.72,186900,9.592585
2016-03-03,9.75,9.88,9.67,9.87,234700,9.740618
2016-03-02,9.64,9.75,9.60,9.63,142900,9.503764
2016-03-01,9.72,9.75,9.61,9.66,140900,9.533371
2016-02-29,9.61,9.79,9.53,9.62,296400,9.493895
2016-02-26,9.53,9.75,9.50,9.52,132700,9.395206
2016-02-25,9.35,9.57,9.31,9.53,218600,9.405075
2016-02-24,9.06,9.40,9.00,9.35,149200,9.227435
2016-02-23,9.48,9.51,9.23,9.25,169200,9.128745
2016-02-22,9.50,9.60,9.42,9.51,179500,9.385337
2016-02-19,9.53,9.68,9.51,9.62,247100,9.35573
2016-02-18,9.68,9.68,9.50,9.53,198900,9.268202
2016-02-17,9.42,9.64,9.42,9.62,300200,9.35573
2016-02-16,9.19,9.44,9.12,9.42,349100,9.161224
2016-02-12,9.17,9.19,8.95,9.14,203800,8.888916
2016-02-11,8.83,8.95,8.67,8.88,156900,8.636059
2016-02-10,8.88,9.09,8.87,8.88,98500,8.636059
2016-02-09,9.06,9.09,8.80,8.89,171500,8.645784
2016-02-08,8.81,9.18,8.81,9.17,174400,8.918092
2016-02-05,9.00,9.13,8.92,8.94,141300,8.69441
