Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,20.82,20.82,20.280001,20.299999,6100,20.299999
2016-04-18,20.219999,20.74,20.219999,20.620001,4100,20.620001
2016-04-15,19.84,20.459999,19.82,20.24,3500,20.24
2016-04-14,20.25,20.280001,19.975,20.190001,9000,20.190001
2016-04-13,20.42,20.42,19.92,20.139999,8600,20.139999
2016-04-12,20.549999,20.709999,20.202999,20.32,7000,20.32
2016-04-11,20.42,20.60,20.27,20.42,8500,20.42
2016-04-08,20.57,20.57,20.219999,20.40,7100,20.40
2016-04-07,20.67,20.67,19.639999,20.18,6200,20.18
2016-04-06,20.17,20.959999,20.09,20.959999,11400,20.959999
2016-04-05,19.969999,20.209999,19.74,20.17,5000,20.17
2016-04-04,20.33,20.450001,19.809999,20.190001,24700,20.190001
2016-04-01,19.639999,20.33,19.59,20.32,8500,20.32
2016-03-31,19.75,20.129999,19.68,19.940001,14400,19.940001
2016-03-30,19.799999,20.58,19.41,19.82,22500,19.82
2016-03-29,18.24,19.92,18.24,19.620001,12700,19.620001
2016-03-28,18.49,18.52,18.18,18.379999,3900,18.379999
2016-03-24,18.67,18.83,18.389999,18.40,4100,18.40
2016-03-23,19.129999,19.165001,18.84,18.860001,7200,18.860001
2016-03-22,19.16,19.290001,19.01,19.27,2900,19.27
2016-03-21,19.559999,19.639999,19.469999,19.469999,900,19.469999
2016-03-18,19.83,19.93,19.58,19.780001,5400,19.780001
2016-03-17,19.65,19.92,19.65,19.85,13000,19.85
2016-03-16,18.959999,19.41,18.959999,19.40,1900,19.40
2016-03-15,18.83,18.93,18.58,18.889999,1100,18.889999
2016-03-14,19.309999,19.309999,18.959999,19.10,4400,19.10
2016-03-11,18.83,19.43,18.809999,19.35,2900,19.35
2016-03-10,19.02,19.02,18.299999,18.382999,1700,18.382999
2016-03-09,18.48,18.969999,18.367001,18.969999,4600,18.969999
2016-03-08,18.26,18.620001,18.040001,18.33,6900,18.33
2016-03-07,18.26,18.73,18.26,18.620001,9300,18.620001
2016-03-04,18.530001,18.700001,18.41,18.41,6700,18.41
2016-03-03,18.09,18.540001,18.09,18.469999,29400,18.469999
2016-03-02,17.459999,18.26,17.110001,18.01,27700,18.01
2016-03-01,16.75,17.530001,16.459999,17.51,4800,17.51
2016-02-29,16.32,16.43,16.209999,16.35,5000,16.35
2016-02-26,16.42,16.51,16.23,16.35,1100,16.35
2016-02-25,15.93,16.219999,15.76,16.190001,5500,16.116001
2016-02-24,15.40,15.66,15.12,15.66,2900,15.588422
