Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.780001,26.00,25.709999,25.90,5900,25.90
2016-04-18,25.690001,25.809999,25.690001,25.780001,1300,25.780001
2016-04-15,25.68,25.68,25.68,25.68,400,25.68
2016-04-14,25.75,25.799999,25.700001,25.799999,4100,25.799999
2016-04-13,25.690001,25.85,25.690001,25.700001,10500,25.700001
2016-04-12,25.74,25.799999,25.709999,25.709999,1400,25.709999
2016-04-11,25.790001,25.790001,25.790001,25.790001,500,25.790001
2016-04-08,25.67,25.74,25.67,25.74,1700,25.74
2016-04-07,25.74,25.82,25.620001,25.799999,4700,25.799999
2016-04-06,25.719999,25.860001,25.540001,25.629999,3600,25.629999
2016-04-05,25.809999,25.85,25.77,25.77,4100,25.77
2016-04-04,25.780001,25.84,25.73,25.73,1200,25.73
2016-04-01,25.75,25.75,25.75,25.75,100,25.75
2016-03-31,25.700001,25.700001,25.60,25.65,14100,25.65
2016-03-30,25.629999,25.639999,25.60,25.639999,2500,25.639999
2016-03-29,25.65,25.700001,25.610001,25.610001,6600,25.545
2016-03-28,25.82,25.85,25.65,25.700001,15400,25.634772
2016-03-24,25.76,25.91,25.76,25.780001,3900,25.714569
2016-03-23,25.709999,25.91,25.709999,25.75,8200,25.684644
2016-03-22,25.799999,25.92,25.799999,25.92,2200,25.854213
2016-03-21,25.68,25.889999,25.68,25.889999,5600,25.824288
2016-03-18,25.60,25.75,25.60,25.67,3200,25.604847
2016-03-17,25.60,25.620001,25.58,25.59,800,25.525051
2016-03-16,25.879999,25.879999,25.58,25.719999,2400,25.65472
2016-03-15,25.60,25.68,25.540001,25.540001,2800,25.475178
2016-03-14,25.84,25.98,25.690001,25.799999,2500,25.734517
2016-03-11,25.530001,25.700001,25.50,25.700001,1600,25.634772
2016-03-10,25.76,25.76,25.76,25.76,000,25.694619
2016-03-09,25.700001,25.860001,25.700001,25.76,1800,25.694619
2016-03-08,25.719999,25.82,25.690001,25.82,1200,25.754466
2016-03-07,25.690001,25.889999,25.690001,25.889999,1800,25.824288
2016-03-04,25.790001,25.83,25.74,25.76,900,25.694619
2016-03-03,25.799999,25.82,25.690001,25.82,1300,25.754466
2016-03-02,25.75,25.799999,25.75,25.780001,2000,25.714569
2016-03-01,25.52,25.799999,25.52,25.799999,2800,25.734517
2016-02-29,25.50,25.83,25.50,25.52,3100,25.455229
2016-02-26,25.85,25.92,25.709999,25.92,9700,25.854213
2016-02-25,25.83,25.98,25.76,25.76,4400,25.634772
2016-02-24,25.50,25.940001,25.50,25.940001,4500,25.813897
2016-02-23,25.530001,25.83,25.530001,25.75,2300,25.62482
2016-02-22,25.379999,25.530001,25.379999,25.459999,1800,25.336229
2016-02-19,25.35,25.48,25.35,25.43,400,25.306376
2016-02-18,25.35,25.549999,25.33,25.549999,2500,25.425792
2016-02-17,25.34,25.43,25.34,25.43,300,25.306376
2016-02-16,25.379999,25.379999,25.379999,25.379999,000,25.256618
2016-02-12,25.309999,25.49,25.309999,25.379999,2900,25.256618
2016-02-11,25.309999,25.35,25.309999,25.35,2300,25.226765
2016-02-10,25.559999,25.60,25.540001,25.549999,2300,25.425792
2016-02-09,25.40,25.540001,25.32,25.49,2900,25.366084
2016-02-08,25.309999,25.440001,25.309999,25.440001,600,25.316328
2016-02-05,25.33,25.43,25.32,25.35,3000,25.226765
2016-02-04,25.379999,25.459999,25.379999,25.379999,1500,25.256618
2016-02-03,25.360001,25.41,25.34,25.379999,4200,25.256618
2016-02-02,25.32,25.379999,25.299999,25.34,2700,25.216813
2016-02-01,25.389999,25.41,25.309999,25.379999,2100,25.256618
2016-01-29,25.379999,25.43,25.309999,25.309999,6900,25.186959
2016-01-28,25.35,25.35,25.35,25.35,200,25.226765
2016-01-27,25.360001,25.360001,25.33,25.360001,1900,25.182979
2016-01-26,25.360001,25.360001,25.360001,25.360001,300,25.182979
2016-01-25,25.43,25.43,25.35,25.41,3400,25.232629
2016-01-22,25.459999,25.459999,25.35,25.42,5000,25.242559
2016-01-21,25.35,25.49,25.35,25.49,1600,25.31207
2016-01-20,25.440001,25.440001,25.35,25.360001,4600,25.182979
2016-01-19,25.43,25.450001,25.41,25.450001,2100,25.272351
2016-01-15,25.450001,25.469999,25.40,25.41,2300,25.232629
