Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,4.43,4.43,4.41,4.43,111000,4.43
2016-04-18,4.40,4.43,4.38,4.42,116300,4.42
2016-04-15,4.39,4.40,4.39,4.40,48600,4.40
2016-04-14,4.38,4.40,4.36,4.40,164500,4.40
2016-04-13,4.35,4.39,4.35,4.37,207500,4.37
2016-04-12,4.34,4.37,4.34,4.34,115500,4.34
2016-04-11,4.35,4.36,4.34,4.34,180800,4.34
2016-04-08,4.34,4.36,4.34,4.34,55400,4.34
2016-04-07,4.34,4.36,4.33,4.33,81500,4.33
2016-04-06,4.38,4.39,4.35,4.35,84800,4.35
2016-04-05,4.38,4.38,4.35,4.36,83800,4.36
2016-04-04,4.41,4.41,4.38,4.38,57700,4.38
2016-04-01,4.39,4.41,4.38,4.40,78800,4.40
2016-03-31,4.36,4.41,4.35,4.40,482000,4.40
2016-03-30,4.36,4.36,4.34,4.36,51400,4.36
2016-03-29,4.35,4.36,4.33,4.34,153400,4.34
2016-03-28,4.33,4.36,4.33,4.36,115700,4.36
2016-03-24,4.32,4.34,4.32,4.32,266200,4.32
2016-03-23,4.33,4.37,4.33,4.33,87300,4.33
2016-03-22,4.34,4.36,4.32,4.34,314100,4.34
2016-03-21,4.36,4.38,4.36,4.36,84900,4.334
2016-03-18,4.36,4.38,4.35,4.36,102700,4.334
2016-03-17,4.35,4.38,4.34,4.36,52400,4.334
2016-03-16,4.33,4.36,4.33,4.34,74700,4.314119
2016-03-15,4.33,4.36,4.32,4.34,113600,4.314119
2016-03-14,4.32,4.37,4.31,4.36,164300,4.334
2016-03-11,4.32,4.33,4.30,4.31,102600,4.284298
2016-03-10,4.33,4.34,4.30,4.30,112000,4.274358
2016-03-09,4.33,4.33,4.31,4.33,242400,4.304179
2016-03-08,4.30,4.32,4.30,4.31,138900,4.284298
2016-03-07,4.31,4.35,4.30,4.31,154200,4.284298
2016-03-04,4.28,4.31,4.26,4.31,124000,4.284298
2016-03-03,4.20,4.27,4.20,4.26,157100,4.234596
2016-03-02,4.19,4.21,4.18,4.20,120800,4.174954
2016-03-01,4.16,4.19,4.14,4.19,214700,4.165014
2016-02-29,4.14,4.14,4.12,4.14,104100,4.115312
2016-02-26,4.14,4.15,4.12,4.13,190600,4.105372
2016-02-25,4.16,4.17,4.12,4.13,247200,4.105372
2016-02-24,4.13,4.18,4.12,4.14,255300,4.115312
2016-02-23,4.15,4.17,4.14,4.14,198000,4.115312
2016-02-22,4.13,4.19,4.13,4.15,180700,4.125252
2016-02-19,4.19,4.19,4.15,4.15,85500,4.099407
2016-02-18,4.16,4.21,4.15,4.19,151600,4.13892
2016-02-17,4.13,4.18,4.11,4.14,252700,4.089529
2016-02-16,4.13,4.13,4.11,4.11,162600,4.059895
2016-02-12,4.11,4.12,4.10,4.11,232600,4.059895
2016-02-11,4.11,4.11,4.06,4.09,180900,4.040139
2016-02-10,4.15,4.16,4.13,4.13,143800,4.079651
2016-02-09,4.15,4.17,4.11,4.12,197100,4.069773
2016-02-08,4.24,4.26,4.15,4.15,257900,4.099407
2016-02-05,4.26,4.30,4.24,4.24,158600,4.18831
2016-02-04,4.29,4.32,4.25,4.25,113000,4.198188
2016-02-03,4.32,4.34,4.29,4.29,118100,4.237701
2016-02-02,4.31,4.34,4.31,4.32,128100,4.267335
2016-02-01,4.32,4.34,4.29,4.34,146500,4.287091
2016-01-29,4.34,4.36,4.29,4.32,294600,4.267335
2016-01-28,4.29,4.36,4.28,4.34,309100,4.287091
2016-01-27,4.28,4.36,4.25,4.26,272000,4.208067
2016-01-26,4.30,4.36,4.27,4.27,184700,4.217944
2016-01-25,4.35,4.37,4.30,4.30,116100,4.247579
2016-01-22,4.34,4.36,4.30,4.35,195600,4.296969
2016-01-21,4.25,4.31,4.22,4.29,220600,4.237701
2016-01-20,4.25,4.26,4.13,4.24,194700,4.18831
2016-01-19,4.31,4.34,4.27,4.28,199000,4.20214
2016-01-15,4.35,4.41,4.28,4.30,290200,4.221776
2016-01-14,4.34,4.47,4.33,4.44,216700,4.359229
2016-01-13,4.44,4.45,4.33,4.33,161700,4.25123
2016-01-12,4.43,4.45,4.43,4.43,51900,4.349411
2016-01-11,4.42,4.45,4.42,4.43,101900,4.349411
2016-01-08,4.49,4.49,4.42,4.42,168700,4.339593
2016-01-07,4.50,4.50,4.47,4.48,58500,4.398501
2016-01-06,4.48,4.54,4.48,4.50,88300,4.418137
2016-01-05,4.50,4.53,4.50,4.51,72400,4.427956
2016-01-04,4.55,4.55,4.48,4.50,128300,4.418137
2015-12-31,4.54,4.55,4.52,4.55,267000,4.467228
2015-12-30,4.56,4.60,4.54,4.54,216500,4.45741
2015-12-29,4.52,4.57,4.51,4.55,125400,4.467228
2015-12-28,4.52,4.55,4.49,4.51,147400,4.427956
2015-12-24,4.52,4.55,4.50,4.52,177400,4.437774
2015-12-23,4.48,4.53,4.48,4.53,164700,4.447592
2015-12-22,4.46,4.50,4.45,4.48,134100,4.398501
2015-12-21,4.50,4.52,4.46,4.49,191800,4.382792
2015-12-18,4.51,4.55,4.50,4.52,150000,4.412076
2015-12-17,4.46,4.56,4.46,4.51,212500,4.402315
2015-12-16,4.37,4.50,4.37,4.46,351400,4.353509
2015-12-15,4.32,4.41,4.31,4.37,311300,4.265657
2015-12-14,4.44,4.45,4.30,4.30,195800,4.197329
2015-12-11,4.53,4.53,4.43,4.44,340200,4.333986
2015-12-10,4.51,4.55,4.50,4.54,160000,4.431598
2015-12-09,4.55,4.56,4.50,4.52,179300,4.412076
2015-12-08,4.53,4.55,4.52,4.54,75000,4.431598
2015-12-07,4.53,4.57,4.53,4.53,120500,4.421837
2015-12-04,4.55,4.58,4.52,4.53,194600,4.421837
2015-12-03,4.55,4.60,4.55,4.55,158300,4.44136
2015-12-02,4.58,4.60,4.54,4.54,131600,4.431598
2015-12-01,4.62,4.64,4.58,4.58,111200,4.470643
2015-11-30,4.64,4.65,4.59,4.62,174900,4.509688
2015-11-27,4.64,4.65,4.62,4.65,53400,4.538972
2015-11-25,4.64,4.65,4.62,4.64,118500,4.52921
2015-11-24,4.63,4.64,4.61,4.64,67300,4.52921
2015-11-23,4.65,4.65,4.61,4.63,177200,4.519449
2015-11-20,4.64,4.66,4.62,4.64,131800,4.52921
2015-11-19,4.62,4.67,4.59,4.67,154000,4.533115
2015-11-18,4.58,4.63,4.58,4.61,163800,4.474874
2015-11-17,4.58,4.64,4.57,4.59,211300,4.45546
2015-11-16,4.58,4.61,4.55,4.58,183800,4.445753
2015-11-13,4.56,4.62,4.55,4.58,314400,4.445753
2015-11-12,4.59,4.64,4.56,4.56,282200,4.426339
2015-11-11,4.59,4.62,4.56,4.59,151100,4.45546
2015-11-10,4.57,4.64,4.57,4.58,141700,4.445753
2015-11-09,4.62,4.63,4.56,4.57,154400,4.436046
2015-11-06,4.63,4.67,4.62,4.62,133900,4.484581
2015-11-05,4.57,4.65,4.57,4.64,299500,4.503994
2015-11-04,4.61,4.64,4.56,4.57,195200,4.436046
2015-11-03,4.62,4.65,4.61,4.61,129100,4.474874
2015-11-02,4.63,4.65,4.61,4.61,92100,4.474874
2015-10-30,4.61,4.64,4.60,4.62,117600,4.484581
2015-10-29,4.60,4.63,4.58,4.60,114100,4.465167
2015-10-28,4.61,4.65,4.59,4.60,94400,4.465167
2015-10-27,4.63,4.63,4.59,4.60,115400,4.465167
2015-10-26,4.64,4.65,4.62,4.64,51600,4.503994
2015-10-23,4.64,4.64,4.63,4.64,34400,4.503994
2015-10-22,4.57,4.65,4.55,4.64,218900,4.503994
2015-10-21,4.61,4.62,4.54,4.55,124900,4.416633
2015-10-20,4.61,4.65,4.61,4.63,33500,4.46905
2015-10-19,4.58,4.66,4.57,4.62,160900,4.459397
2015-10-16,4.52,4.64,4.52,4.58,180700,4.420788
2015-10-15,4.59,4.59,4.51,4.52,146600,4.362873
2015-10-14,4.59,4.64,4.58,4.58,188400,4.420788
2015-10-13,4.64,4.66,4.59,4.59,167400,4.43044
2015-10-12,4.59,4.65,4.59,4.65,88300,4.488354
2015-10-09,4.54,4.64,4.54,4.58,327800,4.420788
2015-10-08,4.54,4.56,4.52,4.54,75100,4.382178
2015-10-07,4.51,4.57,4.51,4.54,272400,4.382178
2015-10-06,4.47,4.50,4.46,4.50,109400,4.343569
2015-10-05,4.47,4.49,4.46,4.47,248100,4.314611
2015-10-02,4.48,4.48,4.45,4.47,108800,4.314611
2015-10-01,4.51,4.53,4.48,4.48,103900,4.324264
2015-09-30,4.52,4.57,4.51,4.51,140900,4.353221
2015-09-29,4.53,4.55,4.49,4.52,129900,4.362873
2015-09-28,4.55,4.56,4.53,4.54,150900,4.382178
2015-09-25,4.56,4.60,4.56,4.56,141800,4.401483
2015-09-24,4.54,4.56,4.54,4.56,386000,4.401483
2015-09-23,4.54,4.57,4.54,4.55,82500,4.391831
2015-09-22,4.53,4.57,4.53,4.54,100000,4.382178
2015-09-21,4.56,4.61,4.55,4.58,99700,4.395691
2015-09-18,4.52,4.54,4.49,4.54,159000,4.357301
2015-09-17,4.52,4.55,4.52,4.52,128400,4.338106
2015-09-16,4.51,4.56,4.50,4.52,101600,4.338106
2015-09-15,4.52,4.53,4.50,4.50,188400,4.318911
2015-09-14,4.54,4.55,4.52,4.52,53300,4.338106
2015-09-11,4.53,4.57,4.53,4.54,93200,4.357301
2015-09-10,4.53,4.59,4.52,4.54,98600,4.357301
2015-09-09,4.54,4.55,4.53,4.53,46700,4.347704
2015-09-08,4.56,4.56,4.54,4.54,73600,4.357301
2015-09-04,4.57,4.57,4.53,4.54,131200,4.357301
2015-09-03,4.60,4.62,4.54,4.57,126500,4.386094
2015-09-02,4.59,4.64,4.59,4.60,75400,4.414887
2015-09-01,4.64,4.66,4.61,4.61,82500,4.424484
2015-08-31,4.61,4.67,4.60,4.66,82100,4.472472
2015-08-28,4.58,4.65,4.58,4.62,77900,4.434082
2015-08-27,4.55,4.60,4.54,4.58,157400,4.395691
2015-08-26,4.52,4.55,4.52,4.54,176700,4.357301
2015-08-25,4.51,4.55,4.50,4.50,142100,4.318911
2015-08-24,4.57,4.57,4.51,4.51,270600,4.328509
2015-08-21,4.57,4.59,4.56,4.56,92700,4.376496
2015-08-20,4.67,4.67,4.58,4.58,154000,4.395691
2015-08-19,4.66,4.73,4.64,4.70,157200,4.485909
2015-08-18,4.64,4.67,4.64,4.66,88300,4.447731
2015-08-17,4.66,4.67,4.64,4.65,169000,4.438187
2015-08-14,4.63,4.68,4.63,4.67,94500,4.457276
2015-08-13,4.61,4.67,4.60,4.64,184900,4.428642
2015-08-12,4.57,4.64,4.57,4.61,267100,4.400009
2015-08-11,4.57,4.59,4.57,4.58,193300,4.371375
2015-08-10,4.61,4.62,4.58,4.58,142600,4.371375
2015-08-07,4.64,4.66,4.60,4.61,129100,4.400009
2015-08-06,4.67,4.69,4.65,4.65,138300,4.438187
2015-08-05,4.72,4.72,4.67,4.68,232600,4.46682
2015-08-04,4.75,4.76,4.66,4.70,154900,4.485909
2015-08-03,4.74,4.76,4.71,4.75,71900,4.533631
2015-07-31,4.72,4.75,4.72,4.75,93700,4.533631
2015-07-30,4.69,4.72,4.69,4.72,122500,4.504998
2015-07-29,4.68,4.70,4.67,4.70,119800,4.485909
2015-07-28,4.67,4.68,4.66,4.68,184000,4.46682
2015-07-27,4.74,4.75,4.68,4.68,189400,4.46682
2015-07-24,4.77,4.77,4.73,4.75,112200,4.533631
2015-07-23,4.77,4.78,4.75,4.77,155900,4.55272
2015-07-22,4.77,4.79,4.75,4.77,236000,4.55272
2015-07-21,4.79,4.80,4.77,4.80,91900,4.556538
2015-07-20,4.80,4.80,4.78,4.80,100900,4.556538
2015-07-17,4.79,4.80,4.77,4.80,126200,4.556538
2015-07-16,4.75,4.79,4.74,4.79,100100,4.547045
2015-07-15,4.74,4.76,4.72,4.75,91700,4.509074
2015-07-14,4.72,4.80,4.70,4.72,326000,4.480596
2015-07-13,4.68,4.74,4.68,4.73,115700,4.490089
2015-07-10,4.67,4.71,4.66,4.68,146200,4.442624
2015-07-09,4.71,4.71,4.65,4.66,106300,4.423639
2015-07-08,4.69,4.72,4.61,4.71,109400,4.471103
2015-07-07,4.71,4.72,4.69,4.72,82600,4.480596
2015-07-06,4.72,4.73,4.68,4.70,91300,4.46161
2015-07-02,4.72,4.74,4.71,4.73,51700,4.490089
2015-07-01,4.76,4.76,4.70,4.71,68800,4.471103
2015-06-30,4.73,4.75,4.72,4.72,118100,4.480596
2015-06-29,4.75,4.76,4.71,4.72,128300,4.480596
2015-06-26,4.77,4.80,4.75,4.80,84400,4.556538
2015-06-25,4.78,4.79,4.76,4.77,90000,4.52806
2015-06-24,4.77,4.80,4.77,4.79,147500,4.547045
2015-06-23,4.76,4.79,4.75,4.78,140400,4.537553
2015-06-22,4.70,4.75,4.70,4.75,161100,4.509074
2015-06-19,4.79,4.80,4.75,4.77,64600,4.503378
2015-06-18,4.81,4.81,4.78,4.80,283300,4.531702
2015-06-17,4.81,4.82,4.77,4.79,87700,4.52226
2015-06-16,4.81,4.82,4.79,4.81,133000,4.541143
2015-06-15,4.81,4.81,4.74,4.81,165100,4.541143
2015-06-12,4.81,4.84,4.80,4.83,78700,4.560025
2015-06-11,4.81,4.84,4.81,4.82,83600,4.550584
2015-06-10,4.80,4.83,4.79,4.82,86600,4.550584
2015-06-09,4.83,4.83,4.80,4.81,98500,4.541143
2015-06-08,4.78,4.84,4.77,4.84,125200,4.569466
2015-06-05,4.75,4.78,4.75,4.78,159700,4.51282
2015-06-04,4.80,4.80,4.77,4.77,77300,4.503378
2015-06-03,4.81,4.82,4.78,4.80,219000,4.531702
2015-06-02,4.84,4.84,4.81,4.82,106700,4.550584
2015-06-01,4.84,4.84,4.82,4.83,154500,4.560025
