Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,23.68,24.200001,23.530001,24.110001,153300,24.110001
2016-04-18,23.60,23.985001,23.41,23.719999,119800,23.719999
2016-04-15,23.50,24.15,23.35,23.799999,135300,23.799999
2016-04-14,23.799999,23.98,23.190001,23.549999,156700,23.549999
2016-04-13,23.17,24.24,22.98,23.99,187900,23.99
2016-04-12,22.75,23.16,22.700001,23.00,184600,23.00
2016-04-11,22.75,23.049999,22.74,22.77,166300,22.77
2016-04-08,23.10,23.23,22.690001,22.75,151300,22.75
2016-04-07,23.32,23.43,22.90,23.00,177100,23.00
2016-04-06,23.24,23.65,23.120001,23.40,163500,23.40
2016-04-05,23.540001,23.65,23.110001,23.450001,178600,23.450001
2016-04-04,23.139999,23.93,22.75,23.790001,186700,23.790001
2016-04-01,23.91,24.379999,23.299999,23.299999,351100,23.299999
2016-03-31,24.65,24.83,23.52,24.049999,301200,24.049999
2016-03-30,23.440001,25.058001,23.280001,24.67,360900,24.67
2016-03-29,23.51,23.610001,22.24,23.27,715000,23.27
2016-03-28,26.450001,26.459999,19.959999,23.66,2516600,23.66
2016-03-24,26.24,26.66,26.00,26.469999,73300,26.469999
2016-03-23,26.77,27.07,26.40,26.51,80100,26.51
2016-03-22,26.93,27.23,26.24,26.860001,186600,26.860001
2016-03-21,26.42,27.07,26.42,27.02,130300,27.02
2016-03-18,26.77,26.84,26.040001,26.48,642000,26.48
2016-03-17,26.48,27.360001,26.469999,26.940001,114000,26.940001
2016-03-16,27.08,27.50,26.48,26.48,141900,26.48
2016-03-15,27.440001,27.559999,27.02,27.24,101700,27.24
2016-03-14,26.860001,27.620001,26.775,27.309999,167500,27.309999
2016-03-11,27.120001,27.549999,26.459999,26.83,218800,26.83
2016-03-10,26.27,27.34,26.26,27.33,143100,27.33
2016-03-09,27.50,27.565001,25.83,26.41,168000,26.41
2016-03-08,26.280001,27.35,26.00,27.120001,158200,27.120001
2016-03-07,25.23,26.77,25.209999,26.41,198700,26.41
2016-03-04,27.02,27.200001,26.10,26.16,136600,26.109999
2016-03-03,28.48,28.48,27.280001,27.290001,135700,27.23784
