Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,62.849998,63.529999,62.290001,63.09,733700,63.09
2016-04-18,61.91,62.849998,61.799999,62.580002,666900,62.580002
2016-04-15,60.98,62.34,60.380001,62.27,982200,62.27
2016-04-14,61.740002,61.759998,60.599998,61.189999,617500,61.189999
2016-04-13,61.209999,61.84,60.650002,61.77,744900,61.77
2016-04-12,59.959999,60.939999,59.490002,60.68,750600,60.68
2016-04-11,60.119999,60.700001,59.669998,60.060001,696100,60.060001
2016-04-08,59.560001,60.650002,59.490002,60.18,679100,60.18
2016-04-07,59.200001,59.700001,58.650002,58.990002,957400,58.990002
2016-04-06,58.880001,59.919998,58.490002,59.830002,896000,59.830002
2016-04-05,59.75,60.07,58.439999,58.889999,1034600,58.889999
2016-04-04,60.68,60.939999,60.34,60.450001,741900,60.450001
2016-04-01,60.009998,60.740002,59.380001,60.73,995300,60.73
2016-03-31,59.380001,61.00,59.049999,60.400002,1278700,60.400002
2016-03-30,60.259998,60.490002,59.099998,59.439999,1115300,59.439999
2016-03-29,58.619999,60.389999,58.450001,60.189999,1265200,60.189999
2016-03-28,58.91,59.290001,58.189999,58.939999,782700,58.939999
2016-03-24,57.860001,58.830002,57.27,58.709999,958000,58.709999
2016-03-23,58.82,59.459999,58.330002,58.389999,1308800,58.389999
2016-03-22,57.82,59.009998,57.709999,58.98,1147800,58.98
2016-03-21,57.009998,58.50,57.009998,58.259998,1139000,58.259998
2016-03-18,57.279999,57.830002,56.450001,57.200001,5214000,57.200001
2016-03-17,56.00,57.580002,55.880001,57.290001,953600,57.290001
2016-03-16,54.290001,56.16,54.240002,55.900002,1271300,55.900002
2016-03-15,54.990002,55.360001,53.700001,54.290001,1702700,54.290001
2016-03-14,55.150002,55.959999,55.09,55.110001,1604300,55.110001
2016-03-11,54.259998,55.939999,53.869999,55.419998,1421400,55.419998
2016-03-10,55.369999,55.369999,53.389999,54.360001,1267800,53.810002
2016-03-09,52.73,55.110001,52.509998,55.009998,2789300,54.453423
2016-03-08,52.950001,53.040001,51.75,52.619999,1420200,52.087605
2016-03-07,52.48,53.52,52.27,53.43,1264600,52.889411
