Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,20.98,20.98,20.91,20.98,36500,20.98
2016-04-18,20.76,20.98,20.76,20.959999,52800,20.959999
2016-04-15,20.780001,20.91,20.780001,20.879999,85600,20.879999
2016-04-14,20.77,20.91,20.610001,20.90,72500,20.90
2016-04-13,20.66,20.959999,20.57,20.799999,83700,20.799999
2016-04-12,20.620001,20.690001,20.57,20.690001,43300,20.690001
2016-04-11,20.620001,20.620001,20.540001,20.57,39100,20.57
2016-04-08,20.450001,20.540001,20.440001,20.540001,35000,20.540001
2016-04-07,20.50,20.50,20.33,20.389999,53700,20.389999
2016-04-06,20.559999,20.65,20.530001,20.639999,59300,20.45
2016-04-05,20.610001,20.610001,20.49,20.51,76000,20.321197
2016-04-04,20.65,20.690001,20.540001,20.620001,74700,20.430185
2016-04-01,20.73,20.75,20.52,20.700001,97700,20.509449
2016-03-31,20.620001,20.75,20.59,20.75,43800,20.558988
2016-03-30,20.50,20.58,20.42,20.57,34500,20.380645
2016-03-29,20.389999,20.42,20.280001,20.42,39600,20.232026
2016-03-28,20.40,20.49,20.34,20.389999,38900,20.202301
2016-03-24,20.610001,20.610001,20.40,20.450001,54300,20.26175
2016-03-23,20.610001,20.690001,20.559999,20.620001,34000,20.430185
2016-03-22,20.459999,20.639999,20.459999,20.610001,55300,20.420277
2016-03-21,20.530001,20.549999,20.389999,20.549999,51400,20.360828
2016-03-18,20.48,20.50,20.35,20.49,71800,20.301381
2016-03-17,20.25,20.440001,20.209999,20.440001,126900,20.251842
2016-03-16,20.110001,20.25,20.049999,20.25,105700,20.063591
2016-03-15,20.09,20.24,20.059999,20.200001,69700,20.014052
2016-03-14,20.33,20.33,20.17,20.200001,43500,20.014052
2016-03-11,20.25,20.290001,20.110001,20.290001,47300,20.103223
2016-03-10,20.15,20.219999,20.02,20.10,50100,19.914972
2016-03-09,20.15,20.200001,20.01,20.059999,61200,19.875339
2016-03-08,20.139999,20.24,20.10,20.219999,52000,19.845614
2016-03-07,20.16,20.280001,20.09,20.24,63400,19.865244
2016-03-04,20.030001,20.219999,19.950001,20.190001,60800,19.816171
2016-03-03,19.870001,20.00,19.82,20.00,41200,19.629688
2016-03-02,19.74,19.879999,19.719999,19.82,55000,19.453021
2016-03-01,19.76,19.870001,19.65,19.82,57800,19.453021
2016-02-29,19.41,19.639999,19.41,19.629999,69600,19.266538
2016-02-26,19.50,19.530001,19.389999,19.49,58800,19.129131
2016-02-25,19.379999,19.48,19.299999,19.48,22600,19.119316
2016-02-24,19.209999,19.389999,19.209999,19.34,25500,18.981909
2016-02-23,19.26,19.379999,19.23,19.35,63500,18.991724
2016-02-22,19.389999,19.440001,19.280001,19.42,59900,19.060427
2016-02-19,19.25,19.26,19.16,19.26,45800,18.90339
2016-02-18,19.27,19.41,19.24,19.27,51200,18.913205
2016-02-17,19.379999,19.41,19.25,19.27,88000,18.913205
