Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.60,13.60,13.48,13.50,140900,13.50
2016-04-18,13.62,13.64,13.54,13.60,114100,13.60
2016-04-15,13.52,13.57,13.49,13.57,98600,13.57
2016-04-14,13.52,13.53,13.45,13.47,127000,13.47
2016-04-13,13.55,13.56,13.48,13.48,231800,13.48
2016-04-12,13.50,13.58,13.50,13.54,187500,13.54
2016-04-11,13.44,13.50,13.38,13.50,128500,13.50
2016-04-08,13.47,13.47,13.38,13.41,75000,13.41
2016-04-07,13.48,13.48,13.36,13.36,126600,13.36
2016-04-06,13.54,13.55,13.45,13.54,384700,13.475
2016-04-05,13.34,13.41,13.31,13.41,165500,13.345624
2016-04-04,13.26,13.29,13.18,13.29,203800,13.2262
2016-04-01,13.32,13.34,13.23,13.25,186800,13.186392
2016-03-31,13.19,13.31,13.17,13.25,132700,13.186392
2016-03-30,13.12,13.16,13.06,13.16,134800,13.096824
2016-03-29,13.06,13.14,13.03,13.09,251300,13.02716
2016-03-28,13.06,13.07,12.99,13.06,100200,12.997304
2016-03-24,13.03,13.06,13.00,13.03,136400,12.967448
2016-03-23,13.02,13.03,13.01,13.02,116600,12.957496
2016-03-22,13.03,13.05,13.00,13.05,160700,12.987352
2016-03-21,12.97,13.04,12.91,13.01,179200,12.947544
2016-03-18,13.03,13.03,12.93,12.93,214000,12.867928
2016-03-17,13.05,13.05,12.99,13.01,138400,12.947544
2016-03-16,12.99,13.08,12.93,13.05,202800,12.987352
2016-03-15,13.00,13.00,12.95,12.96,136400,12.897784
2016-03-14,13.05,13.07,12.96,13.00,102000,12.937592
2016-03-11,13.05,13.07,13.01,13.01,116400,12.947544
2016-03-10,13.05,13.07,12.94,13.07,174200,13.007256
2016-03-09,13.05,13.05,12.99,13.00,120500,12.937592
2016-03-08,13.03,13.09,13.03,13.09,159800,12.962472
2016-03-07,13.00,13.10,12.97,13.07,171600,12.942667
2016-03-04,13.01,13.05,13.00,13.01,140000,12.883252
2016-03-03,13.03,13.05,12.96,13.05,203600,12.922862
2016-03-02,13.04,13.04,12.96,13.00,113100,12.873349
2016-03-01,13.06,13.06,12.98,13.03,147900,12.903057
2016-02-29,12.91,12.96,12.86,12.95,94100,12.823836
2016-02-26,12.94,12.98,12.86,12.86,109900,12.734713
2016-02-25,13.04,13.04,12.94,12.96,138000,12.833739
2016-02-24,13.07,13.10,12.96,12.97,150500,12.843642
2016-02-23,12.98,13.07,12.96,13.00,110300,12.873349
2016-02-22,13.12,13.12,12.95,12.95,162800,12.823836
2016-02-19,13.11,13.13,13.08,13.11,116500,12.982277
2016-02-18,12.97,13.09,12.95,13.06,84700,12.932765
2016-02-17,12.94,12.94,12.83,12.91,140600,12.784226
2016-02-16,13.00,13.02,12.82,12.90,252200,12.774323
2016-02-12,13.21,13.22,13.00,13.02,157500,12.893155
2016-02-11,13.06,13.21,12.92,13.21,233300,13.081303
2016-02-10,13.05,13.05,12.99,13.02,111900,12.893155
2016-02-09,13.01,13.01,12.93,13.00,101400,12.873349
2016-02-08,13.09,13.11,12.95,13.05,231400,12.858496
2016-02-05,13.04,13.06,12.99,13.03,99700,12.838789
2016-02-04,13.05,13.05,12.97,13.01,93400,12.819083
2016-02-03,12.96,13.02,12.96,13.01,109200,12.819083
2016-02-02,13.02,13.06,12.95,12.95,156500,12.759963
2016-02-01,13.02,13.05,12.98,13.02,217100,12.828936
2016-01-29,12.94,12.96,12.91,12.94,136300,12.750109
2016-01-28,12.80,12.92,12.78,12.89,172900,12.700844
2016-01-27,12.87,12.90,12.74,12.76,202700,12.572752
2016-01-26,12.80,12.84,12.76,12.84,153600,12.651577
2016-01-25,12.78,12.82,12.73,12.75,107500,12.562898
2016-01-22,12.65,12.75,12.59,12.72,151000,12.533339
2016-01-21,12.58,12.62,12.56,12.57,108200,12.385539
2016-01-20,12.63,12.63,12.42,12.53,210100,12.346126
2016-01-19,12.80,12.80,12.55,12.56,219200,12.375687
2016-01-15,12.71,12.81,12.67,12.73,204100,12.543191
2016-01-14,12.68,12.70,12.63,12.67,193100,12.484072
2016-01-13,12.74,12.77,12.63,12.63,92100,12.444659
2016-01-12,12.74,12.81,12.69,12.71,142800,12.523485
2016-01-11,12.86,12.86,12.76,12.83,151800,12.577677
2016-01-08,12.75,12.85,12.72,12.85,198900,12.597284
2016-01-07,12.80,12.82,12.72,12.77,152800,12.518858
2016-01-06,12.76,12.81,12.73,12.75,199100,12.499251
2016-01-05,12.63,12.69,12.60,12.69,183600,12.44043
2016-01-04,12.48,12.60,12.45,12.60,129100,12.352201
2015-12-31,12.61,12.63,12.48,12.51,128500,12.263971
2015-12-30,12.49,12.59,12.47,12.58,98200,12.332594
2015-12-29,12.43,12.50,12.39,12.49,120400,12.244364
2015-12-28,12.36,12.41,12.34,12.41,130400,12.165937
2015-12-24,12.41,12.43,12.33,12.39,67600,12.146331
2015-12-23,12.37,12.44,12.35,12.43,157600,12.185544
2015-12-22,12.30,12.36,12.29,12.35,142700,12.107118
2015-12-21,12.31,12.33,12.29,12.29,154400,12.048297
2015-12-18,12.32,12.35,12.26,12.27,136600,12.028691
2015-12-17,12.22,12.29,12.19,12.28,200600,12.038494
2015-12-16,12.07,12.20,12.07,12.16,169200,11.920854
2015-12-15,12.05,12.14,12.05,12.11,135200,11.871837
2015-12-14,12.26,12.26,12.07,12.07,165600,11.832624
2015-12-11,12.31,12.34,12.24,12.25,146600,12.009084
2015-12-10,12.27,12.31,12.23,12.29,118000,12.048297
2015-12-09,12.39,12.39,12.23,12.31,132000,12.067904
2015-12-08,12.30,12.46,12.28,12.42,127800,12.11202
2015-12-07,12.27,12.36,12.24,12.31,105100,12.004748
2015-12-04,12.20,12.30,12.20,12.27,125000,11.96574
2015-12-03,12.35,12.36,12.20,12.20,174500,11.897475
2015-12-02,12.36,12.40,12.35,12.38,90300,12.073011
2015-12-01,12.33,12.40,12.28,12.40,138600,12.092515
2015-11-30,12.29,12.30,12.24,12.30,93600,11.994995
2015-11-27,12.27,12.31,12.20,12.23,80300,11.926731
2015-11-25,12.21,12.26,12.20,12.23,82200,11.926731
2015-11-24,12.25,12.25,12.18,12.21,68900,11.907227
2015-11-23,12.16,12.24,12.16,12.22,109200,11.916979
2015-11-20,12.13,12.17,12.11,12.14,94600,11.838963
2015-11-19,12.16,12.20,12.13,12.19,60600,11.887722
2015-11-18,12.11,12.16,12.11,12.15,85500,11.848714
2015-11-17,12.10,12.17,12.09,12.14,110700,11.838963
2015-11-16,12.13,12.17,12.11,12.14,59200,11.838963
2015-11-13,12.09,12.15,12.04,12.15,80600,11.848714
2015-11-12,12.04,12.10,12.03,12.06,46800,11.760947
2015-11-11,12.01,12.05,11.96,12.04,63100,11.741442
2015-11-10,12.02,12.04,11.96,12.01,251700,11.712187
2015-11-09,12.08,12.08,11.94,12.00,118600,11.702434
2015-11-06,12.28,12.28,12.14,12.18,169400,11.814582
2015-11-05,12.36,12.36,12.30,12.31,110200,11.940682
2015-11-04,12.37,12.39,12.34,12.36,109800,11.989182
2015-11-03,12.40,12.40,12.34,12.38,127300,12.008582
2015-11-02,12.40,12.40,12.37,12.39,119800,12.018282
2015-10-30,12.37,12.40,12.33,12.40,102100,12.027982
2015-10-29,12.27,12.36,12.23,12.35,85200,11.979482
2015-10-28,12.34,12.37,12.26,12.27,146400,11.901883
2015-10-27,12.33,12.34,12.28,12.33,72200,11.960082
2015-10-26,12.37,12.37,12.32,12.33,74800,11.960082
2015-10-23,12.34,12.38,12.31,12.36,65000,11.989182
2015-10-22,12.37,12.39,12.34,12.35,134000,11.979482
2015-10-21,12.28,12.38,12.28,12.36,152100,11.989182
2015-10-20,12.21,12.29,12.20,12.27,148200,11.901883
2015-10-19,12.11,12.25,12.11,12.22,137800,11.853382
2015-10-16,12.14,12.18,12.13,12.13,94200,11.766082
2015-10-15,12.18,12.19,12.11,12.14,58300,11.775783
2015-10-14,12.21,12.22,12.16,12.16,50000,11.795182
2015-10-13,12.18,12.20,12.17,12.19,38800,11.824282
2015-10-12,12.17,12.22,12.13,12.18,43900,11.814582
2015-10-09,12.14,12.15,12.11,12.14,44400,11.775783
2015-10-08,12.16,12.17,12.10,12.10,70300,11.736983
2015-10-07,12.19,12.19,12.11,12.16,90600,11.795182
2015-10-06,12.13,12.21,12.11,12.21,123300,11.780632
2015-10-05,12.12,12.12,12.08,12.12,97000,11.693797
2015-10-02,12.02,12.12,11.98,12.10,153200,11.674501
2015-10-01,12.01,12.06,11.96,12.01,89200,11.587666
2015-09-30,12.01,12.08,11.95,12.02,197100,11.597314
2015-09-29,11.99,12.09,11.96,12.07,108300,11.645555
2015-09-28,11.97,11.98,11.93,11.98,90100,11.55872
2015-09-25,12.00,12.01,11.95,11.98,57200,11.55872
2015-09-24,11.98,12.01,11.96,12.00,86400,11.578017
2015-09-23,11.99,12.00,11.93,11.96,56000,11.539424
2015-09-22,11.94,12.01,11.93,11.97,66400,11.549072
2015-09-21,11.96,11.97,11.91,11.95,82600,11.529775
2015-09-18,11.83,12.03,11.83,11.91,147600,11.491182
2015-09-17,11.78,11.95,11.73,11.90,169900,11.481533
2015-09-16,11.80,11.83,11.71,11.75,151100,11.336808
2015-09-15,11.86,11.86,11.79,11.80,102700,11.38505
2015-09-14,11.95,11.97,11.85,11.85,89600,11.433292
2015-09-11,11.91,11.96,11.87,11.93,113700,11.510479
2015-09-10,11.94,11.95,11.87,11.91,108600,11.491182
2015-09-09,11.93,11.93,11.89,11.91,83900,11.491182
2015-09-08,11.96,12.03,11.92,11.97,118400,11.486358
2015-09-04,11.95,11.99,11.91,11.95,121600,11.467165
2015-09-03,11.89,11.96,11.88,11.95,53800,11.467165
2015-09-02,11.85,11.89,11.82,11.87,135800,11.390398
2015-09-01,11.89,11.89,11.80,11.82,82000,11.342418
2015-08-31,11.86,11.89,11.80,11.82,60700,11.342418
2015-08-28,11.85,11.90,11.76,11.81,68500,11.332823
2015-08-27,11.78,11.83,11.73,11.80,70900,11.323226
2015-08-26,11.86,11.86,11.70,11.73,123700,11.256054
2015-08-25,11.81,11.88,11.79,11.82,121900,11.342418
2015-08-24,11.97,11.98,11.75,11.78,183500,11.304034
2015-08-21,11.99,12.03,11.97,11.98,167800,11.495953
2015-08-20,11.95,12.01,11.95,11.99,51600,11.505549
2015-08-19,11.89,11.98,11.89,11.98,54900,11.495953
2015-08-18,11.94,11.95,11.89,11.89,96600,11.40959
2015-08-17,11.93,11.95,11.91,11.93,40100,11.447974
2015-08-14,12.05,12.05,11.90,11.94,193000,11.457569
2015-08-13,12.00,12.04,11.98,12.02,100900,11.534338
2015-08-12,12.00,12.03,11.96,12.02,63800,11.534338
2015-08-11,11.90,11.97,11.90,11.97,55400,11.486358
2015-08-10,11.97,11.98,11.93,11.97,74400,11.423984
2015-08-07,11.94,11.99,11.92,11.99,121200,11.443071
2015-08-06,11.80,11.89,11.78,11.86,65900,11.319001
2015-08-05,11.95,11.95,11.81,11.82,89200,11.280826
2015-08-04,11.90,11.95,11.88,11.93,107000,11.385809
2015-08-03,11.92,11.93,11.86,11.91,117900,11.366721
2015-07-31,11.79,11.85,11.79,11.85,63800,11.309458
2015-07-30,11.77,11.77,11.74,11.74,66800,11.204475
2015-07-29,11.73,11.75,11.70,11.75,75900,11.214019
2015-07-28,11.69,11.71,11.66,11.69,70300,11.156756
2015-07-27,11.69,11.70,11.66,11.67,80600,11.137669
2015-07-24,11.66,11.72,11.61,11.72,98900,11.185388
2015-07-23,11.67,11.67,11.56,11.62,137800,11.089949
2015-07-22,11.64,11.67,11.61,11.66,82100,11.128125
2015-07-21,11.62,11.66,11.62,11.64,92400,11.109037
2015-07-20,11.72,11.75,11.60,11.60,169100,11.070862
2015-07-17,11.77,11.77,11.68,11.72,55700,11.185388
2015-07-16,11.74,11.76,11.71,11.74,68300,11.204475
2015-07-15,11.71,11.73,11.69,11.72,109600,11.185388
2015-07-14,11.74,11.75,11.69,11.75,104800,11.214019
2015-07-13,11.76,11.78,11.70,11.76,47200,11.223563
