Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,7.74,7.76,7.74,7.75,116700,7.75
2016-04-18,7.77,7.77,7.72,7.75,155400,7.75
2016-04-15,7.74,7.76,7.73,7.76,72500,7.76
2016-04-14,7.70,7.75,7.70,7.72,173300,7.72
2016-04-13,7.72,7.74,7.70,7.71,80600,7.71
2016-04-12,7.68,7.72,7.68,7.71,95800,7.71
2016-04-11,7.71,7.72,7.67,7.68,128800,7.68
2016-04-08,7.74,7.75,7.69,7.72,92100,7.72
2016-04-07,7.74,7.75,7.71,7.74,146300,7.74
2016-04-06,7.70,7.73,7.70,7.73,177600,7.73
2016-04-05,7.63,7.72,7.63,7.72,97500,7.72
2016-04-04,7.65,7.65,7.63,7.63,68500,7.63
2016-04-01,7.66,7.67,7.61,7.64,124900,7.64
2016-03-31,7.59,7.65,7.59,7.65,242300,7.65
2016-03-30,7.58,7.59,7.55,7.56,132300,7.56
2016-03-29,7.58,7.58,7.54,7.56,101900,7.56
2016-03-28,7.60,7.60,7.54,7.56,92200,7.56
2016-03-24,7.60,7.61,7.56,7.61,106600,7.61
2016-03-23,7.58,7.61,7.55,7.61,208700,7.61
2016-03-22,7.54,7.62,7.51,7.60,186500,7.60
2016-03-21,7.56,7.57,7.55,7.55,69400,7.514
2016-03-18,7.55,7.56,7.52,7.54,84500,7.504048
2016-03-17,7.56,7.58,7.50,7.53,115200,7.494096
2016-03-16,7.51,7.54,7.49,7.54,65100,7.504048
2016-03-15,7.55,7.57,7.48,7.48,153100,7.444334
2016-03-14,7.57,7.58,7.53,7.58,79200,7.543857
2016-03-11,7.54,7.61,7.52,7.57,235200,7.533905
2016-03-10,7.51,7.55,7.51,7.52,56500,7.484143
2016-03-09,7.50,7.54,7.50,7.54,72900,7.504048
2016-03-08,7.49,7.53,7.48,7.51,88900,7.474191
2016-03-07,7.46,7.52,7.46,7.51,86200,7.474191
2016-03-04,7.54,7.55,7.45,7.45,251100,7.414477
2016-03-03,7.49,7.54,7.47,7.54,204500,7.504048
2016-03-02,7.47,7.50,7.42,7.50,131100,7.464239
2016-03-01,7.44,7.51,7.44,7.44,174900,7.404525
2016-02-29,7.43,7.45,7.39,7.44,214500,7.404525
2016-02-26,7.45,7.46,7.39,7.39,152300,7.354763
2016-02-25,7.45,7.49,7.42,7.48,133100,7.444334
2016-02-24,7.46,7.46,7.40,7.45,163500,7.414477
2016-02-23,7.41,7.46,7.39,7.46,160200,7.424429
2016-02-22,7.44,7.44,7.38,7.41,146700,7.374668
2016-02-19,7.48,7.49,7.45,7.45,146500,7.378648
2016-02-18,7.44,7.49,7.42,7.49,231400,7.418265
2016-02-17,7.39,7.41,7.36,7.39,97900,7.319223
2016-02-16,7.40,7.45,7.36,7.37,139700,7.299414
2016-02-12,7.49,7.50,7.38,7.40,208900,7.329127
2016-02-11,7.52,7.53,7.49,7.49,128200,7.418265
2016-02-10,7.50,7.51,7.49,7.50,84300,7.42817
2016-02-09,7.45,7.50,7.45,7.50,81000,7.42817
2016-02-08,7.50,7.50,7.45,7.45,132700,7.378648
