Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.01,13.07,13.00,13.06,162600,13.06
2016-04-18,12.97,13.01,12.96,13.00,79000,13.00
2016-04-15,12.94,12.97,12.92,12.97,71600,12.97
2016-04-14,12.91,12.93,12.88,12.91,117100,12.91
2016-04-13,12.89,12.91,12.89,12.90,77900,12.90
2016-04-12,12.89,12.90,12.87,12.88,205700,12.88
2016-04-11,12.85,12.87,12.85,12.87,248000,12.87
2016-04-08,12.86,12.88,12.82,12.83,686100,12.83
2016-04-07,12.83,12.86,12.82,12.85,80600,12.85
2016-04-06,12.80,12.83,12.80,12.83,152400,12.83
2016-04-05,12.76,12.80,12.75,12.80,116800,12.80
2016-04-04,12.76,12.77,12.70,12.72,151500,12.72
2016-04-01,12.73,12.76,12.72,12.75,126000,12.75
2016-03-31,12.64,12.72,12.63,12.70,176300,12.70
2016-03-30,12.62,12.63,12.58,12.60,83700,12.60
2016-03-29,12.62,12.63,12.57,12.62,80700,12.62
2016-03-28,12.62,12.62,12.55,12.57,67200,12.57
2016-03-24,12.60,12.61,12.56,12.61,44000,12.61
2016-03-23,12.61,12.61,12.57,12.61,117600,12.61
2016-03-22,12.56,12.60,12.53,12.60,113300,12.60
2016-03-21,12.56,12.59,12.50,12.58,117000,12.52
2016-03-18,12.60,12.60,12.54,12.56,87100,12.500095
2016-03-17,12.56,12.58,12.53,12.55,79500,12.490143
2016-03-16,12.48,12.56,12.48,12.56,64700,12.500095
2016-03-15,12.53,12.53,12.48,12.48,59400,12.420476
2016-03-14,12.52,12.52,12.49,12.52,102300,12.460286
2016-03-11,12.50,12.51,12.48,12.48,89000,12.420476
2016-03-10,12.49,12.51,12.48,12.51,62000,12.450334
2016-03-09,12.50,12.50,12.46,12.46,59500,12.400572
2016-03-08,12.46,12.48,12.46,12.47,35600,12.410525
2016-03-07,12.45,12.49,12.44,12.45,66700,12.390619
2016-03-04,12.53,12.56,12.45,12.45,169000,12.390619
2016-03-03,12.50,12.53,12.46,12.53,98000,12.470238
2016-03-02,12.43,12.49,12.43,12.49,66000,12.430429
2016-03-01,12.49,12.49,12.43,12.43,138700,12.370715
2016-02-29,12.46,12.47,12.41,12.42,77400,12.360763
2016-02-26,12.45,12.47,12.38,12.41,84600,12.35081
2016-02-25,12.50,12.50,12.44,12.44,66300,12.380667
2016-02-24,12.50,12.53,12.45,12.45,72500,12.390619
2016-02-23,12.43,12.51,12.39,12.51,78300,12.450334
2016-02-22,12.48,12.48,12.37,12.41,85700,12.35081
2016-02-19,12.52,12.52,12.45,12.48,97700,12.360762
2016-02-18,12.47,12.48,12.41,12.48,42300,12.360762
2016-02-17,12.46,12.49,12.40,12.46,69200,12.340954
2016-02-16,12.51,12.55,12.42,12.42,102900,12.301336
2016-02-12,12.57,12.61,12.50,12.51,80200,12.390476
2016-02-11,12.64,12.64,12.55,12.62,138200,12.499425
2016-02-10,12.61,12.62,12.55,12.59,44500,12.469712
2016-02-09,12.60,12.60,12.52,12.55,105700,12.430094
2016-02-08,12.57,12.58,12.53,12.58,40600,12.459807
2016-02-05,12.51,12.57,12.51,12.54,73900,12.420189
2016-02-04,12.57,12.57,12.53,12.55,36900,12.430094
2016-02-03,12.52,12.56,12.52,12.55,99000,12.430094
2016-02-02,12.52,12.54,12.47,12.47,65800,12.350859
2016-02-01,12.50,12.52,12.49,12.52,58000,12.400381
2016-01-29,12.47,12.50,12.46,12.50,62700,12.380572
2016-01-28,12.48,12.48,12.36,12.47,86100,12.350859
2016-01-27,12.49,12.49,12.41,12.49,54100,12.370667
2016-01-26,12.40,12.47,12.38,12.47,112700,12.350859
2016-01-25,12.50,12.50,12.34,12.36,122400,12.241909
2016-01-22,12.43,12.49,12.37,12.47,66000,12.350859
2016-01-21,12.25,12.42,12.25,12.38,77700,12.261718
2016-01-20,12.35,12.38,12.13,12.21,142300,12.093342
2016-01-19,12.52,12.52,12.41,12.41,59300,12.232005
2016-01-15,12.31,12.52,12.31,12.52,167800,12.340428
2016-01-14,12.40,12.40,12.31,12.33,71700,12.153153
2016-01-13,12.40,12.40,12.36,12.38,123400,12.202436
2016-01-12,12.32,12.40,12.32,12.40,65200,12.222148
2016-01-11,12.44,12.48,12.36,12.37,59200,12.192579
2016-01-08,12.44,12.46,12.39,12.44,90700,12.261575
2016-01-07,12.39,12.49,12.39,12.47,60400,12.291145
2016-01-06,12.40,12.47,12.37,12.37,54500,12.192579
2016-01-05,12.29,12.45,12.29,12.44,79000,12.261575
2016-01-04,12.24,12.34,12.23,12.34,89100,12.163009
2015-12-31,12.21,12.31,12.21,12.28,61500,12.10387
2015-12-30,12.17,12.25,12.17,12.23,31000,12.054587
2015-12-29,12.21,12.23,12.14,12.15,88700,11.975734
2015-12-28,12.15,12.23,12.15,12.22,66400,12.044731
2015-12-24,12.15,12.19,12.10,12.15,35900,11.975734
2015-12-23,12.09,12.18,12.08,12.15,58300,11.975734
2015-12-22,12.04,12.08,12.03,12.08,85700,11.906738
2015-12-21,12.21,12.22,12.12,12.12,84900,11.887025
2015-12-18,12.19,12.28,12.15,12.21,101000,11.975296
2015-12-17,12.01,12.20,12.01,12.18,117000,11.945872
2015-12-16,11.94,12.04,11.94,12.01,62300,11.77914
2015-12-15,11.97,12.02,11.95,11.98,85700,11.749716
2015-12-14,12.06,12.06,11.86,11.93,92600,11.700678
2015-12-11,12.07,12.08,12.02,12.05,44000,11.818371
2015-12-10,12.07,12.10,12.02,12.08,51200,11.847794
2015-12-09,12.06,12.11,12.04,12.08,119200,11.847794
2015-12-08,11.96,12.06,11.96,12.05,51400,11.818371
2015-12-07,11.99,12.03,11.92,11.92,57600,11.69087
2015-12-04,11.93,12.00,11.93,11.99,74800,11.759524
2015-12-03,12.03,12.05,11.92,11.95,67700,11.720293
2015-12-02,12.03,12.07,11.99,12.05,87600,11.818371
2015-12-01,12.06,12.10,12.00,12.03,65900,11.798755
2015-11-30,12.00,12.02,11.98,12.01,52000,11.77914
2015-11-27,11.99,12.01,11.97,11.98,31300,11.749716
2015-11-25,11.97,12.03,11.94,11.96,58800,11.730101
2015-11-24,11.96,11.99,11.95,11.97,37600,11.739909
2015-11-23,12.00,12.01,11.95,11.98,42100,11.749716
2015-11-20,11.89,11.98,11.89,11.98,91500,11.749716
2015-11-19,11.96,12.03,11.95,12.01,62200,11.720293
2015-11-18,11.95,11.99,11.94,11.97,56100,11.681258
2015-11-17,11.88,11.96,11.88,11.95,76400,11.66174
2015-11-16,11.91,11.97,11.91,11.93,78300,11.642223
2015-11-13,11.88,11.95,11.86,11.91,70200,11.622705
2015-11-12,11.86,11.93,11.83,11.91,147000,11.622705
2015-11-11,11.80,11.90,11.80,11.83,118800,11.544635
2015-11-10,11.86,11.90,11.81,11.82,157300,11.534876
2015-11-09,12.00,12.00,11.81,11.81,62500,11.525117
2015-11-06,12.11,12.11,11.95,12.00,59100,11.710534
2015-11-05,12.17,12.20,12.11,12.17,96600,11.876433
2015-11-04,12.18,12.29,12.12,12.14,84300,11.847157
2015-11-03,12.24,12.28,12.18,12.19,70800,11.89595
2015-11-02,12.18,12.25,12.12,12.22,93700,11.925227
2015-10-30,12.04,12.16,12.04,12.15,39900,11.856915
2015-10-29,12.01,12.07,11.99,12.06,27000,11.769087
2015-10-28,12.00,12.06,11.99,12.03,59500,11.73981
2015-10-27,12.03,12.06,11.97,11.97,42900,11.681258
2015-10-26,12.02,12.06,12.01,12.02,52700,11.730052
2015-10-23,12.06,12.07,12.01,12.02,38600,11.730052
2015-10-22,12.08,12.10,12.03,12.05,37400,11.759328
2015-10-21,11.91,12.08,11.91,12.08,94800,11.788604
2015-10-20,11.95,12.00,11.92,11.96,65300,11.612946
2015-10-19,11.98,11.98,11.91,11.94,53400,11.593526
2015-10-16,11.95,11.97,11.92,11.97,60100,11.622656
2015-10-15,11.93,11.93,11.90,11.92,76600,11.574107
2015-10-14,11.93,11.93,11.88,11.90,66600,11.554687
2015-10-13,11.92,11.93,11.88,11.91,76000,11.564397
2015-10-12,11.93,11.94,11.89,11.89,37300,11.544978
2015-10-09,11.89,11.92,11.89,11.91,48500,11.564397
2015-10-08,11.92,11.92,11.88,11.90,45900,11.554687
2015-10-07,11.93,11.96,11.87,11.88,50300,11.535268
2015-10-06,11.88,11.96,11.88,11.94,55100,11.593526
2015-10-05,11.93,11.93,11.89,11.90,40500,11.554687
2015-10-02,11.98,12.00,11.89,11.90,103000,11.554687
2015-10-01,12.02,12.04,11.92,11.94,48800,11.593526
2015-09-30,11.99,12.01,11.95,11.96,84600,11.612946
2015-09-29,11.91,11.99,11.91,11.99,59500,11.642076
2015-09-28,11.91,11.91,11.85,11.87,59800,11.525558
2015-09-25,11.89,11.91,11.86,11.87,39900,11.525558
2015-09-24,11.94,11.95,11.86,11.88,50900,11.535268
2015-09-23,11.90,11.93,11.86,11.91,37300,11.564397
2015-09-22,11.83,11.90,11.80,11.90,54900,11.554687
2015-09-21,11.86,11.90,11.84,11.86,56300,11.457589
2015-09-18,11.77,11.87,11.77,11.83,69300,11.428607
2015-09-17,11.65,11.84,11.65,11.84,90700,11.438268
2015-09-16,11.60,11.64,11.60,11.63,37000,11.235393
2015-09-15,11.72,11.72,11.60,11.63,60500,11.235393
2015-09-14,11.86,11.87,11.70,11.70,158900,11.303018
2015-09-11,11.83,11.85,11.76,11.83,110300,11.428607
2015-09-10,11.91,11.93,11.79,11.79,48300,11.389965
2015-09-09,11.91,11.94,11.86,11.89,58400,11.486572
2015-09-08,11.80,11.91,11.78,11.91,72900,11.505893
2015-09-04,11.72,11.81,11.71,11.80,92500,11.399625
2015-09-03,11.67,11.72,11.67,11.72,35100,11.32234
2015-09-02,11.72,11.72,11.63,11.67,67000,11.274036
2015-09-01,11.75,11.75,11.67,11.72,44800,11.32234
2015-08-31,11.65,11.74,11.63,11.71,78100,11.312679
2015-08-28,11.67,11.70,11.65,11.66,49100,11.264375
2015-08-27,11.62,11.72,11.59,11.68,82200,11.283697
2015-08-26,11.74,11.76,11.60,11.63,86700,11.235393
2015-08-25,11.75,11.84,11.70,11.78,96400,11.380304
2015-08-24,11.74,11.79,11.65,11.78,85300,11.380304
2015-08-21,11.84,11.86,11.82,11.85,27000,11.447929
2015-08-20,11.84,11.87,11.80,11.87,35000,11.46725
2015-08-19,11.90,11.91,11.84,11.91,47100,11.447929
2015-08-18,11.88,11.91,11.84,11.91,47400,11.447929
2015-08-17,11.92,11.95,11.86,11.87,22100,11.409481
2015-08-14,11.90,11.91,11.88,11.89,21500,11.428705
2015-08-13,11.95,11.95,11.89,11.90,35400,11.438317
2015-08-12,11.90,11.96,11.90,11.94,81000,11.476765
2015-08-11,11.78,11.93,11.78,11.90,78700,11.438317
2015-08-10,11.84,11.84,11.77,11.78,29400,11.322972
2015-08-07,11.80,11.92,11.78,11.84,60300,11.380645
2015-08-06,11.77,11.83,11.75,11.81,37500,11.351809
2015-08-05,11.93,11.94,11.70,11.81,120100,11.351809
2015-08-04,11.92,11.94,11.89,11.91,30000,11.447929
2015-08-03,11.93,11.95,11.87,11.90,45800,11.438317
2015-07-31,11.83,11.90,11.83,11.89,65700,11.428705
2015-07-30,11.80,11.85,11.79,11.82,46300,11.36142
2015-07-29,11.78,11.83,11.78,11.83,50600,11.371033
2015-07-28,11.81,11.83,11.79,11.79,39800,11.332584
2015-07-27,11.87,11.87,11.79,11.84,46900,11.380645
