Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,32.669998,32.759998,32.240002,32.48,391100,32.48
2016-04-18,32.380001,32.689999,31.98,32.669998,317900,32.669998
2016-04-15,32.330002,32.599998,32.169998,32.529999,393500,32.529999
2016-04-14,32.290001,32.490002,32.099998,32.310001,533800,32.310001
2016-04-13,32.73,32.779999,32.09,32.349998,495300,32.349998
2016-04-12,32.50,32.790001,32.439999,32.619999,384100,32.619999
2016-04-11,32.799999,33.02,32.450001,32.52,354300,32.52
2016-04-08,32.619999,32.970001,32.57,32.790001,660200,32.790001
2016-04-07,32.290001,32.669998,32.23,32.450001,658500,32.450001
2016-04-06,32.400002,32.52,32.209999,32.400002,397600,32.400002
2016-04-05,33.470001,33.560001,32.669998,32.68,570500,32.460001
2016-04-04,33.860001,33.889999,33.369999,33.560001,424800,33.334078
2016-04-01,33.57,33.93,33.349998,33.77,377500,33.542663
2016-03-31,33.759998,33.869999,33.57,33.720001,444300,33.493001
2016-03-30,33.950001,34.07,33.59,33.709999,307600,33.483066
2016-03-29,33.279999,33.869999,33.220001,33.860001,512200,33.632058
2016-03-28,33.330002,33.529999,33.09,33.290001,550700,33.065895
2016-03-24,32.860001,33.400002,32.860001,33.299999,698600,33.075826
2016-03-23,33.119999,33.50,32.889999,33.259998,380500,33.036094
2016-03-22,33.349998,33.509998,33.040001,33.119999,684100,32.897038
2016-03-21,33.470001,33.509998,33.009998,33.349998,453200,33.125489
2016-03-18,33.75,33.75,33.290001,33.48,1088700,33.254615
2016-03-17,33.529999,33.810001,33.349998,33.75,580500,33.522797
2016-03-16,33.360001,33.669998,32.889999,33.48,489600,33.254615
2016-03-15,33.110001,33.529999,33.060001,33.369999,676200,33.145355
2016-03-14,33.23,33.349998,32.990002,33.240002,630300,33.016232
2016-03-11,33.43,33.57,33.110001,33.209999,422800,32.986432
2016-03-10,33.470001,33.66,32.689999,33.299999,581700,33.075826
2016-03-09,33.290001,33.669998,33.16,33.470001,665100,33.244684
2016-03-08,33.060001,33.540001,32.900002,33.310001,882300,33.085761
2016-03-07,32.779999,33.189999,32.68,33.009998,457900,32.787777
2016-03-04,32.209999,32.98,32.09,32.889999,632500,32.668586
2016-03-03,32.099998,32.450001,31.75,32.43,733500,32.211684
2016-03-02,31.91,32.099998,31.299999,32.07,566600,31.854107
2016-03-01,32.09,32.27,31.77,32.060001,610400,31.844176
2016-02-29,32.310001,32.349998,31.719999,31.92,682800,31.705117
2016-02-26,32.59,32.939999,31.690001,31.82,587700,31.60579
2016-02-25,32.880001,33.34,32.84,33.259998,370700,33.036094
2016-02-24,32.630001,33.049999,32.630001,32.93,557400,32.708318
2016-02-23,32.470001,32.849998,32.299999,32.68,362000,32.460001
2016-02-22,32.240002,32.66,32.110001,32.630001,459800,32.410338
2016-02-19,32.310001,32.529999,32.099998,32.240002,567000,32.022964
2016-02-18,31.620001,32.439999,31.469999,32.360001,668600,32.142155
2016-02-17,31.90,31.92,31.41,31.549999,984100,31.337607
2016-02-16,31.860001,31.98,31.620001,31.860001,433700,31.645521
2016-02-12,31.799999,32.18,31.42,31.709999,710200,31.49653
2016-02-11,32.18,32.220001,31.59,31.91,725300,31.695184
2016-02-10,32.150002,32.369999,31.299999,32.16,1049400,31.943501
2016-02-09,32.09,32.509998,31.91,32.299999,1673700,32.082558
2016-02-08,32.119999,32.490002,31.870001,32.23,998600,32.01303
2016-02-05,31.620001,32.450001,31.27,32.139999,993300,31.923635
2016-02-04,31.91,32.029999,31.34,31.790001,860100,31.575993
2016-02-03,31.92,32.310001,31.709999,31.959999,884800,31.744847
2016-02-02,31.549999,31.950001,31.40,31.790001,709900,31.575993
2016-02-01,31.370001,31.99,31.24,31.559999,1079000,31.34754
2016-01-29,31.01,31.41,30.959999,31.41,813600,31.19855
2016-01-28,30.200001,30.91,30.07,30.780001,457400,30.572792
2016-01-27,29.91,30.440001,29.82,30.139999,425100,29.937099
2016-01-26,29.799999,30.35,29.790001,30.049999,377400,29.847705
2016-01-25,30.110001,30.200001,29.60,29.639999,440500,29.440465
