Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.63,13.71,13.57,13.71,231000,13.71
2016-04-18,13.57,13.68,13.55,13.63,174400,13.63
2016-04-15,13.57,13.59,13.51,13.57,133200,13.57
2016-04-14,13.53,13.58,13.53,13.58,124500,13.58
2016-04-13,13.65,13.65,13.52,13.56,213100,13.56
2016-04-12,13.57,13.59,13.47,13.59,154100,13.59
2016-04-11,13.47,13.56,13.43,13.54,247600,13.54
2016-04-08,13.56,13.59,13.51,13.57,119300,13.57
2016-04-07,13.52,13.59,13.48,13.56,150700,13.56
2016-04-06,13.65,13.71,13.64,13.68,212300,13.55
2016-04-05,13.59,13.67,13.58,13.62,148400,13.49057
2016-04-04,13.69,13.71,13.58,13.64,224500,13.51038
2016-04-01,13.60,13.71,13.56,13.68,171100,13.55
2016-03-31,13.40,13.66,13.39,13.63,195500,13.500475
2016-03-30,13.30,13.37,13.25,13.36,190500,13.23304
2016-03-29,13.27,13.31,13.20,13.28,180100,13.153801
2016-03-28,13.34,13.38,13.25,13.25,106600,13.124086
2016-03-24,13.30,13.36,13.28,13.32,111500,13.19342
2016-03-23,13.42,13.44,13.33,13.39,177200,13.262756
2016-03-22,13.38,13.43,13.30,13.38,167600,13.252851
2016-03-21,13.35,13.41,13.32,13.40,178800,13.27266
2016-03-18,13.45,13.45,13.32,13.37,219800,13.242945
2016-03-17,13.32,13.45,13.32,13.39,203600,13.262756
2016-03-16,13.39,13.39,13.03,13.38,481400,13.252851
2016-03-15,13.40,13.43,13.33,13.38,112400,13.252851
2016-03-14,13.42,13.49,13.34,13.42,162800,13.292471
2016-03-11,13.23,13.51,13.23,13.49,209200,13.361805
2016-03-10,13.37,13.40,13.17,13.19,202000,13.064656
2016-03-09,13.50,13.51,13.30,13.30,284600,13.173611
2016-03-08,13.63,13.63,13.50,13.52,149300,13.262756
2016-03-07,13.67,13.67,13.56,13.62,210700,13.360853
2016-03-04,13.49,13.69,13.46,13.67,295700,13.409902
2016-03-03,13.17,13.49,13.15,13.47,229500,13.213707
2016-03-02,13.09,13.18,13.04,13.16,237100,12.909605
2016-03-01,12.96,13.10,12.88,13.05,239800,12.801699
2016-02-29,12.95,12.96,12.91,12.95,128100,12.703601
