Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,50.139999,50.32,49.700001,49.939999,478500,49.939999
2016-04-18,49.16,50.48,49.060001,50.029999,530100,50.029999
2016-04-15,48.50,49.310001,48.259998,49.16,323400,49.16
2016-04-14,48.540001,48.810001,48.139999,48.450001,371700,48.450001
2016-04-13,49.700001,49.700001,48.619999,48.779999,355200,48.779999
2016-04-12,49.41,50.060001,49.23,49.59,558400,49.59
2016-04-11,49.799999,49.900002,49.259998,49.389999,405700,49.389999
2016-04-08,49.139999,50.080002,48.970001,49.560001,692200,49.560001
2016-04-07,49.330002,49.540001,48.619999,48.869999,682000,48.869999
2016-04-06,48.560001,49.849998,48.490002,49.610001,551200,49.610001
2016-04-05,48.630001,49.380001,48.380001,48.619999,543200,48.619999
2016-04-04,47.48,48.799999,47.25,48.759998,859900,48.759998
2016-04-01,47.209999,47.709999,46.720001,47.389999,463700,47.389999
2016-03-31,46.91,47.48,46.580002,47.380001,682700,47.380001
2016-03-30,46.799999,47.389999,46.299999,46.990002,1370000,46.990002
2016-03-29,46.27,46.73,46.139999,46.650002,6103900,46.650002
2016-03-28,47.080002,47.27,46.549999,46.619999,104900,46.619999
2016-03-24,46.290001,47.43,46.200001,46.880001,275100,46.880001
2016-03-23,47.02,47.139999,46.34,46.439999,190200,46.439999
2016-03-22,46.50,47.48,46.50,47.029999,510700,47.029999
2016-03-21,46.830002,47.119999,46.529999,46.57,276400,46.57
2016-03-18,46.82,47.130001,46.549999,47.09,191600,47.09
2016-03-17,46.419998,47.110001,46.110001,46.619999,167600,46.619999
2016-03-16,45.200001,46.549999,45.009998,46.450001,104300,46.450001
2016-03-15,46.290001,46.650002,45.57,45.599998,210700,45.239998
2016-03-14,47.040001,47.470001,46.150002,46.450001,180400,46.083289
2016-03-11,46.48,47.860001,46.139999,47.290001,415800,46.916658
2016-03-10,46.009998,46.380001,45.32,46.080002,172000,45.716212
2016-03-09,45.349998,46.080002,45.169998,45.700001,84000,45.33921
2016-03-08,45.73,45.77,45.18,45.27,207000,44.912605
2016-03-07,45.00,45.849998,44.580002,45.759998,267600,45.398734
2016-03-04,45.560001,45.560001,44.52,45.189999,246300,44.833235
2016-03-03,45.810001,45.810001,44.689999,45.599998,211700,45.239998
2016-03-02,45.52,46.240002,45.27,45.779999,325900,45.418577
2016-03-01,44.73,46.709999,44.73,45.48,558700,45.120946
2016-02-29,45.119999,45.990002,44.48,44.52,289000,44.168526
2016-02-26,45.060001,45.549999,44.299999,45.049999,794900,44.694341
2016-02-25,43.91,45.259998,43.09,45.060001,762100,44.704264
2016-02-24,43.540001,44.029999,41.75,43.529999,540200,43.18634
2016-02-23,44.900002,46.84,43.279999,43.619999,351000,43.27563
2016-02-22,43.310001,43.84,42.790001,42.869999,520600,42.531551
2016-02-19,42.68,43.650002,42.650002,43.00,206500,42.660526
2016-02-18,42.32,42.849998,41.810001,42.509998,306600,42.174392
2016-02-17,41.849998,42.75,41.599998,42.330002,379800,41.995817
2016-02-16,42.09,42.209999,41.220001,41.68,201600,41.350947
2016-02-12,42.07,42.290001,41.34,41.740002,122700,41.410475
2016-02-11,40.950001,41.860001,40.740002,41.669998,179500,41.341024
