Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.17,9.19,9.14,9.18,45400,9.18
2016-04-18,9.18,9.20,9.06,9.14,94900,9.14
2016-04-15,9.15,9.21,9.13,9.18,47800,9.18
2016-04-14,9.13,9.20,9.06,9.20,65200,9.20
2016-04-13,9.16,9.20,9.07,9.15,63200,9.15
2016-04-12,9.04,9.20,9.04,9.16,83800,9.16
2016-04-11,9.07,9.20,9.04,9.07,78400,9.07
2016-04-08,9.28,9.32,9.03,9.03,170400,9.03
2016-04-07,9.30,9.39,9.28,9.31,152400,9.31
2016-04-06,9.28,9.40,9.27,9.36,82900,9.28
2016-04-05,9.17,9.32,9.14,9.28,85400,9.200684
2016-04-04,9.25,9.30,9.20,9.27,124100,9.19077
2016-04-01,9.17,9.24,9.08,9.21,94700,9.131282
2016-03-31,9.03,9.18,9.03,9.15,127800,9.071794
2016-03-30,9.05,9.08,9.02,9.03,77000,8.95282
2016-03-29,8.98,9.04,8.95,9.03,81700,8.95282
2016-03-28,8.99,9.04,8.93,8.95,104100,8.873504
2016-03-24,8.99,9.07,8.92,8.96,100200,8.883419
2016-03-23,9.04,9.10,8.99,9.02,114600,8.942906
2016-03-22,8.95,9.10,8.95,9.10,185100,9.022223
2016-03-21,8.83,8.92,8.82,8.90,57800,8.823931
2016-03-18,8.92,8.92,8.81,8.86,89900,8.784273
2016-03-17,8.90,8.96,8.86,8.92,110700,8.843761
2016-03-16,8.74,8.93,8.69,8.92,103400,8.843761
2016-03-15,8.65,8.74,8.65,8.72,83400,8.64547
2016-03-14,8.69,8.70,8.65,8.66,77400,8.585983
2016-03-11,8.70,8.73,8.65,8.69,95600,8.615726
2016-03-10,8.80,8.89,8.62,8.63,127400,8.556239
2016-03-09,8.64,8.80,8.62,8.77,94200,8.695043
2016-03-08,8.70,8.75,8.70,8.74,130400,8.585983
2016-03-07,8.72,8.77,8.70,8.70,129900,8.546687
2016-03-04,8.67,8.71,8.65,8.70,70800,8.546687
2016-03-03,8.65,8.69,8.54,8.65,106700,8.497568
2016-03-02,8.58,8.71,8.47,8.71,104500,8.556511
2016-03-01,8.43,8.58,8.40,8.58,153000,8.428802
2016-02-29,8.30,8.43,8.28,8.34,112600,8.193032
2016-02-26,8.40,8.40,8.29,8.30,100000,8.153737
2016-02-25,8.30,8.36,8.25,8.33,108200,8.183208
2016-02-24,8.19,8.34,8.15,8.30,111900,8.153737
2016-02-23,8.22,8.26,8.13,8.21,117900,8.065322
2016-02-22,8.28,8.33,8.24,8.27,117300,8.124266
