Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,7.54,7.62,7.54,7.58,41000,7.58
2016-04-18,7.46,7.53,7.46,7.48,56200,7.48
2016-04-15,7.42,7.49,7.42,7.47,5900,7.47
2016-04-14,7.48,7.50,7.44,7.44,68100,7.44
2016-04-13,7.54,7.54,7.50,7.52,15300,7.52
2016-04-12,7.36,7.46,7.32,7.46,36700,7.46
2016-04-11,7.36,7.39,7.29,7.34,51600,7.34
2016-04-08,7.29,7.34,7.21,7.34,21700,7.34
2016-04-07,7.25,7.25,7.17,7.20,18500,7.20
2016-04-06,7.21,7.33,7.18,7.29,12300,7.29
2016-04-05,7.21,7.23,7.15,7.18,39100,7.18
2016-04-04,7.35,7.35,7.23,7.30,19700,7.30
2016-04-01,7.35,7.38,7.29,7.33,27400,7.33
2016-03-31,7.37,7.45,7.37,7.37,42400,7.37
2016-03-30,7.38,7.47,7.34,7.38,30200,7.38
2016-03-29,7.21,7.34,7.20,7.34,21500,7.34
2016-03-28,7.12,7.33,7.12,7.29,11500,7.29
2016-03-24,7.27,7.31,7.22,7.29,28600,7.29
2016-03-23,7.37,7.38,7.30,7.36,16300,7.36
2016-03-22,7.32,7.47,7.30,7.37,25100,7.37
2016-03-21,7.43,7.52,7.38,7.42,51500,7.42
2016-03-18,7.34,7.51,7.34,7.41,45400,7.41
2016-03-17,7.23,7.34,7.23,7.32,12100,7.32
2016-03-16,7.11,7.21,7.07,7.19,32400,7.19
2016-03-15,7.15,7.15,7.12,7.14,18200,7.14
2016-03-14,7.17,7.22,7.12,7.19,108400,7.19
2016-03-11,7.16,7.22,7.16,7.22,8600,7.22
2016-03-10,7.13,7.16,7.05,7.11,51700,7.11
2016-03-09,7.05,7.18,7.04,7.13,68700,7.13
2016-03-08,7.04,7.07,7.00,7.04,33900,7.04
2016-03-07,7.00,7.13,6.87,7.09,49900,7.09
2016-03-04,6.94,7.04,6.82,7.04,31300,7.04
2016-03-03,6.86,6.96,6.86,6.93,48300,6.93
2016-03-02,6.80,6.92,6.80,6.89,42600,6.89
2016-03-01,6.76,6.85,6.76,6.83,19600,6.83
2016-02-29,6.68,6.74,6.68,6.69,72700,6.69
2016-02-26,6.74,6.75,6.66,6.69,50400,6.69
2016-02-25,6.65,6.69,6.61,6.69,24500,6.69
2016-02-24,6.58,6.63,6.47,6.62,36900,6.62
2016-02-23,6.56,6.60,6.53,6.59,99300,6.59
2016-02-22,6.57,6.64,6.57,6.61,75000,6.61
2016-02-19,6.45,6.58,6.44,6.55,55100,6.55
2016-02-18,6.57,6.59,6.51,6.52,40200,6.52
2016-02-17,6.32,6.57,6.32,6.55,64700,6.55
2016-02-16,6.40,6.50,6.40,6.47,25600,6.47
2016-02-12,6.30,6.40,6.24,6.39,29700,6.39
2016-02-11,6.29,6.34,6.17,6.25,60600,6.25
2016-02-10,6.44,6.44,6.31,6.38,23200,6.38
2016-02-09,6.33,6.44,6.27,6.36,27700,6.36
2016-02-08,6.55,6.56,6.33,6.41,47600,6.41
2016-02-05,6.69,6.76,6.58,6.59,66700,6.59
2016-02-04,6.62,6.77,6.62,6.72,28800,6.72
2016-02-03,6.60,6.71,6.56,6.68,20600,6.68
2016-02-02,6.65,6.66,6.53,6.65,146400,6.65
2016-02-01,6.59,6.77,6.57,6.69,84700,6.69
2016-01-29,6.56,6.67,6.56,6.67,31900,6.67
2016-01-28,6.50,6.56,6.49,6.53,71800,6.53
2016-01-27,6.42,6.54,6.42,6.43,13100,6.43
2016-01-26,6.46,6.49,6.44,6.47,11900,6.47
2016-01-25,6.49,6.49,6.39,6.39,70300,6.39
2016-01-22,6.47,6.53,6.41,6.51,79600,6.51
2016-01-21,6.25,6.36,6.19,6.30,44600,6.30
2016-01-20,6.22,6.27,6.08,6.20,70900,6.20
2016-01-19,6.50,6.53,6.34,6.34,64900,6.34
2016-01-15,6.50,6.58,6.47,6.48,84400,6.48
2016-01-14,6.68,6.73,6.59,6.70,64200,6.70
2016-01-13,6.83,6.86,6.59,6.68,236300,6.68
2016-01-12,6.85,6.87,6.76,6.83,52200,6.83
2016-01-11,6.94,6.97,6.84,6.85,93200,6.85
2016-01-08,7.01,7.11,6.91,6.93,80700,6.93
2016-01-07,7.00,7.06,6.95,6.98,29400,6.98
2016-01-06,7.15,7.19,7.10,7.12,26500,7.12
2016-01-05,7.26,7.28,7.21,7.25,50600,7.25
2016-01-04,7.38,7.38,7.17,7.24,126800,7.24
2015-12-31,7.30,7.55,7.25,7.45,155500,7.45
2015-12-30,7.32,7.35,7.28,7.35,91900,7.35
2015-12-29,7.30,7.35,7.29,7.32,70300,7.32
2015-12-28,7.39,7.39,7.26,7.29,49100,7.29
2015-12-24,7.33,7.39,7.28,7.38,34100,7.38
2015-12-23,7.22,7.39,7.22,7.33,83800,7.33
2015-12-22,7.19,7.30,7.15,7.23,68200,7.23
2015-12-21,7.05,7.17,7.05,7.14,50300,7.14
2015-12-18,7.03,7.05,6.99,7.04,109400,7.04
