Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,18.60,19.790001,18.450001,18.993,15200,18.993
2016-04-18,18.60,18.723,18.379999,18.639999,16100,18.605
2016-04-15,18.867001,18.867001,18.35,18.615,13000,18.580047
2016-04-14,18.35,18.761999,18.320999,18.530001,19000,18.495208
2016-04-13,18.219999,18.59,18.209999,18.360001,26200,18.185789
2016-04-12,18.17,18.200001,18.00,18.200001,4100,18.027307
2016-04-11,17.879999,18.15,17.879999,18.049999,25200,17.878729
2016-04-08,18.10,18.382999,18.00,18.00,11500,17.829204
2016-04-07,17.973,18.40,17.90,17.90,58200,17.730153
2016-04-06,18.389999,18.389999,18.00,18.049999,18400,17.878729
2016-04-05,18.190001,18.309,18.08,18.15,7800,17.977781
2016-04-04,18.50,18.50,18.16,18.450001,8300,18.274935
2016-04-01,18.48,18.48,18.16,18.292999,11400,18.119424
2016-03-31,18.49,18.49,18.049999,18.200001,23800,18.027307
2016-03-30,18.00,18.50,18.00,18.18,32500,18.007497
2016-03-29,18.02,18.190001,17.790001,17.98,37000,17.809394
2016-03-28,18.423,18.49,18.049999,18.049999,27600,17.878729
2016-03-24,18.179001,18.389999,18.10,18.23,10800,18.057022
2016-03-23,18.205,18.24,18.01,18.23,8900,18.057022
2016-03-22,17.90,18.190001,17.90,18.01,11500,17.83911
2016-03-21,18.145,18.290001,17.780001,17.780001,26500,17.611293
2016-03-18,18.488001,18.488001,18.00,18.110001,15400,17.938161
2016-03-17,18.42,18.50,18.069,18.459999,13700,18.284839
2016-03-16,18.469999,18.469999,18.10,18.26,7700,17.948066
2016-03-15,17.92,18.295,17.92,18.219999,7800,17.908748
2016-03-14,18.02,18.148001,17.85,18.148001,12100,17.83798
2016-03-11,17.75,18.50,17.75,18.030001,24000,17.721995
2016-03-10,17.99,17.99,17.434,17.709999,8500,17.40746
2016-03-09,17.709999,17.99,17.68,17.99,10600,17.682678
2016-03-08,17.867001,17.915001,17.440001,17.60,7700,17.299341
2016-03-07,17.634001,17.98,17.634001,17.98,5800,17.672848
2016-03-04,17.459999,17.790001,17.24,17.780001,17000,17.476266
2016-03-03,17.34,17.610001,17.15,17.459999,9600,17.161731
2016-03-02,17.50,17.50,16.85,17.15,16500,16.857027
2016-03-01,17.610001,17.610001,17.24,17.25,17900,16.955319
2016-02-29,17.82,17.971001,17.299999,17.299999,14600,17.004465
2016-02-26,17.145,17.860001,17.145,17.860001,4100,17.554899
2016-02-25,17.34,17.34,16.75,16.950001,8200,16.660445
2016-02-24,17.18,17.809999,17.049999,17.799999,27200,17.495923
2016-02-23,17.047001,17.190001,16.969999,17.18,12300,16.886516
2016-02-22,17.200001,17.239,16.860001,16.959999,36800,16.670273
2016-02-19,17.00,17.24,16.778999,17.07,14900,16.778394
2016-02-18,16.450001,16.98,16.139999,16.943001,24700,16.653565
2016-02-17,16.60,16.690001,15.982,16.496,32600,16.2142
2016-02-16,16.90,16.962999,16.41,16.549999,15600,16.267277
2016-02-12,16.622999,16.82,16.559999,16.60,23700,16.316424
2016-02-11,15.95,17.50,15.925,16.52,73200,16.23779
2016-02-10,16.00,16.43,15.78,16.40,31900,16.11984
2016-02-09,15.94,16.08,15.55,15.94,45900,15.667698
2016-02-08,17.450001,17.450001,15.86,16.030001,68100,15.618553
2016-02-05,17.24,17.48,17.122,17.15,19700,16.709804
2016-02-04,18.200001,18.284,17.01,17.191,42400,16.749752
2016-02-03,18.540001,18.540001,18.200001,18.34,16200,17.869261
2016-02-02,18.65,18.690001,18.450001,18.450001,39600,17.976438
2016-02-01,19.01,19.01,18.73,18.780001,143300,18.297967
2016-01-29,19.09,19.50,19.049999,19.059999,10600,18.570779
2016-01-28,19.01,19.038,18.99,18.99,13600,18.502576
2016-01-27,19.023001,19.039,19.01,19.02,8400,18.531807
2016-01-26,19.01,19.309999,19.01,19.02,7500,18.531807
2016-01-25,19.27,19.27,18.959999,19.110001,15800,18.619497
2016-01-22,19.559999,19.559999,19.417999,19.417999,1700,18.91959
2016-01-21,19.25,19.25,19.25,19.25,600,18.755903
2016-01-20,19.50,19.504999,19.25,19.25,31900,18.755903
2016-01-19,19.909,21.139999,19.523001,19.523001,9600,19.021897
2016-01-15,19.82,19.82,19.568001,19.568001,7000,19.065742
2016-01-14,19.700001,20.030001,19.60,19.74,25300,19.233326
2016-01-13,19.739,19.739,19.739,19.739,000,19.232352
2016-01-12,19.749001,19.749001,19.739,19.739,2300,19.232352
2016-01-11,19.77,19.870001,19.65,19.65,48100,19.145636
2016-01-08,19.799999,19.799999,19.75,19.75,10100,19.243069
