Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,16.40,16.58,16.34,16.549999,1595800,16.549999
2016-04-18,16.32,16.42,16.25,16.41,1051900,16.41
2016-04-15,16.190001,16.43,16.17,16.299999,1799600,16.299999
2016-04-14,16.129999,16.209999,16.07,16.15,960200,16.15
2016-04-13,16.290001,16.299999,16.02,16.120001,1165800,16.120001
2016-04-12,16.15,16.33,16.110001,16.290001,1042800,16.290001
2016-04-11,15.99,16.139999,15.95,16.139999,1140100,16.139999
2016-04-08,15.93,16.10,15.79,15.98,942300,15.98
2016-04-07,15.90,15.97,15.78,15.83,660200,15.83
2016-04-06,15.87,16.02,15.87,15.97,1356200,15.97
2016-04-05,16.02,16.110001,15.84,15.92,942700,15.92
2016-04-04,16.049999,16.26,15.95,16.120001,1890300,16.120001
2016-04-01,15.75,15.97,15.71,15.93,873600,15.93
2016-03-31,15.74,15.89,15.64,15.85,1306300,15.85
2016-03-30,15.80,15.87,15.70,15.76,1063700,15.76
2016-03-29,15.36,15.71,15.26,15.70,1069300,15.70
2016-03-28,15.22,15.35,15.20,15.35,700700,15.35
2016-03-24,15.18,15.26,15.08,15.23,831500,15.23
2016-03-23,15.28,15.33,15.15,15.24,1038600,15.24
2016-03-22,15.39,15.47,15.24,15.40,1115100,15.234
2016-03-21,15.70,15.80,15.44,15.47,617500,15.303246
2016-03-18,16.049999,16.08,15.74,15.76,1503900,15.59012
2016-03-17,15.86,16.09,15.77,16.049999,887600,15.876993
2016-03-16,15.54,15.84,15.51,15.83,958700,15.659365
2016-03-15,15.50,15.67,15.44,15.64,903600,15.471414
2016-03-14,15.46,15.62,15.41,15.62,974300,15.451629
2016-03-11,15.40,15.52,15.35,15.51,719300,15.342815
2016-03-10,15.18,15.38,15.13,15.26,1175600,15.09551
2016-03-09,15.06,15.20,15.02,15.11,762800,14.947126
2016-03-08,15.27,15.38,15.02,15.04,981800,14.877881
2016-03-07,15.32,15.42,15.15,15.25,1279400,15.085617
2016-03-04,15.34,15.48,15.24,15.40,951100,15.234
2016-03-03,15.27,15.36,15.18,15.36,800100,15.194431
2016-03-02,15.13,15.21,15.03,15.21,1090200,15.046048
2016-03-01,14.70,15.15,14.65,15.15,1505800,14.986695
2016-02-29,14.68,15.00,14.62,14.69,1795100,14.531653
2016-02-26,14.86,14.95,14.65,14.66,1408500,14.501977
2016-02-25,14.30,14.94,14.30,14.87,1861800,14.709713
2016-02-24,14.16,14.24,14.08,14.16,1069700,14.007366
2016-02-23,14.18,14.30,14.10,14.20,1174700,14.046935
2016-02-22,14.32,14.54,14.25,14.26,884100,14.106289
2016-02-19,14.22,14.29,14.02,14.22,1049000,14.06672
2016-02-18,14.42,14.44,14.16,14.26,2781500,14.106289
2016-02-17,14.62,14.93,14.37,14.38,2168100,14.224995
2016-02-16,14.39,14.82,14.39,14.81,1186500,14.65036
2016-02-12,14.57,14.75,14.55,14.66,1096400,14.501977
2016-02-11,14.60,14.73,14.55,14.57,1115700,14.412947
2016-02-10,14.99,15.13,14.86,14.86,1028000,14.699821
2016-02-09,14.88,15.07,14.80,14.90,1679000,14.73939
2016-02-08,15.38,15.38,14.86,15.03,1320300,14.867988
2016-02-05,15.58,15.76,15.47,15.48,1353800,15.313138
2016-02-04,15.90,15.94,15.60,15.62,1070000,15.451629
2016-02-03,15.65,16.08,15.62,15.91,2307200,15.738503
2016-02-02,15.87,15.87,15.63,15.71,1421900,15.540659
2016-02-01,15.45,15.99,15.32,15.89,1899200,15.718719
2016-01-29,15.19,15.53,14.97,15.51,1707400,15.342815
2016-01-28,15.02,15.26,14.97,15.09,1268000,14.927342
2016-01-27,15.21,15.23,14.89,14.95,894300,14.788851
2016-01-26,15.01,15.26,14.96,15.25,1634400,15.085617
2016-01-25,15.02,15.23,14.92,14.92,974400,14.759174
2016-01-22,14.67,15.09,14.62,15.03,1679900,14.867988
2016-01-21,14.73,14.83,14.48,14.50,2186000,14.343702
2016-01-20,14.77,14.83,14.32,14.60,1135800,14.442624
2016-01-19,14.78,15.00,14.60,14.87,1855700,14.709713
2016-01-15,14.54,14.59,14.36,14.40,1921100,14.244779
2016-01-14,14.68,14.76,14.57,14.58,1412400,14.422839
2016-01-13,14.69,14.82,14.63,14.65,2531700,14.492084
2016-01-12,14.80,14.80,14.51,14.68,1818200,14.521762
2016-01-11,14.69,14.78,14.57,14.74,1199600,14.581114
2016-01-08,14.96,15.03,14.63,14.65,871300,14.492084
2016-01-07,15.10,15.19,14.91,14.91,1389800,14.749282
2016-01-06,15.03,15.32,15.03,15.31,1503000,15.144971
2016-01-05,14.74,15.16,14.66,15.15,1487800,14.986695
2016-01-04,14.74,14.75,14.56,14.64,1056200,14.482193
2015-12-31,14.89,14.89,14.71,14.77,755500,14.610792
2015-12-30,14.92,14.99,14.85,14.89,414500,14.729498
2015-12-29,14.82,14.97,14.80,14.94,680100,14.778958
2015-12-28,14.77,14.79,14.56,14.77,792200,14.610792
2015-12-24,14.85,14.89,14.74,14.78,251900,14.620683
2015-12-23,14.67,14.84,14.56,14.84,669300,14.680037
2015-12-22,14.39,14.73,14.39,14.63,2616800,14.4723
2015-12-21,14.44,14.52,14.26,14.42,825200,14.264564
2015-12-18,14.63,14.69,14.51,14.57,2040200,14.248736
2015-12-17,14.73,14.78,14.50,14.66,3540200,14.336752
2015-12-16,14.58,14.77,14.50,14.73,945800,14.405208
2015-12-15,14.43,14.61,14.21,14.51,1641600,14.19006
2015-12-14,14.41,14.50,14.23,14.41,1131400,14.092264
2015-12-11,14.42,14.61,14.40,14.50,653500,14.18028
2015-12-10,14.71,14.85,14.48,14.51,773300,14.19006
