Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,11.69,11.86,11.69,11.83,129200,11.83
2016-04-18,11.58,11.72,11.52,11.64,86900,11.64
2016-04-15,11.59,11.77,11.51,11.67,127800,11.67
2016-04-14,11.68,11.72,11.51,11.65,149000,11.65
2016-04-13,11.50,11.73,11.43,11.70,167700,11.70
2016-04-12,11.24,11.51,11.20,11.44,200800,11.44
2016-04-11,11.01,11.30,11.01,11.21,158100,11.21
2016-04-08,10.99,11.23,10.95,10.97,130500,10.97
2016-04-07,10.96,11.06,10.78,10.92,167200,10.92
2016-04-06,10.97,11.09,10.75,11.03,146600,11.03
2016-04-05,10.81,11.00,10.75,10.94,143500,10.94
2016-04-04,11.21,11.29,10.86,10.92,214600,10.92
2016-04-01,11.12,11.25,10.98,11.20,152500,11.20
2016-03-31,11.15,11.27,11.13,11.25,331900,11.25
2016-03-30,11.35,11.40,11.18,11.21,202400,11.21
2016-03-29,10.87,11.37,10.66,11.25,348700,11.25
2016-03-28,11.35,11.41,11.12,11.32,256300,10.90
2016-03-24,11.21,11.43,11.04,11.42,175800,10.99629
2016-03-23,11.57,11.72,11.24,11.24,265300,10.822968
2016-03-22,11.58,11.68,11.47,11.62,175400,11.188869
2016-03-21,11.51,11.79,11.50,11.69,177500,11.256272
2016-03-18,11.65,11.86,11.27,11.48,991000,11.054063
2016-03-17,11.17,11.77,11.16,11.58,277300,11.150353
2016-03-16,10.96,11.29,10.93,11.17,250400,10.755566
2016-03-15,11.00,11.14,10.76,11.02,175700,10.611131
2016-03-14,11.11,11.27,10.88,11.08,218400,10.668905
2016-03-11,10.66,11.13,10.66,11.12,223400,10.707421
2016-03-10,10.56,10.58,10.32,10.52,221000,10.129683
2016-03-09,10.56,10.64,10.32,10.56,303800,10.168198
2016-03-08,11.11,11.18,10.59,10.78,201900,10.380035
2016-03-07,10.63,11.21,10.62,11.16,240900,10.745936
2016-03-04,10.73,10.92,10.53,10.62,192100,10.225972
2016-03-03,10.37,10.84,10.09,10.73,290900,10.33189
2016-03-02,10.42,10.42,9.90,10.33,359600,9.946732
