Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,12.78,12.94,12.75,12.82,173700,12.82
2016-04-18,13.08,13.08,12.59,12.72,517000,12.72
2016-04-15,12.94,13.17,12.91,13.10,240400,13.10
2016-04-14,13.14,13.15,12.86,12.95,303100,12.95
2016-04-13,12.98,13.17,12.98,13.13,320600,13.13
2016-04-12,12.81,13.00,12.78,12.94,226000,12.94
2016-04-11,12.76,13.04,12.74,12.79,267300,12.79
2016-04-08,12.58,12.85,12.54,12.68,223300,12.68
2016-04-07,12.54,12.64,12.40,12.49,385900,12.49
2016-04-06,12.62,12.71,12.47,12.58,278300,12.58
2016-04-05,12.54,12.71,12.45,12.63,328600,12.63
2016-04-04,12.78,12.84,12.55,12.59,397300,12.59
2016-04-01,13.01,13.12,12.49,12.79,411900,12.79
2016-03-31,12.59,13.14,12.59,13.08,1295300,13.08
2016-03-30,12.80,12.86,12.50,12.60,437000,12.60
2016-03-29,12.27,12.78,12.20,12.75,606100,12.75
2016-03-28,12.36,12.56,12.23,12.29,823500,12.29
2016-03-24,12.16,12.37,11.81,12.31,1026100,12.31
2016-03-23,12.27,12.34,12.19,12.24,711900,12.24
2016-03-22,12.38,12.50,12.24,12.27,580400,12.27
2016-03-21,12.69,12.69,12.25,12.48,774400,12.48
2016-03-18,12.46,12.85,12.43,12.73,1848000,12.73
2016-03-17,12.38,12.44,12.24,12.39,577800,12.39
2016-03-16,12.19,12.55,12.13,12.40,554000,12.40
2016-03-15,12.18,12.33,12.02,12.19,706200,12.19
2016-03-14,12.60,12.67,12.00,12.26,794900,12.26
2016-03-11,12.70,12.98,12.65,12.97,375400,12.69
2016-03-10,12.86,12.86,12.38,12.65,343100,12.376908
2016-03-09,13.01,13.11,12.67,12.78,401900,12.504102
2016-03-08,13.11,13.13,12.76,13.01,575000,12.729137
2016-03-07,12.62,13.19,12.55,13.15,835500,12.866114
2016-03-04,12.90,12.95,12.58,12.63,924200,12.35734
2016-03-03,12.44,12.91,12.39,12.80,1373600,12.52367
2016-03-02,12.43,12.68,12.33,12.39,1179200,12.122522
2016-03-01,11.98,12.37,11.84,12.25,966000,11.985544
2016-02-29,11.83,12.10,11.83,11.89,1063600,11.633316
2016-02-26,11.68,13.61,11.68,11.97,1480400,11.711589
2016-02-25,10.78,11.17,10.73,11.09,875200,10.850586
2016-02-24,10.38,10.81,10.18,10.80,776100,10.566847
2016-02-23,10.34,10.54,10.29,10.46,615700,10.234187
2016-02-22,10.00,10.47,9.88,10.31,1481000,10.087425
2016-02-19,10.12,10.21,9.94,10.00,423500,9.784117
2016-02-18,10.25,10.27,10.10,10.13,374800,9.911311
2016-02-17,9.97,10.28,9.97,10.21,547500,9.989584
2016-02-16,9.57,9.95,9.41,9.90,546800,9.686276
2016-02-12,9.36,9.68,9.31,9.50,575300,9.294911
2016-02-11,10.00,10.00,9.26,9.36,754500,9.157933
2016-02-10,10.14,10.22,9.95,10.13,516900,9.911311
2016-02-09,10.27,10.38,9.96,10.17,558100,9.950447
2016-02-08,10.61,10.61,10.32,10.34,785100,10.116777
2016-02-05,10.68,10.75,10.52,10.68,577200,10.449438
2016-02-04,10.85,11.06,10.61,10.68,697100,10.449438
2016-02-03,10.81,10.86,10.49,10.83,674600,10.596199
2016-02-02,10.66,10.77,10.36,10.73,1034700,10.498357
2016-02-01,10.72,10.84,10.52,10.70,519500,10.469005
2016-01-29,10.59,10.90,10.58,10.77,1458700,10.537495
2016-01-28,10.48,10.61,10.28,10.58,1361100,10.351596
2016-01-27,10.35,10.54,10.26,10.40,1058700,10.175482
2016-01-26,10.03,10.38,9.94,10.38,933000,10.155914
2016-01-25,10.21,10.29,9.87,9.96,926400,9.744981
2016-01-22,10.32,10.38,10.07,10.29,1607800,10.067857
2016-01-21,10.54,10.59,10.09,10.11,1551800,9.891742
2016-01-20,11.00,11.00,10.06,10.44,1698600,10.214618
2016-01-19,11.63,11.63,10.95,11.14,1243800,10.899507
2016-01-15,12.21,12.21,11.30,11.60,1021600,11.349576
2016-01-14,12.51,12.66,12.17,12.26,944600,11.995328
2016-01-13,13.01,13.14,12.42,12.46,1330700,12.19101
2016-01-12,13.79,13.81,12.99,13.01,696700,12.729137
