Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,11.15,11.79,11.15,11.61,581100,11.61
2016-04-18,10.97,11.34,10.84,11.09,223500,11.09
2016-04-15,10.93,11.24,10.82,11.10,316600,11.10
2016-04-14,10.99,11.09,10.86,10.99,266400,10.99
2016-04-13,10.97,11.29,10.84,10.97,457500,10.97
2016-04-12,10.00,11.23,9.95,10.92,669100,10.92
2016-04-11,9.53,10.17,9.48,9.99,452000,9.99
2016-04-08,9.51,9.66,9.40,9.46,314200,9.46
2016-04-07,9.44,9.65,9.28,9.40,221300,9.40
2016-04-06,9.66,9.70,9.30,9.50,384800,9.50
2016-04-05,9.63,9.76,9.44,9.64,426500,9.64
2016-04-04,10.02,10.24,9.66,9.73,433300,9.73
2016-04-01,9.34,10.00,9.26,9.98,529500,9.98
2016-03-31,9.80,9.95,9.34,9.50,472800,9.50
2016-03-30,9.56,9.83,9.42,9.79,419400,9.79
2016-03-29,9.22,9.62,9.06,9.43,491900,9.43
2016-03-28,9.55,9.73,9.16,9.34,223600,9.34
2016-03-24,8.96,9.59,8.65,9.56,313300,9.56
2016-03-23,9.52,9.52,8.97,9.11,420100,9.11
2016-03-22,9.42,9.66,9.41,9.58,194100,9.58
2016-03-21,9.79,9.98,9.32,9.53,422100,9.53
2016-03-18,9.74,9.87,9.37,9.84,892900,9.84
2016-03-17,8.84,9.62,8.80,9.48,483200,9.48
2016-03-16,8.89,9.15,8.75,8.83,526400,8.83
2016-03-15,8.75,8.98,8.62,8.85,371000,8.85
2016-03-14,8.91,9.09,8.79,8.94,477000,8.87
2016-03-11,8.98,9.20,8.72,8.98,463500,8.909686
2016-03-10,8.75,9.06,8.49,9.01,471500,8.939452
2016-03-09,8.76,8.93,8.48,8.81,375900,8.741018
2016-03-08,8.31,8.80,8.12,8.65,771800,8.58227
2016-03-07,8.41,8.81,8.11,8.42,995900,8.354072
2016-03-04,8.13,8.60,7.97,8.41,679200,8.34415
2016-03-03,7.78,8.10,7.77,8.08,505200,8.016734
2016-03-02,7.09,7.87,7.04,7.76,741100,7.69924
2016-03-01,7.55,7.65,6.83,7.09,755300,7.034486
2016-02-29,7.06,7.57,6.96,7.47,752100,7.41151
2016-02-26,7.05,7.27,6.91,7.05,518100,6.994799
2016-02-25,7.04,7.08,6.66,6.98,634600,6.925347
2016-02-24,6.64,7.16,6.53,7.01,608700,6.955112
2016-02-23,6.88,7.08,6.69,6.81,475000,6.756678
2016-02-22,7.00,7.23,6.64,7.02,863400,6.965034
2016-02-19,6.87,6.91,6.50,6.89,529800,6.836051
2016-02-18,6.47,7.00,6.26,6.91,462900,6.855895
2016-02-17,6.58,6.83,6.45,6.46,841100,6.409418
2016-02-16,6.52,6.68,6.27,6.50,758900,6.449105
2016-02-12,6.16,6.65,6.08,6.45,477100,6.399497
2016-02-11,6.40,6.40,5.88,6.00,509300,5.95302
2016-02-10,6.47,6.83,6.37,6.56,489600,6.508635
2016-02-09,6.74,6.93,6.36,6.43,494400,6.379653
2016-02-08,6.72,7.24,6.64,6.91,579100,6.855895
2016-02-05,6.82,7.32,6.71,6.84,625500,6.786443
2016-02-04,7.03,7.92,6.84,6.93,770900,6.875738
2016-02-03,6.90,7.22,5.89,7.15,2465000,7.094016
2016-02-02,7.54,7.54,6.60,6.97,1133600,6.915425
2016-02-01,6.96,7.28,6.51,7.17,896100,7.113859
2016-01-29,7.05,7.36,6.83,7.00,770400,6.94519
2016-01-28,6.75,7.34,6.60,7.00,1412300,6.94519
2016-01-27,7.03,7.04,6.46,6.54,706300,6.488792
2016-01-26,7.08,7.19,6.89,7.04,688000,6.984877
2016-01-25,7.31,7.47,6.67,6.90,444900,6.845973
2016-01-22,7.95,8.18,7.28,7.42,685100,7.361902
2016-01-21,7.22,7.86,7.20,7.71,410800,7.649631
2016-01-20,6.82,7.34,6.54,7.27,485300,7.213076
2016-01-19,8.01,8.10,6.83,7.04,489600,6.984877
2016-01-15,7.69,7.94,7.44,7.93,398300,7.867908
2016-01-14,7.77,8.05,7.60,7.97,425800,7.907595
2016-01-13,7.84,8.19,7.55,7.59,570000,7.530571
2016-01-12,8.50,8.69,7.80,7.84,573500,7.778613
2016-01-11,8.73,8.99,8.32,8.35,807700,8.28462
2016-01-08,8.31,8.67,8.15,8.45,599900,8.383837
2016-01-07,8.65,8.68,8.25,8.26,456400,8.195325
2016-01-06,8.80,8.98,8.67,8.75,594200,8.681488
2016-01-05,9.59,9.59,8.95,8.99,573300,8.919608
2016-01-04,9.53,9.67,9.20,9.52,574200,9.445459
2015-12-31,9.63,9.93,9.61,9.79,312900,9.713345
2015-12-30,9.86,9.97,9.63,9.66,291900,9.584362
2015-12-29,9.50,10.00,9.35,9.88,561600,9.80264
2015-12-28,10.07,10.12,9.09,9.44,434200,9.366085
2015-12-24,9.83,10.20,9.77,10.15,198000,10.070525
2015-12-23,9.63,9.96,9.37,9.90,519300,9.822483
2015-12-22,8.90,9.58,8.84,9.54,539000,9.465302
2015-12-21,9.17,9.29,8.77,8.86,595800,8.790626
2015-12-18,9.47,9.66,9.00,9.11,854400,9.038669
2015-12-17,9.73,9.87,9.41,9.52,427300,9.445459
2015-12-16,9.50,9.79,9.50,9.70,443800,9.624049
2015-12-15,9.35,9.50,9.23,9.49,388400,9.415693
2015-12-14,9.07,9.50,8.97,9.34,391400,9.197416
2015-12-11,9.50,9.50,9.02,9.14,433000,9.00047
2015-12-10,9.52,9.76,9.47,9.62,301500,9.473142
2015-12-09,9.63,9.92,9.38,9.52,378600,9.374669
2015-12-08,9.73,10.10,9.38,9.51,589300,9.364821
2015-12-07,10.58,10.67,9.64,9.84,778200,9.689783
2015-12-04,10.70,11.05,10.14,10.58,1526000,10.418486
2015-12-03,11.84,12.14,11.70,11.85,536700,11.669099
2015-12-02,11.73,11.87,11.36,11.84,530800,11.659251
2015-12-01,12.52,13.01,11.34,11.91,1088000,11.728182
2015-11-30,10.71,11.81,10.68,11.21,694500,11.038869
2015-11-27,11.29,11.41,10.63,10.65,384000,10.487417
2015-11-25,11.64,11.74,11.13,11.49,824800,11.314594
2015-11-24,10.73,11.72,10.70,11.71,695200,11.531236
2015-11-23,10.59,11.24,10.52,10.70,598300,10.536654
2015-11-20,10.65,10.79,10.40,10.62,519800,10.457876
2015-11-19,10.31,10.68,10.29,10.57,453800,10.408639
2015-11-18,10.11,10.40,10.08,10.38,541300,10.22154
2015-11-17,9.95,10.13,9.63,10.02,660000,9.867036
2015-11-16,9.83,10.16,9.71,9.95,683800,9.798104
2015-11-13,8.98,9.88,8.97,9.79,700800,9.640546
2015-11-12,9.32,9.34,8.91,8.96,550600,8.823217
2015-11-11,9.63,9.66,9.13,9.43,617500,9.286042
2015-11-10,9.88,9.93,9.45,9.62,357300,9.473142
2015-11-09,10.35,10.42,9.75,9.88,335700,9.729173
2015-11-06,9.80,10.40,9.65,10.35,431200,10.191998
2015-11-05,10.07,10.20,9.64,9.84,454000,9.689783
2015-11-04,10.13,10.35,9.96,10.10,407000,9.945814
2015-11-03,9.99,10.41,9.99,10.14,652100,9.985204
2015-11-02,9.20,10.15,9.07,9.99,757500,9.837493
2015-10-30,9.71,9.71,8.99,9.22,1572200,9.079248
2015-10-29,9.04,10.73,8.97,10.00,3624800,9.847341
2015-10-28,7.72,8.14,7.65,7.98,659700,7.858178
2015-10-27,7.62,7.96,7.50,7.72,690300,7.602147
2015-10-26,7.83,7.89,7.54,7.67,395400,7.55291
2015-10-23,7.46,8.08,7.46,7.87,641200,7.749857
2015-10-22,8.05,8.13,7.46,7.50,1241600,7.385505
2015-10-21,8.26,8.28,7.83,7.97,591600,7.84833
2015-10-20,7.87,8.27,7.77,8.25,635600,8.124056
2015-10-19,8.15,8.20,7.54,7.92,660100,7.799094
2015-10-16,8.03,8.25,7.94,8.24,478300,8.114208
2015-10-15,7.81,8.09,7.67,8.01,487000,7.88772
2015-10-14,7.77,7.91,7.68,7.83,428700,7.710468
2015-10-13,7.56,7.84,7.49,7.73,426600,7.611994
2015-10-12,7.92,7.95,7.26,7.67,669400,7.55291
2015-10-09,7.83,8.13,7.77,7.91,471200,7.789246
2015-10-08,7.54,7.90,7.52,7.80,510100,7.680926
2015-10-07,7.52,7.81,7.35,7.54,670500,7.424895
2015-10-06,7.38,7.72,7.25,7.45,773800,7.336269
2015-10-05,7.00,7.41,6.77,7.40,890000,7.287032
2015-10-02,6.43,6.98,6.30,6.93,666500,6.824207
2015-10-01,6.18,6.62,6.13,6.48,810400,6.381077
2015-09-30,6.19,6.28,5.95,6.12,601200,6.026572
2015-09-29,6.41,6.45,6.07,6.14,722700,6.046267
2015-09-28,6.48,6.49,6.31,6.40,511000,6.302298
2015-09-25,6.66,6.76,6.38,6.51,1239600,6.410619
2015-09-24,6.31,6.88,6.29,6.64,1033800,6.538634
2015-09-23,6.15,6.47,6.14,6.40,835600,6.302298
2015-09-22,6.04,6.13,5.90,6.05,589900,5.957641
2015-09-21,6.04,6.27,5.98,6.10,444400,6.006878
2015-09-18,6.17,6.20,5.95,6.04,697700,5.947794
2015-09-17,6.34,6.46,6.23,6.28,483500,6.18413
2015-09-16,6.26,6.43,6.18,6.36,508000,6.262909
2015-09-15,5.96,6.30,5.95,6.27,512300,6.174283
2015-09-14,6.22,6.31,5.92,6.01,785400,5.918252
2015-09-11,6.47,6.65,6.25,6.36,686400,6.193977
2015-09-10,6.60,6.67,6.32,6.66,984300,6.486146
2015-09-09,6.69,6.96,6.44,6.62,811500,6.44719
2015-09-08,7.05,7.05,6.54,6.62,1114500,6.44719
2015-09-04,6.70,7.11,6.42,6.97,1394500,6.788053
2015-09-03,6.08,6.59,6.08,6.42,947400,6.252411
2015-09-02,6.29,6.32,5.75,6.04,1302800,5.882331
2015-09-01,6.63,6.77,6.22,6.23,1233800,6.067371
2015-08-31,7.00,7.02,6.71,6.82,704500,6.641969
2015-08-28,6.60,7.15,6.53,7.08,1114900,6.895182
2015-08-27,7.05,7.15,6.35,6.53,1448600,6.35954
2015-08-26,6.28,7.06,6.16,6.87,2101200,6.690664
2015-08-25,7.12,7.28,6.15,6.16,2169300,5.999198
2015-08-24,7.09,7.78,6.85,6.90,2391300,6.719881
2015-08-21,6.50,7.44,6.49,7.29,2720100,7.0997
2015-08-20,7.74,7.85,6.49,6.56,5815500,6.388756
2015-08-19,13.02,13.06,6.00,7.62,18114500,7.421086
2015-08-18,13.82,13.82,13.47,13.63,262400,13.2742
2015-08-17,13.84,14.18,13.77,13.84,433700,13.478718
2015-08-14,13.69,13.99,13.69,13.97,376500,13.605324
2015-08-13,13.85,13.90,13.60,13.72,292900,13.36185
2015-08-12,13.52,14.09,13.52,13.81,560900,13.449501
2015-08-11,13.57,13.91,13.38,13.76,623100,13.400806
2015-08-10,12.94,13.79,12.77,13.72,678500,13.36185
2015-08-07,13.19,13.39,12.78,12.89,668200,12.553517
2015-08-06,12.50,13.28,12.37,13.23,1051000,12.884641
2015-08-05,12.70,13.06,12.26,12.50,1226300,12.173697
2015-08-04,12.68,12.91,12.52,12.65,1002400,12.319781
2015-08-03,14.03,14.14,12.62,12.63,970100,12.300304
2015-07-31,13.51,14.08,13.21,14.05,1667700,13.683236
2015-07-30,14.87,15.00,12.81,13.27,2199600,12.923598
2015-07-29,11.98,12.38,11.74,12.18,786500,11.862051
2015-07-28,11.80,12.10,11.41,12.00,498100,11.686749
2015-07-27,11.53,12.03,11.52,11.79,355100,11.482231
2015-07-24,11.88,11.97,11.44,11.63,443400,11.326408
2015-07-23,12.14,12.20,11.80,11.90,318900,11.58936
2015-07-22,12.63,12.63,12.04,12.12,352200,11.803617
2015-07-21,12.97,13.06,12.59,12.67,345200,12.33926
2015-07-20,12.76,13.16,12.59,13.00,522200,12.660645
2015-07-17,13.07,13.08,12.75,12.76,476900,12.42691
2015-07-16,13.39,13.52,13.08,13.10,514900,12.758035
2015-07-15,13.68,13.78,13.47,13.55,355000,13.196288
2015-07-14,13.56,14.09,13.56,13.68,466400,13.322895
2015-07-13,13.45,13.79,13.37,13.54,462000,13.186549
2015-07-10,13.89,14.05,13.32,13.43,376000,13.079421
2015-07-09,14.18,14.31,13.75,13.80,618100,13.439762
2015-07-08,14.72,14.77,14.05,14.07,552800,13.702713
2015-07-07,14.79,15.00,14.38,14.80,460900,14.413658
2015-07-06,14.88,14.96,14.41,14.83,521900,14.442874
2015-07-02,15.00,15.51,14.77,15.04,526100,14.647393
2015-07-01,16.23,16.35,14.93,14.95,854500,14.559742
