Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,31.57,32.470001,31.57,32.130001,33800,32.130001
2016-04-18,30.16,31.99,30.16,31.469999,34200,31.469999
2016-04-15,31.440001,31.610001,30.66,30.91,11600,30.91
2016-04-14,31.889999,32.00,31.26,31.59,30800,31.59
2016-04-13,30.90,32.00,30.799999,31.83,46500,31.83
2016-04-12,30.27,31.940001,30.27,31.27,24600,31.131001
2016-04-11,30.50,30.50,30.00,30.16,32000,30.025935
2016-04-08,29.76,31.379999,29.559999,30.34,73100,30.205135
2016-04-07,30.200001,30.34,29.01,29.34,85600,29.20958
2016-04-06,29.91,31.129999,29.77,30.530001,20900,30.394291
2016-04-05,29.01,30.10,28.99,29.98,27100,29.846734
2016-04-04,29.02,29.620001,29.00,29.16,31800,29.03038
2016-04-01,29.42,29.85,28.93,29.110001,12300,28.980603
2016-03-31,29.50,29.870001,29.50,29.60,14200,29.468424
2016-03-30,29.66,30.52,28.93,29.50,36300,29.368868
2016-03-29,29.50,29.50,27.75,29.209999,53400,29.080157
2016-03-28,30.10,30.290001,29.059999,29.629999,30400,29.49829
2016-03-24,30.110001,30.629999,29.27,30.379999,78300,30.244956
2016-03-23,31.93,32.490002,31.059999,31.50,31600,31.359978
2016-03-22,31.85,32.59,31.059999,31.950001,38100,31.807979
2016-03-21,31.959999,32.419998,31.959999,32.200001,8000,32.056867
2016-03-18,33.009998,33.060001,32.049999,32.049999,40300,31.907533
2016-03-17,32.509998,33.310001,32.509998,32.900002,24800,32.753757
2016-03-16,31.83,32.990002,31.83,32.619999,27000,32.474999
2016-03-15,31.629999,32.02,31.110001,31.58,13000,31.439623
2016-03-14,31.67,32.200001,31.60,31.66,20300,31.519267
2016-03-11,31.35,32.139999,31.35,31.92,25300,31.778111
2016-03-10,32.919998,33.330002,31.200001,31.41,104800,31.132992
2016-03-09,32.200001,33.150002,32.049999,32.669998,37700,32.381878
2016-03-08,33.509998,33.599998,32.00,32.25,20400,31.965584
2016-03-07,33.080002,34.400002,33.080002,34.00,60500,33.70015
2016-03-04,32.990002,33.799999,32.599998,33.349998,23600,33.055881
2016-03-03,32.23,33.349998,32.23,32.849998,25700,32.560291
2016-03-02,32.080002,32.68,31.77,32.540001,33600,32.253027
