Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,15.27,15.55,15.26,15.33,568900,15.33
2016-04-18,15.04,15.27,14.96,15.22,752500,15.22
2016-04-15,15.11,15.12,14.99,15.08,609900,15.08
2016-04-14,15.18,15.19,15.01,15.11,357000,15.11
2016-04-13,14.90,15.20,14.86,15.17,533100,15.17
2016-04-12,14.52,14.98,14.52,14.78,646900,14.78
2016-04-11,14.68,14.91,14.51,14.51,661900,14.51
2016-04-08,14.70,14.99,14.57,14.64,664700,14.64
2016-04-07,14.78,14.83,14.46,14.56,1104000,14.56
2016-04-06,14.81,14.95,14.66,14.87,599400,14.87
2016-04-05,14.68,14.94,14.64,14.78,661400,14.78
2016-04-04,14.97,15.06,14.76,14.79,714700,14.79
2016-04-01,14.80,14.99,14.65,14.93,944300,14.93
2016-03-31,14.90,15.03,14.84,14.92,692800,14.92
2016-03-30,15.13,15.23,14.85,14.97,784100,14.85
2016-03-29,14.61,15.13,14.45,15.13,1556400,15.008717
2016-03-28,14.66,14.90,14.54,14.65,1161800,14.532564
2016-03-24,15.00,15.05,14.42,14.68,985200,14.562325
2016-03-23,15.37,15.69,14.57,15.20,2151000,15.078156
2016-03-22,14.78,15.25,14.73,15.05,1679000,14.929359
2016-03-21,14.91,15.05,14.82,14.84,1266000,14.721042
2016-03-18,15.25,15.27,14.90,14.93,1331800,14.810321
2016-03-17,14.75,15.29,14.66,15.23,574600,15.107915
2016-03-16,14.25,14.87,14.22,14.73,709700,14.611923
2016-03-15,14.23,14.40,14.11,14.26,874100,14.145691
2016-03-14,14.34,14.34,14.09,14.29,786000,14.175451
2016-03-11,14.58,14.64,14.23,14.38,817200,14.264729
2016-03-10,14.55,14.62,14.06,14.46,1258000,14.344088
2016-03-09,14.18,14.51,13.94,14.51,1753600,14.393687
2016-03-08,14.14,14.15,13.91,14.12,1291000,14.006813
2016-03-07,13.53,14.21,13.53,14.11,1136100,13.996893
2016-03-04,13.47,13.58,13.32,13.53,593100,13.421543
2016-03-03,13.19,13.51,13.18,13.46,813500,13.352104
2016-03-02,13.08,13.19,12.97,13.19,708000,13.084268
2016-03-01,12.61,13.15,12.60,13.08,1123100,12.97515
2016-02-29,12.56,12.68,12.47,12.49,1210700,12.389879
2016-02-26,12.34,12.56,12.34,12.54,1895600,12.439479
2016-02-25,12.72,12.72,12.12,12.25,1192800,12.151803
2016-02-24,12.47,12.71,12.39,12.66,1187400,12.558517
2016-02-23,12.73,12.80,12.53,12.56,931500,12.459319
2016-02-22,12.58,12.86,12.57,12.78,678400,12.677555
2016-02-19,12.59,12.64,12.45,12.49,481500,12.389879
2016-02-18,12.21,12.74,12.18,12.60,766200,12.498998
2016-02-17,11.97,12.18,11.89,12.18,1816100,12.082365
2016-02-16,12.19,12.19,11.88,11.91,1175300,11.814529
2016-02-12,11.77,12.09,11.67,12.00,1190400,11.903807
2016-02-11,11.77,11.92,11.68,11.77,1101500,11.675652
2016-02-10,12.25,12.25,11.94,11.98,974900,11.883967
2016-02-09,12.13,12.42,12.13,12.19,1077300,12.092284
2016-02-08,12.23,12.32,12.03,12.26,661000,12.161723
2016-02-05,12.66,12.71,12.32,12.38,505900,12.280761
2016-02-04,12.50,12.83,12.50,12.68,715200,12.578357
2016-02-03,12.44,12.62,12.21,12.55,583600,12.449399
2016-02-02,12.53,12.63,12.35,12.36,610200,12.260921
2016-02-01,12.64,12.83,12.51,12.73,701100,12.627955
2016-01-29,12.38,12.76,12.38,12.76,948300,12.657715
2016-01-28,12.23,12.43,12.13,12.31,702500,12.211323
2016-01-27,12.33,12.40,12.01,12.03,1173500,11.933567
2016-01-26,12.10,12.49,12.10,12.35,1780200,12.251002
2016-01-25,12.38,12.38,11.99,12.02,948100,11.923648
2016-01-22,12.53,12.80,12.25,12.38,1565600,12.280761
2016-01-21,12.33,12.60,12.26,12.34,990100,12.241082
2016-01-20,12.29,12.41,11.83,12.27,2122500,12.171644
2016-01-19,12.57,12.69,12.22,12.38,1518400,12.280761
2016-01-15,12.60,12.65,12.17,12.41,1793200,12.310521
2016-01-14,12.95,13.02,12.78,12.91,3197400,12.806513
2016-01-13,13.40,13.56,12.74,12.85,1398500,12.746994
2016-01-12,13.49,13.62,13.22,13.40,1475000,13.292585
2016-01-11,13.44,13.53,13.28,13.39,1239900,13.282665
2016-01-08,13.89,13.96,13.36,13.39,1096200,13.282665
2016-01-07,13.95,14.08,13.84,13.87,1287800,13.758817
2016-01-06,14.19,14.45,14.18,14.25,1096600,14.135771
2016-01-05,14.32,14.52,14.14,14.45,957500,14.334168
2016-01-04,14.64,14.70,14.21,14.29,1424100,14.063357
2015-12-31,14.98,15.25,14.88,14.90,790600,14.663682
2015-12-30,14.87,15.13,14.82,14.98,868400,14.742413
2015-12-29,14.76,15.02,14.76,14.95,937400,14.712889
2015-12-28,14.63,14.84,14.61,14.73,1501100,14.496378
2015-12-24,14.32,14.73,14.31,14.65,1053400,14.417647
2015-12-23,14.56,14.65,14.06,14.41,2322200,14.181454
2015-12-22,15.14,15.45,14.35,14.55,7869000,14.319233
2015-12-21,18.40,19.09,18.32,18.879999,1363200,18.580557
2015-12-18,18.93,18.969999,18.33,18.33,1183500,18.039281
2015-12-17,19.35,19.35,19.02,19.110001,427300,18.806911
2015-12-16,18.92,19.360001,18.90,19.299999,462300,18.993896
2015-12-15,18.559999,19.23,18.51,18.76,483900,18.462462
2015-12-14,18.440001,18.60,18.309999,18.469999,347400,18.17706
2015-12-11,18.709999,18.889999,18.389999,18.40,592800,18.108171
2015-12-10,19.110001,19.16,18.92,19.030001,313400,18.72818
2015-12-09,19.40,19.57,18.91,19.139999,695300,18.836434
2015-12-08,19.49,19.58,19.290001,19.440001,386900,19.131677
2015-12-07,19.85,19.91,19.530001,19.65,406800,19.338346
2015-12-04,19.76,20.01,19.690001,19.92,340300,19.604064
2015-12-03,20.34,20.370001,19.620001,19.73,304100,19.417077
2015-12-02,20.309999,20.370001,20.24,20.26,280500,19.938671
2015-12-01,20.049999,20.35,19.969999,20.34,363200,20.017402
2015-11-30,20.32,20.32,19.93,20.00,521500,19.682795
2015-11-27,20.059999,20.299999,19.93,20.23,128100,19.909146
2015-11-25,19.99,20.18,19.91,20.040001,505900,19.722161
2015-11-24,19.440001,19.959999,19.40,19.93,408000,19.613905
2015-11-23,19.440001,19.66,19.370001,19.52,470400,19.210408
2015-11-20,19.23,19.559999,19.120001,19.540001,495800,19.230091
2015-11-19,18.67,19.209999,18.57,19.10,593200,18.797069
2015-11-18,18.549999,18.73,18.33,18.65,516600,18.354206
2015-11-17,18.559999,18.58,18.34,18.48,398100,18.186902
2015-11-16,18.360001,18.58,18.33,18.52,333400,18.226268
2015-11-13,18.40,18.57,18.34,18.40,495500,18.108171
2015-11-12,19.02,19.10,18.48,18.530001,437600,18.23611
2015-11-11,19.370001,19.379999,19.08,19.209999,274900,18.905324
2015-11-10,19.10,19.33,18.99,19.33,423700,19.023421
2015-11-09,19.389999,19.41,19.02,19.200001,344000,18.895484
2015-11-06,19.65,19.77,19.16,19.41,407200,19.102152
2015-11-05,19.360001,19.99,19.309999,19.73,824500,19.417077
2015-11-04,19.67,19.709999,19.25,19.34,442100,19.033263
2015-11-03,19.620001,19.76,19.50,19.66,361100,19.348187
2015-11-02,19.360001,19.700001,19.32,19.67,334900,19.358029
2015-10-30,19.48,19.65,19.379999,19.41,328600,19.102152
2015-10-29,19.719999,19.83,19.469999,19.51,371500,19.200567
2015-10-28,19.25,19.860001,19.23,19.860001,657100,19.545016
2015-10-27,19.59,19.60,19.15,19.24,643000,18.934848
2015-10-26,19.549999,19.83,19.540001,19.700001,479600,19.387554
2015-10-23,19.790001,19.790001,19.459999,19.60,545600,19.289139
2015-10-22,19.629999,19.76,19.440001,19.67,588200,19.358029
2015-10-21,19.969999,20.01,19.50,19.540001,637100,19.230091
2015-10-20,19.85,19.99,19.709999,19.860001,371700,19.545016
2015-10-19,19.700001,19.959999,19.639999,19.889999,411400,19.574539
2015-10-16,19.860001,19.860001,19.559999,19.74,522800,19.426918
2015-10-15,19.549999,19.889999,19.40,19.82,670500,19.505649
2015-10-14,19.709999,19.860001,19.48,19.52,573100,19.210408
2015-10-13,19.85,20.129999,19.709999,19.719999,986300,19.407235
2015-10-12,19.389999,19.98,19.27,19.92,613600,19.604064
2015-10-09,19.209999,19.42,19.139999,19.370001,753100,19.062788
2015-10-08,18.940001,19.26,18.940001,19.200001,1077800,18.895484
2015-10-07,18.77,19.17,18.68,18.99,704800,18.688813
2015-10-06,19.00,19.030001,18.610001,18.690001,494200,18.393572
2015-10-05,18.75,19.120001,18.75,19.049999,503200,18.747861
2015-10-02,18.42,18.58,18.15,18.58,589900,18.285316
2015-10-01,18.309999,18.610001,18.040001,18.559999,693100,18.265633
2015-09-30,18.129999,18.42,18.030001,18.41,955200,18.006804
2015-09-29,17.780001,18.059999,17.700001,18.01,1215500,17.615565
2015-09-28,18.139999,18.139999,17.709999,17.799999,1048200,17.410163
2015-09-25,18.67,18.780001,18.190001,18.190001,1138400,17.791623
2015-09-24,18.450001,18.639999,18.040001,18.549999,1106900,18.143738
2015-09-23,18.23,18.52,18.120001,18.299999,692800,17.899213
2015-09-22,18.299999,18.40,18.030001,18.16,388400,17.76228
2015-09-21,18.469999,18.74,18.41,18.52,605400,18.114396
2015-09-18,18.33,18.540001,18.209999,18.35,848600,17.948119
2015-09-17,18.34,18.549999,18.23,18.459999,595800,18.055709
2015-09-16,18.049999,18.33,18.00,18.24,283700,17.840528
2015-09-15,17.700001,18.049999,17.67,18.00,213400,17.605784
2015-09-14,17.879999,17.879999,17.620001,17.709999,242100,17.322134
2015-09-11,17.65,17.870001,17.450001,17.870001,271200,17.478632
2015-09-10,17.860001,18.059999,17.66,17.75,267700,17.361259
2015-09-09,18.18,18.18,17.85,17.870001,364600,17.478632
2015-09-08,17.76,18.040001,17.639999,18.040001,339500,17.644909
2015-09-04,17.35,17.58,17.35,17.50,214100,17.116734
2015-09-03,17.50,17.700001,17.43,17.57,421200,17.185201
2015-09-02,17.379999,17.530001,17.07,17.48,600500,17.097172
2015-09-01,17.25,17.48,17.120001,17.17,578300,16.793962
2015-08-31,17.41,17.74,17.309999,17.629999,378400,17.243886
2015-08-28,17.309999,17.57,17.280001,17.469999,369300,17.087391
2015-08-27,17.15,17.530001,17.09,17.379999,595600,16.999362
2015-08-26,17.030001,17.110001,16.540001,17.08,552900,16.705933
2015-08-25,17.530001,17.530001,16.74,16.76,599900,16.392941
2015-08-24,16.809999,17.709999,16.059999,17.049999,848400,16.676589
2015-08-21,16.85,17.75,16.85,17.49,778900,17.106953
2015-08-20,17.620001,17.82,17.49,17.49,735000,17.106953
2015-08-19,17.950001,18.040001,17.799999,17.83,298300,17.439507
2015-08-18,18.00,18.25,17.860001,18.08,402300,17.684032
2015-08-17,17.52,18.030001,17.52,17.98,307300,17.586222
2015-08-14,17.43,17.65,17.16,17.60,434800,17.214545
2015-08-13,17.549999,17.709999,17.43,17.450001,264100,17.06783
2015-08-12,17.559999,17.59,17.370001,17.530001,305000,17.146078
2015-08-11,17.709999,17.889999,17.60,17.700001,271700,17.312355
2015-08-10,17.75,18.030001,17.629999,17.92,282900,17.527536
2015-08-07,17.709999,17.83,17.59,17.629999,203400,17.243886
2015-08-06,18.129999,18.129999,17.709999,17.83,275200,17.439507
2015-08-05,18.059999,18.139999,17.940001,18.129999,386800,17.732936
2015-08-04,17.780001,17.98,17.75,17.940001,266600,17.547099
2015-08-03,17.84,17.879999,17.65,17.799999,266600,17.410163
2015-07-31,17.92,17.969999,17.719999,17.85,342300,17.459069
2015-07-30,17.58,17.93,17.49,17.889999,372300,17.498192
2015-07-29,17.40,17.68,17.299999,17.65,436300,17.263449
2015-07-28,17.50,17.52,17.25,17.370001,363200,16.989582
2015-07-27,17.41,17.450001,17.27,17.389999,302900,17.009143
2015-07-24,17.870001,17.91,17.50,17.52,381200,17.136297
