Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.42,10.90,10.42,10.85,35000,10.85
2016-04-18,10.01,10.30,9.36,10.30,20500,10.30
2016-04-15,10.22,10.26,10.11,10.11,17000,10.11
2016-04-14,10.35,10.35,10.23,10.26,29900,10.26
2016-04-13,10.40,10.41,10.28,10.35,35300,10.26
2016-04-12,9.88,10.38,9.88,10.38,27500,10.289739
2016-04-11,10.00,10.09,9.85,9.85,40900,9.764348
2016-04-08,9.83,9.96,9.81,9.84,8100,9.754435
2016-04-07,9.58,9.63,9.49,9.58,5000,9.496695
2016-04-06,9.48,9.60,9.45,9.58,8700,9.496695
2016-04-05,9.54,9.54,9.35,9.42,13100,9.338087
2016-04-04,9.72,9.72,9.55,9.56,9600,9.47687
2016-04-01,9.76,9.84,9.59,9.72,17500,9.635478
2016-03-31,9.75,9.87,9.72,9.87,18800,9.784174
2016-03-30,9.64,9.75,9.62,9.73,8800,9.645391
2016-03-29,9.42,9.51,9.36,9.51,9900,9.427304
2016-03-28,9.92,9.92,9.50,9.53,28000,9.44713
2016-03-24,9.74,9.92,9.61,9.74,10600,9.655304
2016-03-23,10.06,10.21,9.88,9.88,12300,9.794087
2016-03-22,10.13,10.30,10.11,10.26,16400,10.170783
2016-03-21,10.38,10.38,10.18,10.18,8600,10.091478
2016-03-18,10.50,10.50,10.34,10.44,26200,10.349217
2016-03-17,10.31,10.50,10.22,10.46,21100,10.369043
2016-03-16,9.90,10.22,9.90,10.20,26300,10.111304
2016-03-15,9.89,9.96,9.79,9.89,14900,9.714783
2016-03-14,9.97,10.04,9.93,10.04,8100,9.862125
2016-03-11,10.11,10.15,10.00,10.00,12600,9.822834
2016-03-10,10.01,10.02,9.87,9.90,9800,9.724605
2016-03-09,10.16,10.16,10.01,10.07,8400,9.891593
2016-03-08,10.37,10.37,9.95,9.95,28500,9.773719
2016-03-07,10.25,10.55,10.25,10.39,98600,10.205924
2016-03-04,10.28,10.66,10.17,10.30,41200,10.117519
2016-03-03,9.89,10.25,9.87,10.25,35300,10.068404
2016-03-02,9.58,9.98,9.58,9.90,21800,9.724605
2016-03-01,9.65,9.74,9.61,9.66,6800,9.488857
2016-02-29,9.63,9.72,9.55,9.63,14900,9.459389
2016-02-26,9.40,9.66,9.36,9.48,27300,9.312046
2016-02-25,8.88,9.31,8.88,9.20,38500,9.037007
2016-02-24,8.63,9.10,8.63,8.98,39000,8.820904
2016-02-23,9.29,9.29,8.73,8.78,56800,8.624448
2016-02-22,9.11,9.32,9.11,9.26,13800,9.095944
2016-02-19,8.76,8.86,8.70,8.86,9300,8.70303
2016-02-18,8.97,8.97,8.75,8.92,15400,8.761968
2016-02-17,8.60,8.94,8.59,8.89,27400,8.732499
2016-02-16,8.21,8.41,8.14,8.41,38100,8.261003
2016-02-12,7.96,8.11,7.74,8.10,55000,7.86809
2016-02-11,8.07,8.07,7.58,7.86,53100,7.634962
2016-02-10,8.02,8.16,7.87,8.12,26600,7.887517
2016-02-09,8.01,8.07,7.90,7.91,54600,7.68353
2016-02-08,9.16,9.16,8.35,8.35,41600,8.110933
2016-02-05,9.51,9.73,9.22,9.27,21100,9.004592
2016-02-04,9.23,9.78,9.23,9.68,22000,9.402854
2016-02-03,9.32,9.32,8.95,9.12,21400,8.858887
2016-02-02,9.20,9.38,9.01,9.09,30700,8.829746
2016-02-01,9.38,9.44,9.05,9.33,37300,9.062874
2016-01-29,9.55,10.18,9.21,9.46,79300,9.189152
2016-01-28,9.23,9.53,9.16,9.47,46500,9.198866
2016-01-27,8.90,9.02,8.69,8.89,40700,8.635472
2016-01-26,8.76,9.13,8.43,8.99,44900,8.732608
2016-01-25,8.44,8.87,8.39,8.47,26400,8.227497
2016-01-22,7.93,8.58,7.93,8.56,37900,8.31492
2016-01-21,7.46,7.78,7.38,7.73,37200,7.508684
2016-01-20,7.67,7.67,6.80,7.45,95400,7.2367
2016-01-19,8.46,8.67,7.81,8.04,80400,7.809808
2016-01-15,8.38,8.53,8.30,8.44,41400,8.198355
2016-01-14,8.56,8.89,8.38,8.83,65100,8.489766
2016-01-13,9.33,9.33,8.55,8.57,52200,8.239784
2016-01-12,9.78,9.80,8.96,9.24,61400,8.883968
2016-01-11,10.20,10.20,9.41,9.60,31800,9.230097
2016-01-08,9.93,10.35,9.93,10.05,38200,9.662758
2016-01-07,10.28,10.40,10.05,10.08,25000,9.691601
2016-01-06,10.95,10.99,10.51,10.53,61700,10.124262
2016-01-05,10.98,11.16,10.87,11.15,16700,10.720372
2016-01-04,10.60,11.04,10.60,10.98,31000,10.556923
2015-12-31,10.20,10.72,10.03,10.67,51300,10.258868
2015-12-30,10.12,10.35,10.04,10.13,67800,9.739675
2015-12-29,10.74,10.74,10.06,10.22,83000,9.826207
2015-12-28,10.70,10.70,10.15,10.32,40100,9.922354
2015-12-24,11.00,11.16,10.70,10.70,30800,10.287712
2015-12-23,10.20,11.00,10.20,10.95,128500,10.528079
2015-12-22,9.35,10.06,9.35,10.04,63500,9.653143
2015-12-21,9.17,9.27,9.00,9.25,135500,8.893583
2015-12-18,9.50,9.77,9.07,9.25,61600,8.893583
2015-12-17,9.50,9.54,9.37,9.48,42000,9.11472
2015-12-16,9.20,9.63,9.20,9.56,49300,9.191638
2015-12-15,9.15,9.23,8.82,9.19,59000,8.835894
2015-12-14,9.53,9.55,9.09,9.11,80800,8.672445
2015-12-11,10.09,10.09,9.65,9.65,43700,9.186508
2015-12-10,10.13,10.34,10.11,10.18,49700,9.691053
2015-12-09,9.77,10.30,9.77,10.06,36100,9.576817
2015-12-08,9.21,9.95,9.21,9.72,80200,9.253147
2015-12-07,10.40,10.40,9.56,9.66,112500,9.196028
2015-12-04,11.19,11.25,10.54,10.60,144300,10.09088
2015-12-03,11.74,11.85,11.26,11.26,97800,10.71918
2015-12-02,12.01,12.04,11.71,11.76,108000,11.195165
2015-12-01,12.05,12.16,11.93,12.07,68200,11.490275
2015-11-30,11.91,12.14,11.85,12.02,58000,11.442677
2015-11-27,11.80,12.11,11.80,11.94,45000,11.366519
2015-11-25,11.64,11.89,11.62,11.83,45200,11.261803
2015-11-24,11.62,11.77,11.55,11.74,67800,11.176125
2015-11-23,11.50,11.70,11.47,11.54,46600,10.985731
2015-11-20,11.76,11.89,11.51,11.58,63900,11.02381
2015-11-19,11.90,11.92,11.69,11.71,27600,11.147566
2015-11-18,11.74,11.97,11.73,11.85,50000,11.280843
2015-11-17,11.83,11.86,11.65,11.68,72400,11.119008
2015-11-16,11.53,11.77,11.53,11.77,32400,11.204685
2015-11-13,11.44,11.58,11.18,11.54,36700,10.900054
2015-11-12,11.82,11.82,11.45,11.50,36500,10.862273
2015-11-11,12.19,12.19,11.89,11.95,36100,11.287318
2015-11-10,12.32,12.36,12.18,12.24,28700,11.561236
2015-11-09,12.41,12.46,12.21,12.35,53200,11.665137
2015-11-06,12.51,12.53,12.33,12.40,30800,11.712363
2015-11-05,12.88,12.91,12.53,12.63,32400,11.929609
2015-11-04,13.10,13.16,12.84,12.99,75900,12.269645
2015-11-03,12.70,13.05,12.70,13.05,53100,12.326318
2015-11-02,12.36,12.72,12.36,12.66,36900,11.957945
2015-10-30,12.46,12.47,12.29,12.36,61800,11.674581
2015-10-29,12.25,12.49,12.25,12.41,37900,11.721809
2015-10-28,11.83,12.30,11.82,12.25,32600,11.570682
2015-10-27,11.74,11.88,11.63,11.83,58300,11.173973
2015-10-26,12.28,12.28,11.87,11.87,44200,11.211754
2015-10-23,12.56,12.62,12.24,12.32,33000,11.6368
2015-10-22,12.76,12.76,12.48,12.58,49900,11.882382
2015-10-21,12.97,13.03,12.81,12.85,37000,12.137409
2015-10-20,12.99,13.11,12.96,13.00,20300,12.279091
2015-10-19,13.15,13.21,12.93,13.03,40100,12.307427
2015-10-16,13.15,13.24,13.02,13.20,34700,12.468
2015-10-15,12.87,13.12,12.65,13.10,35100,12.373546
2015-10-14,12.82,13.01,12.70,12.92,33600,12.118518
2015-10-13,12.90,13.10,12.90,12.97,122200,12.165417
2015-10-12,13.30,13.30,12.90,13.04,34200,12.231074
2015-10-09,13.21,13.31,13.12,13.30,42800,12.474945
2015-10-08,13.09,13.32,12.73,13.12,91000,12.306111
2015-10-07,12.94,13.25,12.85,13.00,91300,12.193556
2015-10-06,12.64,12.99,12.60,12.86,71700,12.06224
2015-10-05,12.21,12.63,12.21,12.54,61300,11.762091
2015-10-02,11.80,12.21,11.62,12.17,41900,11.415044
2015-10-01,11.78,11.92,11.56,11.87,38800,11.133654
2015-09-30,11.16,11.87,11.16,11.76,79100,11.030478
2015-09-29,11.80,11.81,11.12,11.12,109900,10.43018
2015-09-28,12.46,12.58,11.72,11.81,110500,11.077377
2015-09-25,12.98,13.00,12.53,12.58,41200,11.79961
2015-09-24,13.10,13.10,12.43,12.86,129600,12.06224
2015-09-23,13.64,13.79,13.06,13.16,63400,12.34363
2015-09-22,13.49,13.88,13.49,13.75,138600,12.89703
2015-09-21,14.05,14.11,13.84,13.95,76600,13.084623
2015-09-18,13.99,14.12,13.98,14.11,43000,13.234697
2015-09-17,14.20,14.46,14.00,14.10,75300,13.225318
2015-09-16,14.06,14.29,14.06,14.24,92000,13.356633
2015-09-15,13.84,14.16,13.78,14.10,146500,13.225318
2015-09-14,14.59,14.75,14.14,14.24,59900,13.272216
2015-09-11,2.95,2.96,2.84,2.91,64600,13.561148
2015-09-10,2.99,3.00,2.92,2.99,42300,13.933963
2015-09-09,3.05,3.05,2.96,3.01,43100,14.027167
2015-09-08,3.11,3.13,3.02,3.06,39500,14.260176
2015-09-04,3.03,3.09,3.03,3.08,19200,14.35338
2015-09-03,3.09,3.14,3.04,3.14,53100,14.632991
2015-09-02,3.19,3.19,3.04,3.10,50700,14.446584
2015-09-01,3.22,3.24,3.11,3.23,55900,15.052408
2015-08-31,3.32,3.32,3.20,3.29,48500,15.33202
2015-08-28,3.23,3.35,3.16,3.35,53900,15.611631
2015-08-27,3.09,3.23,3.09,3.23,35700,15.052408
