Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,24.83,24.85,24.65,24.833,13500,24.833
2016-04-18,24.969999,25.01,24.610001,24.885,16300,24.885
2016-04-15,24.959999,25.00,24.959999,24.981001,1500,24.981001
2016-04-14,25.09,25.09,24.950001,24.959999,14000,24.959999
2016-04-13,24.969999,25.10,24.959999,25.09,17700,25.09
2016-04-12,24.975,25.146999,24.940001,25.146999,2600,24.748999
2016-04-11,24.90,24.90,24.76,24.90,2500,24.505909
2016-04-08,25.115,25.115,24.90,24.90,12800,24.505909
2016-04-07,24.959999,24.969999,24.959999,24.969999,500,24.574801
2016-04-06,24.950001,24.950001,24.863001,24.917999,4000,24.523624
2016-04-05,25.10,25.200001,24.889999,24.91,31700,24.515751
2016-04-04,24.950001,25.00,24.90,25.00,5400,24.604326
2016-04-01,24.902,24.943001,24.902,24.943001,600,24.548229
2016-03-31,24.889999,25.139999,24.75,24.76,15900,24.368125
2016-03-30,25.066,25.110001,24.780001,24.98,17300,24.584643
2016-03-29,24.940001,25.15,24.940001,25.02,7200,24.62401
2016-03-28,24.969999,24.98,24.799999,24.870001,4800,24.476385
2016-03-24,24.809999,24.962,24.76,24.76,3500,24.368125
2016-03-23,24.90,24.940001,24.799999,24.940001,7000,24.545277
2016-03-22,24.65,24.66,24.65,24.66,700,24.269707
2016-03-21,25.01,25.10,24.65,24.65,73700,24.259866
2016-03-18,24.90,25.261999,24.809999,25.261999,9300,24.862179
2016-03-17,25.10,25.17,24.700001,24.771999,78400,24.379934
2016-03-16,24.90,25.386,24.530001,24.99,17400,24.594485
2016-03-15,24.51,24.889,24.200001,24.889,24100,24.495083
2016-03-14,24.73,24.75,24.299999,24.629999,69000,24.240182
2016-03-11,24.540001,24.68,24.35,24.35,51700,23.964614
2016-03-10,24.724001,24.799999,24.25,24.32,48200,23.935089
2016-03-09,24.434999,24.450001,24.42,24.450001,3500,24.063032
2016-03-08,24.35,24.43,24.01,24.309999,70500,23.925247
2016-03-07,24.35,24.60,24.35,24.35,3500,23.964614
2016-03-04,24.447001,24.51,24.309999,24.40,5600,24.013822
2016-03-03,24.23,24.725,24.23,24.49,7900,24.102398
2016-03-02,24.25,24.261999,24.059999,24.209999,1800,23.826829
2016-03-01,23.797001,24.25,23.75,24.23,7600,23.846513
2016-02-29,23.684,24.24,23.549999,23.549999,18700,23.177275
2016-02-26,23.895,24.23,23.51,23.51,21500,23.137909
2016-02-25,23.84,23.950001,23.540001,23.950001,8700,23.570946
2016-02-24,23.684999,23.969999,23.684999,23.85,2800,23.472528
2016-02-23,24.24,24.25,23.549999,23.57,18900,23.196959
2016-02-22,24.00,24.120001,24.00,24.10,1100,23.718571
2016-02-19,23.93,24.00,23.93,24.00,1300,23.620153
2016-02-18,23.950001,23.985001,23.791,23.985001,2600,23.605391
2016-02-17,23.90,24.049999,23.75,23.90,4200,23.521736
2016-02-16,23.60,24.15,23.426001,23.90,15000,23.521736
2016-02-12,23.416,23.790001,23.25,23.67,15000,23.295376
2016-02-11,23.059999,23.284,22.950001,23.25,23800,22.882024
2016-02-10,23.040001,23.466,23.040001,23.188999,4600,22.821988
2016-02-09,23.288,23.50,23.26,23.43,4700,23.059175
2016-02-08,23.725,23.725,23.25,23.26,9900,22.891866
2016-02-05,23.50,23.573999,23.50,23.530001,3100,23.157593
2016-02-04,23.50,23.691999,23.35,23.49,3500,23.118225
2016-02-03,23.587999,23.618999,23.250999,23.50,13800,23.128067
2016-02-02,23.50,23.73,23.50,23.60,5700,23.226485
2016-02-01,23.51,23.698999,23.50,23.540001,4400,23.167435
2016-01-29,24.01,24.01,23.700001,23.700001,3900,23.324902
2016-01-28,23.389999,24.10,23.25,24.10,13000,23.718571
2016-01-27,23.50,23.58,23.02,23.35,70500,22.980441
2016-01-26,23.472,23.486,23.309999,23.32,3900,22.950915
2016-01-25,23.202,23.700001,23.200001,23.700001,10700,23.324902
2016-01-22,23.690001,23.75,23.50,23.639999,27800,23.265851
2016-01-21,23.440001,23.83,23.219999,23.610001,6200,23.236327
2016-01-20,23.132,23.40,22.75,23.190001,27900,22.822974
2016-01-19,23.58,23.82,23.35,23.389999,12800,23.019807
2016-01-15,23.35,23.40,22.93,23.09,14800,22.724556
2016-01-14,23.309999,23.67,22.879999,23.65,15500,23.275692
2016-01-13,23.43,23.433001,23.10,23.309999,6200,22.941073
2016-01-12,24.00,24.00,23.50,23.83,17300,23.061143
2016-01-11,24.00,24.00,23.860001,23.92,6100,23.14824
2016-01-08,24.191,24.224001,24.00,24.10,4300,23.322432
2016-01-07,23.82,24.50,23.60,24.50,21500,23.709526
2016-01-06,23.75,23.99,23.65,23.940001,4600,23.167595
2016-01-05,24.00,24.00,23.65,23.700001,27600,22.935338
2016-01-04,24.16,24.16,23.299999,23.75,20400,22.983724
2015-12-31,24.74,24.74,24.25,24.299999,8500,23.515978
