Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,20.469999,20.719999,20.24,20.540001,137800,20.540001
2016-04-18,20.33,20.59,20.299999,20.42,115500,20.42
2016-04-15,20.58,20.639999,20.309999,20.559999,59700,20.559999
2016-04-14,20.90,20.99,20.60,20.690001,63200,20.690001
2016-04-13,20.77,21.129999,20.700001,20.91,76700,20.91
2016-04-12,20.52,20.93,20.48,20.860001,97000,20.860001
2016-04-11,20.83,20.83,20.34,20.389999,66600,20.389999
2016-04-08,20.389999,20.85,20.219999,20.73,94000,20.73
2016-04-07,20.219999,20.52,20.110001,20.200001,69300,20.200001
2016-04-06,20.17,20.60,20.139999,20.33,159000,20.33
2016-04-05,19.799999,20.299999,19.719999,20.08,101300,20.08
2016-04-04,20.93,20.959999,19.709999,19.77,235100,19.77
2016-04-01,20.57,21.00,20.40,20.860001,86100,20.860001
2016-03-31,20.209999,20.68,20.209999,20.58,124700,20.58
2016-03-30,20.700001,20.85,20.02,20.24,136300,20.24
2016-03-29,19.59,20.74,19.59,20.57,102700,20.57
2016-03-28,20.00,20.02,19.60,19.780001,108900,19.780001
2016-03-24,19.74,20.25,19.290001,20.09,192000,20.09
2016-03-23,19.860001,20.17,19.65,19.77,184000,19.77
2016-03-22,19.91,20.030001,19.690001,19.82,101900,19.82
2016-03-21,20.02,20.23,19.799999,20.110001,142100,20.110001
2016-03-18,19.809999,20.10,19.540001,20.00,208900,20.00
2016-03-17,19.040001,19.790001,18.940001,19.700001,148600,19.700001
2016-03-16,18.49,19.209999,18.49,19.209999,122200,19.209999
2016-03-15,18.610001,18.74,18.309999,18.620001,64900,18.620001
2016-03-14,18.74,18.93,18.48,18.66,65600,18.66
2016-03-11,18.379999,19.16,18.379999,18.889999,146300,18.889999
2016-03-10,18.360001,18.49,18.01,18.190001,174400,18.190001
2016-03-09,18.540001,18.68,18.110001,18.360001,144600,18.360001
2016-03-08,18.889999,19.10,18.49,18.59,138600,18.59
2016-03-07,18.76,19.299999,18.299999,19.139999,158900,19.139999
2016-03-04,19.440001,19.99,19.10,19.290001,237200,18.750001
2016-03-03,18.84,19.389999,18.719999,19.360001,142100,18.818041
2016-03-02,18.41,18.940001,18.110001,18.93,97400,18.400078
2016-03-01,18.889999,18.889999,18.40,18.40,133300,17.884914
2016-02-29,17.889999,18.889999,17.719999,18.799999,166200,18.273716
2016-02-26,18.18,18.360001,17.559999,17.889999,160100,17.38919
2016-02-25,18.32,18.40,17.540001,18.10,148000,17.593313
2016-02-24,17.209999,17.74,16.860001,17.709999,101900,17.214229
2016-02-23,17.299999,17.57,17.15,17.50,130500,17.010109
2016-02-22,17.52,17.719999,17.290001,17.33,107200,16.844867
2016-02-19,17.540001,17.610001,17.15,17.52,115100,17.029549
2016-02-18,17.90,17.90,17.51,17.76,84900,17.26283
2016-02-17,17.23,17.950001,17.129999,17.76,94100,17.26283
2016-02-16,17.60,17.77,16.65,17.299999,191300,16.815707
2016-02-12,17.299999,17.59,16.940001,17.49,133100,17.000388
2016-02-11,17.00,17.299999,16.809999,17.25,165600,16.767107
2016-02-10,17.32,17.48,17.059999,17.219999,71700,16.737946
2016-02-09,17.360001,17.49,17.120001,17.26,140000,16.776827
2016-02-08,18.01,18.15,17.09,17.66,133600,17.165629
2016-02-05,18.120001,18.290001,17.90,18.030001,82300,17.525272
2016-02-04,17.49,18.190001,17.389999,18.110001,113300,17.603033
2016-02-03,17.639999,17.709999,16.85,17.530001,73600,17.039269
2016-02-02,17.60,17.60,17.299999,17.41,59300,16.922628
2016-02-01,17.76,18.049999,17.33,17.91,109900,17.408631
2016-01-29,17.49,18.10,17.48,17.93,137500,17.428071
2016-01-28,17.75,17.940001,17.42,17.49,84300,17.000388
2016-01-27,17.469999,17.85,17.280001,17.50,104400,17.010109
2016-01-26,17.15,17.559999,17.02,17.41,78100,16.922628
2016-01-25,17.309999,17.639999,17.040001,17.129999,99700,16.650465
2016-01-22,16.969999,17.67,16.82,17.469999,153700,16.980948
2016-01-21,16.17,16.969999,15.95,16.620001,165400,16.154744
2016-01-20,16.26,16.49,14.91,16.219999,313400,15.76594
2016-01-19,17.42,17.549999,16.40,16.629999,213100,16.164462
2016-01-15,16.90,17.35,16.52,17.27,216600,16.786548
2016-01-14,17.049999,17.459999,16.50,17.24,219400,16.757387
2016-01-13,18.07,18.34,16.799999,17.049999,205500,16.572705
2016-01-12,18.280001,18.280001,17.60,17.969999,188400,17.466951
2016-01-11,18.98,19.10,17.99,18.08,228300,17.573872
2016-01-08,19.379999,19.52,18.90,18.940001,223300,18.409798
