Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,16.559999,16.76,16.469999,16.639999,22500,16.639999
2016-04-18,16.139999,16.48,15.87,16.440001,48600,16.440001
2016-04-15,15.72,16.290001,15.67,16.18,57500,16.18
2016-04-14,16.209999,16.209999,15.67,15.79,40500,15.79
2016-04-13,15.61,16.440001,15.50,16.40,83100,16.40
2016-04-12,15.28,15.84,15.28,15.49,57400,15.49
2016-04-11,15.60,15.78,15.24,15.31,40600,15.31
2016-04-08,15.30,15.56,15.12,15.54,45400,15.54
2016-04-07,15.47,15.80,14.90,15.12,38700,15.12
2016-04-06,15.69,15.75,15.38,15.61,32400,15.61
2016-04-05,15.53,15.88,15.40,15.65,81900,15.65
2016-04-04,16.35,16.35,15.67,15.70,49000,15.70
2016-04-01,15.52,16.50,15.33,16.35,95800,16.35
2016-03-31,15.84,15.96,15.69,15.72,51500,15.72
2016-03-30,15.93,15.97,15.57,15.82,34900,15.82
2016-03-29,15.33,15.89,15.22,15.82,53500,15.82
2016-03-28,15.42,15.58,15.20,15.40,48100,15.40
2016-03-24,14.74,15.46,14.66,15.42,61600,15.42
2016-03-23,15.40,15.68,14.88,14.88,38200,14.88
2016-03-22,15.57,15.75,15.28,15.48,39000,15.48
2016-03-21,15.86,16.00,15.58,15.81,49600,15.81
2016-03-18,15.93,15.98,15.52,15.91,147400,15.91
2016-03-17,15.22,15.84,15.10,15.79,89900,15.79
2016-03-16,14.99,15.45,14.96,15.24,43600,15.24
2016-03-15,15.30,15.50,15.06,15.18,38000,15.07
2016-03-14,15.30,15.57,15.30,15.42,49300,15.308261
2016-03-11,15.56,15.64,15.13,15.34,72400,15.228841
2016-03-10,16.02,16.41,15.35,15.42,45900,15.308261
2016-03-09,15.63,16.17,15.63,16.01,105300,15.893986
2016-03-08,15.59,15.86,15.41,15.57,59500,15.457174
2016-03-07,14.95,15.83,14.95,15.72,62900,15.606087
2016-03-04,15.30,15.50,14.88,14.98,84500,14.871449
2016-03-03,14.99,15.24,14.90,15.24,81100,15.129565
2016-03-02,14.46,14.88,14.17,14.85,69200,14.742392
2016-03-01,13.78,14.42,13.78,14.42,113500,14.315507
2016-02-29,13.00,14.18,12.90,13.73,224600,13.630507
2016-02-26,12.46,12.69,12.25,12.41,46300,12.320072
2016-02-25,12.55,12.55,12.00,12.28,37300,12.191014
2016-02-24,11.95,12.44,11.76,12.40,35000,12.310145
2016-02-23,12.63,12.80,12.05,12.06,52400,11.972609
2016-02-22,12.28,12.81,12.22,12.65,92400,12.558333
2016-02-19,12.45,12.45,12.09,12.19,62500,12.101666
2016-02-18,12.70,12.92,12.22,12.49,47300,12.399493
2016-02-17,12.94,13.20,12.63,12.65,75400,12.558333
2016-02-16,13.04,13.24,12.55,12.88,55000,12.786667
2016-02-12,12.56,12.98,12.56,12.90,46200,12.806521
2016-02-11,12.26,12.56,12.21,12.40,25500,12.310145
2016-02-10,12.82,12.85,12.47,12.49,28900,12.399493
2016-02-09,12.72,12.97,12.67,12.75,31600,12.657609
2016-02-08,12.59,13.09,12.57,12.97,46500,12.876015
2016-02-05,12.80,13.27,12.49,12.78,103500,12.687391
