Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,18.67,19.209999,18.35,18.40,726900,18.40
2016-04-18,18.51,18.639999,18.059999,18.549999,756100,18.549999
2016-04-15,17.450001,18.620001,17.450001,18.57,1447000,18.57
2016-04-14,17.450001,17.709999,16.860001,17.440001,1331400,17.440001
2016-04-13,16.01,17.799999,16.01,17.530001,1752500,17.530001
2016-04-12,15.19,15.96,14.77,15.86,1227600,15.86
2016-04-11,15.62,15.66,15.18,15.20,527100,15.20
2016-04-08,16.10,16.10,15.32,15.44,821000,15.44
2016-04-07,16.709999,16.709999,15.83,15.90,777900,15.90
2016-04-06,17.01,17.15,16.51,16.65,478100,16.65
2016-04-05,17.24,17.33,16.639999,16.959999,715800,16.959999
2016-04-04,17.969999,18.07,17.41,17.43,465800,17.43
2016-04-01,17.75,17.969999,17.60,17.959999,558200,17.959999
2016-03-31,17.74,17.99,17.59,17.90,661700,17.90
2016-03-30,17.790001,17.940001,17.440001,17.73,548700,17.73
2016-03-29,16.940001,17.83,16.719999,17.709999,656000,17.709999
2016-03-28,16.719999,17.309999,16.59,16.92,473300,16.92
2016-03-24,16.16,16.68,16.120001,16.66,475500,16.66
2016-03-23,16.690001,16.74,16.049999,16.16,563900,16.16
2016-03-22,17.24,17.32,16.68,16.77,641700,16.77
2016-03-21,17.290001,17.700001,17.209999,17.360001,771000,17.360001
2016-03-18,16.35,17.49,16.26,17.309999,1546700,17.309999
2016-03-17,16.280001,16.459999,15.81,16.23,1667200,16.23
2016-03-16,16.629999,16.879999,16.120001,16.35,1045700,16.35
2016-03-15,17.00,17.120001,16.32,16.65,1367700,16.65
2016-03-14,17.73,17.73,16.870001,17.049999,724700,17.049999
2016-03-11,17.860001,18.059999,17.219999,17.68,1680100,17.68
2016-03-10,17.40,18.91,17.049999,17.82,4400900,17.64
2016-03-09,16.879999,17.120001,16.209999,16.360001,1529100,16.194748
2016-03-08,16.26,17.68,16.26,16.91,2233500,16.739192
2016-03-07,16.35,16.82,16.139999,16.43,666400,16.264041
2016-03-04,16.209999,16.969999,16.10,16.34,1310200,16.174949
2016-03-03,15.79,16.219999,15.72,16.17,717900,16.006667
2016-03-02,15.57,15.94,15.30,15.89,437800,15.729495
2016-03-01,15.45,15.75,14.92,15.70,1131300,15.541414
2016-02-29,15.25,15.54,15.07,15.44,688300,15.28404
2016-02-26,15.58,15.66,15.05,15.27,497700,15.115758
2016-02-25,15.24,15.50,15.12,15.47,585600,15.313737
2016-02-24,14.69,15.33,14.29,15.24,604500,15.08606
2016-02-23,14.43,14.98,14.29,14.82,841700,14.670303
2016-02-22,14.22,14.93,14.10,14.43,1098700,14.284243
2016-02-19,14.19,14.32,13.77,14.05,1222600,13.908081
2016-02-18,13.80,14.27,13.48,14.23,1003200,14.086262
2016-02-17,13.50,14.01,13.45,13.77,1313900,13.630909
2016-02-16,13.18,14.25,13.01,13.49,2177600,13.353737
2016-02-12,12.82,13.60,12.72,13.29,1407500,13.155757
2016-02-11,12.42,12.90,11.84,12.75,853100,12.621212
2016-02-10,13.25,13.75,13.06,13.08,1723300,12.947879
2016-02-09,11.85,12.74,11.83,12.65,1309800,12.522222
2016-02-08,12.73,12.78,11.68,12.28,1292200,12.155959
2016-02-05,13.24,13.30,12.54,12.68,1229800,12.551919
2016-02-04,13.43,13.45,12.64,13.43,995700,13.294344
2016-02-03,13.79,13.79,12.90,13.31,1366100,13.175556
2016-02-02,13.75,14.15,13.29,13.49,1615500,13.353737
2016-02-01,14.05,14.40,13.01,14.13,1110500,13.987273
2016-01-29,13.27,13.89,13.06,13.71,2592600,13.571515
2016-01-28,13.30,13.66,12.86,13.14,2297200,13.007273
2016-01-27,12.50,13.32,12.42,12.95,2533200,12.819192
2016-01-26,11.96,13.04,11.85,12.61,2201500,12.482626
2016-01-25,11.94,12.47,11.79,11.87,1615000,11.750101
2016-01-22,11.72,12.34,11.29,11.95,2072600,11.829293
2016-01-21,11.08,11.85,10.95,11.40,2252400,11.284848
2016-01-20,10.52,11.29,9.95,11.16,2560200,11.047272
2016-01-19,11.22,11.31,10.56,10.71,1259000,10.601818
2016-01-15,11.08,11.25,10.58,11.13,1217800,11.017576
2016-01-14,10.83,11.57,10.80,11.46,1977200,11.344242
2016-01-13,11.53,11.77,10.75,10.86,2518100,10.750303
2016-01-12,12.18,12.33,11.30,11.53,2236100,11.413535
2016-01-11,12.13,12.30,11.77,11.97,1784200,11.849091
2016-01-08,13.33,13.40,12.04,12.09,2603200,11.967879
2016-01-07,13.21,13.82,13.02,13.17,1470300,13.03697
2016-01-06,14.08,14.22,13.21,13.43,1795900,13.294344
2016-01-05,14.74,14.84,14.18,14.35,1345000,14.205051
2016-01-04,14.36,14.68,13.94,14.66,1729900,14.511919
2015-12-31,14.57,14.95,14.48,14.68,1004900,14.531717
2015-12-30,14.86,14.94,14.48,14.57,1290000,14.422828
2015-12-29,15.04,15.19,14.52,14.85,1038500,14.70
2015-12-28,14.99,15.07,14.72,15.03,1155900,14.878181
2015-12-24,15.43,15.44,14.93,15.05,830900,14.89798
