Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,23.00,23.07,22.73,22.879999,116600,22.879999
2016-04-18,22.91,22.92,22.559999,22.889999,84300,22.889999
2016-04-15,21.99,22.969999,21.969999,22.889999,634200,22.889999
2016-04-14,21.959999,22.190001,21.940001,22.030001,377500,22.030001
2016-04-13,22.389999,22.40,21.870001,21.98,161600,21.98
2016-04-12,22.57,22.57,22.33,22.360001,158200,22.360001
2016-04-11,22.73,22.90,22.48,22.50,112700,22.50
2016-04-08,22.540001,22.790001,22.43,22.59,190200,22.59
2016-04-07,22.76,22.879999,22.25,22.43,210500,22.43
2016-04-06,23.030001,23.24,22.799999,22.860001,90600,22.860001
2016-04-05,23.219999,23.35,22.92,23.040001,168900,23.040001
2016-04-04,23.549999,23.59,23.27,23.33,80200,23.33
2016-04-01,23.309999,23.549999,23.129999,23.52,84800,23.52
2016-03-31,23.42,23.549999,23.35,23.450001,111500,23.450001
2016-03-30,23.67,23.67,23.33,23.41,99600,23.41
2016-03-29,22.639999,23.540001,22.639999,23.52,162600,23.52
2016-03-28,22.540001,22.75,22.24,22.67,61300,22.67
2016-03-24,22.52,22.52,22.290001,22.440001,111600,22.440001
2016-03-23,23.00,23.379999,22.59,22.59,162100,22.59
2016-03-22,23.08,23.27,22.98,23.18,192100,23.000001
2016-03-21,23.610001,23.719999,23.120001,23.129999,74800,22.950388
2016-03-18,23.98,23.98,23.51,23.65,211500,23.46635
2016-03-17,22.799999,23.879999,22.73,23.809999,161500,23.625108
2016-03-16,22.620001,22.98,22.32,22.91,78900,22.732097
2016-03-15,22.860001,22.870001,22.639999,22.66,61200,22.484038
2016-03-14,22.940001,23.129999,22.809999,22.91,97200,22.732097
2016-03-11,22.82,23.02,22.65,22.959999,133800,22.781708
2016-03-10,23.200001,23.370001,22.360001,22.65,119800,22.474116
2016-03-09,23.02,23.34,22.959999,23.120001,242600,22.940467
2016-03-08,22.870001,23.059999,22.799999,22.99,118700,22.811476
2016-03-07,22.65,22.99,22.620001,22.99,107200,22.811476
2016-03-04,22.559999,22.700001,22.35,22.700001,95800,22.523729
2016-03-03,22.52,22.57,22.25,22.530001,218200,22.355049
2016-03-02,22.51,22.540001,22.27,22.49,124200,22.315358
2016-03-01,22.290001,22.610001,22.290001,22.58,84500,22.40466
2016-02-29,22.40,22.67,22.110001,22.139999,154600,21.968076
2016-02-26,22.57,22.629999,22.32,22.379999,147800,22.206212
2016-02-25,22.139999,22.530001,22.02,22.49,177300,22.315358
2016-02-24,21.90,22.120001,21.82,22.10,235100,21.928387
2016-02-23,21.959999,22.18,21.92,22.049999,153600,21.878775
2016-02-22,21.889999,22.17,21.870001,21.969999,191700,21.799396
2016-02-19,21.700001,22.00,21.540001,21.790001,136100,21.620795
2016-02-18,21.25,21.73,20.969999,21.700001,172500,21.531494
2016-02-17,21.299999,21.709999,21.24,21.280001,154600,21.114755
2016-02-16,20.57,21.280001,20.540001,21.17,153000,21.005609
2016-02-12,21.10,21.10,20.440001,20.67,181600,20.509491
2016-02-11,21.139999,21.219999,20.790001,20.969999,233000,20.807161
2016-02-10,21.65,22.27,21.57,21.610001,188100,21.442193
2016-02-09,21.389999,21.77,21.129999,21.50,229800,21.333046
2016-02-08,21.85,21.85,21.08,21.51,277400,21.342969
2016-02-05,22.09,22.200001,21.879999,21.950001,353700,21.779553
2016-02-04,22.25,22.25,21.870001,22.16,182600,21.987921
2016-02-03,22.58,22.700001,22.120001,22.35,221300,22.176446
2016-02-02,22.40,22.450001,21.98,22.41,171500,22.23598
2016-02-01,22.40,22.620001,22.209999,22.469999,159900,22.295513
2016-01-29,22.110001,22.58,22.040001,22.48,334700,22.305436
2016-01-28,22.059999,22.40,21.90,21.950001,420800,21.779553
2016-01-27,22.02,22.02,21.60,21.799999,363800,21.630716
2016-01-26,21.709999,22.08,21.379999,22.01,196500,21.839086
2016-01-25,21.549999,21.83,21.309999,21.60,270000,21.43227
2016-01-22,21.110001,21.719999,20.559999,21.60,180000,21.43227
2016-01-21,21.25,21.42,20.83,21.16,256600,20.995686
2016-01-20,21.469999,21.610001,20.799999,21.23,298500,21.065142
2016-01-19,21.799999,21.91,21.43,21.709999,160700,21.541415
2016-01-15,21.66,21.74,21.299999,21.60,227700,21.43227
2016-01-14,21.92,22.07,21.67,21.950001,244400,21.779553
2016-01-13,21.92,22.32,21.67,21.870001,230100,21.700174
2016-01-12,22.120001,22.219999,21.74,21.92,270900,21.749785
2016-01-11,21.85,22.18,21.809999,21.85,202500,21.680329
2016-01-08,22.08,22.25,21.65,21.799999,254400,21.630716
2016-01-07,22.33,22.33,21.77,22.209999,274500,22.037532
2016-01-06,22.35,22.77,22.35,22.690001,124200,22.513806
2016-01-05,22.34,22.73,22.24,22.57,116500,22.394737
2016-01-04,22.34,22.34,22.02,22.27,379100,22.097067
2015-12-31,22.889999,22.889999,22.52,22.620001,214600,22.44435
2015-12-30,23.200001,23.219999,22.809999,22.870001,86400,22.692409
2015-12-29,22.99,23.280001,22.98,23.07,109000,22.890854
2015-12-28,22.940001,23.09,22.74,23.07,99800,22.712252
2015-12-24,23.07,23.07,22.879999,22.950001,46600,22.594114
2015-12-23,23.02,23.15,22.959999,23.049999,106900,22.692562
2015-12-22,22.610001,22.969999,22.50,22.92,235900,22.564579
2015-12-21,22.66,22.690001,22.290001,22.57,129600,22.220006
